FeatureClass,FeatureCode,ShortDescription,LongDescription
A,ADM1,First-Order Administrative Division,"A primary administrative division of a country, such as a state in the United States"
A,ADM1H,Historical First-Order Administrative Division,A former first-order administrative division
A,ADM2,Second-Order Administrative Division,A subdivision of a first-order administrative division
A,ADM2H,Historical Second-Order Administrative Division,A former second-order administrative division
A,ADM3,Third-Order Administrative Division,A subdivision of a second-order administrative division
A,ADM3H,Historical Third-Order Administrative Division,A former third-order administrative division
A,ADM4,Fourth-Order Administrative Division,A subdivision of a third-order administrative division
A,ADM4H,Historical Fourth-Order Administrative Division,A former fourth-order administrative division
A,ADM5,Fifth-Order Administrative Division,A subdivision of a fourth-order administrative division
A,ADMD,Administrative Division,"An administrative division of a country, undifferentiated as to administrative level"
A,ADMDH,Historical Administrative Division,"A former administrative division of a political entity, undifferentiated as to administrative level"
A,LTER,Leased Area,"A tract of land leased to another country, usually for military installations"
A,PCL,Political Entity,
A,PCLD,Dependent Political Entity,
A,PCLF,Freely Associated State,
A,PCLH,Historical Political Entity,A former political entity
A,PCLI,Independent Political Entity,
A,PCLIX,Section of Independent Political Entity,
A,PCLS,Semi-Independent Political Entity,
A,PRSH,Parish,An ecclesiastical district
A,TERR,Territory,
A,ZN,Zone,
A,ZNB,Buffer Zone,A zone recognized as a buffer between two nations in which military presence is minimal or absent
H,AIRS,Seaplane Landing Area,A place on a waterbody where floatplanes land and take off
H,ANCH,Anchorage,An area where vessels may anchor
H,BAY,Bay,"A coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf"
H,BAYS,Bays,"Coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf"
H,BGHT,Bight(s),An open body of water forming a slight recession in a coastline
H,BNK,Bank(s),"An elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation"
H,BNKR,Stream Bank,A sloping margin of a stream channel which normally confines the stream to its channel on land
H,BNKX,Section of Bank,
H,BOG,Bog(s),"A wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants"
H,CAPG,Icecap,A dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet
H,CHN,Channel,"The deepest part of a stream, bay, lagoon or strait, through which the main current flows"
H,CHNL,Lake Channel(s),"That part of a lake having water deep enough for navigation between islands, shoals, etc."
H,CHNM,Marine Channel,That part of a body of water deep enough for navigation through an area otherwise not suitable
H,CHNN,Navigation Channel,A buoyed channel of sufficient depth for the safe navigation of vessels
H,CNFL,Confluence,A place where two or more streams or intermittent streams flow together
H,CNL,Canal,An artificial watercourse
H,CNLA,Aqueduct,A conduit used to carry water
H,CNLB,Canal Bend,A conspicuously curved or bent section of a canal
H,CNLD,Drainage Canal,An artificial waterway carrying water away from a wetland or from drainage ditches
H,CNLI,Irrigation Canal,A canal which serves as a main conduit for irrigation water
H,CNLN,Navigation Canal(s),A watercourse constructed for navigation of vessels
H,CNLQ,Abandoned Canal,
H,CNLSB,Underground Irrigation Canal(s),A gently inclined underground tunnel bringing water for irrigation from aquifers
H,CNLX,Section of Canal,
H,COVE,Cove(s),"A small coastal indentation, smaller than a bay"
H,CRKT,Tidal Creek(s),A meandering channel in a coastal wetland subject to bi-directional tidal currents
H,CRNT,Current,A horizontal flow of water in a given direction with uniform velocity
H,CUTF,Cutoff,A channel formed as a result of a stream cutting through a meander neck
H,DCK,Dock(s),"A waterway between two piers, or cut into the land for the berthing of ships"
H,DCKB,Docking Basin,A part of a harbour where ships dock
H,DOMG,Icecap Dome,A comparatively elevated area on an icecap
H,DPRG,Icecap Depression,A comparatively depressed area on an icecap
H,DTCH,Ditch,A small artificial watercourse dug for draining or irrigating the land
H,DTCHD,Drainage Ditch,A ditch which serves to drain the land
H,DTCHI,Irrigation Ditch,A ditch which serves to distribute irrigation water
H,DTCHM,Ditch Mouth(s),"An area where a drainage ditch enters a lagoon, lake or bay"
H,ESTY,Estuary,A funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences
