AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1282063,2986043,,Pic du Port,,,,,,
4274490,2986043,,Pic de Font Blanca,,,,,,
1284819,2994701,,Roc Mélé,,,,,,
1284820,2994701,,Roc Meler,,,,,,
4285256,3007683,,Pic des Langounelles,,,,,,
1291197,3017832,,Pic de les Abelletes,,,,,,
4290387,3017832,,Pic de la Font-Nègre,,,,,,
1291198,3017833,,Estany de les Abelletes,,,,,,
4290388,3017833,,Étang de Font-Nègre,,,,,,
1292912,3023203,,Port Vieux de la Coume d’Ose,,,,,,
10152041,3023203,,Port Vieux de Coume d’Ose,,,,,,
1294805,3029315,,Porteille de la Cabanette,,,,,,
10152042,3029315,,Port de la Cabanette,,,,,,
1296506,3034945,,Port des Bareytes,,,,,,
1296507,3034945,,Port de las Bareytes,,,,,,
1296508,3034945,,Port de Bareites,,,,,,
4300495,3034945,,Port Dret,,,,,,
2968580,3038816,link,https://en.wikipedia.org/wiki/Xixerella,,,,,,
15699269,3038816,wkdt,Q2544237,,,,,,
10152043,3038826,,Coll de Vista,,,,,,
15822952,3038826,wkdt,Q21328891,,,,,,
1297805,3038827,,Visanceny,,,,,,
4307189,3038827,,Visanseny,,,,,,
1297806,3038832,,Casas Vila,,,,,,
4307190,3038832,,Vila,,,,,,
6905524,3038832,link,https://en.wikipedia.org/wiki/Vila%2C_Andorra,,,,,,
14992424,3038832,wkdt,Q24459,,,,,,
1297807,3038845,,Port Vell,,,,,,
4307191,3038845,,Port Negre del Pallars,,,,,,
1297808,3038870,,Port de Vall Civera,,,,,,
1297809,3038870,,Collado de Vall-Civera,,,,,,
1297810,3038870,,Coll de Valcibera,,,,,,
4307192,3038870,,Coll de Vall Civera,,,,,,
1297811,3038872,,Río Balira del Orien,,,,,,
4307193,3038872,,Riu Valira d’Orient,,,,,,
1297812,3038873,,Valira del Norte,,,,,,
1297813,3038873,,Riu Valira del Nort,,,,,,
1297814,3038873,,Riu Valira d’Ordino,,,,,,
1297815,3038873,,Valira del Nord,,,,,,
4307194,3038873,,Riu Valira del Nord,,,,,,
10152044,3038884,,Serra de Tristaina,,,,,,
1297817,3038886,,Pic de Tristagne,,,,,,
1297818,3038886,,Tristaina,,,,,,
1297819,3038886,,Pic des Tri-Stagnes,,,,,,
1297820,3038886,,Pic de Triatagne,,,,,,
2181137,3038886,ca,Pic de Tristaina,1,,,,,
13898832,3038899,ca,Tossalet i Vinyals,,,,,,
13898833,3038914,ca,Canal de la Tosa,,,,,,
1297822,3038926,,Pic Monturull,,,,,,
10152045,3038926,,Torre dels Soldats,,,,,,
10649930,3038926,,Monturull,,,,,,
11292426,3038926,link,https://en.wikipedia.org/wiki/Monturull,,,,,,
10229177,3038972,,Suriguera,,,,,,
10229178,3038972,,Soriguera,,,,,,
6900415,3038987,link,https://en.wikipedia.org/wiki/Sorn%C3%A0s,,,,,,
6922922,3038987,,Sornàs,,,,,,
14979449,3038987,wkdt,Q24495,,,,,,
1297823,3038988,,Riu de Suriguera,,,,,,
4307196,3038988,,Riu de Soriguera,,,,,,
1297824,3038992,,Riu de Soplanars,,,,,,
4307197,3038992,,Riu de Soplanàs,,,,,,
13898834,3038995,ca,Bosc del Solobre,,,,,,
13898835,3038995,,Bosc de Solobre,,,,,,
1297825,3038998,,Bois de Soldeu,,,,,,
1297826,3038998,,Bosque de Soldeu,,,,,,
4307198,3038998,,Bosc de Soldeu,,,,,,
2968581,3038999,link,https://en.wikipedia.org/wiki/Soldeu,,,,,,
14984667,3038999,wkdt,Q24398,,,,,,
13898836,3039037,ca,Solà d’Engordany,,,,,,
13898837,3039037,,Solá d’Engordany,,,,,,
1297827,3039057,,Solà d’Arcabell,,,,,,
4307199,3039057,,Solà d’Arcavell,,,,,,
7140844,3039077,link,https://en.wikipedia.org/wiki/Sispony,,,,,,
7323555,3039077,,Sispony,,,,,,
15208897,3039077,wkdt,Q24562,,,,,,
1297828,3039081,,Siscaró,,,,,,
1297829,3039081,,Pico de Siscarou,,,,,,
4307200,3039081,,Pic de Siscarou,,,,,,
1297830,3039087,,Port de Siguer,,,,,,
1297831,3039090,,Portella de Satut,,,,,,
1297832,3039090,,Portella de Setut,,,,,,
4307201,3039090,,Port de Setut,,,,,,
1297833,3039101,,Pic de Serrère,,,,,,
1297834,3039101,,Serrera,,,,,,
4307202,3039101,,Pic de la Serrera,,,,,,
13898838,3039126,ca,Roc de Senders,,,,,,
6905921,3039132,link,https://en.wikipedia.org/wiki/Segudet,,,,,,
6922923,3039132,,Segudet,,,,,,
14993808,3039132,wkdt,Q24499,,,,,,
1297835,3039144,,Roc del Sastra,,,,,,
4307203,3039144,,Roc del Sastre,,,,,,
13898839,3039147,ca,Roc de Sant Vicenç,,,,,,
11295159,3039151,link,https://en.wikipedia.org/wiki/Esgl%C3%A9sia_de_Sant_Rom%C3%A0_de_les_Bons,,,,,,
11392360,3039151,,Sant Romà de les Bons,,,,,,
7625122,3039154,link,https://en.wikipedia.org/wiki/El_Tarter,,,,,,
7911398,3039154,ru,Эл Тартер,1,,,,,
14969861,3039154,wkdt,Q24413,,,,,,
1297837,3039155,ca,Sant Miquel d'Engolasters,1,,,,,
1297838,3039156,,Sant Miquel,,,,,,
4307204,3039156,,Sant Miquel de Fontaneda,,,,,,
1297839,3039162,ca,Sant Julià de Lòria,1,1,,,,
1297840,3039162,en,Sant Julià de Loria,,1,,,,
1297841,3039162,ca,Parroquia de Sant Julià de Lòria,,,,,,
2170607,3039162,post,AD600,,,,,,
2185944,3039162,fr,Sant Julià de Lòria,,,,,,
2187003,3039162,es,Sant Julià de Lòria,,,,,,
5380566,3039162,link,https://en.wikipedia.org/wiki/Sant_Juli%C3%A0_de_L%C3%B2ria,,,,,,
11352175,3039162,es,San Julián de Loria,,,,,,
11352176,3039162,ar,سانت جوليا دي لوريا,,,,,,
11352177,3039162,bg,Сан Джулия де Лория,,,,,,
11352178,3039162,fa,سنت حولیا ده لوریا,,,,,,
11352179,3039162,he,סן גוליה דה לוריה,,,,,,
11352180,3039162,hi,संत जूलिया डी लोरिया पल्ली,,,,,,
11352181,3039162,hu,Sant Julià de Lòria közösség,,,,,,
11352182,3039162,hy,Սանթ Ժուլիա դե Լորիա,,,,,,
11352183,3039162,ja,サン・ジュリア・デ・ロリア教区,,,,,,
11352184,3039162,ka,სანტ-ჟულია-დე-ლორია,,,,,,
11352185,3039162,ko,산줄리아데로리아,,,,,,
11352186,3039162,lt,Sant Chulija de Lorija,,,,,,
11352187,3039162,mk,Сант Жулија де Лорија,,,,,,
11352188,3039162,ms,Sant Julia de Loria,,,,,,
11352189,3039162,sr,Сан Жулија де Лорија,,,,,,
11352190,3039162,uk,Сант-Жулія-де-Лорія,,,,,,
11352191,3039162,ur,سانت جولیا در لوریا,,,,,,
11352192,3039162,vec,Parochia de Sant Julià de Lòria,,,,,,
11352193,3039162,ru,Сан-Жулиа-де-Лория,,,,,,
11352194,3039162,zh,圣胡利娅-德洛里亚,,,,,,
14908766,3039162,wkdt,Q24282,,,,,,
1297842,3039163,ca,San Julià,,,,,,
1615215,3039163,de,Sant Julià de Lòria,,,,,,
1615216,3039163,en,Sant Julià de Lòria,,,,,,
1615217,3039163,es,Sant Julià de Lòria,,,,,,
1615218,3039163,ca,Sant Julià de Lòria,1,,,,,
1615219,3039163,fr,Sant Julià de Lòria,,,,,,
1615220,3039163,it,Sant Julià de Lòria,,,,,,
1615221,3039163,ja,サン・ジュリア・デ・ロリア教区,,,,,,
1615222,3039163,na,Sant Julià de Lòria,,,,,,
1615223,3039163,nl,Sant Julià de Lòria,,,,,,
1615224,3039163,pl,Sant Julià de Lòria,,,,,,
1615225,3039163,pt,Sant Julià de Lòria,,,,,,
1615226,3039163,ru,Сант-Жулия-де-Лория,1,,,,,
1615227,3039163,sq,Sant Julià de Lòria,,,,,,
1904706,3039163,an,Sant Julià de Lòria,,,,,,
1904708,3039163,zh,圣胡利娅－德洛里亚,,,,,,
1992588,3039163,eu,Sant Julia de Loria,,,,,,
1992589,3039163,zh-CN,圣胡利娅-德洛里亚,,,,,,
3055034,3039163,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D1%82-%D0%96%D1%83%D0%BB%D0%B8%D1%8F-%D0%B4%D0%B5-%D0%9B%D0%BE%D1%80%D0%B8%D1%8F,,,,,,
13722398,3039163,unlc,ADSJL,,,,,,
15900120,3039163,wkdt,Q1120573,,,,,,
1297845,3039166,,San Joan de Casettas,,,,,,
1297846,3039166,,Sant Joan de Casellas,,,,,,
4307205,3039166,,Sant Joan de Caselles,,,,,,
1297847,3039169,,Sant Joums,,,,,,
4307206,3039169,,Sant Jaume,,,,,,
6897189,3039181,link,https://en.wikipedia.org/wiki/Santa_Coloma_d%27Andorra,,,,,,
6922925,3039181,,Santa Coloma,,,,,,
13722397,3039181,unlc,ADSCO,,,,,,
4307207,3039184,,Portella de Sanfons,,,,,,
7535094,3039185,link,https://en.wikipedia.org/wiki/Pic_de_Sanfonts,,,,,,
10152046,3039185,,Pic de Sanfons,,,,,,
