AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
42955,100392,,Suhūl az̧ Z̧afrah,,,,,,
15758987,100392,wkdt,Q21733125,,,,,,
3680639,101999,,Shudūq al Jawwān,,,,,,
44817,102104,,‘Uruq ash Shaiba,,,,,,
3680742,102104,,‘Urūq ash Shaybah,,,,,,
13865555,102104,ar,عروق الشَّيبة,,,,,,
45504,102788,,Rhub al Khali,,,,,,
45505,102788,,Dahna,,,,,,
45506,102788,,Ruba’-al-Khāli,,,,,,
45507,102788,,Ar Rimal,,,,,,
45508,102788,,Great Sandy Desert,,,,,,
45509,102788,,Ar Rab‘ al Khālī,,,,,,
45510,102788,,Empty Quarter,,,,,,
3681372,102788,en,Rub‘ al Khali,,,,,,
3681373,102788,,Ar Rub‘ al Khālī,,,,,,
13191241,102788,ar,الربع الخالي,,,,,,
13635235,102788,link,https://en.wikipedia.org/wiki/Rub%27_al_Khali,,,,,,
46170,103436,,Al Qa‘ā’id,,,,,,
46171,103436,,Qa‘āyid Ḩulaywīn,,,,,,
11170524,103436,,Qa‘ā’id Ḩulaywīn,,,,,,
46915,104151,,Mijan Scarp,,,,,,
46916,104151,,Khushūm al Majann,,,,,,
3682678,104151,,Khushūm al Mijann,,,,,,
13575715,104151,ar,خشوم المجن,,,,,,
46918,104152,,Batin el Mijan,,,,,,
46919,104152,,Baţn al Majann,,,,,,
3682679,104152,,Baţn al Mijann,,,,,,
13575716,104152,ar,بطن المجن,,,,,,
46980,104219,,Sabkhat Maţī,,,,,,
46981,104219,,Sabkhat Mutti,,,,,,
3682741,104219,,Sabkhat Maţţī,,,,,,
13575719,104219,,Sabkhat Muţţī,,,,,,
13575720,104219,ar,سبخة مطي,,,,,,
48303,105479,,Jawb Jahlan,,,,,,
48304,105479,,Jaw Jahlan,,,,,,
3683941,105479,,Jaww Jahlān,,,,,,
3683942,105480,,Jāl Jahlān,,,,,,
11170527,107419,,Khawr Bin Musá,,,,,,
50962,108060,,Al-Ṣafq,,,,,,
50963,108060,,Aş Şafq,,,,,,
50964,108060,,Şufuq,,,,,,
50965,108060,,Sufuk,,,,,,
3686395,108060,ar,Aş Şufuq,,,,,,
52588,109293,,Qidan,,,,,,
52589,109293,,Kidan,,,,,,
52590,109293,,Al-Kadan,,,,,,
52591,109293,,Al Kidan,,,,,,
11170530,109293,,Al Kidn,,,,,,
13600422,109293,ar,الكدن,,,,,,
162051,251121,,Wādī Chich,,,,,,
4406134,251121,ar,Wādī Shīk,,,,,,
13578926,251121,,Wādī ash Shayk,,,,,,
13578927,251121,ar,وادي الشّيك,,,,,,
13578928,251121,,Wādī Shayk,,,,,,
13578929,251121,,Wādī ash Shīk,,,,,,
13578930,251121,ar,وادي شيك,,,,,,
162071,251130,,Wādī Siqatta,,,,,,
13449449,251130,,Wādī Siqattah,,,,,,
13449450,251130,,Wādī Siqţţah,,,,,,
13449451,251130,ar,وادي سقطة,,,,,,
13449452,251130,,Wādī Saqṭah,,,,,,
162153,251154,,Wadi Samain,,,,,,
13503088,251154,,Wādī as Sumaynī,,,,,,
13503089,251154,ar,وادي السّميني,,,,,,
13503090,251154,,Wādī Sumaynī,,,,,,
198743,285895,,Jabal Zārūb,,,,,,
198744,285895,,Umm Barr,,,,,,
198745,285895,,Umm Bar,,,,,,
13582119,285895,,Jabal az Zurūb,,,,,,
13582120,285895,ar,جبل الزّروب,,,,,,
3223932,285984,,Wādī Wasa‘,,,,,,
13503231,285984,,Wādī al Was‘ah,,,,,,
13503232,285984,ar,وادي الوسعة,,,,,,
3223942,286019,,Ţawī ‘Uwayyir,,,,,,
198839,286076,,Kharmat Umm al ‘Awsh,,,,,,
198840,286076,,Kharimat Umm al Aush,,,,,,
3242980,286122,,Wādī Thuqaybah,,,,,,
13503253,286122,ar,وادي ثقيبة,,,,,,
198896,286176,,‘Awqān,,,,,,
3224008,286176,,Ţawī al ‘Awqān,,,,,,
198960,286280,,Suheila,,,,,,
4466842,286280,,Suhaylah,,,,,,
7077072,286280,link,https://en.wikipedia.org/wiki/Suhaylah,,,,,,
15806920,286280,wkdt,Q7635234,,,,,,
199013,286391,,Wādī Shuaib,,,,,,
3224079,286391,,Wādī Shu‘ayb,,,,,,
3224096,286419,,Shi‘b al Ghāf,,,,,,
13533739,286419,,Shi‘āb al Ghāf,,,,,,
13533740,286419,ar,شعاب الغاف,,,,,,
13533741,286419,,Shib al Gat,,,,,,
3242984,286549,,Wādī Sawamia,,,,,,
3242987,286625,,Qarn as Salābīkh,,,,,,
13503291,286625,,Qarn Aş Şalābīkh,,,,,,
13503292,286625,ar,قرن الصّلابيخ,,,,,,
13503293,286625,,Qarn aṣ Ṣalābīkh,,,,,,
199188,286643,,Ramlat Sahm,,,,,,
3224160,286643,,Ramlat Saḩam,,,,,,
13449993,286697,,Jabal Ruwayshid,,,,,,
199223,286712,,Ruq‘at al Hal,,,,,,
4467117,286712,,Ruq‘at al Hall,,,,,,
12258803,286712,,Khiraymat al Ḩāll,,,,,,
12258804,286712,ar,خريمة الحال,,,,,,
12258805,286712,,Al Hāl,,,,,,
12258806,286712,,Khiraymat Al H̱al,,,,,,
199320,286842,,Wādī al Qawr,,,,,,
199321,286842,,Wadi Quor,,,,,,
199322,286842,,Qor,,,,,,
13503324,286842,,Wādī al Qūr,,,,,,
13503325,286842,ar,وادي القور,,,,,,
199350,286876,,Jabal Qīmá,,,,,,
8344156,286876,,Jabal Qimah,,,,,,
15751047,286876,wkdt,Q21733112,,,,,,
12258807,286969,,Kharmat Nuşşī,,,,,,
12258808,286969,,Khiraymat an Nuşá,,,,,,
12258809,286969,ar,خريمة النصى,,,,,,
12258810,286969,,Khiraymat An Nuşá,,,,,,
15551381,286969,wkdt,Q21733111,,,,,,
3243000,287112,,Wādī Muraykhāt,,,,,,
13582180,287112,ar,وادي مريخات,,,,,,
13582181,287112,,Wādī Miraykhāt,,,,,,
199530,287167,,Sayḩ Mudaysis,,,,,,
3224375,287257,,Wādī Mayḩah,,,,,,
13503358,287257,,Wādī al Mayḩah,,,,,,
13503359,287257,ar,وادي الميحة,,,,,,
13503360,287257,,Wādī al Mayḥah,,,,,,
199567,287265,,Wādī Maid,,,,,,
3224376,287265,,Wādī Mayd,,,,,,
199623,287318,,Kharimat Markhah,,,,,,
4467493,287318,,Kharmat Markhah,,,,,,
12258811,287318,,Khiraymat al Markhah,,,,,,
12258812,287318,ar,خريمة المرخة,,,,,,
12258813,287318,,Khuraymat al Markhah,,,,,,
12258814,287318,,Khiraymat Al Markhah,,,,,,
13503383,287404,,Baţḩā’ Maḩaḑah,,,,,,
13503384,287404,ar,بطحاء محضة,,,,,,
13503385,287404,,Baţḩā’ Maḩḑah,,,,,,
13503386,287404,,Baṭḥā’ Maḥaḍah,,,,,,
199735,287490,,Laifaat,,,,,,
3224459,287490,,Laifaar,,,,,,
3224474,287544,,Wādī Khuraymah,,,,,,
13503416,287544,,Wādī Khuzaymah,,,,,,
13503417,287544,ar,وادي خزيمة,,,,,,
13503418,287544,,Wādī Khizaymah,,,,,,
199801,287584,,Wadi Quor,,,,,,
199802,287584,,Wadi Khor,,,,,,
3224489,287584,,Wādī Khawr,,,,,,
13503426,287584,,Wādī al Qawr,,,,,,
13503427,287584,ar,وادي القور,,,,,,
13503428,287584,,Wādī al Qūr,,,,,,
199815,287599,,‘Irq al Khatara,,,,,,
199816,287599,,‘Irq al Khaţarah,,,,,,
4467661,287599,,‘Irq al Khaţirah,,,,,,
12258815,287599,,‘Irq al Khaţrah,,,,,,
12258816,287599,ar,عرق الخطرة,,,,,,
12258817,287599,,‘Irq al Khaṭirah,,,,,,
12258818,287599,,‘Irq al Khatirah,,,,,,
200002,287866,,Wādī Hilu,,,,,,
200003,287866,,Wadi Hilu,,,,,,
8344169,287866,,Wādī al Ḩulw,,,,,,
8344170,287866,ar,Wādī Ḩulw,,,,,,
13503454,287866,,Wādī al Ḩulū,,,,,,
13503455,287866,ar,وادي الحلو,,,,,,
13503456,287866,,Wādī al Ḥilū,,,,,,
200097,288021,,Naqā al Hauz,,,,,,
13534248,288021,,Naqā al Hawz,,,,,,
200099,288022,,Jabal Ḩajarayn,,,,,,
200100,288022,,Jabal Hajarain,,,,,,
200101,288022,,Jabal Ḩaţţah,,,,,,
4467923,288022,,Jabal Ḩattá,,,,,,
200118,288057,en,Shaam Peak,,,,,,
3224653,288057,,Jabal al Ḩarīm,,,,,,
13333982,288057,en,Shuam Peak,,,,1,,
13450079,288057,,Jabal Ḩārim,,,,,,
13450080,288057,ar,جبل حارم,,,,,,
13450081,288057,,Jabal Ḥārim,,,,,,
200177,288172,,Jabal Ḩafīt,,,,,,
200178,288172,,Djabel Ḩafīt,,,,,,
13582257,288172,ar,جبل حفيت,,,,,,
13582258,288172,,Jabal Ḥafīt,,,,,,
13582259,288172,,Jabal Ḥafī,,,,,,
3224697,288191,,Wādī Ḩadf,,,,,,
13450107,288191,,Wādī Ḩadaf,,,,,,
13450108,288191,ar,وادي حدف,,,,,,
13450109,288191,,Wādī Ḥadaf,,,,,,
4468091,288279,,Wād Gharr,,,,,,
3224793,288492,,Ramlat ad Dimā’,,,,,,
4468333,288652,,Wādī Bū Harraman,,,,,,
13503515,288652,,Wādī al Ḩarmal,,,,,,
13503516,288652,ar,وادي الحرمل,,,,,,
13450138,288653,,Jabal Bū Faraj,,,,,,
15562594,288653,wkdt,Q21733099,,,,,,
4468375,288716,,Wādī al Bīḩ,,,,,,
13450139,288716,ar,وادي البيح,,,,,,
13450140,288716,,Wādī al Bīḥ,,,,,,
4468453,288823,,Banī Sā‘ad,,,,,,
4468643,289120,,Al Qurayyah,,,,,,
200932,289213,,Jau and Buraimi,,,,,,
200933,289213,,Jau,,,,,,
200934,289213,,Al Jau,,,,,,
3225032,289213,,Al Jaww,,,,,,
201027,289290,,Ḩabūs,,,,,,
201028,289290,,Habūs,,,,,,
13450165,289290,,Al Ḩabūs,,,,,,
201062,289318,,Baraimi Oasis,,,,,,
201063,289318,,Buraymī Oasis,,,,,,
201064,289318,,Braimī,,,,,,
201065,289318,,Al Buraym,,,,,,
201066,289318,,Buraimi Oasis,,,,,,
201067,289318,,Wāḩat al Buraymī,,,,,,
13534680,289318,,Al Buraymī,,,,,,
201092,289354,ar,Al ‘Awāmir,,,,,,
201093,289354,,‘Awāmir,,,,,,
4468874,289472,,Wādī ‘Abd al ‘Aram,,,,,,
4469796,290399,ar,Zuyūd,,,,,,
8079076,290399,link,https://en.wikipedia.org/wiki/Zuyud,,,,,,
202620,290400,,Duwaihir,,,,,,
202621,290400,,Dhawaihir,,,,,,
4469797,290400,,Z̧uwayhir,,,,,,
202622,290401,,Dhuwaiher,,,,,,
