AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
11840362,3573364,link,"https://en.wikipedia.org/wiki/West_End,_Anguilla",,,,,,
1454104,3573365,,West End Pond,,,,,,
4307439,3573365,,West End Salt Pond,,,,,,
1454105,3573368,,Welches,,,,,,
4307440,3573368,,Welches Hill,,,,,,
1454106,3573371,en,Wallblake Airport,,,,,,
1892997,3573371,icao,TQPF,,,,,,
1892998,3573371,iata,AXA,,,,,,
2986035,3573371,link,https://en.wikipedia.org/wiki/Clayton_J._Lloyd_International_Airport,,,,,,
8065629,3573371,en,Anguilla Wallblake Airport,,,,1,,
8065630,3573371,en,Clayton J. Lloyd International Airport,1,,,,,
8067563,3573371,fr,Aéroport international Clayton J. Lloyd,,,,,,
11549049,3573371,fr,Aéroport de Wallblake,,,,,,
11549050,3573371,it,Aeroporto di The Valley-Wallblake,,,,,,
11549051,3573371,lt,Angilijos Wallblake oro uostas,,,,,,
15501715,3573371,wkdt,Q1657604,,,,,,
1454107,3573373,,Maunday’s Point,,,,,,
4307441,3573373,,Upper Maunday’s Point,,,,,,
1454108,3573374,,Valley,,,,,,
1649402,3573374,fr,The Valley,,,,,,
1649480,3573374,da,The Valley,,,,,,
1649555,3573374,el,Δε Βάλεϊ,,,,,,
1649764,3573374,fi,The Valley,,,,,,
1994381,3573374,es,El Valle,,,,,,
1994382,3573374,pl,The Valley,,,,,,
1994383,3573374,de,The Valley,,,,,,
1994384,3573374,en,The Valley,,,,,,
1994385,3573374,he,הוואלי,,,,,,
1994386,3573374,id,The Valley,,,,,,
1994387,3573374,io,The Valley,,,,,,
1994388,3573374,it,The Valley,,,,,,
1994389,3573374,ja,バレー,,,,,,
1994390,3573374,ko,더밸리,,,,,,
1994391,3573374,nl,The Valley,,,,,,
1994392,3573374,pt,The Valley,,,,,,
1994393,3573374,sk,The Valley,,,,,,
1994394,3573374,sv,The Valley,,,,,,
2986036,3573374,link,https://en.wikipedia.org/wiki/The_Valley%2C_Anguilla,,,,,,
3043356,3573374,ru,Валли,,,,,,
9368235,3573374,be,Горад Валі,,,,,,
9368236,3573374,bg,Вали,,,,,,
9368237,3573374,eo,La-Valo,,,,,,
9368238,3573374,fa,د ولی,,,,,,
9368239,3573374,ka,ვალი,,,,,,
9368240,3573374,lt,Valis,,,,,,
9368241,3573374,sr,Вали,,,,,,
9368242,3573374,th,เดอะแวลลีย์,,,,,,
9368243,3573374,uk,Валлі,,,,,,
9368244,3573374,ur,دی ویلی,,,,,,
9368245,3573374,zh,瓦利,,,,,,
11344675,3573374,ky,Валли,,,,,,
11344676,3573374,ta,தி வேல்லி,,,,,,
13722507,3573374,unlc,AIVAL,,,,,,
7198633,3573375,link,https://en.wikipedia.org/wiki/The_Quarter%2C_Anguilla,,,,,,
7323569,3573375,,The Quarter,,,,,,
13722505,3573377,unlc,AIFOR,,,,,,
13826836,3573377,,The Forest,,,,,,
7190098,3573378,link,https://en.wikipedia.org/wiki/The_Farrington,,,,,,
7323570,3573378,,The Farrington,,,,,,
7193880,3573380,link,https://en.wikipedia.org/wiki/Stoney_Ground,,,,,,
7323571,3573380,,Stoney Ground,,,,,,
11840360,3573385,link,"https://en.wikipedia.org/wiki/South_Hill,_Anguilla",,,,,,
1454109,3573387,,Hat Island,,,,,,
1454110,3573387,,Sombrero Island,,,,,,
2986037,3573387,link,https://en.wikipedia.org/wiki/Sombrero%2C_Anguilla,,,,,,
4307442,3573387,,Sombrero,,,,,,
13722506,3573387,unlc,AISOM,,,,,,
1454111,3573390,,Shoal Village,,,,,,
4307443,3573390,,Shoal Bay Village,,,,,,
1454112,3573394,,Lovers Point,,,,,,
4307444,3573394,,Shaddick Point,,,,,,
1454113,3573396,,Seal Islets,,,,,,
