AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
107119,145475,,Megrinskiy Khrebet,,,,,,
107120,145475,,Megri-Gyuneysniy Khrebet,,,,,,
3819030,145475,hy,MeGhru LerrnashGht’a,,,,,,
107187,145490,,Bugur,,,,,,
107188,145490,,Bugurchay,,,,,,
107189,145490,,Tullar,,,,,,
3905193,145490,,Daliget,,,,,,
107218,145495,,Somkheti,,,,,,
107219,145495,,Armeniya,,,,,,
107220,145495,,Min’ni,,,,,,
107221,145495,,Hayastan,,,,,,
107222,145495,,Ermenistan,,,,,,
3921570,145495,,Armenia,,,,,,
107231,145498,,Arak’is Hovit,,,,,,
107232,145498,,Yeraskhi Hovit,,,,,,
107233,145498,,Arak’senus Kampus,,,,,,
107234,145498,,Ararat Dasht,,,,,,
107235,145498,,Tap’erakan Dasht,,,,,,
107236,145498,,Araratskaya Ravnina,,,,,,
107237,145498,,Ayraratyan Dasht,,,,,,
107238,145498,,Ayrarat Dasht,,,,,,
107239,145498,,Merdzarak’syan Dasht,,,,,,
107240,145498,,Dashtn Ayraratyan,,,,,,
107241,145498,,Dashtn Arrayi,,,,,,
3922025,145498,,Araratyan Dasht,,,,,,
135309,174700,,Keshishveran,,,,,,
4096977,174700,,Zovashen,,,,,,
7491952,174700,link,https://en.wikipedia.org/wiki/Zovashen_%28Keshishveran%29%2C_Ararat,,,,,,
135310,174701,,Zeyta,,,,,,
135311,174701,,Zeita,,,,,,
4096984,174701,hy,Zedea,,,,,,
7511062,174701,link,https://en.wikipedia.org/wiki/Zedea,,,,,,
11018523,174701,hy,Զեդեա,,,,,,
135312,174702,,Zay-chay,,,,,,
4096985,174702,hy,Zay,,,,,,
135313,174703,,Pashalu,,,,,,
135314,174703,,Zaritap,,,,,,
135315,174703,,Pashaghu,,,,,,
135316,174703,,Azizbekov,,,,,,
4096986,174703,hy,Zarrit’ap’,,,,,,
7543518,174703,link,https://en.wikipedia.org/wiki/Zaritap,,,,,,
11806300,174703,hy,Զառիթափ,,,,,,
135317,174704,,Sovetashen,,,,,,
135318,174704,,Chanakhchi,,,,,,
135319,174704,,Nizhniye Chanakhchi,,,,,,
3037698,174704,ru,Зангакатун,,,,,,
4096989,174704,hy,Zangakatun,,,,,,
7503983,174704,link,https://en.wikipedia.org/wiki/Zangakatun,,,,,,
10933047,174704,hy,Զանգակատուն,,,,,,
135320,174705,,Yerer,,,,,,
135321,174705,,Gerger,,,,,,
