AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1427972,3491552,,Antillen,,,,,,
1427973,3491552,,Antillas,,,,,,
3597014,3491552,,Antilles,,,,,,
10772440,3491552,es,Antillas,1,,,,,
10772441,3491552,it,Antille,1,,,,,
13444096,3491552,link,https://en.wikipedia.org/wiki/Antilles,,,,,,
8103222,8505032,en,Netherlands Antilles,1,,,,,
8103223,8505032,nl,Nederlandse Antillen,1,,,,,
8103224,8505032,link,https://en.wikipedia.org/wiki/Netherlands_Antilles,,,,,,
8103225,8505032,pap,Antia Hulandes,,,,,,
8103226,8505032,en,Dutch Antilles,,,1,,,
10772442,8505032,fr,Antilles Néerlandaises,1,,,,,
10772443,8505032,es,Antillas Holandesas,1,,,,,
11086453,8505032,de,Niederländische Antillen,,,,,,
11086454,8505032,nl,Nederlandsch West-Indië,,,,1,,
11086455,8505032,uk,Нідерландські Антильські острови,,,,,,
11086456,8505032,,Antias Hulandes,,,,,,
11261989,8505032,ar,الأنتيل الهولندية,,,,,,
13823211,8505032,it,Antille Olandesi,,,,,,

