AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
107250,145503,,Rio Zage,,,,,,
3926297,145503,,Zarge,,,,,,
107251,145504,,Nema,,,,,,
3926302,145504,,Zama,,,,,,
107252,145505,,Capunga,,,,,,
3926321,145505,,Xapunga,,,,,,
107253,145508,,Xá-Ilenga,,,,,,
3926329,145508,,Xá Ilunga,,,,,,
107254,145511,,Rio Ungachi,,,,,,
3926432,145511,,Ungage,,,,,,
107255,145512,,Dumba,,,,,,
107256,145512,,Mumbundo,,,,,,
3037644,145512,ru,Тумба,,,,,,
3926540,145512,,Tumba,,,,,,
107257,145513,,Fota,,,,,,
3926559,145513,,Tota,,,,,,
107258,145515,,Rio Tambulage,,,,,,
3926619,145515,,Tembuege,,,,,,
107259,145517,,Cassao,,,,,,
3926625,145517,,Techuato,,,,,,
107260,145519,,Rio Tumbala,,,,,,
107261,145519,,Rio Tumba,,,,,,
3926707,145519,,Tamba,,,,,,
107262,145522,,Macumba,,,,,,
3926785,145522,,Sombo Sul,,,,,,
107263,145523,,Rio Sambo,,,,,,
3926786,145523,,Sombo,,,,,,
107264,145525,,Somba,,,,,,
3926787,145525,,Sombo,,,,,,
107265,145526,,Tesse,,,,,,
3926818,145526,,Sesse,,,,,,
107266,145527,,Cadimania,,,,,,
3926840,145527,,Senda,,,,,,
107267,145528,,Chala,,,,,,
3926851,145528,,Savula,,,,,,
107268,145529,,Sasoca,,,,,,
3926858,145529,,Saussoco,,,,,,
107269,145530,,Concelho de Henrique de Carvalho,,,,,,
107270,145530,,Concelho de Saurimo,,,,,,
107271,145530,,Circunscrição de Saurimo,,,,,,
3926859,145530,,Município Saurimo,,,,,,
10581685,145530,link,https://en.wikipedia.org/wiki/Saurimo,,,,,,
10932212,145530,,Saurimo,,,,,,
10932213,145530,,Município de Saurimo,,,,,,
107272,145531,,Vila Henrique de Carvalho,,,,,,
107273,145531,,Henrique de Carvalho,,,,,,
107274,145531,,Saurimu,,,,,,
1612398,145531,de,Saurimo,,,,,,
1612399,145531,en,Saurimo,,,,,,
1925148,145531,pt,Saurimo,,,,,,
2921230,145531,link,https://en.wikipedia.org/wiki/Saurimo,,,,,,
3037645,145531,ru,Сауримо,,,,,,
3926860,145531,,Saurimo,,,,,,
7482966,145531,iata,VHC,,,,,,
13722604,145531,unlc,AOVHC,,,,,,
107275,145532,,Sachombo,,,,,,
3926868,145532,,Satechombo,,,,,,
107276,145533,,Catania,,,,,,
3926869,145533,,Satechipanda,,,,,,
107277,145534,,Sachelenge,,,,,,
3926872,145534,,Satechimina,,,,,,
107278,145535,,Sachicoca,,,,,,
3926874,145535,,Satechela,,,,,,
107279,145537,,Xá-Tambué,,,,,,
107280,145537,,Chatamba,,,,,,
3926875,145537,,Satambue,,,,,,
107281,145538,,Sangumba,,,,,,
3926890,145538,,Saquemba,,,,,,
