AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1550784,4036624,,George IV Sea,,,,,,
2308041,4036624,es,"Weddell, mar de",,,,,,
2308042,4036624,es,"Weddell, Mar",,,,,,
2308043,4036624,en,Weddell Sea,,,,,,
2308044,4036624,,Weddelhavet,,,,,,
2308045,4036624,,Weddell Sea,,,,,,
11658880,4036624,link,https://en.wikipedia.org/wiki/Weddell_Sea,,,,,,
11658885,4036624,link,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B5_%D0%92%D0%B5%D0%B4%D0%B4%D0%B5%D0%BB%D0%BB%D0%B0,,,,,,
11658886,4036624,uk,Море Ведделла,,,,,,
11658887,4036624,ru,Море Уэдделла,,,,,,
11658888,4036624,link,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B5_%D0%A3%D1%8D%D0%B4%D0%B4%D0%B5%D0%BB%D0%BB%D0%B0,,,,,,
2303196,4036625,,Ross Sea,,,,,,
2303197,4036625,,Rosshavet,,,,,,
2303198,4036625,en,Ross Sea,,,,,,
11658836,4036625,link,https://en.wikipedia.org/wiki/Ross_Sea,,,,,,
11658837,4036625,link,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B5_%D0%A0%D0%BE%D1%81%D1%81%D0%B0,,,,,,
11658838,4036625,link,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B5_%D0%A0%D0%BE%D1%81%D1%81%D0%B0,,,,,,
11658839,4036625,ru,Море Росса,,,,,,
11658840,4036625,uk,Море Росса,,,,,,
2312688,4036627,,Davis Sea,,,,,,
2312689,4036627,en,Davis Sea,,,,,,
11658813,4036627,link,https://en.wikipedia.org/wiki/Davis_Sea,,,,,,
11658814,4036627,link,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B5_%D0%94%D0%B5%D0%B9%D0%B2%D0%B8%D1%81%D0%B0,,,,,,
11658815,4036627,link,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B5_%D0%94%D0%B5%D0%B9%D0%B2%D1%96%D1%81%D0%B0,,,,,,
11658816,4036627,ru,Море Дейвиса,,,,,,
11658817,4036627,uk,Море Дейвіса,,,,,,
1550793,4036628,,Belgica Sea,,,,,,
1550794,4036628,,Bellinghausen Sea,,,,,,
1930030,4036628,fr,Mer de Bellingshausen,,,,,,
1930031,4036628,pl,Morze Bellingshausena,,,,,,
1930032,4036628,de,Bellingshausen-See,,,,,,
1930033,4036628,en,Bellingshausen Sea,,,,,,
1930034,4036628,bg,Белингсхаузен,,,,,,
1930035,4036628,et,Bellingshauseni meri,,,,,,
1930036,4036628,it,Mare di Bellingshausen,,,,,,
1930037,4036628,ru,Море Беллинсгаузена,,,,,,
1930038,4036628,sk,Bellingshausenovo more,,,,,,
1999212,4036628,lv,Belinshauzena jūra,,,,,,
1999213,4036628,tr,Bellingshausen Denizi,,,,,,
2301789,4036628,,"Bellingshausen, Mer",,,,,,
2301790,4036628,es,"Bellingshausen, mar de",,,,,,
2301791,4036628,es,"De Bellingshausen, Mar",,,,,,
2301792,4036628,no,Bellingshausenhavet,,,,,,
