AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1407989,3427206,,Z. Videla Dorna,,,,,,
4390777,3427206,,Zenón Videla Dorna,,,,,,
8094840,3427208,link,https://en.wikipedia.org/wiki/Zelaya%2C_Buenos_Aires,,,,,,
8109570,3427208,,Zelaya,,,,,,
1407990,3427212,,General José F. Uriburu,,,,,,
1407991,3427212,,General Uriburu,,,,,,
4390783,3427212,,Partido de Zárate,,,,,,
8664017,3427212,,Zárate,,,,,,
10725358,3427212,link,https://en.wikipedia.org/wiki/Z%C3%A1rate_Partido,,,,,,
1407992,3427213,,General J.F. Uriburu,,,,,,
1407993,3427213,,General Uriburu,,,,,,
1407994,3427213,,General José F. Uriburu,,,,,,
1926937,3427213,es,Zárate,,,,,,
1926938,3427213,de,Zárate,,,,,,
1926939,3427213,pl,Zárate,,,,,,
1926940,3427213,fr,Zárate,,,,,,
1926941,3427213,en,Zárate,,,,,,
1926942,3427213,lt,Saratė,,,,,,
1926943,3427213,pt,Zárate,,,,,,
3043009,3427213,ru,Зарате,,,,,,
4390784,3427213,,Zárate,,,,,,
7126395,3427213,link,https://en.wikipedia.org/wiki/Z%C3%A1rate%2C_Buenos_Aires,,,,,,
11510331,3427213,ar,زاراتي، بوينس آيرس,,,,,,
11510332,3427213,fa,سراته,,,,,,
11510333,3427213,ka,სარატე,,,,,,
11510334,3427213,zh,萨拉特,,,,,,
13723172,3427213,unlc,ARZAE,,,,,,
1407995,3427214,,Río Zapirán,,,,,,
4390785,3427214,,Arroyo Zapirán,,,,,,
11718395,3427215,es,Zapiola,,,,,,
1407996,3427217,,Riacho Eh-Eh Chico,,,,,,
4390790,3427217,,Riacho Zanjón,,,,,,
1407997,3427225,,Arroyo Yrupé,,,,,,
4390796,3427225,,Arroyo Yurupé,,,,,,
1407998,3427226,,Isla Yurú Atá,,,,,,
4390797,3427226,,Isla Yuruhatá,,,,,,
15800834,3427226,wkdt,Q21825658,,,,,,
1407999,3427227,,Bañado Garupá Grande,,,,,,
4390798,3427227,,Bañado Yurucuá,,,,,,
1408000,3427232,,Arroyo Yuqueri,,,,,,
4390800,3427232,,Arroyo Yuquerí Grande,,,,,,
1408001,3427238,,Guqueri,,,,,,
4390801,3427238,,Yuquerí,,,,,,
1408002,3427239,,Estancia Stooll,,,,,,
1408003,3427239,,Yunka,,,,,,
4390804,3427239,,Estancia Yumká,,,,,,
1408004,3427243,,Iraizoz,,,,,,
4390806,3427243,,Yráizoz,,,,,,
1408005,3427244,,Arroyo Ipané,,,,,,
4390807,3427244,,Arroyo Ypané,,,,,,
1408006,3427246,,Arroyo Yoaza,,,,,,
4390810,3427246,,Arroyo Yohazá,,,,,,
13722775,3427255,unlc,ARCYA,,,,,,
13827325,3427255,,Yeruá,,,,,,
15686651,3427256,wkdt,Q21825643,,,,,,
15973002,3427256,,Isla Yerbones,,,,,,
1408007,3427261,,Kilómetro 260 El Cruce,,,,,,
1408008,3427261,,Fabiano,,,,,,
4390813,3427261,,Yerbal Nuevo,,,,,,
1408009,3427265,,Estero Yaguarita,,,,,,
4390817,3427265,,Estero Yegua Retá,,,,,,
1408010,3427270,,Arroyo Rosario de Tala,,,,,,
4390821,3427270,,Arroyo Yatay,,,,,,
1408011,3427273,,Yataytí Calle,,,,,,
4390822,3427273,,Yataity Calle,,,,,,
15723031,3427273,wkdt,Q21825635,,,,,,
1408012,3427279,,San Martin,,,,,,
2984798,3427279,link,https://en.wikipedia.org/wiki/Yapey%C3%BA%2C_Corrientes,,,,,,
4390824,3427279,,Yapeyú,,,,,,
1408013,3427282,,Laguna Llamaida,,,,,,
4390826,3427282,,Laguna Yamahuida,,,,,,
1408014,3427287,,Estancia Yahepe,,,,,,
1408015,3427287,,Puerto Yahapé,,,,,,
1408016,3427287,,Estancia Yahapé,,,,,,
4390827,3427287,,Yahapé,,,,,,
1408017,3427290,,Yaguatirica,,,,,,
4390828,3427290,,Yaguaritica,,,,,,
15757721,3427299,wkdt,Q21825625,,,,,,
15973015,3427299,,Isla Yaguareté,,,,,,
1408018,3427320,,Arroyo Yabotí-Guazú de Oyarbide,,,,,,
4390836,3427320,,Arroyo Yabotí Guazú,,,,,,
1408019,3427322,,Arroyo Yabebiri,,,,,,
4390837,3427322,,Arroyo Yabebiry,,,,,,
1408020,3427324,,Estero Guirala,,,,,,
1408021,3427324,,Wirala,,,,,,
1408022,3427324,,Laguna Wiraise,,,,,,
4390838,3427324,,Laguna Wiralaé,,,,,,
1408023,3427325,,Parada W.C. Morris,,,,,,
4390840,3427325,,Parada William C. Morris,,,,,,
7197010,3427325,link,https://en.wikipedia.org/wiki/William_C._Morris%2C_Buenos_Aires,,,,,,
1408024,3427326,,Villa Wilde,,,,,,
4390842,3427326,,Wilde,,,,,,
7145941,3427326,link,https://en.wikipedia.org/wiki/Wilde%2C_Buenos_Aires,,,,,,
13723164,3427326,unlc,ARWIL,,,,,,
15306692,3427326,wkdt,Q3315977,,,,,,
7124827,3427327,link,https://en.wikipedia.org/wiki/Wanda%2C_Argentina,,,,,,
7324700,3427327,,Wanda,,,,,,
1408025,3427330,,Punto Obligado,,,,,,
1408026,3427330,,Obligado,,,,,,
1408027,3427330,,Puerto Obligado,,,,,,
4390848,3427330,,Vuelta de Obligado,,,,,,
11718396,3427331,es,Vuelta del Tordillo,,,,,,
11718397,3427332,es,Vuelta del Este,,,,,,
15611261,3427333,wkdt,Q21825606,,,,,,
15973019,3427333,,Punta Vorohué,,,,,,
13498990,3427335,en,Viscaino Island,,,,,,
1408028,3427344,,Estancia Vitel,,,,,,
4390861,3427344,,Estancia Vitel Lauquén,,,,,,
11718398,3427352,es,Estancia Vista Alegre,,,,,,
7152504,3427354,link,https://en.wikipedia.org/wiki/Virreyes%2C_Buenos_Aires,,,,,,
1408029,3427356,,Viraró,,,,,,
4390866,3427356,,Colonia Viraró Cinco,,,,,,
1408030,3427357,,Gandolfi,,,,,,
4390867,3427357,,Colonia Viraró,,,,,,
15090520,3427360,wkdt,Q21825596,,,,,,
15973035,3427360,,Isla Villeta,,,,,,
11718399,3427362,es,Villa Zagala,,,,,,
13723173,3427362,unlc,ARZAG,,,,,,
2984799,3427366,link,https://en.wikipedia.org/wiki/Villa_Soldati,,,,,,
4390878,3427366,,Villa Soldati,,,,,,
11382222,3427366,ja,ビジャ・ソルダーティ,,,,,,
11382223,3427366,lt,Vilja Soldatis,,,,,,
7060387,3427369,link,https://en.wikipedia.org/wiki/Villa_San_Marcial,,,,,,
7120264,3427369,,Villa San Marcial,,,,,,
15832353,3427369,wkdt,Q5840621,,,,,,
13723051,3427370,unlc,ARSAJ,,,,,,
13827328,3427370,,Villa San José,,,,,,
11718400,3427371,es,Villa Sanguinetti,,,,,,
11718401,3427375,es,Villars,,,,,,
1408031,3427377,,Rosa,,,,,,
4390884,3427377,,Villa Rosa,,,,,,
1408032,3427378,,Cambá Cuá,,,,,,
4390888,3427378,,Colonia Villa Rica,,,,,,
7144946,3427379,link,https://en.wikipedia.org/wiki/Villa_Riachuelo,,,,,,
7324703,3427379,,Villa Riachuelo,,,,,,
11718402,3427381,es,Villa Reichembach,,,,,,
11718403,3427382,es,Villa Recondo,,,,,,
7125619,3427383,link,https://en.wikipedia.org/wiki/Villa_Real%2C_Buenos_Aires,,,,,,
7324704,3427383,,Villa Real,,,,,,
1408033,3427386,,Paranacito,,,,,,
2984800,3427386,link,https://en.wikipedia.org/wiki/Villa_Paranacito,,,,,,
4390894,3427386,,Villa Paranacito,,,,,,
2984801,3427387,link,https://en.wikipedia.org/wiki/Villa_Ort%C3%BAzar,,,,,,
4390895,3427387,,Villa Ortúzar,,,,,,
1408034,3427388,,Ocampo,,,,,,
4390897,3427388,,Villa Ocampo,,,,,,
15470816,3427388,wkdt,Q21825595,,,,,,
11718404,3427389,es,Villa Numancia,,,,,,
1408035,3427391,,Arroyo Villanueva,,,,,,
4390898,3427391,,Arroyo Villanueva-miní,,,,,,
4390903,3427395,,Villa Mitre,,,,,,
1408036,3427397,,V.M. de Hoz,,,,,,
2984803,3427397,link,https://en.wikipedia.org/wiki/Villa_Mart%C3%ADnez_de_Hoz,,,,,,
4390908,3427397,,Villa Martínez de Hoz,,,,,,
11718405,3427398,es,Villa Martín Arín,,,,,,
1408037,3427399,,María Grande,,,,,,
4390909,3427399,,Villa María Grande,,,,,,
7169742,3427399,link,https://en.wikipedia.org/wiki/Mar%C3%ADa_Grande,,,,,,
13722933,3427399,unlc,ARMGA,,,,,,
1408038,3427404,,Mantero,,,,,,
4390913,3427404,,Villa Mantero,,,,,,
7150592,3427404,link,https://en.wikipedia.org/wiki/Villa_Mantero,,,,,,
11718406,3427405,es,Villa Madero,,,,,,
13723142,3427405,unlc,ARVIM,,,,,,
11718407,3427406,es,Villa Luzuriaga,,,,,,
13723153,3427406,unlc,ARVLZ,,,,,,
15871189,3427406,wkdt,Q10391466,,,,,,
7193982,3427407,link,https://en.wikipedia.org/wiki/Villa_Luro,,,,,,
7324706,3427407,,Villa Luro,,,,,,
11473577,3427407,lt,Vilja Luras,,,,,,
11473578,3427407,ru,Вилья-Луро,,,,,,
2984804,3427408,link,https://en.wikipedia.org/wiki/Villa_Lugano,,,,,,
4390914,3427408,,Villa Lugano,,,,,,
11626242,3427408,ja,ビジャ・ルガーノ,,,,,,
11626243,3427408,lt,Vilja Luganas,,,,,,
11718408,3427411,es,Villa Libertad,,,,,,
11718409,3427412,es,Villa Lía,,,,,,
11718410,3427413,es,Villa León,,,,,,
11718411,3427414,es,Villa Leloir,,,,,,
