AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
12596910,5880736,,Point Distress,,,,,,
3028916,5880737,link,https://en.wikipedia.org/wiki/Utulei%2C_American_Samoa,,,,,,
3046917,5880737,ru,Утулеи,,,,,,
15345794,5880738,wkdt,Q21847752,,,,,,
12559111,5880741,,Tafeu Cove,,,,,,
7046318,5880749,link,https://en.wikipedia.org/wiki/Afao,,,,,,
6905425,5880752,link,https://en.wikipedia.org/wiki/Aasu%2C_American_Samoa,,,,,,
12559079,5880752,,A`asu,,,,,,
12668066,5880753,,Mata`utuloa Point,,,,,,
12668067,5880753,,Double Point,,,,,,
15689914,5880754,wkdt,Q21847742,,,,,,
6907192,5880755,link,https://en.wikipedia.org/wiki/Afono,,,,,,
12409727,5880755,,Afono,,,,,,
12367309,5880756,,Aga`oleatu Point,,,,,,
7062903,5880757,link,https://en.wikipedia.org/wiki/Alofau,,,,,,
12299520,5880758,,Aloafao,,,,,,
7064284,5880764,link,https://en.wikipedia.org/wiki/Alao,,,,,,
15359801,5880767,wkdt,Q21847734,,,,,,
12668052,5880770,,`Ai`ei Ridge,,,,,,
15677269,5880771,wkdt,Q21847731,,,,,,
6907378,5880773,link,https://en.wikipedia.org/wiki/Alega,,,,,,
12668051,5880773,,Alega,,,,,,
12625148,5880775,,Mount `Alava,,,,,,
12625149,5880775,,`Alava Ridge,,,,,,
12748806,5880775,,Alava Peak,,,,,,
12748807,5880775,,Mount Alava,,,,,,
15724985,5880775,wkdt,Q21847729,,,,,,
12377985,5880776,,Alega Valley,,,,,,
15714069,5880776,wkdt,Q21847728,,,,,,
7039333,5880781,link,https://en.wikipedia.org/wiki/Agugulu,,,,,,
12668053,5880784,,Aoloaufou,,,,,,
15218873,5880785,wkdt,Q21847722,,,,,,
12596894,5880786,,Afono Bay,,,,,,
11293489,5880791,link,https://en.wikipedia.org/wiki/%27Amanave,,,,,,
12596895,5880791,,Amanave,,,,,,
12748808,5880791,,'Āmanave,,,,,,
15730040,5880792,wkdt,Q21847717,,,,,,
7035265,5880793,link,https://en.wikipedia.org/wiki/Amaluia,,,,,,
