AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15586749,2598274,wkdt,Q21858322,,,,,,
15911961,2598274,,Breitenberg,,,,,,
15180107,2598279,wkdt,Q21858319,,,,,,
15911962,2598279,,Vordere Saigerin,,,,,,
15549235,2598305,wkdt,Q21858304,,,,,,
15911963,2598305,,Brandstein,,,,,,
15180443,2598311,wkdt,Q21858300,,,,,,
15911964,2598311,,Quen,,,,,,
15404761,2598313,wkdt,Q21858298,,,,,,
15911965,2598313,,Hintere Saigerin,,,,,,
15145439,2598351,wkdt,Q21858282,,,,,,
15911966,2598351,,Salcherberg,,,,,,
15148761,2598371,wkdt,Q21858271,,,,,,
15911967,2598371,,Tannberg,,,,,,
15122873,2598374,wkdt,Q21858270,,,,,,
15911968,2598374,,Imitzberg,,,,,,
15732229,2598502,wkdt,Q21858214,,,,,,
15120744,2598542,wkdt,Q21858196,,,,,,
15180444,2598551,wkdt,Q21858190,,,,,,
15823604,2598566,wkdt,Q21858187,,,,,,
14888945,2598586,wkdt,Q21858177,,,,,,
15911969,2598586,,Jagdschloß Hall,,,,,,
15848112,2598713,wkdt,Q21858133,,,,,,
15911970,2598713,,Ennstal,,,,,,
15423195,2598732,wkdt,Q21858121,,,,,,
15911971,2598732,,Goferschütt,,,,,,
15124295,2598734,wkdt,Q21858119,,,,,,
15911972,2598734,,Kalbling,,,,,,
15723664,2598821,wkdt,Q21858080,,,,,,
15911973,2598821,,Kleeriedel,,,,,,
15366672,2598845,wkdt,Q21858074,,,,,,
15911974,2598845,,Paltental,,,,,,
7352907,2598990,,Neu Haslau,,,,,,
1212666,2598997,,Geißberg,,,,,,
3557381,2598997,,Geißbergen,,,,,,
1565557,2599014,de,Neuberg,,,,,,
1565558,2599014,hr,Nova Gora,,,,,,
3557382,2599014,,Neuberg,,,,,,
15050539,2599020,wkdt,Q21859959,,,,,,
15912185,2599020,,Mitterberg,,,,,,
15766818,2599045,wkdt,Q21859949,,,,,,
15912186,2599045,,Schloß Prugg,,,,,,
1212667,2599064,,Heidewiesen,,,,,,
3557383,2599064,,Heidwiesen,,,,,,
7297616,2599104,,Weiden an der March,,,,,,
8070117,2599136,link,https://en.wikipedia.org/wiki/Gie%C3%9Fgraben,,,,,,
8103600,2599136,,Gießgraben,,,,,,
14871247,2599177,wkdt,Q21859914,,,,,,
15912187,2599177,,Totenlacke,,,,,,
2920594,2599205,link,https://en.wikipedia.org/wiki/Traisen_%28river%29,,,,,,
3557384,2599205,,Traisen,,,,,,
1565519,2599232,de,Baumgarten,,,,,,
1565520,2599232,hr,Pajngert,,,,,,
3041186,2599232,ru,Баумгартен,,,,,,
14871273,2599233,wkdt,Q21859908,,,,,,
15912188,2599233,,Kommassierungs-Denkmal,,,,,,
2947513,2600996,link,https://en.wikipedia.org/wiki/Sievering,,,,,,
3561571,2600996,,Sievering,,,,,,
5896449,2601047,link,https://en.wikipedia.org/wiki/Schloss_Wilhelminenberg,,,,,,
11293741,2601048,link,https://en.wikipedia.org/wiki/Gallitzinberg,,,,,,
11387524,2601048,,Galitzinberg,,,,,,
15199527,2601057,wkdt,Q21859858,,,,,,
15912585,2601057,,Alexander-Grab,,,,,,
14877406,2601058,wkdt,Q21859857,,,,,,
15912586,2601058,,Laudon-Grab,,,,,,
15772885,2601059,wkdt,Q21859856,,,,,,
15912587,2601059,,Gideon-Grab,,,,,,
15515887,2601060,wkdt,Q21859855,,,,,,
15912588,2601060,,Schloß Laudon,,,,,,
11289093,2601084,link,https://en.wikipedia.org/wiki/Schmelz_%28Vienna%29,,,,,,
11387525,2601084,,Schmelz,,,,,,
2728168,2601085,de,Gerhard-Hanappi-Stadion,,,,,,
3561572,2601085,,Weststadion,,,,,,
5711639,2601085,link,https://en.wikipedia.org/wiki/Gerhard_Hanappi_Stadium,,,,,,
2947514,2601117,link,https://en.wikipedia.org/wiki/Gloriette,,,,,,
5904187,2601121,link,https://en.wikipedia.org/wiki/Hackenberg_%28Vienna%29,,,,,,
2947515,2601130,link,https://en.wikipedia.org/wiki/Lainzer_Tiergarten,,,,,,
3051521,2601130,link,https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B9%D0%BD%D1%86%D0%B5%D1%80_%D0%A2%D0%B8%D1%80%D0%B3%D0%B0%D1%80%D1%82%D0%B5%D0%BD,,,,,,
3561573,2601130,,Lainzer Tiergarten,,,,,,
5894776,2601130,ru,Лайнцер Тиргартен,,,,,,
6895225,2601146,link,https://en.wikipedia.org/wiki/Wienerwaldsee,,,,,,
13523314,2601152,link,https://de.wikipedia.org/wiki/S%C3%BCdwestfriedhof_(Wien),,,,,,
15812765,2601152,wkdt,Q1444316,,,,,,
13523303,2601153,link,https://de.wikipedia.org/wiki/Rosenh%C3%BCgel_(Wien),,,,,,
15900898,2601155,wkdt,Q1606453,,,,,,
2947516,2601159,link,https://en.wikipedia.org/wiki/Hermesvilla,,,,,,
5895574,2601159,fr,Villa Hermès,,,,,,
5895575,2601159,pt,Villa Hermés,,,,,,
13523299,2601190,,Maurer Wald,1,,,,,
13523307,2601190,link,https://de.wikipedia.org/wiki/Maurer_Wald,,,,,,
13523795,2601190,,Mauerer Wald,,,,,,
3059796,2601191,de,Wirtshaus Zur Schießstätte,,,,,,
13523301,2601193,link,https://de.wikipedia.org/wiki/Fa%C3%9Flberg,,,,,,
5903505,2601210,link,https://en.wikipedia.org/wiki/Kleiner_Semmering_Pass,,,,,,
13523309,2601222,link,https://de.wikipedia.org/wiki/Eichkogel_(Wien),,,,,,
3059794,2601234,de,Landgraf,,,,,,
3059789,2601287,de,Wirtshaus Zur Wöglerin,,,,,,
15168248,2601297,wkdt,Q21859744,,,,,,
15912589,2601297,,Barmhartstal,,,,,,
15174143,2601305,wkdt,Q21859740,,,,,,
15912590,2601305,,Finsterer Gang,,,,,,
15828648,2601308,wkdt,Q21859738,,,,,,
15815829,2601311,wkdt,Q21859736,,,,,,
5899966,2601339,link,https://en.wikipedia.org/wiki/Burgruine_M%C3%B6dling,,,,,,
13723535,2601348,unlc,ATHBL,,,,,,
7297625,2601352,,Wienerwald,,,,,,
3059795,2601363,de,Schloss Wildegg,,,,,,
15897167,2601363,wkdt,Q1014587,,,,,,
3059702,2601382,de,Industriezone Süd,,,,,,
3059703,2601382,de,Industriezentrum NÖ Süd,,1,,,,
15672254,2601422,wkdt,Q21859683,,,,,,
15912591,2601422,,Beital,,,,,,
15592415,2601425,wkdt,Q1257431,,,,,,
3059706,2601426,de,Siebenbrunnental,,,,,,
15743192,2601426,wkdt,Q21859681,,,,,,
15897911,2601429,wkdt,Q21859680,,,,,,
15339492,2601435,wkdt,Q21859676,,,,,,
13723815,2601455,unlc,ATMLD,,,,,,
13823692,2601455,,Blumensiedlung,,,,,,
15774776,2601459,wkdt,Q21859665,,,,,,
15335057,2601467,wkdt,Q21859660,,,,,,
15702880,2601468,wkdt,Q1310421,,,,,,
15747751,2601469,wkdt,Q21859658,,,,,,
12132855,2601498,de,Steinhof bei Alland,1,,,,,
15471700,2601518,wkdt,Q21859634,,,,,,
15526142,2601540,wkdt,Q21859622,,,,,,
15900663,2601548,wkdt,Q21859617,,,,,,
15299587,2601683,wkdt,Q21859553,,,,,,
15912759,2601683,,Schober,,,,,,
15744406,2601707,wkdt,Q21859536,,,,,,
15912760,2601707,,Wirtsspitz,,,,,,
15379726,2601748,wkdt,Q21859517,,,,,,
15912761,2601748,,Seyfriedberg,,,,,,
5904058,2601828,link,https://en.wikipedia.org/wiki/Triebener_Tauern_Pass,,,,,,
5909839,2601828,,Triebener Tauern,,,,,,
15883730,2601829,wkdt,Q21859476,,,,,,
15912762,2601829,,Frattental,,,,,,
15552446,2601844,wkdt,Q21859468,,,,,,
15912763,2601844,,Steinermandl,,,,,,
15444572,2601863,wkdt,Q21859459,,,,,,
15912764,2601863,,Schleifkogel,,,,,,
1212682,2601999,,Kleinrampfenhütte,,,,,,
3563705,2601999,,Klarampfhütte,,,,,,
15448339,2602022,wkdt,Q21859423,,,,,,
15912765,2602022,,Tiefental,,,,,,
15886811,2602051,wkdt,Q21859418,,,,,,
15912766,2602051,,Schneegrube,,,,,,
14888932,2602097,wkdt,Q21859407,,,,,,
15912767,2602097,,Plättental,,,,,,
15179148,2602100,wkdt,Q21859406,,,,,,
15912768,2602100,,Schöntal,,,,,,
15168232,2602146,wkdt,Q21859393,,,,,,
15912769,2602146,,Bärental,,,,,,
15178705,2602152,wkdt,Q21859390,,,,,,
15912770,2602152,,Predigtstuhl,,,,,,
15899704,2602165,wkdt,Q21859387,,,,,,
15912771,2602165,,Schloss Hanfelden,,,,,,
15326331,2602198,wkdt,Q21859380,,,,,,
15912772,2602198,,Zinkenschlucht,,,,,,
15180440,2602203,wkdt,Q21859376,,,,,,
15912773,2602203,,Kleines Lachtal,,,,,,
15909566,2602236,wkdt,Q21859370,,,,,,
15912774,2602236,,Großes Lachtal,,,,,,
15560417,2603313,wkdt,Q21859359,,,,,,
15912919,2603313,,Saurüssel,,,,,,
15529469,2603335,wkdt,Q21859347,,,,,,
15912920,2603335,,Hohes Kampeck,,,,,,
15758927,2603371,wkdt,Q21859333,,,,,,
15912921,2603371,,Rettenzink,,,,,,
15385807,2603382,wkdt,Q21859325,,,,,,
15912922,2603382,,Geißstein,,,,,,
15636441,2603389,wkdt,Q21859319,,,,,,
15912923,2603389,,Tristinger,,,,,,
15310549,2603395,wkdt,Q21859318,,,,,,
15912924,2603395,,Königsstuhl,,,,,,
14890160,2603405,wkdt,Q21859314,,,,,,
15912925,2603405,,Bärenschlucht,,,,,,
15782425,2603414,wkdt,Q21859308,,,,,,
15912926,2603414,,Peilstein,,,,,,
15180435,2603439,wkdt,Q21859285,,,,,,
15912927,2603439,,Bärrinne,,,,,,
14890194,2603442,wkdt,Q21859284,,,,,,
15912928,2603442,,Hohe Kammer,,,,,,
15126264,2603478,wkdt,Q21859265,,,,,,
15912929,2603478,,Kleiner Tenn,,,,,,
15753527,2603554,wkdt,Q21859210,,,,,,
15912930,2603554,,Hüttental,,,,,,
11315904,2603587,link,https://en.wikipedia.org/wiki/Hinterer_Bratschenkopf,,,,,,
14890200,2603614,wkdt,Q21859171,,,,,,
15912931,2603614,,Kitzkarklamm,,,,,,
1212684,2603653,,Riffelkarl,,,,,,
3566753,2603653,,Rifflkarl,,,,,,
15779694,2603665,wkdt,Q21859132,,,,,,
15912932,2603665,,Törlkopf,,,,,,
15180438,2603683,wkdt,Q21859120,,,,,,
15912933,2603683,,Hoher Gang,,,,,,
14890163,2603707,wkdt,Q21859100,,,,,,
15912934,2603707,,Elendboden,,,,,,
15831710,2603720,wkdt,Q21859088,,,,,,
15912935,2603720,,Der Rinner,,,,,,
7123081,2603776,link,https://en.wikipedia.org/wiki/Teufelshorn_%28Glockner_Group%29,,,,,,
7297998,2603776,,Teufelshorn,,,,,,
7034368,2603823,link,https://en.wikipedia.org/wiki/Kleinglockner,,,,,,
7092311,2603823,,Kleinglockner,,,,,,
15908326,2603930,wkdt,Q21858955,,,,,,
15912936,2603930,,Kastenegg,,,,,,
14923003,2603939,wkdt,Q21858950,,,,,,
15912937,2603939,,Figerhorn,,,,,,
15180434,2603967,wkdt,Q21862806,,,,,,
15912938,2603967,,Am Kaserle,,,,,,
15174991,2603969,wkdt,Q21862805,,,,,,
15912939,2603969,,Gößnitz,,,,,,
15180437,2603971,wkdt,Q21862804,,,,,,
15298557,2604119,wkdt,Q21862778,,,,,,
15913010,2604119,,Veichltal,,,,,,
15584758,2604122,wkdt,Q21862777,,,,,,
15913011,2604122,,Radingberg,,,,,,
15828388,2604154,wkdt,Q21862765,,,,,,
15228438,2604231,wkdt,Q21862742,,,,,,
15913012,2604231,,Prielerplan,,,,,,
15904858,2604266,wkdt,Q21862734,,,,,,
15834502,2604267,wkdt,Q21862733,,,,,,
15662683,2604298,wkdt,Q21862726,,,,,,
7032715,2604316,link,https://en.wikipedia.org/wiki/Schiederweiher,,,,,,
14939765,2604332,wkdt,Q21862715,,,,,,
15180447,2604347,wkdt,Q21862709,,,,,,
15913013,2604347,,Unteres Rottal,,,,,,
15542019,2604355,wkdt,Q21862704,,,,,,
15180442,2604383,wkdt,Q21862687,,,,,,
15913014,2604383,,Oberes Rottal,,,,,,
14888925,2604420,wkdt,Q21862672,,,,,,
15706464,2604423,wkdt,Q21862670,,,,,,
15145748,2604424,wkdt,Q21862669,,,,,,
15285522,2604425,wkdt,Q21862668,,,,,,
15644715,2604430,wkdt,Q21862665,,,,,,
15648064,2604504,wkdt,Q21862625,,,,,,
15913015,2604504,,Frauenloch,,,,,,
15789557,2604514,wkdt,Q21862618,,,,,,
15913016,2604514,,Schafberg,,,,,,
15000616,2604518,wkdt,Q21862617,,,,,,
15913017,2604518,,Langpoltner Klamm,,,,,,
15407489,2604530,wkdt,Q21862610,,,,,,
15913018,2604530,,Schwarzenbergtal,,,,,,
15180446,2604578,wkdt,Q21862591,,,,,,
15913019,2604578,,Stoiringhals,,,,,,
15637968,2604609,wkdt,Q21862586,,,,,,
15913020,2604609,,Wörschachklamm,,,,,,
15856148,2604637,wkdt,Q21862578,,,,,,
15913021,2604637,,Ennstal,,,,,,
14888899,2604647,wkdt,Q21862575,,,,,,
15913022,2604647,,Schloß Friedstein,,,,,,
15835380,2604654,wkdt,Q21862571,,,,,,
11307237,2604687,link,https://en.wikipedia.org/wiki/Stein_%28Lassing%29,,,,,,
11387693,2604687,,Stein,,,,,,
15299111,2604687,wkdt,Q7606745,,,,,,
15777045,2604698,wkdt,Q21862562,,,,,,
15913023,2604698,,Schloß Sonnhof,,,,,,
15639078,2604704,wkdt,Q21862560,,,,,,
15913024,2604704,,Klamm,,,,,,
15753652,2604709,wkdt,Q21862558,,,,,,
15913025,2604709,,Kirchdorfberg,,,,,,
7121832,2604734,link,https://en.wikipedia.org/wiki/Kulm_%28venue%29,,,,,,
7298000,2604734,,Kulm,,,,,,
15408084,2604787,wkdt,Q21862519,,,,,,
15913169,2604787,,Glatzeck,,,,,,
15388992,2604802,wkdt,Q21862510,,,,,,
15913170,2604802,,Ihlingloch,,,,,,
15633337,2604805,wkdt,Q21862508,,,,,,
15101350,2604806,wkdt,Q21862507,,,,,,
15913171,2604806,,Brennetgupf,,,,,,
15218208,2604822,wkdt,Q21862496,,,,,,
15913172,2604822,,Ahnenschacht,,,,,,
14855879,2604825,wkdt,Q21862494,,,,,,
15309830,2604826,wkdt,Q21862493,,,,,,
15913173,2604826,,Eishöhle,,,,,,
15695411,2604868,wkdt,Q21862467,,,,,,
15913174,2604868,,Raucherkarhöhle,,,,,,
15602448,2604869,wkdt,Q21862466,,,,,,
15913175,2604869,,Vorderer Raucher,,,,,,
15765398,2604870,wkdt,Q21862465,,,,,,
15913176,2604870,,Hinterer Raucher,,,,,,
15705753,2604900,wkdt,Q21862453,,,,,,
15913177,2604900,,Schafberg,,,,,,
15632957,2604921,wkdt,Q21862442,,,,,,
15913178,2604921,,Kufberg,,,,,,
15771922,2604925,wkdt,Q21862440,,,,,,
15913179,2604925,,Erbstollen,,,,,,
15134183,2604928,wkdt,Q21862438,,,,,,
15913180,2604928,,Lauffner Berg,,,,,,
14888936,2604935,wkdt,Q21862434,,,,,,
15913181,2604935,,Eishöhle,,,,,,
15828097,2604951,wkdt,Q21862427,,,,,,
15913182,2604951,,Pötschenstein,,,,,,
15895069,2604957,wkdt,Q21862424,,,,,,
15913183,2604957,,Tauern,,,,,,
15674340,2604960,wkdt,Q21862423,,,,,,
15913184,2604960,,Hoher Rosenkogel,,,,,,
15296034,2604963,wkdt,Q21862421,,,,,,
15913185,2604963,,Mitterberg,,,,,,
15836814,2604971,wkdt,Q21862415,,,,,,
15275736,2605001,wkdt,Q21862402,,,,,,
15913186,2605001,,Feuerkogel,,,,,,
15122351,2605003,wkdt,Q21862401,,,,,,
15913187,2605003,,Hoher Raschberg,,,,,,
15721226,2605029,wkdt,Q21862396,,,,,,
5901554,2605042,link,https://en.wikipedia.org/wiki/Ruine_Pflindsberg,,,,,,
15809339,2605043,wkdt,Q21862392,,,,,,
13724220,2605074,unlc,ATSTH,,,,,,
14909371,2605148,wkdt,Q21862356,,,,,,
15913188,2605148,,Teichschloß,,,,,,
15274676,2605202,wkdt,Q21862321,,,,,,
15913189,2605202,,Gosaueck,,,,,,
14936585,2605222,wkdt,Q21862310,,,,,,
15913190,2605222,,Eishöhle,,,,,,
15722765,2605227,wkdt,Q21862308,,,,,,
15913191,2605227,,Rauer Koppen,,,,,,
