AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1455575,3577058,,Sabana Westpunt,,,,,,
4316205,3577058,,Westpunt,,,,,,
1455576,3577066,,Urataka,,,,,,
1455577,3577066,,Urataca,,,,,,
4316206,3577066,,Ceru Urataca,,,,,,
1455578,3577068,,Seroe Tres Kabees,,,,,,
4316207,3577068,,Sero Tres Cabés,,,,,,
2488026,3577072,,Tanki Leendert,,,,,,
4316208,3577072,,Tanki Lender,,,,,,
13636220,3577072,link,https://en.wikipedia.org/wiki/Tanki_Lender,,,,,,
11293113,3577073,link,https://en.wikipedia.org/wiki/Tanki_Flip,,,,,,
11392529,3577073,,Tanki Flip,,,,,,
15513508,3577073,wkdt,Q7683551,,,,,,
13636221,3577075,link,https://en.wikipedia.org/wiki/Tamarijn,,,,,,
13638692,3577075,,Tamarijn,,,,,,
1455579,3577081,,Spaansch Lagoen,,,,,,
1455580,3577081,,Spanish Lagoon,,,,,,
4316209,3577081,,Spaans Lagoen,,,,,,
2488025,3577083,,Solitu,,,,,,
4316211,3577083,,Solito,,,,,,
2488024,3577089,,San Nicolas,,,,,,
4316212,3577089,,Sint Nicolaas,,,,,,
7153112,3577089,link,https://en.wikipedia.org/wiki/San_Nicolaas,,,,,,
13726804,3577089,unlc,AWSNL,,,,,,
1455584,3577090,,Santa Anna,,,,,,
4316213,3577090,,Sint Anna,,,,,,
13636222,3577092,link,https://en.wikipedia.org/wiki/Shiribana,,,,,,
13638693,3577092,,Shiribana,,,,,,
2488023,3577093,,Shette,,,,,,
4316214,3577093,,Shete,,,,,,
2488022,3577094,,Shaburi,,,,,,
4316215,3577094,,Shabiruri,,,,,,
13636223,3577094,link,https://en.wikipedia.org/wiki/Shabiruri,,,,,,
1455585,3577096,,Sero Colorado,,,,,,
2488013,3577096,,Seroe Colorado,,,,,,
4316216,3577096,,Ceru Colorado,,,,,,
7082902,3577096,link,https://en.wikipedia.org/wiki/Ceru_Colorado,,,,,,
2488021,3577097,,Seroe Blanco,,,,,,
4316217,3577097,,Sero Blanco,,,,,,
8069023,3577097,link,https://en.wikipedia.org/wiki/Sero_Blanco,,,,,,
7047193,3577102,link,https://en.wikipedia.org/wiki/Santa_Cruz%2C_Aruba,,,,,,
7119019,3577102,,Santa Cruz,,,,,,
13726803,3577102,unlc,AWSCZ,,,,,,
2488020,3577106,,Sabana Abao,,,,,,
4316218,3577106,,Sabanía Abao,,,,,,
1455586,3577107,,Savaneta,,,,,,
1455587,3577107,,Savonet,,,,,,
1455588,3577107,,Savoneta,,,,,,
4316219,3577107,,Sabaneta,,,,,,
7184189,3577107,link,https://en.wikipedia.org/wiki/Savaneta,,,,,,
15243014,3577107,wkdt,Q2665720,,,,,,
1455589,3577111,,Sabana Blancoe,,,,,,
1455590,3577111,,Sabana,,,,,,
4316220,3577111,,Sabana Blanco,,,,,,
13636243,3577114,link,https://en.wikipedia.org/wiki/Rooi_Prikichi,,,,,,
13638694,3577114,,Rooi Prikichi,,,,,,
13636242,3577120,link,https://en.wikipedia.org/wiki/Rooi_Afo,,,,,,
13638695,3577120,,Rooi Afó,,,,,,
13935098,3577121,,Roncadó,,,,,,
13935099,3577121,,Roncado,,,,,,
1455591,3577126,en,Queen Beatrix International Airport,1,,,,,
1455592,3577126,,Prinses Beatrix Luchthaven,,,,,,
1892987,3577126,icao,TNCA,,,,,,
1892988,3577126,iata,AUA,,,,,,
5888463,3577126,link,https://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport,,,,,,
8488628,3577126,en,Aruba Airport,,,,,,
8488629,3577126,nl,Internationale luchthaven Koningin Beatrix,,,,,,
8488630,3577126,pap,Aeropuerto Internacional Reina Beatrix,,,,,,
8488631,3577126,zh,貝婭特麗克絲女王國際機場,,,,,,
8488632,3577126,ru,Международный аэропорт имени королевы Беатрикс,,,,,,
8488633,3577126,ja,クィーン・ベアトリクス国際空港,,,,,,
8488634,3577126,fa,فرودگاه بین‌المللی کویین بیاتریکس,,,,,,
8488635,3577126,fr,Aéroport international Reine-Beatrix,,,,,,
11377077,3577126,de,Flughafen Queen Beatrix International,,,,,,
11377078,3577126,es,Aeropuerto Internacional Reina Beatriz,,,,,,
11377079,3577126,it,Aeroporto Internazionale Regina Beatrice,,,,,,
11377080,3577126,ca,Aeroport Internacional Reina Beatrix,,,,,,
