AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
2329201,38225,fa,رودخانه بلغار چای,,,,,,
2329203,38225,fa,Bolghār Chāy,,,,,,
2329204,38225,fa,بُلغار چای,,,,,,
3587846,38225,fa,Rūdkhāneh-ye Bolghār Chāy,,,,,,
7977688,38225,az,Bolqarçay,,,,,,
7977689,38225,,Bolqār Chāy,,,,,,
7977690,38225,,Bolpar Chai,,,,,,
7977691,38225,,Bolgaru Chai,,,,,,
7977692,38225,,Bālhā Rūd,,,,,,
7977693,38225,,Bolgarchay,,,,,,
7977694,38225,,Bolgar Chāi,,,,,,
7977695,38225,,Rūdkhāneh-ye Bālkhā Rūd,,,,,,
7977696,38225,,Adinabāzār Chāi,,,,,,
7977697,38225,fa,بالها رود,,,,,,
66925,119257,,Qızyurdu Daği,,,,,,
66927,119257,,Gora Kyz’’yurdu,,,,,,
66928,119257,,Qez Verdī,,,,,,
1807450,119257,fa,كوهِ قيز يوردی,,,,,,
1807452,119257,fa,قِز وِردی,,,,,,
3695808,119257,fa,Kūh-e Qīz Yūrdī,,,,,,
3695809,119257,,Gora Kyzyurdy,,,,,,
5943345,119257,fa,Qızyurdu Daği,,,,,,
15298310,119257,wkdt,Q21976435,,,,,,
78725,126704,,Komūr Qū’,,,,,,
78726,126704,,Gora Këmyurkëy,,,,,,
78727,126704,,Gora Kyumyurkey,,,,,,
78728,126704,,Kummer Kid,,,,,,
3702076,126704,fa,Kömürköy Dağı,,,,,,
5946025,126704,fa,Komūr Qū”,,,,,,
7949850,126704,,Gora Kyamyar-Kup,,,,,,
1817477,129108,,Gora Kalaputy,,,,,,
1817478,129108,fa,كوهِ كَلوپوتی,,,,,,
3704072,129108,fa,Kūh-e Kalūpūtī,,,,,,
13500806,129108,az,Qalaputa Dağı,,,,,,
103350,142675,,Rūd-e Āstārā,,,,,,
103351,142675,,Astara Chai,,,,,,
103352,142675,,Astara River,,,,,,
103353,142675,,Reka Astarinka,,,,,,
103354,142675,,Astarachay,,,,,,
103355,142675,,Reka Astara-chay,,,,,,
103356,142675,,Āstāra Chā,,,,,,
103357,142675,,Astara Çayı,,,,,,
1830776,142675,fa,رودِ آستارا,,,,,,
1830777,142675,fa,اَستَرَچَی,,,,,,
1830778,142675,fa,آستارَ چا,,,,,,
2512602,142675,fa,Astaraçay,,,,,,
3715293,142675,fa,Āstārā Chāy,,,,,,
3715295,142675,,رودخانه آستارا,,,,,,
5952339,142675,fa,Rūd-e Āstārā,,,,,,
5952340,142675,fa,رودخانه آستارا,,,,,,
8043183,142675,fa,آستارا چای,,,,,,
8043184,142675,,Rūdkhāneh-ye Āstārā,,,,,,
104012,143105,,Rūd-e Aras,,,,,,
104013,143105,,Arak’s,,,,,,
104014,143105,,Aras Nehri,,,,,,
104015,143105,az,Araz,1,1,1,1,,
104016,143105,,Phasis,,,,,,
104017,143105,,Ras,,,,,,
104018,143105,,Yerash,,,,,,
104019,143105,,Rūdkhāneh-ye Aras,,,,,,
104020,143105,,Yeraskh,,,,,,
104021,143105,,Rashki,,,,,,
104022,143105,,Rūd Aras,,,,,,
104023,143105,,Arax,,,,,,
104024,143105,,Aras Rūd,,,,,,
104025,143105,,Araxes,,,,,,
104026,143105,,Araxes River,,,,,,
104027,143105,,Araks,,,,,,
104028,143105,,Aras,,,,,,
1831294,143105,fa,رود ارس,,,,,,
1831295,143105,fa,اَرَكءس,,,,,,
1831296,143105,fa,اَرَز,,,,,,
1831297,143105,fa,يِرَش,,,,,,
1831298,143105,fa,اَرَس رود,,,,,,
1831299,143105,fa,رَس,,,,,,
1831300,143105,fa,رود اَرَس,,,,,,
1831301,143105,fa,يِرَسخ,,,,,,
1831302,143105,fa,اَرَكس,,,,,,
1831303,143105,fa,اَرَس,,,,,,
1831304,143105,fa,رودخانِۀ اَرَس,,,,,,
3715644,143105,en,Aras River,,,,,,
5952503,143105,fa,Rūd-e Aras,,,,,,
5952504,143105,fa,Arak’s,,,,,,
8671801,143105,link,https://en.wikipedia.org/wiki/Aras_%28river%29,,,,,,
12097531,143105,hy,Արաքս,,,,,,
12097532,143105,fa,رودِ اَرَس,,,,,,
107065,145465,,Bendovan,,,,,,
3717724,145465,,Byandovan,,,,,,
7077012,145465,link,https://en.wikipedia.org/wiki/Byandovan,,,,,,
8104049,145465,az,Bəndovan,,,,,,
107067,145467,hy,Dzangedzuri Lerrnashght’a,,,,,,
107068,145467,,Syunyats’ Lerrner,,,,,,
107069,145467,,Kongur-Alagyogyan Lerrnashght’ta,,,,,,
107070,145467,,Zangezurskiy Khrebet,,,,,,
107071,145467,,Kongur-Alagyagi Lerrnashght’a,,,,,,
107072,145467,,Syunibi Lerrner,,,,,,
107073,145467,,Konguro-Alagyagi Lernashght’a,,,,,,
3719830,145467,az,Zəngəzur Silsiləsi,,,,,,
107074,145468,hy,Vorotan,,,,,,
107075,145468,,Bargyushad,,,,,,
107076,145468,,Bazar Çayı,,,,,,
107077,145468,,Bazarchay,,,,,,
107078,145468,,Bazarçay,,,,,,
107079,145468,,Berguzhet,,,,,,
107080,145468,,Basar Chai,,,,,,
107081,145468,,Bergushet,,,,,,
107082,145468,,Bazar,,,,,,
107083,145468,,Bargushat,,,,,,
107084,145468,,Berkushet,,,,,,
107085,145468,,Barkushat,,,,,,
107086,145468,,Bargushet-Chay,,,,,,
3724060,145468,az,Bərgüşad,,,,,,
107088,145470,,Kūhhā-ye Ţavālesh,,,,,,
107089,145470,,Talış Dağları,,,,,,
107090,145470,,Lənkəran Dağları,,,,,,
107091,145470,,Talysh,,,,,,
107092,145470,,Talyshskiy Khrebet,,,,,,
107093,145470,,Talış Silsiläsi,,,,,,
107094,145470,,Talyshinskiye Gory,,,,,,
107095,145470,,Tālish Range,,,,,,
107096,145470,,Talyshskiye Gory,,,,,,
107097,145470,,Gory Talysh,,,,,,
107098,145470,,Talesh,,,,,,
107099,145470,,Kūhhā-ye Ţālesh,,,,,,
107100,145470,,Talysh Mountains,,,,,,
107101,145470,,Tālish,,,,,,
3733854,145470,en,Talish Mountains,,,,,,
7140274,145470,link,https://en.wikipedia.org/wiki/Talysh_Mountains,,,,,,
107103,145472,hy,Sevlich,,,,,,
107104,145472,,Ozero Sevlich,,,,,,
107105,145472,,Ozero Kara-Gel’,,,,,,
107106,145472,,Ozero Sev,,,,,,
107107,145472,,Kara-Gel-See,,,,,,
3755072,145472,az,Qaragöl,,,,,,
8461419,145472,hy,Սեվլիճ,,,,,,
11995884,145472,hy,Sev Lich,,,,,,
11995885,145472,hy,Սև Լիճ,,,,,,
107113,145474,az,Oxçuçay,,,,,,
107114,145474,,Ochtschi-Chai,,,,,,
107115,145474,,Okhcha,,,,,,
107116,145474,,Vokhchi,,,,,,
107117,145474,,Okhchi,,,,,,
107118,145474,,Okhchuchay,,,,,,
3794276,145474,hy,Voghji,,,,,,
107130,145479,,Aghch’ay,,,,,,
107131,145479,,Kashchuni,,,,,,
107132,145479,,Aga-chay,,,,,,
107133,145479,,Agchay,,,,,,
3866463,145479,,K’ashuni,,,,,,
7978278,145479,,Chayvami,,,,,,
12097578,145479,hy,Քաշունի,,,,,,
13670699,145479,az,Ağçay,,,,,,
107136,145481,hy,Gharabaghi Bardzravandak,,,,,,
107137,145481,,Ayunik'i Bardzravandak,,,,,,
107138,145481,,Karabakhskoye Nagor'ye,,,,,,
2426954,145481,ru,Карабахское Нагорье,,,,,,
107139,145482,hy,Kaputjugh Lerr,,,,,,
107140,145482,,Gora Kapudzhikh,,,,,,
107141,145482,,Kapudshich,,,,,,
107142,145482,,Gora Kapydzhyg,,,,,,
107143,145482,,Gora Kapydzhik,,,,,,
107144,145482,,Kapydzhik,,,,,,
107145,145482,,Gora Kaputdzhukh,,,,,,
3868587,145482,az,Qapıcıq Dağı,,,,,,
5759079,145482,link,https://en.wikipedia.org/wiki/Mount_Kapudzhukh,,,,,,
