AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1360941,3186243,,Kovačevići,,,,,,
1360942,3186243,,Ðakovići,,,,,,
4671045,3186243,,Ðakovići na Batovci,,,,,,
1360944,3186246,,Zvonik,,,,,,
1946434,3186246,fr,Zvornik,,,,,,
1946435,3186246,en,Zvornik,,,,,,
1946436,3186246,bs,Zvornik,,,,,,
1946437,3186246,cs,Zvornik,,,,,,
1946438,3186246,da,Zvornik,,,,,,
1946439,3186246,hr,Zvornik,,,,,,
1946440,3186246,hbs,Zvornik,,,,,,
1946441,3186246,sr,Зворник,,,,,,
2017325,3186246,de,Zvornik,,,,,,
2982489,3186246,link,https://en.wikipedia.org/wiki/Zvornik,,,,,,
3056092,3186246,link,https://ru.wikipedia.org/wiki/%D0%97%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,,,,
7425364,3186246,,Zvornik,,,,,,
8326635,3186246,ko,즈보르니크,,,,,,
8326636,3186246,lt,Zvornikas,,,,,,
8326637,3186246,ja,ズヴォルニク,,,,,,
8326638,3186246,bg,Зворник,,,,,,
8326639,3186246,uk,Зворник,,,,,,
8326640,3186246,ru,Зворник,,,,,,
8326641,3186246,zh,茲沃爾尼克,,,,,,
13726914,3186246,unlc,BAZNK,,,,,,
7049579,3186249,link,https://en.wikipedia.org/wiki/Zvirovi%C4%87i,,,,,,
7216486,3186249,,Zvirovići,,,,,,
7062001,3186250,link,https://en.wikipedia.org/wiki/Zvirnja%C4%8Da,,,,,,
7216487,3186250,,Zvirnjača,,,,,,
15663025,3186250,wkdt,Q231389,,,,,,
7489742,3186253,link,https://en.wikipedia.org/wiki/Zviri%C4%87i,,,,,,
7575775,3186253,,Zvirići,,,,,,
15618802,3186253,wkdt,Q3041682,,,,,,
1360956,3186259,,Zvezda,,,,,,
4671058,3186259,,Zvijezda,,,,,,
1360965,3186271,,Žuželj,,,,,,
4671073,3186271,,Žuželo,,,,,,
7055391,3186271,link,https://en.wikipedia.org/wiki/%C5%BDu%C5%BEelo,,,,,,
15897741,3186271,wkdt,Q3026623,,,,,,
7042164,3186286,link,https://en.wikipedia.org/wiki/Zup%C4%8Di%C4%87i,,,,,,
7216491,3186286,,Zupčići,,,,,,
15393152,3186286,wkdt,Q3576294,,,,,,
1360979,3186287,,Zubci,,,,,,
4671085,3186287,,Zupci,,,,,,
7040732,3186289,link,https://en.wikipedia.org/wiki/%C5%BDup%C4%8Da,,,,,,
7216492,3186289,,Župča,,,,,,
15514797,3186289,wkdt,Q3118389,,,,,,
15374452,3186296,wkdt,Q3594463,,,,,,
16003652,3186296,,Župa,,,,,,
7061441,3186297,link,https://en.wikipedia.org/wiki/%C5%BDupa_%28Trebinje%29,,,,,,
7216493,3186297,,Župa,,,,,,
1360986,3186299,,Žunovnica,,,,,,
4671094,3186299,,Žunovica,,,,,,
7055193,3186299,link,https://en.wikipedia.org/wiki/%C5%BDunovnica,,,,,,
15590358,3186299,wkdt,Q3054999,,,,,,
1360987,3186300,,Žunovi,,,,,,
4671095,3186300,,Žunova,,,,,,
7054328,3186300,link,https://en.wikipedia.org/wiki/%C5%BDunovi,,,,,,
14961261,3186300,wkdt,Q670375,,,,,,
1360999,3186307,,Žulji,,,,,,
4671102,3186307,,Žulja,,,,,,
7056131,3186307,link,https://en.wikipedia.org/wiki/%C5%BDulja,,,,,,
15569176,3186307,wkdt,Q3594461,,,,,,
7041162,3186308,link,https://en.wikipedia.org/wiki/%C5%BDulj,,,,,,
7216494,3186308,,Žulj,,,,,,
14975971,3186308,wkdt,Q3053781,,,,,,
16077771,3186321,link,https://en.wikipedia.org/wiki/Zubovi%C4%87i%2C_Fo%C4%8Da,,,,,,
16084152,3186321,,Zubovići,,,,,,
15801904,3186324,wkdt,Q3501522,,,,,,
16003654,3186324,,Zubići,,,,,,
7065528,3186326,link,https://en.wikipedia.org/wiki/%C5%BDuberin,,,,,,
7216496,3186326,,Žuberin,,,,,,
15448558,3186326,wkdt,Q3037236,,,,,,
15900542,3186348,wkdt,Q21715427,,,,,,
16003655,3186348,,Zrgovi,,,,,,
1361025,3186352,,Zovidolska Reka,,,,,,
1361026,3186352,,Zavodoka Potok,,,,,,
4671140,3186352,,Zavodoka,,,,,,
1361027,3186353,,Vranikuce,,,,,,
1361028,3186354,,Zovički Potok,,,,,,
1361029,3186354,,Zovišica,,,,,,
8345959,3186354,,Zovičica,,,,,,
1361045,3186373,,Zmijanac,,,,,,
