AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
2984187,3373409,link,https://en.wikipedia.org/wiki/Workhall%2C_Barbados,,,,,,
4307367,3373409,,Workhall,,,,,,
2984188,3373410,link,https://en.wikipedia.org/wiki/Woodbourne%2C_Barbados,,,,,,
4307368,3373410,,Woodbourne,,,,,,
2984189,3373417,link,https://en.wikipedia.org/wiki/Wildey%2C_Saint_Michael%2C_Barbados,,,,,,
4307369,3373417,,Wildey,,,,,,
2984190,3373419,link,https://en.wikipedia.org/wiki/White_Hill%2C_Saint_Andrew%2C_Barbados,,,,,,
4307370,3373419,,White Hill,,,,,,
11991199,3373427,,Welch Town,,,,,,
13608245,3373431,link,"https://en.wikipedia.org/wiki/Welches,_Barbados",,,,,,
2984191,3373435,link,https://en.wikipedia.org/wiki/Warrens%2C_Saint_Michael%2C_Barbados,,,,,,
4307371,3373435,,Warrens,,,,,,
14980036,3373435,wkdt,Q7970644,,,,,,
2089540,3373440,,francia,,,,,,
4307372,3373440,,Walkes Spring,,,,,,
1391674,3373445,,Haynes Field,,,,,,
4307373,3373445,,Wakefield,,,,,,
1391675,3373447,,Cheshire,,,,,,
4307374,3373447,,Verdun,,,,,,
13608336,3373448,link,"https://en.wikipedia.org/wiki/Venture,_Barbados",,,,,,
2984192,3373457,link,https://en.wikipedia.org/wiki/Two_Mile_Hill%2C_Saint_Michael%2C_Barbados,,,,,,
4307375,3373457,,Two Mile Hill,,,,,,
4307376,3373477,,The Crane,,,,,,
13608603,3373477,link,"https://en.wikipedia.org/wiki/The_Crane,_Barbados",,,,,,
1391676,3373482,,Sweet Vale,,,,,,
4307377,3373482,,Sweet Bottom,,,,,,
2984194,3373489,link,https://en.wikipedia.org/wiki/Sunbury%2C_Barbados,,,,,,
4307378,3373489,,Sunbury,,,,,,
1391677,3373493,,Bargie Point,,,,,,
4307379,3373493,,Stroud Point,,,,,,
1391678,3373505,,Spreightstown,,,,,,
2984195,3373505,link,https://en.wikipedia.org/wiki/Speightstown,,,,,,
4307380,3373505,,Speightstown,,,,,,
13726924,3373505,unlc,BBSPT,,,,,,
14966512,3373505,wkdt,Q2544610,,,,,,
8084963,3373506,link,https://en.wikipedia.org/wiki/South_Point_Lighthouse,,,,,,
8108670,3373506,,South Point Lighthouse,,,,,,
2984196,3373513,link,https://en.wikipedia.org/wiki/Six_Men%27s_Bay%2C_Barbados,,,,,,
4307381,3373513,,Six Men’s Bay,,,,,,
13608585,3373514,link,"https://en.wikipedia.org/wiki/Six_Men%27s_Bay,_Barbados",,,,,,
13608323,3373523,link,"https://en.wikipedia.org/wiki/Sherbourne,_Barbados",,,,,,
1391679,3373533,,Seales,,,,,,
4307382,3373533,,Searles,,,,,,
1391680,3373537,,Scarboro,,,,,,
4307383,3373537,,Scarborough,,,,,,
13605396,3373537,link,"https://en.wikipedia.org/wiki/Scarborough,_Barbados",,,,,,
1391681,3373545,,Lords Castle,,,,,,
4307384,3373545,,Sam Lords Castle,,,,,,
13726922,3373545,unlc,BBSLC,,,,,,
2185626,3373551,,Saint Thomas,1,1,,,,
