AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
623695,1185089,,Ullahpara,,,,,,
623696,1185089,,Ulāpāra,,,,,,
3946798,1185089,,Ullāpāra,,,,,,
623697,1185090,,Tongibari,,,,,,
3946799,1185090,,Tangibāri,,,,,,
623698,1185091,,Titalyah,,,,,,
623699,1185091,bn,Titalya,,,,,,
3165622,1185091,bn,Tetulia,,,,,,
623700,1185092,,Thakus Gaon,,,,,,
623701,1185092,,Thākurgaom,,,,,,
3165623,1185092,bn,Thākurgaon,,,,,,
12777084,1185092,iata,TKR,,,,,,
13522525,1185092,ru,Тхакургаон,,,,,,
13522526,1185092,en,Thakurgaon,,,,,,
13726962,1185092,unlc,BDTKR,,,,,,
623702,1185093,,Tezgaon,,,,,,
2930768,1185093,link,https://en.wikipedia.org/wiki/Tejgaon_Thana,,,,,,
3946800,1185093,,Tejgaon,,,,,,
13726961,1185093,unlc,BDTEJ,,,,,,
623703,1185094,,Terokhada,,,,,,
623704,1185094,,Terokheda,,,,,,
3165624,1185094,bn,Terakhāda,,,,,,
623705,1185095,,Teknaaf,,,,,,
3165625,1185095,bn,Teknāf,,,,,,
623706,1185096,,Tarash,,,,,,
3946801,1185096,,Tārās,,,,,,
623707,1185097,,Tarail,,,,,,
3946802,1185097,,Sekāndarnagar,,,,,,
7843617,1185097,,Sikandarnagar,,,,,,
623708,1185098,,Tongi,,,,,,
623709,1185098,,Tangi,,,,,,
1923191,1185098,de,Tongi,,,,,,
1923192,1185098,en,Tongi,,,,,,
1923193,1185098,bn,টঙ্গী,,,,,,
1923194,1185098,sv,Tongi,,,,,,
2930769,1185098,link,https://en.wikipedia.org/wiki/Tongi,,,,,,
3946803,1185098,,Tungi,,,,,,
623710,1185099,,Rājnagar,,,,,,
2198830,1185099,bn,সিলেট,,,,,,
2198831,1185099,,Sileţ,,,,,,
2198832,1185099,syl,Silôţ,,,,,,
2198833,1185099,,Sreehatta,,,,,,
2198834,1185099,,Srihôţţo,,,,,,
2198835,1185099,,Silhatta,,,,,,
2198836,1185099,,Jalalabad,,,,,,
2930770,1185099,link,https://en.wikipedia.org/wiki/Sylhet,,,,,,
3038875,1185099,ru,Силхет,,,,,,
3946804,1185099,,Sylhet,,,,,,
7483639,1185099,iata,ZYL,,,,,,
8214365,1185099,uk,Сілет,,,,,,
8214366,1185099,pnb,سلہٹ,,,,,,
8214367,1185099,mr,सिलहट,,,,,,
8214368,1185099,lt,Silhatas,,,,,,
8214369,1185099,ja,シレット,,,,,,
8214370,1185099,pl,Srihotto,,,,,,
8214371,1185099,zh,錫爾赫特市,,,,,,
8396776,1185099,post,3100,,,,,,
8706415,1185099,ar,سيلهت,,,,,,
8706416,1185099,bpy,সিলেট,,,,,,
8706417,1185099,ko,실렛,,,,,,
8706418,1185099,ur,سلہٹ,,,,,,
9709798,1185099,de,Sylhet,1,,,,,
9709799,1185099,en,Sylhet,1,,,,,
9709800,1185099,fr,Sylhet,1,,,,,
11329103,1185099,fa,سیلت,,,,,,
11329104,1185099,hu,Szilhet,,,,,,
11329105,1185099,ml,സിൽഹെറ്റ്,,,,,,
11329106,1185099,ta,சில்ஹெட்,,,,,,
13726964,1185099,unlc,BDZYL,,,,,,
14985216,1185099,wkdt,Q466221,,,,,,
623711,1185100,,Sutārpara,,,,,,
623712,1185100,,Dohāi,,,,,,
3946805,1185100,,Dohār,,,,,,
623713,1185101,,Susang,,,,,,
3946806,1185101,,Durgāpur,,,,,,
623714,1185102,,Sunderganj,,,,,,
3946807,1185102,,Sundarganj,,,,,,
6710447,1185102,bn,Sundarganj,,,,,,
6710448,1185102,bn,Sunderganj,,,,,,
623715,1185103,,Sudhárám,,,,,,
3946808,1185103,,Noākhāli,,,,,,
623716,1185104,,Srimantapur,,,,,,
623717,1185104,,Godaganj,,,,,,
3165626,1185104,bn,Godāgāri,,,,,,
623718,1185105,,Sonamganj,,,,,,
3946809,1185105,,Sunāmganj,,,,,,
7148608,1185105,link,https://en.wikipedia.org/wiki/Sunamganj_District,,,,,,
623719,1185106,,Singhjāni,,,,,,
623720,1185106,,Jamaipur,,,,,,
3946810,1185106,,Jamālpur,,,,,,
7160475,1185106,link,https://en.wikipedia.org/wiki/Jamalpur_District,,,,,,
623721,1185107,,Sibganj,,,,,,
3946811,1185107,en,Shibganj,1,,,,,
13190226,1185107,ru,Шибгандж,,,,,,
623722,1185108,,Sibganj,,,,,,
3165627,1185108,bn,Shibganj,,,,,,
623723,1185109,,Shyamnagar,,,,,,
3165628,1185109,bn,Syāmnagar,,,,,,
6067643,1185109,bn,Shyamnagar,,,,,,
6875883,1185109,link,https://en.wikipedia.org/wiki/Shyamnagar,,,,,,
623724,1185110,,Shivalay,,,,,,
623725,1185110,,Sibālay,,,,,,
3946812,1185110,,Shivalaya,,,,,,
623726,1185111,,Shatkhira,,,,,,
3946813,1185111,,Sātkhira,,,,,,
623727,1185112,,Serpur,,,,,,
3946814,1185112,,Sherpur,,,,,,
623728,1185113,,Serpur,,,,,,
3946815,1185113,,Sherpur,,,,,,
623729,1185114,,Serpur,,,,,,
3946816,1185114,,Sherpur,,,,,,
623730,1185115,,Serajganj Municipality,,,,,,
623731,1185115,,Siranganj,,,,,,
1610906,1185115,en,Sirajganj,,,,,,
1610907,1185115,es,Sirajganj,,,,,,
1924564,1185115,bn,সিরাজগঞ্জ,,,,,,
