AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1244111,2743638,,Maastricht-’s Hertogenbosch Canal,,,,,,
1244112,2743638,,Willems Vaart,,,,,,
1244113,2743638,,Kanaal van Maastricht naar Hertogenbosch,,,,,,
1244114,2743638,,Canal de Maastricht à Bois-le-Duc,,,,,,
7033744,2743638,link,https://en.wikipedia.org/wiki/Zuid-Willemsvaart,,,,,,
9535418,2743638,,Zuid-Willemsvaart,,,,,,
1244147,2743827,,De Zoom,,,,,,
4123802,2743827,,Zoom,,,,,,
9535419,2744559,,Wielingen,,,,,,
1245288,2748360,,Vlakte van Raan,,,,,,
1245289,2748360,,Raan Flat,,,,,,
4124279,2748360,,Vlakte van de Raan,,,,,,
1245297,2748398,,De Putsche Moer,,,,,,
1245298,2748398,,Putsche Moer,,,,,,
9535422,2748398,,Putse Moer,,,,,,
1245327,2748494,,Leij,,,,,,
1245328,2748494,,Poppelsche Lei,,,,,,
4124293,2748494,,Poppelsche Leij,,,,,,
9535423,2750771,,Moerbekepolder,,,,,,
1245935,2751093,,Matjens,,,,,,
1245936,2751093,,Den Helder,,,,,,
4124555,2751093,,De Maatjes,,,,,,
9535424,2751145,,Marksken,,,,,,
1246097,2751751,,Leiloop,,,,,,
9535425,2751751,,Leijloop,,,,,,
9535426,2753153,,Kabeljauwbeek,,,,,,
1246378,2753299,,Itterbeek,,,,,,
1246379,2753299,,Itterse Beek,,,,,,
1246380,2753299,,Itter,,,,,,
1246381,2753299,,Tongerlose Beek,,,,,,
4124769,2753299,,Ittersche Beek,,,,,,
1246553,2753909,,Hollandseloop,,,,,,
9535428,2753909,,Hollandsche Loop,,,,,,
9535429,2754729,,Hazenduinen,,,,,,
1246861,2755047,,La Gulpe,,,,,,
9535430,2755047,,Gulp,,,,,,
1247048,2755559,,Gueule,,,,,,
1247049,2755559,,La Gueule Rivière,,,,,,
1247050,2755559,,De Geul,,,,,,
1247051,2755559,,Geule,,,,,,
1247052,2755559,,Geulle,,,,,,
4125058,2755559,,Geul,,,,,,
7032863,2755559,link,https://en.wikipedia.org/wiki/Geul,,,,,,
1248012,2759361,,Bedafsche Heide,,,,,,
9535434,2759466,,Ballastplaat,,,,,,
1253617,2783073,,Wallonia,,,,,,
1253618,2783073,,Wallonien,,,,,,
4164843,2783073,,Weillen,,,,,,
1253619,2783074,,Oostende-Brugge,,,,,,
1253620,2783074,,Canal d’Ostende à Bruges,,,,,,
4164844,2783074,,Kanaal Brugge-Oostende,,,,,,
1253621,2783075,,Kanaal Luik-Maastricht,,,,,,
1253622,2783075,,Kanaal van Luik,,,,,,
1253623,2783075,,Canal de Liége,,,,,,
1253624,2783075,,Kanaal van Luik naar Maastricht,,,,,,
1253625,2783075,,Kanaal van Maastricht naar Luik,,,,,,
4164845,2783075,,Canal Liége-Maastricht,,,,,,
1253626,2783076,,Canal de Bruges,,,,,,
1253627,2783076,,Canal Ostende-Gand,,,,,,
1253628,2783076,,Canal de Bruges à Gand,,,,,,
1253629,2783076,,Kanaal van Gent naar Brugge,,,,,,
1253630,2783076,,Canal de Noord Bruges à Gand,,,,,,
1253631,2783076,,Canal de Gand,,,,,,
1253632,2783076,,Canal Gang-Beuges,,,,,,
1253633,2783076,,Canal de Ghent,,,,,,
4164846,2783076,,Kanaal Gent-Brugge,,,,,,
1253634,2783078,,Zwyn Vaert,,,,,,
4164847,2783078,,Zwinnevaart,,,,,,
1253635,2783079,,Zwijnebeek,,,,,,
4164848,2783079,,Zwinebeek,,,,,,
1253636,2783080,,Fort de Zwyndrecht,,,,,,
4164849,2783080,,Fort van Zwijndrecht,,,,,,
1253637,2783081,,Zwyndrecht,,,,,,
2427118,2783081,post,2070,,,,,,
2957949,2783081,link,https://en.wikipedia.org/wiki/Zwijndrecht%2C_Belgium,,,,,,
4164850,2783081,,Zwijndrecht,,,,,,
11546182,2783081,bg,Звейндрехт,,,,,,
11546183,2783081,fa,زوئیژندرکت,,,,,,
11546184,2783081,la,Zuindracum,,,,,,
11546185,2783081,uk,Звейндрехт,,,,,,
11546186,2783081,ru,Звейндрехт,,,,,,
11546187,2783081,zh,兹韦恩德雷赫特,,,,,,
13728774,2783081,unlc,BEZWL,,,,,,
1253638,2783082,,Zwyndrecht,,,,,,
5580305,2783082,link,http://www.zwijndrecht.be,,,,,,
12829249,2783082,link,"https://en.wikipedia.org/wiki/Zwijndrecht,_Belgium",,,,,,
13843417,2783082,fr,Zwijndrecht,1,1,,,,
13843418,2783082,nl,Zwijndrecht,1,1,,,,
1253639,2783083,,Zwynaerdschedries,,,,,,
4164851,2783083,,Zwijnaardsedries,,,,,,
1253640,2783084,,Zwynaerde,,,,,,
2957950,2783084,link,https://en.wikipedia.org/wiki/Zwijnaarde,,,,,,
4164852,2783084,,Zwijnaarde,,,,,,
7948816,2783084,post,9052,,,,,,
13728775,2783084,unlc,BEZWN,,,,,,
1253643,2783087,,Swevezeele,,,,,,
2429884,2783087,post,8750,,,,,,
4164854,2783087,,Zwevezele,,,,,,
13728570,2783087,unlc,BEVGZ,,,,,,
1253645,2783089,,Sweveghem,,,,,,
1936870,2783089,en,Zwevegem,,,,,,
1936871,2783089,de,Zwevegem,,,,,,
1936872,2783089,es,Zwevegem,,,,,,
1936873,2783089,fr,Zwevegem,,,,,,
1936874,2783089,eo,Zwevegem,,,,,,
1936875,2783089,nl,Zwevegem,,,,,,
1936876,2783089,no,Zwevegem,,,,,,
1936877,2783089,vls,Zwevehem,,,,,,
2021501,2783089,vls,Zwevegem,,,,,,
2427294,2783089,post,8550,,,,,,
2957951,2783089,link,https://en.wikipedia.org/wiki/Zwevegem,,,,,,
4164856,2783089,,Zwevegem,,,,,,
11555107,2783089,bg,Звевегем,,,,,,
11555108,2783089,fa,زوئووژم,,,,,,
