AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
7540309,2353163,link,https://en.wikipedia.org/wiki/Zourma,,,,,,
7565709,2353163,,Zourma,,,,,,
7552293,2353165,link,https://en.wikipedia.org/wiki/Zoura,,,,,,
7565710,2353165,,Zoura,,,,,,
15299732,2353165,wkdt,Q8074660,,,,,,
1119404,2353167,,Noungou,,,,,,
4221541,2353167,,Zoungou,,,,,,
2184976,2353169,,Zoundwéogo,1,1,,,,
5700471,2353169,link,https://en.wikipedia.org/wiki/Zoundw%C3%A9ogo_Province,,,,,,
7656706,2353169,,Province du Zoundwéogo,,,,,,
7717144,2353169,en,Zoundweogo Province,1,,,,,
13898376,2353170,,Zoundri,,,,,,
13898377,2353170,,Zoundouri,,,,,,
1119405,2353173,,Zoumbéko,,,,,,
1119406,2353174,,Jimbara,,,,,,
1119407,2353174,,Djimbara,,,,,,
4221542,2353174,,Zoumbara,,,,,,
8674536,2353176,link,https://en.wikipedia.org/wiki/Zouma%2C_Burkina_Faso,,,,,,
8797958,2353176,,Zouma,,,,,,
2530912,2353186,,Zougouma,,,,,,
4221543,2353186,,Zongouma,,,,,,
1119408,2353187,,Zougouna,,,,,,
4221544,2353187,,Zougouma,,,,,,
1119409,2353195,,Zergongo,,,,,,
4221545,2353195,,Zorgongo,,,,,,
1119410,2353197,,Zorgo,,,,,,
1119411,2353197,,Zorogo,,,,,,
2943970,2353197,link,https://en.wikipedia.org/wiki/Zorgho,,,,,,
7656707,2353197,,Zorgho,,,,,,
1119412,2353200,,Zorre,,,,,,
4221546,2353200,,Zore,,,,,,
1119413,2353216,,Bonadougou,,,,,,
4221547,2353216,,Zonesso,,,,,,
13929970,2353219,link,"https://en.wikipedia.org/wiki/Zon,_Burkina_Faso",,,,,,
13934669,2353219,,Zon,,,,,,
1119414,2353221,,Zanouna,,,,,,
4221548,2353221,,Zomouna,,,,,,
1119415,2353224,,Dionkalga,,,,,,
4221549,2353224,,Zomkalga,,,,,,
13929969,2353225,link,https://en.wikipedia.org/wiki/Zomkalga,,,,,,
13934670,2353225,,Zomkalga,,,,,,
2530913,2353226,,Zomé,,,,,,
4221550,2353226,,Zom,,,,,,
1119416,2353227,,Zoulo,,,,,,
4221551,2353227,,Zolo,,,,,,
1119417,2353229,,Diogoré,,,,,,
4221552,2353229,,Zogoré,,,,,,
11305517,2353229,link,https://en.wikipedia.org/wiki/Zogore_Department,,,,,,
8690452,2353234,link,https://en.wikipedia.org/wiki/Zoaga_Department,,,,,,
8797959,2353234,,Zoaga,,,,,,
7156611,2353238,link,https://en.wikipedia.org/wiki/Zitenga_Department,,,,,,
