AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
277074,453751,,Razgradska Oblast,,,,,,
277075,453751,,Razgradski Okrŭg,,,,,,
2080699,453751,bg,Област Разград,1,,,,,
2184441,453751,,Razgrad,1,1,,,,
5649111,453751,,Oblast Razgrad,,,,,,
5701092,453751,link,https://en.wikipedia.org/wiki/Razgrad_Province,,,,,,
8041687,453751,,Rusenska Oblast,,,,,,
8041688,453751,,Ruse,,,,,,
8041689,453751,,Rusenska,,,,,,
11262523,453751,bg,Разград,,,,,,
277088,453753,,Mikhaylovgradski Okrŭg,,,,,,
277089,453753,,Mikhaylovgradska Oblast,,,,,,
2080780,453753,bg,Област Монтана,,,,,,
2184448,453753,,Montana,1,1,,,,
5649116,453753,,Oblast Montana,,,,,,
5701047,453753,link,https://en.wikipedia.org/wiki/Montana_Province,,,,,,
11262524,453753,bg,Монтана,,,,,,
13194149,678801,bg,Dunav Most,,,,,,
13194150,678801,bg,Дунав Мост,,,,,,
13194151,678801,,Most na Druzhbata,,,,,,
13194152,678801,,Ruse Giurgiu Bridge,,,,,,
403351,682849,,Canaraua Fetii,,,,,,
403352,682849,,Ryeka Ishikly,,,,,,
403353,682849,,Sukha,,,,,,
403354,682849,,Kanarata,,,,,,
403355,682849,,Cuiugiuc,,,,,,
403356,682849,,Isikli,,,,,,
403357,682849,,Oltina,,,,,,
403358,682849,,Ishikli,,,,,,
403359,682849,,Cananaua Fetii,,,,,,
403360,682849,,Suka Reka,,,,,,
403361,682849,,Ryeka Dedebunardere,,,,,,
403362,682849,,Sukha Reka,,,,,,
4343166,682849,,Reka,,,,,,
403363,682851,,Canaghiol,,,,,,
403364,682851,,Părăul Kanaghiol Dere,,,,,,
403365,682851,,Canara,,,,,,
403366,682851,,Kanago,,,,,,
403367,682851,,Canaghiul,,,,,,
403368,682851,,Kazalŭk,,,,,,
403369,682851,,Reka Keonagol,,,,,,
403370,682851,,Reka Kanagel Dere,,,,,,
403371,682851,,Kanara,,,,,,
4343167,682851,,Kanag’ol,,,,,,
430151,725212,,Kokardzha,,,,,,
430152,725212,,Zagorci,,,,,,
430153,725212,,Cocargea,,,,,,
2080781,725212,bg,Загорци,,,,,,
2177978,725212,post,9413,,,,,,
4429281,725212,,Zagortsi,,,,,,
430154,725213,,Gebedzhe,,,,,,
430155,725213,,Beloslaw,,,,,,
430156,725213,,Gebedže,,,,,,
430157,725213,,Bjelevo,,,,,,
430158,725213,,Belevo,,,,,,
430159,725213,,Bielevo,,,,,,
430160,725213,,Byelevo,,,,,,
430161,725213,,Belewo,,,,,,
430162,725213,,Belovo,,,,,,
2080782,725213,bg,Белослав,,,,,,
2176461,725213,post,9150,,,,,,
7183218,725213,link,https://en.wikipedia.org/wiki/Beloslav_Municipality,,,,,,
7362520,725213,,Beloslav,,,,,,
13728841,725213,unlc,BGBEV,,,,,,
14975122,725213,wkdt,Q405825,,,,,,
430163,725214,,Akhmatlar,,,,,,
2080783,725214,bg,Звъника,,,,,,
2178006,725214,post,6732,,,,,,
4429282,725214,,Zvŭnika,,,,,,
11849029,725214,bg,Zvanika,,,,,,
15711292,725214,wkdt,Q1084665,,,,,,
430164,725215,,Swănitschewo,,,,,,
430165,725215,,Zvnichevo,,,,,,
430166,725215,,Changŭrlii,,,,,,
430167,725215,,Cangurli,,,,,,
430168,725215,,Changarliy,,,,,,
430169,725215,,Changarlii,,,,,,
430170,725215,,Čangorlie,,,,,,
2080784,725215,bg,Звъничево,,,,,,
2178007,725215,post,4488,,,,,,
4429283,725215,,Zvŭnichevo,,,,,,
11849030,725215,bg,Zvanichevo,,,,,,
15846937,725215,wkdt,Q1086519,,,,,,
430171,725216,,Swănez,,,,,,
430172,725216,,Chanlar,,,,,,
2080785,725216,bg,Звънец,,,,,,
2176201,725216,post,9179,,,,,,
4429284,725216,,Zvŭnets,,,,,,
11849031,725216,bg,Zvanets,,,,,,
430173,725217,,Imamlar,,,,,,
2080786,725217,bg,Звънче,,,,,,
2178008,725217,post,6744,,,,,,
4429285,725217,,Zvŭnche,,,,,,
11316662,725217,link,https://en.wikipedia.org/wiki/Zvunche,,,,,,
11849032,725217,bg,Zvanche,,,,,,
430174,725218,,Gyuvedzhe,,,,,,
430175,725218,,Swănarzi,,,,,,
2080787,725218,bg,Звънарци,,,,,,
2178005,725218,post,7333,,,,,,
430176,725219,,Swănarka,,,,,,
430177,725219,,Yunuz,,,,,,
430178,725219,,Zvŭarka,,,,,,
2080788,725219,bg,Звънарка,,,,,,
2178004,725219,post,6920,,,,,,
4429286,725219,,Zvŭnarka,,,,,,
11849033,725219,bg,Zvanarka,,,,,,
15258905,725219,wkdt,Q1082923,,,,,,
430179,725220,,Boyadzhiklar,,,,,,
430180,725220,,Swiniza,,,,,,
2080789,725220,bg,Звъница,,,,,,
4429287,725220,,Zvinitsa,,,,,,
15417911,725220,wkdt,Q4189653,,,,,,
430181,725221,,Swesdiza,,,,,,
430182,725221,,Zvăzditsa,,,,,,
430183,725221,,K’oklyudzha,,,,,,
430184,725221,,Kyuklyudzha,,,,,,
430185,725221,,Kokardzha,,,,,,
430186,725221,,Kokludzha,,,,,,
2080790,725221,bg,Звездица,,,,,,
2178001,725221,post,9103,,,,,,
4429288,725221,,Zvezditsa,,,,,,
15205179,725221,wkdt,Q4189432,,,,,,
430187,725222,,Geuktepe,,,,,,
430188,725222,,Zvezdeo,,,,,,
430189,725222,,Göktepe,,,,,,
430190,725222,,Swesdez,,,,,,
430191,725222,,Ghiok-Tépe,,,,,,
430192,725222,,Giok-Tepe,,,,,,
430193,725222,,Gjok-Tepe,,,,,,
2080791,725222,bg,Звездец,,,,,,
2178000,725222,post,8360,,,,,,
4429289,725222,,Zvezdets,,,,,,
7523768,725222,link,https://en.wikipedia.org/wiki/Zvezdets,,,,,,
14900959,725222,wkdt,Q1075634,,,,,,
430194,725223,,Ildŭztabiya,,,,,,
430195,725223,,Vŭrkh Yaldŭz-Tabiya,,,,,,
430196,725223,,Ildŭs Tabie,,,,,,
430197,725223,,Tsldŭz-Tabiya,,,,,,
430198,725223,,Ildas Tabie,,,,,,
2080792,725223,bg,Звездец,,,,,,
4429290,725223,,Zvezdets,,,,,,
430199,725224,,Kaba Viran,,,,,,
430200,725224,,Zvezdan,,,,,,
430201,725224,,Swesdan,,,,,,
2080793,725224,bg,Звезден,,,,,,
2177999,725224,post,6658,,,,,,
4429291,725224,,Zvezden,,,,,,
11295053,725224,link,https://en.wikipedia.org/wiki/Zvezden,,,,,,
15727629,725224,wkdt,Q1083088,,,,,,
430202,725225,,Swesdelina,,,,,,
430203,725225,,Kaya Altŭ,,,,,,
430204,725225,,Kaya Alta,,,,,,
2080794,725225,bg,Звезделина,,,,,,
2177998,725225,post,6653,,,,,,
4429292,725225,,Zvezdelina,,,,,,
15424757,725225,wkdt,Q1083756,,,,,,
430205,725226,,Aidogdu,,,,,,
430206,725226,,Aydogdu,,,,,,
2080795,725226,bg,Звездел,,,,,,
4429293,725226,,Zvezdel,,,,,,
430207,725227,,Swesdel,,,,,,
430208,725227,,G’ok-Viran,,,,,,
2080796,725227,bg,Звездел,,,,,,
2177997,725227,post,6820,,,,,,
4429294,725227,,Zvezdel,,,,,,
430209,725228,,Mekhmedi,,,,,,
430210,725228,,Swesda,,,,,,
2080797,725228,bg,Звезда,,,,,,
2176224,725228,post,7878,,,,,,
4429295,725228,,Zvezda,,,,,,
430211,725229,,Ayvadzhik,,,,,,
430212,725229,,Swesda,,,,,,
2080798,725229,bg,Звезда,,,,,,
2177996,725229,post,8572,,,,,,
4429296,725229,,Zvezda,,,,,,
15568312,725229,wkdt,Q2017073,,,,,,
430213,725230,,Swerino,,,,,,
430214,725230,,Zvyerino,,,,,,
430215,725230,,Zuerino,,,,,,
2080799,725230,bg,Зверино,,,,,,
2178003,725230,post,3170,,,,,,
4429297,725230,,Zverino,,,,,,
15837062,725230,wkdt,Q1079220,,,,,,
430216,725231,,Avdullar,,,,,,
430217,725231,,Zvenimn,,,,,,
430218,725231,,Avdular,,,,,,
430219,725231,,Zwenimir,,,,,,
2080800,725231,bg,Звенимир,,,,,,
2178002,725231,post,7689,,,,,,
4429298,725231,,Zvenimir,,,,,,
430220,725232,,K’oseler,,,,,,
430221,725232,,Swegor,,,,,,
430222,725232,,Keseler,,,,,,
2080801,725232,bg,Звегор,,,,,,
2177995,725232,post,9791,,,,,,
4429299,725232,,Zvegor,,,,,,
15851358,725232,wkdt,Q2457905,,,,,,
430223,725233,,Kilicadi,,,,,,
430224,725233,,Zrnevo,,,,,,
430225,725233,,Kili Kada,,,,,,
430226,725233,,Kilikadi,,,,,,
2080802,725233,bg,Зурнево,,,,,,
2178079,725233,post,9491,,,,,,
4429300,725233,,Zŭrnevo,,,,,,
11849034,725233,bg,Zarnevo,,,,,,
15696780,725233,wkdt,Q1081791,,,,,,
2080803,725234,bg,Зънзарите,,,,,,
4429301,725234,,Zŭnzarite,,,,,,
11849035,725234,bg,Zanzarite,,,,,,
2080804,725235,bg,Зъб,,,,,,
4429302,725235,,Zŭb,,,,,,
11849036,725235,bg,Zab,,,,,,
12003743,725235,bg,Cheshme Mahala,,,,,,
12003744,725235,bg,Чешме Махала,,,,,,
12003745,725235,,Sŭb,,,,,,
12003746,725235,,Cheshme Makhle,,,,,,
430227,725236,,Soitschene,,,,,,
2080805,725236,bg,Зоичене,,,,,,
4429303,725236,,Zoychene,,,,,,
7489283,725236,link,https://en.wikipedia.org/wiki/Zoychene,,,,,,
12143189,725236,bg,Зойчене,,,,,,
430228,725237,,Dongurlar,,,,,,
430229,725237,,Sorniza,,,,,,
2080806,725237,bg,Зорница,,,,,,
4429304,725237,,Zornitsa,,,,,,
430230,725238,,Doudzha,,,,,,
430231,725238,,Sorniza,,,,,,
2080807,725238,bg,Зорница,,,,,,
2178078,725238,post,9156,,,,,,
4429305,725238,,Zornitsa,,,,,,
430232,725239,,Sorniza,,,,,,
430233,725239,,Zornica,,,,,,
430234,725239,,Topouzlàre,,,,,,
430235,725239,,Topuzlare,,,,,,
430236,725239,,Topuzevo,,,,,,
430237,725239,,Tupuzlare,,,,,,
430238,725239,,Topuzlar,,,,,,
2080808,725239,bg,Зорница,,,,,,
2178077,725239,post,8313,,,,,,
4429306,725239,,Zornitsa,,,,,,
430239,725240,,Aydomush,,,,,,
430240,725240,,Sornjza,,,,,,
2080809,725240,bg,Зорница,,,,,,
2178075,725240,post,6367,,,,,,
4429307,725240,,Zornitsa,,,,,,
430241,725241,,Sorniza,,,,,,
430242,725241,,Gyundyuzitsa,,,,,,
430243,725241,,Gjundjuzica,,,,,,
2080810,725241,bg,Зорница,,,,,,
2178074,725241,post,4857,,,,,,
4429308,725241,,Zornitsa,,,,,,
15880914,725241,wkdt,Q2016672,,,,,,
2080811,725242,bg,Зорница,,,,,,
2178076,725242,post,6650,,,,,,
4429309,725242,,Zornitsa,,,,,,
15457257,725242,wkdt,Q2016639,,,,,,
430244,725243,,Sorenischki-Dol,,,,,,
2080812,725243,bg,Зоренски Дол,,,,,,
4429310,725243,,Zorenishki Dol,,,,,,
2080813,725244,bg,Зора,,,,,,
4429311,725244,,Zora,,,,,,
430245,725245,,Aydanliy,,,,,,
430246,725245,,Sora,,,,,,
430247,725245,,Aydanlii,,,,,,
2080814,725245,bg,Зора,,,,,,
2254652,725245,,М№,1,1,,,,
4429312,725245,,Zora,,,,,,
430248,725246,,Casapli,,,,,,
430249,725246,,Zogra,,,,,,
430250,725246,,Kasaplii,,,,,,
2080815,725246,bg,Зограф,,,,,,
2178073,725246,post,9553,,,,,,
4429313,725246,,Zograf,,,,,,
430251,725247,,Kara Burun,,,,,,
430252,725247,,Snamenossez,,,,,,
2080816,725247,bg,Знаменосец,,,,,,
2178072,725247,post,6272,,,,,,
4429314,725247,,Znamenosets,,,,,,
430253,725248,,Smiewo,,,,,,
2080817,725248,bg,Змиево,,,,,,
2178071,725248,post,4777,,,,,,
4429315,725248,,Zmievo,,,,,,
430254,725249,,Zmeyova Dupka,,,,,,
2080818,725249,bg,Змеюва дупка,,,,,,
4429316,725249,,Zmeyuva Dupka,,,,,,
430255,725250,,Derventski,,,,,,
430256,725250,,Starozagorski Prokhod,,,,,,
430257,725250,,Derventski Prokhod,,,,,,
2080819,725250,bg,Змеювски проход,,,,,,
4429317,725250,,Zmeyovski Prokhod,,,,,,
11849037,725250,bg,Zmeyovski Prohod,,,,,,
430258,725251,,Smeiowo,,,,,,
430259,725251,,Zmejovo,,,,,,
430260,725251,,Dervent,,,,,,
430261,725251,,Zmeivo,,,,,,
430262,725251,,Zmeiovo,,,,,,
2080820,725251,bg,Змейово,,,,,,
2178070,725251,post,6059,,,,,,
4429318,725251,,Zmeyovo,,,,,,
15841746,725251,wkdt,Q2016866,,,,,,
430263,725252,,Smeino,,,,,,
430264,725252,,Zmeino,,,,,,
430265,725252,,Ilandzhilar,,,,,,
2080821,725252,bg,Змейно,,,,,,
2178069,725252,post,7945,,,,,,
4429319,725252,,Zmeyno,,,,,,
430266,725253,,Alandzhievo,,,,,,
430267,725253,,Smeiza,,,,,,
2080822,725253,bg,Змеица,,,,,,
2178068,725253,post,4834,,,,,,
4429320,725253,,Zmeitsa,,,,,,
7546251,725253,link,https://en.wikipedia.org/wiki/Zmeitsa,,,,,,
14970303,725253,wkdt,Q2653654,,,,,,
430268,725254,,Embiemahle,,,,,,
430269,725254,,Zmeewo,,,,,,
430270,725254,,Şerpeni,,,,,,
430271,725254,,Ilanlăk,,,,,,
430272,725254,,Sherpeni,,,,,,
430273,725254,,Ilanlŭk,,,,,,
430274,725254,,Ilanlac,,,,,,
2080823,725254,bg,Змеево,,,,,,
2178067,725254,post,9643,,,,,,
4429321,725254,,Zmeevo,,,,,,
430275,725255,,Mura Dere,,,,,,
430276,725255,,Sweewo,,,,,,
