AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
6216,49523,,Lac Rugwero,,,,,,
6217,49523,,Rweru,,,,,,
5813687,49523,,Lac Rweru,,,,,,
7519875,49523,link,https://en.wikipedia.org/wiki/Lake_Rweru,,,,,,
6229,49529,,Lac Cyohoha Sud,,,,,,
6230,49529,,Lac Shoho,,,,,,
6231,49529,,Cohoha,,,,,,
6232,49529,,Lac Tshohoha,,,,,,
6233,49529,,Lac Tshohoha-Sud,,,,,,
3603454,49529,,Lac Cohoha Sud,,,,,,
7509727,49529,link,https://en.wikipedia.org/wiki/Lake_Cohoha,,,,,,
113672,149442,,Tshizanye,,,,,,
113673,149442,,Chizanye River,,,,,,
113674,149442,,Shizanye,,,,,,
113675,149442,,Ghizanye,,,,,,
113676,149442,,Shizanie,,,,,,
4017034,149442,,Cizanye,,,,,,
144841,203193,,Akanyaru,,,,,,
4122305,203193,,Kanyaru,,,,,,
145542,206277,,Petite Rusizi,,,,,,
145543,206277,,Rusizi Rutoya,,,,,,
3216988,206277,,Petite Ruzizi,,,,,,
6162523,384493,,Agatete,,,,,,
6162524,384493,,Gatete,,,,,,
15373797,421677,wkdt,Q21332094,,,,,,
16029432,421677,,Muramira,,,,,,
272402,421686,,Mukelezi,,,,,,
4808844,421686,,Mukerezi,,,,,,
272403,421687,,Kasagamba,,,,,,
4808845,421687,,Gasagamba,,,,,,
15693112,421687,wkdt,Q21332087,,,,,,
15794848,421692,wkdt,Q21332084,,,,,,
16029433,421692,,Rugumira,,,,,,
7125874,421722,link,https://en.wikipedia.org/wiki/Mabanda,,,,,,
7328042,421722,,Mabanda,,,,,,
272404,421745,,Mont Kibago,,,,,,
4808846,421745,,Kibago,,,,,,
272405,421761,,Mont Samvula,,,,,,
272406,421761,,Samvuba,,,,,,
4808847,421761,,Samvura,,,,,,
272407,421762,,Nyangende,,,,,,
4808848,421762,,Nyankende,,,,,,
5665834,421779,,Kidubugu,,,,,,
5665835,421779,,Kidubuga,,,,,,
272408,421784,,Nyarububi,,,,,,
4808849,421784,,Nyarubabi,,,,,,
272409,421795,,Kitara,,,,,,
4808850,421795,,Gitara,,,,,,
272410,421807,,Mont Ganza,,,,,,
4808851,421807,,Ganza,,,,,,
272411,421817,,Katanga,,,,,,
4808852,421817,,Gatanga,,,,,,
8090517,421829,link,https://en.wikipedia.org/wiki/Gahama,,,,,,
8113071,421829,,Gahama,,,,,,
15310781,421829,wkdt,Q5516901,,,,,,
5665836,421831,,Muyomvyi,,,,,,
5665837,421831,,Munyomyi,,,,,,
15834344,421832,wkdt,Q21332038,,,,,,
16029434,421832,,Gatunda,,,,,,
15140672,421833,wkdt,Q21332037,,,,,,
16029435,421833,,Ndoha,,,,,,
8071944,421839,link,https://en.wikipedia.org/wiki/Murehe,,,,,,
8113072,421839,,Murehe,,,,,,
15443285,421839,wkdt,Q6938276,,,,,,
15140387,421847,wkdt,Q21332031,,,,,,
16029436,421847,,Mukabira,,,,,,
272412,421872,,Binyura,,,,,,
4808853,421872,,Binyuro,,,,,,
8070219,421872,link,https://en.wikipedia.org/wiki/Binyuro,,,,,,
14993691,421872,wkdt,Q4914575,,,,,,
5665838,421888,,Masango,,,,,,
5665839,421888,,Masongo,,,,,,
272413,421899,,Buhama,,,,,,
4808854,421899,,Buhana,,,,,,
8098516,421930,link,https://en.wikipedia.org/wiki/Vyanda,,,,,,
8113073,421930,,Vyanda,,,,,,
14993409,421930,wkdt,Q15627496,,,,,,
272414,421933,,Gishita,,,,,,
4808855,421933,,Gishiha,,,,,,
15144027,421942,wkdt,Q21331995,,,,,,
16029437,421942,,Ramvyo,,,,,,
5665840,421945,,Jongwe,,,,,,
5665841,421945,,Jungwe,,,,,,
15367246,421953,wkdt,Q21331990,,,,,,
16029438,421953,,Gikama,,,,,,
15824692,421976,wkdt,Q21331979,,,,,,
16029439,421976,,Sevyanda,,,,,,
15532856,421996,wkdt,Q21331971,,,,,,
16029440,421996,,Busindi,,,,,,
15141205,422001,wkdt,Q21331968,,,,,,
16029441,422001,,Nyakibari,,,,,,
14866760,422002,wkdt,Q21331967,,,,,,
16029442,422002,,Bugozi,,,,,,
15140519,422005,wkdt,Q21331966,,,,,,
16029443,422005,,Mutye,,,,,,
15781894,422020,wkdt,Q21331959,,,,,,
16029444,422020,,Muhurire,,,,,,
15255815,422027,wkdt,Q21331956,,,,,,
16029445,422027,,Rusesa,,,,,,
15891838,422038,wkdt,Q21331951,,,,,,
16029446,422038,,Nyensanga,,,,,,
272415,422043,,Mont Karonge,,,,,,
4808856,422043,,Karonge,,,,,,
272416,422048,,Mont Rukambasi,,,,,,
4808857,422048,,Rukambasi,,,,,,
14866761,422059,wkdt,Q21331939,,,,,,
16029447,422059,,Kibubwe,,,,,,
15722354,422065,wkdt,Q21331936,,,,,,
16029448,422065,,Rubonda,,,,,,
15702849,422079,wkdt,Q21331930,,,,,,
16029449,422079,,Nyemamba,,,,,,
15793744,422081,wkdt,Q21331929,,,,,,
16029450,422081,,Musumwe,,,,,,
15386391,422113,wkdt,Q21331910,,,,,,
16029451,422113,,Muhemera,,,,,,
15140357,422118,wkdt,Q21331906,,,,,,
16029452,422118,,Mubavu,,,,,,
15835780,422132,wkdt,Q21331899,,,,,,
16029453,422132,,Nyakagonda,,,,,,
5665842,422142,,Coganyana,,,,,,
5665843,422142,,Goganyana,,,,,,
15887388,422143,wkdt,Q21331895,,,,,,
16029454,422143,,Nyonzo,,,,,,
5665844,422145,,Nyamabuye,,,,,,
5665845,422145,,Nyamabaye,,,,,,
5665846,422147,,Nyacongwe,,,,,,
5665847,422147,,Nyakongwe,,,,,,
15379538,422154,wkdt,Q21331888,,,,,,
16029455,422154,,Kavuga,,,,,,
5665848,422160,,Ruhesu,,,,,,
5665849,422160,,Buhesu,,,,,,
272417,422161,,Kigarike,,,,,,
4808858,422161,,Kigarika,,,,,,
15126203,422170,wkdt,Q21331882,,,,,,
16029456,422170,,Kirogorya,,,,,,
5665850,422180,,Ruvumera,,,,,,
5665851,422180,,Buvumera,,,,,,
14866757,422192,wkdt,Q21331874,,,,,,
16029457,422192,,Burenza,,,,,,
272418,422213,,Buyezi,,,,,,
4808859,422213,,Bugezi,,,,,,
1925850,422232,de,Makamba,,,,,,
1925851,422232,en,Makamba,,,,,,
1925852,422232,it,Makamba,,,,,,
3038076,422232,ru,Макамба,,,,,,
4808860,422232,,Makamba,,,,,,
7034991,422232,link,https://en.wikipedia.org/wiki/Makamba%2C_Burundi,,,,,,
11414166,422232,el,Μακάμπα,,,,,,
11414167,422232,fa,ماکامبا، بوروندی,,,,,,
11414168,422232,ur,ماکامبا,,,,,,
15389934,422232,wkdt,Q1286083,,,,,,
272419,422233,,iProvense ya Makamba,,,,,,
2186008,422233,,Makamba,1,1,,,,
5651377,422233,fr,Province de Makamba,,,,,,
5701540,422233,link,https://en.wikipedia.org/wiki/Makamba_Province,,,,,,
5906875,422233,rn,iProvense ya Makamba,,,,,,
11659604,422233,en,Makamba Province,1,,,,,
11659605,422233,en,Makamba,,1,,,,
11803055,422233,fr,Makamba,,,,,,
14851032,422233,wkdt,Q823740,,,,,,
15401682,422281,wkdt,Q21331844,,,,,,
16029458,422281,,Mucura,,,,,,
272420,422298,,Kahara,,,,,,
4808861,422298,,Gahara,,,,,,
5665852,422340,,Rusunwe,,,,,,
