AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1122056,2365095,,Agome River,,,,,,
1122057,2365095,,Monu,,,,,,
1122058,2365095,,Haho,,,,,,
4258905,2365095,,Mono,,,,,,
6960479,2365095,en,Mono RIver,,,,,,
2944056,2365800,link,https://en.wikipedia.org/wiki/Kouand%C3%A9,,,,,,
4259063,2365800,,Kouandé,,,,,,
1129879,2390699,,Zounta,,,,,,
4311001,2390699,,Zounto,,,,,,
1129880,2390700,,Zounkpa,,,,,,
4311002,2390700,,Zounkpé,,,,,,
1129881,2390701,,Zoungué,,,,,,
4311003,2390701,,Zounké,,,,,,
8099215,2390701,link,https://en.wikipedia.org/wiki/Zoungu%C3%A8,,,,,,
8080191,2390702,link,https://en.wikipedia.org/wiki/Zoungoudo,,,,,,
8108728,2390702,,Zoungoudo,,,,,,
14981033,2390702,wkdt,Q135070,,,,,,
1129882,2390703,,Zumboji,,,,,,
1129883,2390703,,Zoumbodji,,,,,,
4311004,2390703,,Zoungbodji,,,,,,
1129884,2390708,,Adjadji-Zoungbomé,,,,,,
4311005,2390708,,Zoumbomé,,,,,,
1129885,2390714,,Zougou,,,,,,
1129886,2390714,,Zugu,,,,,,
4311006,2390714,,Zougou-Pantrossi,,,,,,
13928559,2390714,link,https://en.wikipedia.org/wiki/Zoungou-Pantrossi,,,,,,
1129887,2390715,,Zougoudo,,,,,,
4311007,2390715,,Zougodo,,,,,,
1129888,2390718,,Zoungame,,,,,,
4311008,2390718,,Zoudjamé,,,,,,
1129889,2390719,,Center,,,,,,
1129890,2390719,,Zou,,1,,,,
1129891,2390719,,Département du Centre,,,,,,
1129892,2390719,,Province du Zou,,,,,,
5650086,2390719,,Département du Zou,,,,,,
5700768,2390719,link,https://en.wikipedia.org/wiki/Zou_Department,,,,,,
11659541,2390719,en,Zou Department,1,,,,,
11659542,2390719,en,Zou,,1,,,,
14912830,2390719,wkdt,Q29172,,,,,,
1129893,2390720,,River Su,,,,,,
1129894,2390720,,Zu,,,,,,
4311009,2390720,,Zou,,,,,,
1129895,2390727,,Zobodomé,,,,,,
4311010,2390727,,Zogbodomé,,,,,,
1129896,2390731,,Zivié-Zounmé,,,,,,
1129897,2390731,,Zivie,,,,,,
