AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
7546452,3578267,link,https://en.wikipedia.org/wiki/Morne_du_Vitet,,,,,,
11088757,3578267,,Morne du Vitet,,,,,,
13702169,3578267,fr,Morne de Vitet,,,,,,
1455842,3578335,,Pointe Toiny,,,,,,
1455843,3578335,,Pointe à Toiny,,,,,,
5663263,3578335,,Pointe à Toigny,,,,,,
1455844,3578336,,Grand Fond,,,,,,
5663264,3578336,,Anse à Toigny,,,,,,
13702170,3578336,fr,Anse Toiny,,,,,,
1455845,3578337,,Quartier de Toiny,,,,,,
7078103,3578337,link,https://en.wikipedia.org/wiki/Toiny,,,,,,
13702171,3578337,fr,Toiny,,,,,,
13702172,3578337,,Toigny,,,,,,
15433559,3578337,wkdt,Q7813380,,,,,,
1455846,3578338,,Îlot Toc Vers,,,,,,
1455847,3578338,,Toc Verte,,,,,,
5663265,3578338,,Île Toc Vers,,,,,,
1455865,3578359,,Rocher Table,,,,,,
1455866,3578359,,Table,,,,,,
4330404,3578359,,Roche Table,,,,,,
13702173,3578359,fr,Roche Plate,,,,,,
13702174,3578359,fr,Table à Diable,,,,,,
14850727,3578359,wkdt,Q21790684,,,,,,
1455868,3578362,,Southeast Channel,,,,,,
5663266,3578362,,Canal du Sud-Est,,,,,,
1455871,3578365,,South Channel,,,,,,
5663267,3578365,,Canal du Sud,,,,,,
1455907,3578432,,Baie Saint Jean,,,,,,
5663268,3578432,,Baie de Saint-Jean,,,,,,
1455908,3578433,,Quartier Saint-Jean,,,,,,
15691099,3578433,wkdt,Q7400669,,,,,,
15911578,3578433,link,"https://en.wikipedia.org/wiki/Saint-Jean,_Saint_Barth%C3%A9lemy",,,,,,
1455924,3578475,,Saint Barthelemy,,,,,,
1455925,3578475,,Saint Barts,,,,,,
1455926,3578475,,Saint Bartholomew,,,,,,
1455927,3578475,,Saint Bartholomew Island,,,,,,
1989434,3578475,fr,Saint-Barthélemy,,,,,,
1989435,3578475,en,Saint-Barthélemy,,,,,,
1989436,3578475,de,Saint-Barthélemy,,,,,,
1989437,3578475,pl,Saint-Barthélemy,,,,,,
1989438,3578475,es,Isla de San Bartolomé,,,,,,
1989439,3578475,ca,Saint-Barthélemy,,,,,,
1989440,3578475,fi,Saint Barthélemy,,,,,,
1989441,3578475,id,Saint-Barthélemy,,,,,,
1989442,3578475,it,Saint-Barthélemy,,,,,,
1989443,3578475,ja,サン・バルテルミ島,,,,,,
1989444,3578475,ja,サン・バルテルミー島,,,,,,
1989445,3578475,lb,Saint-Barthélemy,,,,,,
1989446,3578475,nl,Saint Barthélemy,,,,,,
1989447,3578475,nl,Saint-Barthélemy,,,,,,
1989448,3578475,no,Saint-Barthélemy,,,,,,
1989449,3578475,ro,Saint Barthélemy,,,,,,
1989450,3578475,sv,Saint Barthélemy,,,,,,
1989451,3578475,sv,Saint-Barthélemy,,,,,,
3056559,3578475,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%91%D0%B0%D1%80%D1%82%D0%B5%D0%BB%D1%8C%D0%BC%D0%B8,,,,,,
3075098,3578475,bg,Сен Бартелеми,,,,,,
5663269,3578475,,Île Saint-Barthélemy,,,,,,
8514658,3578475,link,https://en.wikipedia.org/wiki/Saint_Barth%C3%A9lemy,,,,,,
11088758,3578475,,Saint-Barthélemy,,,,,,
13385433,3578475,en,St Barts,1,,,,,
2417155,3578476,,Ouanalao,,,,,,
2417156,3578476,,Saint Barthélemy,1,,,,,
2417157,3578476,abbr,St. Barts,,,,,,
2420223,3578476,en,Saint Barthélemy,1,,,,,
2426753,3578476,ru,Сен-Бартельми,,,,,,
2430945,3578476,fr,Saint-Barthélemy,1,,,,,
2430946,3578476,it,San Bartolomeo,,,,,,
2430947,3578476,pt,São Bartolomeu,,,,,,
2430948,3578476,de,Sankt Bartholomäus,,,,,,
2430949,3578476,es,San Bartolomé,,,,,,
3075097,3578476,bg,Сен Бартелеми,,,,,,
3075869,3578476,link,https://en.wikipedia.org/wiki/Saint_Barth%C3%A9lemy,,,,,,
6910485,3578476,pl,Saint Barthélemy,,,,,,
6998100,3578476,uk,Сен-Бартельмі,1,1,,,,
7085274,3578476,af,Sint Barthélemy,1,,,,,
7085275,3578476,am,ቅዱስ በርቴሎሜ,1,,,,,
7085276,3578476,ar,سان بارتليمي,1,,,,,
7085277,3578476,az,Seynt Bartelemey,1,,,,,
