AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1453980,3572955,,Wilson Island,,,,,,
1453981,3572955,,Wilson’s Island,,,,,,
4307285,3572955,,Five Star Island,,,,,,
1453982,3572958,,Kerosene Island,,,,,,
4307286,3572958,,White’s Island,,,,,,
6889030,3572958,link,https://en.wikipedia.org/wiki/Kerosene_Island%2C_Bermuda,,,,,,
1453983,3572960,en,White Island,,,,,,
4307287,3572960,en,White’s Island,1,,,,,
8073822,3572960,link,https://en.wikipedia.org/wiki/White%27s_Island,,,,,,
6889158,3572962,link,https://en.wikipedia.org/wiki/Whale_Island%2C_Sandys%2C_Bermuda,,,,,,
6922934,3572962,,Whale Island,,,,,,
6889848,3572965,link,https://en.wikipedia.org/wiki/Westcott_Island%2C_Bermuda,,,,,,
6922935,3572965,,Westcott Island,,,,,,
6889544,3572968,link,https://en.wikipedia.org/wiki/Watford_Island%2C_Bermuda,,,,,,
6922936,3572968,,Watford Island,,,,,,
1453984,3572972,,Warwick,,1,,,,
1453985,3572972,,Heron Bay,,,,,,
5650052,3572972,,Warwick Parish,,,,,,
7147785,3572972,link,https://en.wikipedia.org/wiki/Warwick_Parish%2C_Bermuda,,,,,,
13729167,3572974,unlc,BMWA7,,,,,,
13826834,3572974,,Warwick Camp,,,,,,
15629193,3572975,wkdt,Q21790628,,,,,,
15958569,3572975,,Walsingham Caves,,,,,,
1453986,3572981,,Two Rocks Passage,,,,,,
1453987,3572981,,Two Rocks Pass,,,,,,
4307288,3572981,,Two Rock Passage,,,,,,
1453988,3572985,,Tudor Hill,,,,,,
4307289,3572985,,Tudor’s Hill,,,,,,
6900110,3572988,link,https://en.wikipedia.org/wiki/Tucker%27s_Town%2C_Bermuda,,,,,,
6922937,3572988,,Tucker’s Town,,,,,,
7491423,3572990,link,https://en.wikipedia.org/wiki/Trunk_Island%2C_Bermuda,,,,,,
7566280,3572990,,Trunk Island,,,,,,
2986033,3572991,link,https://en.wikipedia.org/wiki/Trott%27s_Pond%2C_Bermuda,,,,,,
4307290,3572991,,Trott’s Pond,,,,,,
1453989,3572994,,The Peak,,,,,,
4307291,3572994,,Town Hill,,,,,,
5902059,3572994,link,https://en.wikipedia.org/wiki/Town_Hill%2C_Bermuda,,,,,,
1453990,3572995,,Town Cut Channel,,,,,,
4307292,3572995,,Town Cut,,,,,,
1453991,3573001,,The Flatts Village,,,,,,
4307293,3573001,,Flatt’s Village,,,,,,
7042483,3573001,link,https://en.wikipedia.org/wiki/Flatts_Village%2C_Bermuda,,,,,,
1453992,3573002,,Brangmans Spots,,,,,,
4307294,3573002,,The Chimneys,,,,,,
1453993,3573004,,Taylor Point,,,,,,
4307295,3573004,,Taylor’s Point,,,,,,
1453994,3573009,,Cherrystone Hill,,,,,,
4307296,3573009,,Sugarloaf Hill,,,,,,
6894889,3573020,link,https://en.wikipedia.org/wiki/Spittal_Pond%2C_Bermuda,,,,,,
6922938,3573020,,Spittal Pond,,,,,,
