AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
5463343,1820068,,Tutong,,1,,,,
5700696,1820068,link,https://en.wikipedia.org/wiki/Tutong_District,,,,,,
7977477,1820068,,Tutong District,,,,,,
14912222,1820068,wkdt,Q40398,,,,,,
914373,1820069,,Batang Tutong,,,,,,
914374,1820069,,Sungi Tutong,,,,,,
4310739,1820069,,Sungai Tutong,,,,,,
7544157,1820071,link,https://en.wikipedia.org/wiki/Pekan_Tutong,,,,,,
7566345,1820071,,Tutong,,,,,,
914375,1820072,,Bukit Tunjang Pepit,,,,,,
4310740,1820072,,Bukit Tunjang Pipit,,,,,,
914376,1820073,,Sungai Tangku,,,,,,
4310741,1820073,,Sungai Tungku,,,,,,
914377,1820074,,Sungai Tangkodeh,,,,,,
4310742,1820074,,Sungai Tungkadeh,,,,,,
914378,1820075,,Sungai Supodian Kechil,,,,,,
4310743,1820075,,Sungai Tunggulian Kechil,,,,,,
914379,1820076,,Sungai Supodian Besar,,,,,,
4310744,1820076,,Sungai Tunggulian Besar,,,,,,
914380,1820077,,Bukit Tungulian,,,,,,
4310745,1820077,,Bukit Tunggulian,,,,,,
914381,1820091,,Mount Scott,,,,,,
4310746,1820091,,Bukit Teraja,,,,,,
914382,1820093,,Sungai Tapangan,,,,,,
4310747,1820093,,Sungai Tepangan,,,,,,
914383,1820094,,Sungei Tepan,,,,,,
4310748,1820094,,Sungai Tepam,,,,,,
4310749,1820096,,Sungai Tengah,,,,,,
914387,1820098,,Sungai Tendureh Kechil,,,,,,
4310750,1820098,,Sungai Tendureh Damit,,,,,,
914388,1820100,,Tempuan Ugar,,,,,,
914389,1820100,,Kampong Ugar,,,,,,
4310751,1820100,,Tempuan Ugas,,,,,,
914390,1820102,,Bukit Pisang,,,,,,
4310752,1820102,,Bukit Tempayan Pisang,,,,,,
13359155,1820102,en,Pisang Hill,,,,,,
5463342,1820106,,Temburong,,1,,,,
5701319,1820106,link,https://en.wikipedia.org/wiki/Temburong_District,,,,,,
7977478,1820106,,Temburong District,,,,,,
15894339,1820106,wkdt,Q263285,,,,,,
914391,1820107,,Sungei Tamburong,,,,,,
914392,1820107,,Sungi Tamburong,,,,,,
914393,1820107,,Temboeroeng River,,,,,,
4310753,1820107,,Sungai Temburong,,,,,,
914394,1820110,,Sungai Tembailik,,,,,,
914395,1820110,,Sungai Tambailik,,,,,,
4310754,1820110,,Sungai Tembailek,,,,,,
914396,1820111,,Sungei Tamawa,,,,,,
4310755,1820111,,Sungai Temawai,,,,,,
914397,1820115,,Sungai Telusai,,,,,,
4310756,1820115,,Sungai Telisai,,,,,,
914398,1820118,,Sungai Talamba,,,,,,
4310757,1820118,,Sungai Telamba,,,,,,
914399,1820120,,Sungai Tekoyong,,,,,,
4310758,1820120,,Sungai Tekuyong,,,,,,
914400,1820123,,Sungei Tarin,,,,,,
4310759,1820123,,Sungai Taring,,,,,,
914401,1820125,,Sungei Terap,,,,,,
914402,1820125,,Sungai Tarrap,,,,,,
4310760,1820125,,Sungai Tarap,,,,,,
15095769,1820130,wkdt,Q21790193,,,,,,
15959121,1820130,,Pulau Tanjong Maya,,,,,,
914403,1820131,,Sungei Tangar,,,,,,
4310761,1820131,,Sungai Tangur,,,,,,
914404,1820135,,Arur Tanab,,,,,,
4310762,1820135,,Aur Tanah,,,,,,
914405,1820137,,Sungei Tumpuan Nyatoi,,,,,,
4310763,1820137,,Sungai Tampuan Nyatoi,,,,,,
914406,1820138,,Sungai Tampui,,,,,,
4310764,1820138,,Sungai Tampoi,,,,,,
914407,1820141,,Sungei Bong Tadiu,,,,,,
4310765,1820141,,Bang Tajok,,,,,,
914408,1820145,,Bukit Tabur Bintang,,,,,,
4310766,1820145,,Bukit Tabor Bintang,,,,,,
914411,1820155,,Sungei Sembiling,,,,,,
4310767,1820155,,Sungai Sumbiling,,,,,,
7546884,1820159,link,https://en.wikipedia.org/wiki/Sukang%2C_Belait,,,,,,
7566346,1820159,,Sukang,,,,,,
914423,1820170,,Sungei Senukoh,,,,,,
914424,1820170,,Sungai Sinuko,,,,,,
4310768,1820170,,Sungai Sinukoh,,,,,,
914425,1820172,,Bukit Ingap,,,,,,
4310769,1820172,,Bukit Singap,,,,,,
914426,1820175,,Sungai Silirubai,,,,,,
4310770,1820175,,Sungai Sinarubai,,,,,,
914427,1820177,,Pulau Selamok,,,,,,
914428,1820177,,Pulau Salamat,,,,,,
4310771,1820177,,Pulau Silama,,,,,,
15645864,1820177,wkdt,Q21790154,,,,,,
914429,1820178,,Sungei Sibatu,,,,,,
4310772,1820178,,Sungai Sigoho,,,,,,
914430,1820180,,Pulau Sebungor,,,,,,
4310773,1820180,,Pulau Sibungor,,,,,,
914431,1820183,,Siarau Island,,,,,,
4310774,1820183,,Pulau Siarau,,,,,,
15637455,1820183,wkdt,Q21790148,,,,,,
914432,1820185,,Sungei Seran,,,,,,
4310775,1820185,,Sungai Seria,,,,,,
2937926,1820187,link,https://en.wikipedia.org/wiki/Seria,,,,,,
3039850,1820187,ru,Серия,,,,,,
4310776,1820187,,Seria,,,,,,
11475508,1820187,ja,セリア,,,,,,
11475509,1820187,lt,Serija,,,,,,
11475510,1820187,th,เซอเรีย,,,,,,
11475511,1820187,ru,Сериа,,,,,,
13729172,1820187,unlc,BNSER,,,,,,
914433,1820189,,Sungai Samburo,,,,,,
4310777,1820189,,Sungai Semburu,,,,,,
914434,1820196,,Tanjong Salirong,,,,,,
4310778,1820196,,Tanjong Selirong,,,,,,
13729173,1820196,unlc,BNTAS,,,,,,
914435,1820202,,Sungei Silanjak,,,,,,
4310779,1820202,,Sungai Selanjak,,,,,,
15270405,1820207,wkdt,Q21790126,,,,,,
15959122,1820207,,Pulau Sekurop,,,,,,
914436,1820210,,Sungai Sebanyak,,,,,,
4310780,1820210,,Sungai Sebunyak,,,,,,
914437,1820212,,Sungei Sabatu,,,,,,
4310781,1820212,,Sungai Sebatu,,,,,,
914438,1820219,,Tanjong Sapo,,,,,,
914439,1820219,,Sapo Point,,,,,,
4310782,1820219,,Tanjung Sapu,,,,,,
914440,1820227,,Sungai Belar,,,,,,
4310783,1820227,,Sungai Salar,,,,,,
15428217,1820228,wkdt,Q21790107,,,,,,
15959123,1820228,,Pulau Salar,,,,,,
914441,1820229,,Sungei Lawang,,,,,,
4310784,1820229,,Sungai Salang,,,,,,
914442,1820232,,Sagan A Bukit,,,,,,
4310785,1820232,,Bukit Sagan,,,,,,
914443,1820233,,Bukit Say,,,,,,
4310786,1820233,,Bukit Saeh,,,,,,
914445,1820242,,Sungei Resuan,,,,,,
4310787,1820242,,Sungai Resuar,,,,,,
914446,1820243,,Sungei Pempanga,,,,,,
914447,1820243,,Sungai Rempangar,,,,,,
4310788,1820243,,Sungai Rempanga,,,,,,
914448,1820246,,Rauai River,,,,,,
4310789,1820246,,Sungai Rawai,,,,,,
2937927,1820249,link,https://en.wikipedia.org/wiki/Rasau,,,,,,
4310790,1820249,,Rasau,,,,,,
15417069,1820250,wkdt,Q21790091,,,,,,
15959124,1820250,,Pulau Ranggu,,,,,,
914449,1820252,,Sungei Rempayuh,,,,,,
