AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1415444,3443961,,Yule,,,,,,
4507812,3443961,,Yute,,,,,,
1415445,3443967,,Yacoriza,,,,,,
4507904,3443967,,Yacurizal,,,,,,
1415446,3443968,,Cerro Yacucses,,,,,,
4507910,3443968,,Cerro Yacuces,,,,,,
15835293,3443968,wkdt,Q21792494,,,,,,
1415447,3443969,,Ya Cuses,,,,,,
4507911,3443969,,Yacuces,,,,,,
1415448,3443971,,Serra de Jacadigo,,,,,,
1415449,3443971,,Sierra de Jacadigo,,,,,,
4507916,3443971,,Cerros del Yacadigo,,,,,,
1415450,3443973,,Laguna Jesus de los Vitiones,,,,,,
4507948,3443973,,Laguna de los Vitiones,,,,,,
1415451,3443974,,Fortin Vitriones,,,,,,
4507949,3443974,,Fortín Vitiones,,,,,,
1415452,3443976,,Cerro Vitriones,,,,,,
4507950,3443976,,Cerro Vition,,,,,,
1415453,3443977,,Virtude,,,,,,
1415454,3443977,,Virtud,,,,,,
4507969,3443977,,Virtudes,,,,,,
1415456,3443988,,Curichi Verde,,,,,,
4508068,3443988,,Curiche Verde,,,,,,
1415457,3443989,,25 de Julio,,,,,,
4508083,3443989,,Veinticinco de Julio,,,,,,
1415458,3443990,,Fortin Vanguardia,,,,,,
1415459,3443990,,Vanguardia,,,,,,
1415460,3443990,,Vanguardia Segundo,,,,,,
4508088,3443990,,Fortín Vanguardia Segundo,,,,,,
1415461,3443991,,Fortin Vanguardia,,,,,,
1415462,3443991,,Vanguardia,,,,,,
4508089,3443991,,Fortín Vanguardia Primero,,,,,,
1415463,3443994,,La Unión,,,,,,
4508136,3443994,,Unido,,,,,,
1415464,3443999,,Tunuma,,,,,,
4508201,3443999,,Tunama,,,,,,
1415465,3444002,,Río Tucabaca,,,,,,
1415466,3444002,,Rio Tucavacu,,,,,,
4508231,3444002,,Río Tucavaca,,,,,,
1415467,3444003,,Tucabaca,,,,,,
4508233,3444003,,Tucavaca,,,,,,
1415468,3444007,,Trapiche,,,,,,
4508258,3444007,,Trapiches,,,,,,
1415469,3444010,,Tarumoaca,,,,,,
1415470,3444010,,Totamoaco,,,,,,
1415471,3444010,,Totombaca,,,,,,
4508281,3444010,,Totomoaca,,,,,,
1415472,3444012,,Santo Tomas,,,,,,
4508330,3444012,,Tomás,,,,,,
1415473,3444018,,Estacion Tapoy,,,,,,
4508483,3444018,,Estación Tayoy,,,,,,
1415474,3444019,,Topoy,,,,,,
4508484,3444019,,Tayoy,,,,,,
1415475,3444026,,Taperema,,,,,,
4508545,3444026,,Tapenema,,,,,,
1415476,3444027,,Tauanaquis,,,,,,
1415477,3444027,,Tapanquis,,,,,,
1415478,3444027,,Taranaquis,,,,,,
4508549,3444027,,Tapanaquis,,,,,,
1415479,3444028,,Tamama,,,,,,
1415480,3444028,,Tuname,,,,,,
1415481,3444028,,Tunama,,,,,,
4508550,3444028,,Tapama,,,,,,
1415482,3444032,,Tacucaral,,,,,,
4508632,3444032,,Tacuaral,,,,,,
1415483,3444034,,Cordillera de Sunsas,,,,,,
1415484,3444034,,Serranía de Sunsas,,,,,,
1415485,3444034,,Sierra Las Sunsas,,,,,,
1415486,3444034,,Sierra de Sunsas,,,,,,
4508700,3444034,,Serranía Sunsas,,,,,,
1415487,3444040,,Sepeno,,,,,,
1415488,3444040,,Sepema,,,,,,
4508860,3444040,,Sepemo,,,,,,
1415489,3444043,,6 de Abril,,,,,,
4508872,3444043,,Seis de Abril,,,,,,
1415490,3444051,,Ruina de Santo Corazón,,,,,,
4508926,3444051,,Ruinas de Santo Corazón,,,,,,
1415491,3444052,,Río de Santo Corazón,,,,,,
4508927,3444052,,Río Santo Corazón,,,,,,
