AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1435295,3513084,,Old Fort,,,,,,
4224038,3513084,,Fort de Windt,,,,,,
1435298,3513093,,Witte Wal,,,,,,
4224040,3513093,,White Wall,,,,,,
1435299,3513100,,Well’s Baai,,,,,,
4224041,3513100,,Well’s Bay,,,,,,
1435302,3513105,,Punt’i Wecúa,,,,,,
1435303,3513105,,Wekoewa Punt,,,,,,
4224045,3513105,,Wecua Punt,,,,,,
1435304,3513106,,Wekoewa,,,,,,
4224046,3513106,,Ceru Wecúa,,,,,,
1435307,3513125,,Salina Wayaka,,,,,,
4224049,3513125,,Saliña Wajaká,,,,,,
1435310,3513131,,Vierkant Point,,,,,,
4224051,3513131,,Punt Vierkant,,,,,,
1435311,3513134,,Venicebaai,,,,,,
1435312,3513134,,Venus Bay,,,,,,
4224052,3513134,,Venus Baai,,,,,,
1435317,3513146,,Hellsgate,,,,,,
1435318,3513152,,Rooi Toena,,,,,,
4224055,3513152,,Rooi Tuna,,,,,,
1435319,3513153,,Tumble Down Dick Baai,,,,,,
1435320,3513153,,Baai van Tumble-Down-Dick,,,,,,
4224056,3513153,,Tumble Down Dick Bay,,,,,,
1435321,3513158,,Traaï Montagne,,,,,,
1435322,3513158,,Tran di Montagne,,,,,,
4224057,3513158,,Tra’i Montaña,,,,,,
1435323,3513159,,Torrens Punt,,,,,,
4224058,3513159,,Torrens Point,,,,,,
1435324,3513160,,Torrens Baai,,,,,,
4224059,3513160,,Torrens Bay,,,,,,
1435326,3513173,,Leverock Town,,,,,,
1435327,3513173,,Bottom,,,,,,
2985650,3513173,link,https://en.wikipedia.org/wiki/The_Bottom,,,,,,
3056434,3513173,link,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%82%D1%82%D0%BE%D0%BC,,,,,,
13729234,3513173,unlc,BQBOT,,,,,,
15364671,3513173,wkdt,Q475718,,,,,,
15632553,3513174,wkdt,Q21806620,,,,,,
1435330,3513191,,Subi di Rincon,,,,,,
1435331,3513191,,Soebi Rincon,,,,,,
4224063,3513191,,Subi Rincon,,,,,,
15444235,3513191,wkdt,Q25710786,,,,,,
1435332,3513198,,Springbaai,,,,,,
4224064,3513198,,Spring Bay,,,,,,
1435333,3513200,,Boka Spilon,,,,,,
