AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
7545223,1252388,link,https://en.wikipedia.org/wiki/Yuwak,,,,,,
7561360,1252388,,Yuwak,,,,,,
15754114,1252388,wkdt,Q8062177,,,,,,
7146372,1252393,link,https://en.wikipedia.org/wiki/Yalang,,,,,,
7319140,1252393,,Yālang,,,,,,
642116,1252394,,Wong,,,,,,
642117,1252394,,Timbu,,,,,,
642118,1252394,,Chhuka,,,,,,
642119,1252394,,Thimbu,,,,,,
642120,1252394,,Chin Chu,,,,,,
4114554,1252394,,Wong Chu,,,,,,
642121,1252395,,Wangdü Phodrang,,,,,,
642122,1252395,,Du Phodrang,,,,,,
4114555,1252395,,Wangdiphodrang,,,,,,
7319141,1252395,,Wangdue Phodrang,,,,,,
7513463,1252395,link,https://en.wikipedia.org/wiki/Wangdue_Phodrang,,,,,,
7951276,1252395,,Wangdu Phodrang,,,,,,
6909634,1252396,link,https://en.wikipedia.org/wiki/Wangchukling,,,,,,
6918485,1252396,,Wangchukling,,,,,,
15303700,1252396,wkdt,Q7967833,,,,,,
6909849,1252398,link,https://en.wikipedia.org/wiki/Usak%2C_Bhutan,,,,,,
6918486,1252398,,Usak,,,,,,
642123,1252400,,Uro Dzong,,,,,,
4114556,1252400,,Ura Dzong,,,,,,
7200307,1252401,link,https://en.wikipedia.org/wiki/Ura_Gewog,,,,,,
7319142,1252401,,Ura,,,,,,
6901385,1252403,link,https://en.wikipedia.org/wiki/Tse_Kang,,,,,,
6918487,1252403,,Tse Kang,,,,,,
15623427,1252403,wkdt,Q7849480,,,,,,
642124,1252405,,Tremo Pass,,,,,,
642125,1252405,,Tren o La,,,,,,
4114557,1252405,,Tremo La,,,,,,
642126,1252406,,Tosuman,,,,,,
4114558,1252406,,Tosumani,,,,,,
6898674,1252406,link,https://en.wikipedia.org/wiki/Tosumani,,,,,,
642127,1252407,,Torma Shong,,,,,,
4114559,1252407,,Tormoshangsa,,,,,,
6901792,1252407,link,https://en.wikipedia.org/wiki/Tormoshangsa,,,,,,
15498730,1252407,wkdt,Q7825933,,,,,,
642128,1252408,,Tongsa Dzong,,,,,,
2930970,1252408,link,https://en.wikipedia.org/wiki/Trongsa,,,,,,
3038944,1252408,ru,Тонгса,,,,,,
3050115,1252408,link,https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BD%D0%B3%D1%81%D0%B0,,,,,,
4114560,1252408,,Tongsa,,,,,,
7319143,1252408,,Trongsa,,,,,,
642129,1252409,,Mangde Chu,,,,,,
642130,1252409,,Mangde,,,,,,
642131,1252409,,Tongsa Chu,,,,,,
642132,1252409,,Tongsa,,,,,,
4114561,1252409,,Mangde Chhu,,,,,,
6890649,1252409,link,https://en.wikipedia.org/wiki/Mangde_Chhu,,,,,,
6899187,1252410,link,https://en.wikipedia.org/wiki/Tongla_Kenga,,,,,,
6918488,1252410,,Tongla Kenga,,,,,,
15464477,1252410,wkdt,Q7821106,,,,,,
6902334,1252411,link,https://en.wikipedia.org/wiki/Tobrang,,,,,,
6918489,1252411,,Tobrang,,,,,,
15688828,1252411,wkdt,Q7811735,,,,,,
642133,1252413,,Thunkar,,,,,,
4114562,1252413,,Khenpa Dzong,,,,,,
6899068,1252413,link,https://en.wikipedia.org/wiki/Khenpa_Dzong,,,,,,
15427584,1252413,wkdt,Q6401301,,,,,,
6901873,1252415,link,https://en.wikipedia.org/wiki/Thumgaon,,,,,,
6918490,1252415,,Thumgaon,,,,,,
15368011,1252415,wkdt,Q7798849,,,,,,
642134,1252416,,Thimbu,,,,,,
642135,1252416,,Thimpu,,,,,,
642136,1252416,,Thimpago,,,,,,
1596528,1252416,de,Thimphu,,,,,,
1596529,1252416,en,Thimphu,,,,,,
1596530,1252416,es,Thimphu,,,,,,
1596531,1252416,eo,Timbuo,,,,,,
1596532,1252416,et,Thimphu,,,,,,
1596533,1252416,fi,Thimphu,,,,,,
1596534,1252416,fr,Thimphou,,,,,,
1596535,1252416,he,טהימפהו,,,,,,
1596536,1252416,hi,थिम्फू,,,,,,
1596537,1252416,id,Thimphu,,,,,,
1596538,1252416,io,Thimphu,,,,,,
1596539,1252416,it,Thimphu,,,,,,
1596540,1252416,ja,ティンプー,,,,,,
1596541,1252416,ko,팀부,,,,,,
1596542,1252416,nl,Thimphu,,,,,,
1596543,1252416,no,Thimpu,,,,,,
1596544,1252416,pl,Thimphu,,,,,,
1596545,1252416,pt,Thimbu,,,,,,
1596546,1252416,ru,Тхимпху,,,,,,
1596547,1252416,sk,Thimbu,,,,,,
1596548,1252416,sv,Thimphu,,,,,,
1596549,1252416,ta,திம்பு,,,,,,
1596550,1252416,zh,廷布,,,,,,
1622233,1252416,es,Timbu,1,,,,,
1622234,1252416,lt,Timpu,,,,,,
