AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1391218,3371096,,Williamsrevet,,,,,,
4332779,3371096,,Williams Reef,,,,,,
8086256,3371096,link,https://en.wikipedia.org/wiki/Williams_Reef,,,,,,
1391219,3371097,,Kaap Valdivia,,,,,,
1627128,3371097,ca,Cap Valdivia,,,,,,
4332780,3371097,,Cape Valdivia,,,,,,
7526299,3371097,link,https://en.wikipedia.org/wiki/Cape_Valdivia,,,,,,
1391220,3371098,,Gross Kari,,,,,,
1391221,3371098,,Store Kari,,,,,,
4332781,3371098,,Store Kari Rock,,,,,,
7531986,3371098,link,https://en.wikipedia.org/wiki/Store_Kari_Rock,,,,,,
1391222,3371099,,Spiessbåene,,,,,,
4332782,3371099,,Spiess Rocks,,,,,,
8070680,3371099,link,https://en.wikipedia.org/wiki/Spiess_Rocks,,,,,,
11020516,3371099,,Spiess Reef,,,,,,
1391223,3371100,,Sachsebåene,,,,,,
4332783,3371100,,Sachse Rocks,,,,,,
8074592,3371100,link,https://en.wikipedia.org/wiki/Sachse_Rocks,,,,,,
1391224,3371101,no,Rustadkollen,,,,,,
8094322,3371101,link,https://en.wikipedia.org/wiki/Rustad_Knoll,,,,,,
1391225,3371102,,Räuberhöhle,,,,,,
1391226,3371102,,Røverhullet,,,,,,
4332784,3371102,,Røver Anchorage,,,,,,
8096761,3371102,link,https://en.wikipedia.org/wiki/Rover_Anchorage,,,,,,
1391227,3371103,,Posadowskys Bre,,,,,,
1391228,3371103,,Posadowskybreen,,,,,,
4332785,3371103,,Posadowsky Glacier,,,,,,
8078111,3371103,link,https://en.wikipedia.org/wiki/Posadowsky_Glacier_%28Bouvet_Island%29,,,,,,
1391229,3371104,,Olavs Topp,,,,,,
1391230,3371104,,Kaiser Wilhelm Pik,,,,,,
1391231,3371104,,Olavtoppen,,,,,,
2298890,3371104,no,Olavstoppen,,,,,,
5759196,3371104,link,https://en.wikipedia.org/wiki/Olavtoppen,,,,,,
1391232,3371105,,Norvegiabåen,,,,,,
4332786,3371105,,Norvegia Rock,,,,,,
8090108,3371105,link,https://en.wikipedia.org/wiki/Norvegia_Rock,,,,,,
1391233,3371106,no,Norvegiaodden,,,,,,
1391234,3371106,,Cape Norvegia,,,,,,
1391235,3371106,,Point Norvegia,,,,,,
7520766,3371106,link,https://en.wikipedia.org/wiki/Norvegia_Point,,,,,,
1391236,3371107,,Norrisrevet,,,,,,
4332787,3371107,,Norris Reef,,,,,,
8081675,3371107,link,https://en.wikipedia.org/wiki/Norris_Reef,,,,,,
1391237,3371108,,Mosbys Topp,,,,,,
1391238,3371108,no,Mosbytoppen,,,,,,
11307279,3371108,link,https://en.wikipedia.org/wiki/Mosbytoppane,,,,,,
1391239,3371109,,Morrellrevet,,,,,,
4332788,3371109,,Morrell Reef,,,,,,
8092683,3371109,link,https://en.wikipedia.org/wiki/Morrell_Reef,,,,,,
1391240,3371110,,Kaap Meteor,,,,,,
1627126,3371110,ca,Cap Meteor,,,,,,
4332789,3371110,,Cape Meteor,,,,,,
7514222,3371110,link,https://en.wikipedia.org/wiki/Cape_Meteor,,,,,,
1391241,3371111,,Lykkes Topp,,,,,,
1391242,3371111,no,Lykketoppen,,,,,,
11315628,3371111,link,https://en.wikipedia.org/wiki/Lykketoppen,,,,,,
1391243,3371112,,Kaap Lollo,,,,,,
1627127,3371112,ca,Cap Lollo,,,,,,
2298889,3371112,no,Kapp Lollo,,,,,,
7509891,3371112,link,https://en.wikipedia.org/wiki/Cape_Lollo,,,,,,
1391244,3371113,,Lindsayrevet,,,,,,
4332790,3371113,,Lindsay Reef,,,,,,
8071138,3371113,link,https://en.wikipedia.org/wiki/Lindsay_Reef,,,,,,
1391245,3371114,,Lille Kari,,,,,,
1391246,3371114,,Litle-Kari,,,,,,
4332791,3371114,,Lille Kari Rock,,,,,,
7546949,3371114,link,https://en.wikipedia.org/wiki/Lille_Kari_Rock,,,,,,
1391247,3371115,,Lars Islet,,,,,,
1391248,3371115,,Larsøya,,,,,,
1627130,3371115,ca,Illa Lars,,,,,,
2298888,3371115,no,Larsøya,,,,,,
7542944,3371115,link,https://en.wikipedia.org/wiki/Lars%C3%B8ya,,,,,,
1391249,3371116,,Horntvedtbreen,,,,,,
1391250,3371116,,Horntvedts Bre,,,,,,
4332792,3371116,,Horntvedt Glacier,,,,,,
8071357,3371116,link,https://en.wikipedia.org/wiki/Horntvedt_Glacier,,,,,,
1391251,3371117,,Horns-revet,,,,,,
1391252,3371117,,Hornrevet,,,,,,
4332793,3371117,,Horn Reef,,,,,,
1391253,3371118,,Discovery Point,,,,,,
1627125,3371118,ca,Cap Fie,,,,,,
4332794,3371118,,Cape Fie,,,,,,
7527065,3371118,link,https://en.wikipedia.org/wiki/Cape_Fie,,,,,,
1391254,3371119,,Cape Circumcision,,,,,,
1391255,3371119,,Kaap Circoncision,,,,,,
4332795,3371119,,Cape Circoncision,,,,,,
7160084,3371119,link,https://en.wikipedia.org/wiki/Cape_Circoncision,,,,,,
1391256,3371120,,Christensens Bre,,,,,,
1391257,3371120,,Christensenbreen,,,,,,
4332796,3371120,,Christensen Glacier,,,,,,
8067810,3371120,link,https://en.wikipedia.org/wiki/Christensen_Glacier_%28Bouvet_Island%29,,,,,,
1391258,3371121,,Catoodden,,,,,,
1391259,3371121,,Seal Point,,,,,,
4332797,3371121,,Cato Point,,,,,,
7491415,3371121,link,https://en.wikipedia.org/wiki/Cato_Point,,,,,,
1391260,3371122,,Bouvet Island,,,,,,
1391261,3371122,,Bouvet,,,,,,
1620858,3371122,en,Bouvet Island,,,,,,
1620859,3371122,de,Bouvetinsel,,,,,,
1620860,3371122,es,Isla Bouvet,,,,,,
1620861,3371122,af,Bouvet,,,,,,
1620862,3371122,bg,Буве,,,,,,
1620863,3371122,ca,Bouvet,,,,,,
1620864,3371122,cs,Bouvetův ostrov,,,,,,
1620865,3371122,da,Bouvetøen,,,,,,
1620866,3371122,el,Μπουβέ,,,,,,
1620867,3371122,eo,Buvetinsulo,,,,,,
1620868,3371122,fi,Bouvet'nsaari,,,,,,
1620869,3371122,fr,Île Bouvet,,,,,,
1620870,3371122,he,בובה,,,,,,
1620871,3371122,hu,Bouvet-sziget,,,,,,
1620872,3371122,id,Pulau Bouvet,,,,,,
1620873,3371122,is,Bouveteyja,,,,,,
1620874,3371122,it,Isola Bouvet,,,,,,
1620875,3371122,ja,ブーベ島,,,,,,
1620876,3371122,ko,부베 섬,,,,,,
1620877,3371122,lt,Buvė,,,,,,
1620878,3371122,lv,Buvē sala,,,,,,
1620879,3371122,nl,Bouvet,,,,,,
1620880,3371122,nn,Bouvetøya,,,,,,
1620881,3371122,no,Bouvetøya,,,,,,
1620882,3371122,pl,Wyspa Bouveta,,,,,,
1620883,3371122,pt,Bouvet,,,,,,
1620884,3371122,ru,Буве,,,,,,
1620885,3371122,hbs,Otok Bouvet,,,,,,
1620886,3371122,sl,Otok Bouvet,,,,,,
1620887,3371122,sv,Bouvetön,,,,,,
1620888,3371122,tr,Bouvet Adası,,,,,,
1620889,3371122,zh,布韦岛,,,,,,
1633685,3371122,et,Bouvet' saar,,,,,,
1633686,3371122,hr,Otok Bouvet,,,,,,
1633687,3371122,sl,Bouvetov otok,,,,,,
1633688,3371122,uk,Буве,,,,,,
1896465,3371122,cy,Ynys Bouvet,,,,,,
1896466,3371122,sk,Bouvetov ostrov,,,,,,
1983010,3371122,sr,Острво Буве,,,,,,
3056346,3371122,link,https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%B2%D0%B5,,,,,,
4332798,3371122,,Bouvetøya,,,,,,
5463447,3371122,se,Bouvetsuolu,,,,,,
1391262,3371123,no,Bouvetøya,,,,,,
1627124,3371123,ca,Illa Bouvet,,,,,,
2256629,3371123,fr,Île Bouvet,1,1,,,,
2420051,3371123,am,ቡቬት ደሴት,1,,,,,
2420052,3371123,ar,جزيرة بوفيه,1,,,,,
2420053,3371123,be,Бувэ востраў,1,,,,,
2420054,3371123,bg,Остров Буве,1,,,,,
2420055,3371123,bn,বোভেট দ্বীপ,1,,,,,
2420056,3371123,cs,Bouvetův ostrov,1,,,,,
2420057,3371123,cy,Ynys Bouvet,1,,,,,
2420058,3371123,da,Bouvetø,1,,,,,
2420059,3371123,de,Bouvetinsel,1,,,,,
