AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
517814,932946,,Zweizwe Waterhole,,,,,,
4306913,932946,,Zweizwe,,,,,,
517815,932948,,Zuni,,,,,,
4306914,932948,,Zuni Pan,,,,,,
517816,932950,,Zebra Vley,,,,,,
4306915,932950,,Zebra Vlei,,,,,,
517817,932951,,Yomyu Vley,,,,,,
4306916,932951,,Yomyu Vlei,,,,,,
517818,932954,,Xgi Vley,,,,,,
4306917,932954,,Xgi Vlei,,,,,,
15793156,932955,wkdt,Q21858927,,,,,,
15958543,932955,,Xgara Island,,,,,,
517819,932956,,Dow Meer,,,,,,
517820,932956,,Lake Dow,,,,,,
4306918,932956,,Lake Xau,,,,,,
517821,932959,,Wheeler Vley,,,,,,
4306919,932959,,Wheeler Vlei,,,,,,
2929451,932960,link,https://en.wikipedia.org/wiki/Werda%2C_Botswana,,,,,,
4306920,932960,,Werda,,,,,,
517822,932962,,Vukwe,,,,,,
4306921,932962,,Vukwe River,,,,,,
6128525,932962,,Vukwi,,,,,,
517823,932966,,Ukwi,,,,,,
2929452,932966,link,https://en.wikipedia.org/wiki/Ukwi,,,,,,
4306922,932966,,Ukwi Pan,,,,,,
517824,932967,,Tutumi,,,,,,
4306923,932967,,Tutumi River,,,,,,
517825,932968,,Tuli Block,,,,,,
517826,932968,,Tuli District,,,,,,
517827,932968,,Tuli,,,,,,
4306924,932968,,Tuli Block Farms,,,,,,
517828,932971,,Tchwapong Hills,,,,,,
4306925,932971,,Tswapong Hills,,,,,,
6594239,932971,,Chwapong Hills,,,,,,
6594240,932971,,Chwapong,,,,,,
8094018,932971,link,https://en.wikipedia.org/wiki/Tswapong_Hills,,,,,,
517829,932974,,Tsodilo Hill,,,,,,
4306926,932974,,Tsodilo Hills,,,,,,
5709103,932974,link,https://en.wikipedia.org/wiki/Tsodilo,,,,,,
5775933,932977,,Tshimoyapula,,,,,,
