AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
279201,455859,,Sarjanka,,,,,,
279202,455859,,Sarija,,,,,,
279203,455859,,Saranka,,,,,,
279204,455859,,Sarja,,,,,,
3651329,455859,,Sar”yanka,,,,,,
5932496,455859,lv,Sarjanka,,,,,,
7356312,455859,be,Сар’янка,,,,,,
279419,456082,,Rositsa,,,,,,
3651448,456082,,Rosica,,,,,,
7356313,456082,be,Росіца,,,,,,
284638,461352,,Asunitsa,,,,,,
284639,461352,,Asūne,,,,,,
3654199,461352,,Asūnīca,,,,,,
7356317,461352,be,Асуніца,,,,,,
2795660,463295,be,Жалонь,,,,,,
2795661,463295,ru,Zhelon’,,,,,,
2795662,463295,,Mukhoyedovskiy Kanal,,,,,,
3718741,463295,be,Zhalon’,,,,,,
286359,464985,,Zaol'shanka,,,,,,
7095843,468812,,Yasyenyets,,,,,,
7095844,468812,,Yasenets’,,,,,,
7095845,468812,be,Ясенец,,,,,,
7095846,468812,uk,Ясенець,,,,,,
7095847,468812,,Yasenets,,,,,,
288197,469905,,Belorussiya,,,,,,
288198,469905,,Belorussia,,,,,,
288199,469905,,Byelorussia,,,,,,
3722887,469905,,White Russia,,,,,,
11841290,469905,,Beldorussia,,,,,,
7558869,477011,,Var’kovo,,,,,,
7558870,477011,ru,Варьково,,,,,,
7356516,477244,,Vozyera Val’kowskaye,,,,,,
7356517,477244,,Ozero Val’kovskoye,,,,,,
7356518,477244,ru,Озеро Вальковское,,,,,,
7356519,477244,be,Возера Валькоўскае,,,,,,
7356526,478392,,Ushcha,,,,,,
7356527,478392,ru,Уща,,,,,,
7356528,478392,be,Ушча,,,,,,
292529,479717,,Ubort’,,,,,,
3729761,479717,,Ubarts’,,,,,,
7095900,479717,be,Убарць,,,,,,
7095901,479717,uk,Уборть,,,,,,
7177052,479717,link,https://en.wikipedia.org/wiki/Ubort_River,,,,,,
295016,485429,,Svol’nya,,,,,,
7356579,485429,,Svol’na,,,,,,
7356580,485429,,Свольна,,,,,,
2796406,486937,be,Стыр,,,,,,
3736577,486937,,Styr,,,,,,
7095937,486937,uk,Стир,,,,,,
7189807,486937,link,https://en.wikipedia.org/wiki/Styr_River,,,,,,
11611390,486937,en,Styr River,,,,,,
11611391,486937,es,Río Styr,,,,,,
11611392,486937,nl,Stir,,,,,,
11611393,486937,ar,نهر ستير,,,,,,
11611394,486937,be,Рака Стыр,,,,,,
11611395,486937,eo,Stiro,,,,,,
11611396,486937,et,Stõr,,,,,,
11611397,486937,hy,Ստիր,,,,,,
11611398,486937,ja,ストィル川,,,,,,
11611399,486937,lt,Styrė,,,,,,
11611400,486937,mk,Стир,,,,,,
11611401,486937,sr,Стир,,,,,,
11611402,486937,ru,Стыр,,,,,,
11611403,486937,zh,斯特里河,,,,,,
295671,486945,,Stvyha,,,,,,
295672,486945,,Stwiha,,,,,,
295673,486945,,Stviga,,,,,,
295674,486945,,Stwiga,,,,,,
3736595,486945,,Stsviha,,,,,,
7095938,486945,be,Сцвіга,,,,,,
7095939,486945,uk,Ствига,,,,,,
297862,491861,,Slavechna,,,,,,
297863,491861,,Slobechna,,,,,,
3746189,491861,,Slovechna,,,,,,
5966418,491861,be,Slavechna,,,,,,
3747266,492465,,Skarchevo,,,,,,
6915373,492465,ru,Скарчево,,,,,,
7095954,493038,,Sigeyevka,,,,,,
7095955,493038,ru,Сигеевка,,,,,,
304154,507289,,Polis’ka Nyzovyna,,,,,,
304155,507289,,Rokitno Sümpfe,,,,,,
304156,507289,,Polesia,,,,,,
304157,507289,,Puszcza Różańska,,,,,,
304158,507289,,Polesie,,,,,,
304159,507289,,Poles’ye,,,,,,
3776746,507289,,Palyeskaya Nizina,,,,,,
15409117,507289,wkdt,Q21860191,,,,,,
304801,509074,,Plov,,,,,,
3779935,509074,,Plav,,,,,,
304981,509454,,Pinskiya Baloty,,,,,,
304982,509454,,Pinskiye Bolota,,,,,,
304983,509454,,Bagna Pińskie,,,,,,
304984,509454,,Bołota Pińskie,,,,,,
304985,509454,,Pinsk Marsh,,,,,,
3780629,509454,,Pins’ki Bolota,,,,,,
6993656,509454,uk,Pins’ki Bolota,,,,,,
6993657,509454,be,Pinskiya Baloty,,,,,,
6993658,509454,be,Пінскія Балоты,,,,,,
6993659,509454,uk,Пінські Болота,,,,,,
306904,514004,,Raz”yezd Osva,,,,,,
3789522,514004,,Stantsiya Osva,,,,,,
7558897,514004,,Ostanovochnyy Punkt Osva,,,,,,
7558898,514004,ru,Остановочный Пункт Осва,,,,,,
7558899,514004,,Osva,,,,,,
306990,514336,,Kanava Osmal’skoye,,,,,,
3790171,514336,,Kanava Osmol’skaya,,,,,,
7096035,514336,ru,Канава Осмольская,,,,,,
3791851,515090,,Ozero Ordovo,,,,,,
3791852,515090,,Озеро Ордово,,,,,,
5992827,515090,ru,Озеро Ордово,,,,,,
7356670,515090,,Vozyera Ardova,,,,,,
7356671,515090,be,Возера Ардова,,,,,,
310627,521934,,Mikolayevka,,,,,,
3138461,521934,,Nikolayevka,,,,,,
7558902,521934,ru,Николаевка,,,,,,
311435,523908,,Ozero Mylinskoye,,,,,,
7558903,527074,,Mikhalinovo,,,,,,
7558904,527074,ru,Михалиново,,,,,,
313418,528847,,Mara,,,,,,
313419,528847,,Marycha,,,,,,
313420,528847,,Marikha,,,,,,
313421,528847,,Marikà,,,,,,
313422,528847,,Reka Marykha,,,,,,
313423,528847,,Fluss Marycha,,,,,,
3821163,528847,,Marykha,,,,,,
7139508,528847,link,https://en.wikipedia.org/wiki/Marycha,,,,,,
9414401,528847,be,Марыха,,,,,,
7299080,532624,,Lyubovin,,,,,,
7299081,532624,ru,Любовин,,,,,,
7299082,532624,,Lyubavin,,,,,,
2798082,533039,be,Льва,,,,,,
3830088,533039,,L’va,,,,,,
7096098,533039,be,L’va,,,,,,
7096099,533039,,Льва,,,,,,
319560,543597,,Katra,,,,,,
3849496,543597,,Kotra,,,,,,
6993761,543597,be,Котра,,,,,,
7548396,543597,link,https://en.wikipedia.org/wiki/Kotra_%28river%29,,,,,,
7299086,546096,,Kawpita,,,,,,
7299087,546096,,Kolpita,,,,,,
7299088,546096,ru,Колпита,,,,,,
7299089,546096,be,Каўпіта,,,,,,
1743125,556386,en,Indura,,,,,,
1743126,556386,ru,Индура,1,,,,,
3875302,556386,,Indura,,,,,,
6993843,556386,be,Індура,,,,,,
326456,559285,,Haryn’,,,,,,
326457,559285,,Novy Goryn’ River,,,,,,
326458,559285,ru,Goryn’,,,,,,
3880891,559285,,Horyn’,,,,,,
3880892,559285,be,Гарынь,,,,,,
7096190,559285,uk,Горинь,,,,,,
11293722,559285,link,https://en.wikipedia.org/wiki/Horyn_River,,,,,,
3885476,561818,,Gavrilovka,,,,,,
3885477,561818,,Гавриловка,,,,,,
6045927,561818,ru,Гавриловка,,,,,,
328979,565896,,Dnipro,,,,,,
328980,565896,,Dnyapro,,,,,,
328981,565896,,Dnepr,,,,,,
328982,565896,,Borysthenes,,,,,,
328983,565896,,Dnjepr,,,,,,
328984,565896,,Dneper River,,,,,,
328985,565896,fr,Dniepr,,,,,,
328986,565896,,Dnieper River,,,,,,
328987,565896,,Dniepr River,,,,,,
3893940,565896,en,Dnieper,,,,,,
