AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1443673,3532476,,Blue Creek,,,,,,
1443675,3532476,,Río Hondo,,,,,,
1443676,3532476,,Axal Creek,,,,,,
1443677,3532476,,Río Santa María,,,,,,
1443678,3532476,,Blue River,,,,,,
1443679,3532476,,Arroyo Azul,,,,,,
9940603,3532476,es,Río Azul,,,,,,
4238757,3532479,,Laguna Azul,,,,,,
15098873,3580766,wkdt,Q21867600,,,,,,
15969961,3580766,,Youngs Cay,,,,,,
13634664,3580774,link,https://en.wikipedia.org/wiki/Yo_Chen,,,,,,
13638808,3580774,,Yo Chen,,,,,,
1456753,3580776,,Icacos Point,,,,,,
1456754,3580776,,Punta Icacos,,,,,,
1456755,3580776,,Ycacos Point,,,,,,
1456756,3580776,,Punta Yeacos,,,,,,
4344496,3580776,,Punta Ycacos,,,,,,
1456757,3580780,,Yalback Creek,,,,,,
4344497,3580780,,Yalbac Creek,,,,,,
1456758,3580781,,Yalbac,,,,,,
1456759,3580781,,Yalback,,,,,,
4344498,3580781,,Yalbac Camp,,,,,,
2986235,3580786,link,https://en.wikipedia.org/wiki/Xunantunich,,,,,,
4344499,3580786,,Xunantunich,,,,,,
4344500,3580787,,Xunantunich,,,,,,
1456761,3580788,,Xpicilha,,,,,,
4344501,3580788,,Xpicilha Village,,,,,,
1456762,3580789,,Xpicilha,,,,,,
4344502,3580789,,Xpicilha River,,,,,,
1456763,3580791,,Xpicilha 108,,,,,,
4344503,3580791,,Xpicilha,,,,,,
1456764,3580795,,Ixcanhá,,,,,,
4344504,3580795,,Xcanha,,,,,,
1456765,3580798,,Casigüinic,,,,,,
1456766,3580798,,Kaxil Unic,,,,,,
1456767,3580798,,Caxigüinic,,,,,,
1456768,3580798,,Xaxe Venice,,,,,,
4344505,3580798,,Xaxe Venic,,,,,,
2986236,3580799,link,https://en.wikipedia.org/wiki/Xaibe,,,,,,
4344506,3580799,,Xaibe,,,,,,
15446268,3580799,wkdt,Q5683715,,,,,,
1456769,3580801,,Wippan Cay,,,,,,
4344507,3580801,,Wippari Cay,,,,,,
15098731,3580801,wkdt,Q21867586,,,,,,
15098717,3580803,wkdt,Q21867585,,,,,,
15969962,3580803,,Wilson Cay,,,,,,
