AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1507281,3831549,fr,Bassin Kane,,,,,,
2725405,3831549,en,Kane Basin,,,,,,
13698420,3831549,link,https://en.wikipedia.org/wiki/Kane_Basin,,,,,,
1507322,3831631,en,Georges Bank,,,,,,
13597362,3831631,en,St. George's Shoal,,,,1,,
13597363,3831631,link,https://en.wikipedia.org/wiki/Georges_Bank,,,,,,
13597364,3831631,en,St. George's Bank,,,,1,,
6910399,4977402,fr,Fleuve Saint-Jean,,,,,,
9935187,4977402,fr,Rivière Saint-Jean,,,,,,
12310945,4977402,,Saint Jhons River,,,,,,
12310946,4977402,,La Riviere Saint Jean,,,,,,
12353168,4977402,,Oxgoudy,,,,,,
12429572,4977402,,Long River,,,,,,
12476716,4977402,,Saint John's River,,,,,,
12496450,4977402,,Ouy goody,,,,,,
12496451,4977402,,Loshtock,,,,,,
12659917,4977402,,Wallastook,,,,,,
12659918,4977402,,Woolastook,,,,,,
12647680,5130529,,Parish's Dock,,,,,,
13100990,5130529,en,Parish Dock,1,,,,,
3028929,5881639,link,https://en.wikipedia.org/wiki/100_Mile_House,,,,,,
8686323,5881640,link,https://en.wikipedia.org/wiki/101_Mile_Lake,,,,,,
8079121,5881642,link,https://en.wikipedia.org/wiki/103_Mile_Lake,,,,,,
7504958,5881643,link,https://en.wikipedia.org/wiki/105_Mile_House,,,,,,
15556402,5881643,wkdt,Q4546581,,,,,,
8085382,5881644,link,https://en.wikipedia.org/wiki/105_Mile_Lake,,,,,,
13571714,5881645,fr,Réserve indienne 105 Mile Post 2,,,,,,
8090942,5881647,link,https://en.wikipedia.org/wiki/108_Mile_Lake,,,,,,
3028930,5881648,link,https://en.wikipedia.org/wiki/108_Mile_Ranch%2C_British_Columbia,,,,,,
8150699,5881648,iata,ZMH,,,,,,
11215961,5881648,,108 Mile House,,,,,,
2728837,5881688,,Fort Saint James,,,,,,
5760589,5881688,link,https://en.wikipedia.org/wiki/Fort_St._James,,,,,,
11653645,5881688,ur,فورٹ سینٹ جیمز,,,,,,
13733530,5881688,unlc,CASJA,,,,,,
13572040,5881695,fr,Réserve indienne 4 1/2 Mile 2,,,,,,
6909052,5881715,link,https://en.wikipedia.org/wiki/70_Mile_House,,,,,,
15286096,5881728,wkdt,Q22351343,,,,,,
15157234,5881731,wkdt,Q22351347,,,,,,
7531948,5881738,link,https://en.wikipedia.org/wiki/Aaron_Arm,,,,,,
