AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
755572,1547348,,Keeling Islands,,,,,,
755573,1547348,,Cocos-Keeling Islands,,,,,,
1984353,1547348,en,Cocos,,,,,,
1984354,1547348,de,Kokosinseln,,,,,,
1984355,1547348,es,Islas Cocos,,,,,,
1984356,1547348,pl,Wyspy Kokosowe,,,,,,
1984357,1547348,fr,Îles Cocos,,,,,,
1984358,1547348,bs,Kokosova ostrva,,,,,,
1984359,1547348,ca,Illes Cocos,,,,,,
1984360,1547348,cs,Kokosové ostrovy,,,,,,
1984361,1547348,da,Cocosøerne,,,,,,
1984362,1547348,el,Νησιά Κόκος,,,,,,
1984363,1547348,eo,Kokosinsuloj,,,,,,
1984364,1547348,fi,Kookossaaret,,,,,,
1984365,1547348,gl,Illas Cocos,,,,,,
1984366,1547348,he,איי קוקוס,,,,,,
1984367,1547348,hu,Kókusz,,,,,,
1984368,1547348,id,Kepulauan Cocos,,,,,,
1984369,1547348,is,Kókoseyjar,,,,,,
1984370,1547348,it,Isole Cocos,,,,,,
1984371,1547348,ja,ココス諸島,,,,,,
1984372,1547348,ko,코코스 제도,,,,,,
1984373,1547348,kw,Ynysow Cocos,,,,,,
1984374,1547348,ms,Kepulauan Cocos,,,,,,
1984375,1547348,nl,Cocoseilanden,,,,,,
1984376,1547348,no,Kokosøyene,,,,,,
1984377,1547348,pt,Ilhas Cocos,,,,,,
1984378,1547348,ro,Insulele Cocos,,,,,,
1984379,1547348,ru,Кокосовые острова,,,,,,
1984380,1547348,hbs,Kokosovi otoci,,,,,,
1984381,1547348,sk,Kokosové ostrovy,,,,,,
1984382,1547348,sv,Kokosöarna,,,,,,
1984383,1547348,tr,Cocos Adaları,,,,,,
1984384,1547348,zh,科科斯,,,,,,
2427746,1547348,lt,Kokosų (Kilingo) Salos,,,,,,
2427747,1547348,lv,Kokosu (Kīlinga) Salas,,,,,,
