AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
6197,49519,,Volcan Visoke,,,,,,
6198,49519,,Volcan Bishoke,,,,,,
3603446,49519,,Volcan Bisoke,,,,,,
7525625,49519,link,https://en.wikipedia.org/wiki/Mount_Bisoke,,,,,,
6211,49522,,Volcan Sabyinyo,,,,,,
6212,49522,,Volcan Sabinyo,,,,,,
6213,49522,,Sabino,,,,,,
6214,49522,,Mount Sabinio,,,,,,
2920848,49522,link,https://en.wikipedia.org/wiki/Mount_Sabyinyo,,,,,,
3603449,49522,,Sabinio,,,,,,
3603452,49527,,Mont Hehu,,,,,,
15543786,49527,wkdt,Q31247305,,,,,,
136463,176307,,Luao,,,,,,
136464,176307,,Loao,,,,,,
4100902,176307,,Lwao,,,,,,
136501,176360,,Lunkinda,,,,,,
136502,176360,,Luchinda,,,,,,
136503,176360,,Luchinda River,,,,,,
136504,176360,,Lukinda,,,,,,
4100924,176360,,Lunchinda,,,,,,
136523,176403,,Luapula,,,,,,
5758558,176403,link,https://en.wikipedia.org/wiki/Luapula_River,,,,,,
9446648,176403,en,Luapula River,,,,,,
9446649,176403,es,Río Luapula,,,,,,
9446650,176403,fr,Lwapula,,,,,,
9446651,176403,fa,رود لوآپولا,,,,,,
9446652,176403,pnb,لواپولا دریا,,,,,,
9446653,176403,ru,Луапула,,,,,,
9446654,176403,sv,Luapulafloden,,,,,,
9446655,176403,zh,盧阿普拉河,,,,,,
11418379,176403,et,Luapula jõgi,,,,,,
11418380,176403,ka,ლუაპულა,,,,,,
136524,176405,,Luao,,,,,,
136525,176405,,Loao,,,,,,
4100952,176498,,Kisenga,,,,,,
136559,176500,,Cape Chipimbi,,,,,,
136560,176500,,Cap Kipimbi,,,,,,
3333745,176500,,Cape Kipimbi,,,,,,
144846,203199,,Zeu,,,,,,
144848,203199,,Zeio,,,,,,
4147188,203199,,Mont Zeu,,,,,,
144849,203200,,Watalingi,,,,,,
4147189,203200,,Watalinga,,,,,,
10388122,203201,,Mwizu,,,,,,
10388123,203201,,Zwizia,,,,,,
144850,203203,,Kafungo,,,,,,
4147191,203203,,Zwiba-Kafungo,,,,,,
4147193,203206,fr,Zunguluka,,,,,,
4147194,203207,fr,Zunguluka,,,,,,
144851,203214,,Zukombwa,,,,,,
4147198,203214,,Zukumbwa,,,,,,
7421229,203215,,Zukulaswe,,,,,,
7421230,203215,,Zukulasue,,,,,,
144852,203216,,Zugbu,,,,,,
144853,203216,,Zugba,,,,,,
4147199,203216,,Zugbo,,,,,,
7652531,203223,,Zongwe,,,,,,
7652532,203223,,Songwe,,,,,,
7652533,203223,,Longwe,,,,,,
144854,203229,,Zongbo,,,,,,
4147202,203229,,Zongao,,,,,,
144855,203236,,Nzofwe,,,,,,
4147203,203236,,Zofwe,,,,,,
144856,203263,,Zemoy,,,,,,
4147207,203263,,Zemoi,,,,,,
7421231,203265,,Zelo,,,,,,
7421232,203265,,Zelo II,,,,,,
7421233,203266,,Zelo Première,,,,,,
7421234,203266,,Zelo I,,,,,,
144857,203274,,Zegbei,,,,,,
4147211,203274,,Zegbe,,,,,,
144858,203283,,Zanze,,,,,,
4147212,203283,,Zanza,,,,,,
144859,203286,,Nzani,,,,,,
4147213,203286,,Zani,,,,,,
