AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
7183807,235788,link,https://en.wikipedia.org/wiki/Zoukoutoumiala,,,,,,
7323625,235788,,Zoukoutoumiala,,,,,,
152824,235792,,Zouguinza,,,,,,
152825,235792,,Zouguindja,,,,,,
4309347,235792,,Zouginindja,,,,,,
4309348,235799,fr,Zorona,,,,,,
4309349,235799,fr,Salèitch,,,,,,
152826,235802,,Ouadi Zomo,,,,,,
4309352,235802,,Zomo,,,,,,
3220692,235807,fr,Réserve Forestière de la Zizi,,,,,,
152827,235816,,Zéné,,,,,,
4309354,235816,,Zimé,,,,,,
152828,235818,,Village Zimbla,,,,,,
4309355,235818,,Zimbia,,,,,,
5810368,235826,link,https://en.wikipedia.org/wiki/Zemio,,,,,,
5827044,235826,,Zemio,,,,,,
7482903,235826,iata,IMO,,,,,,
7589049,235826,fr,Zémio,,,,,,
13734426,235826,unlc,CFIMO,,,,,,
15885929,235826,wkdt,Q1771417,,,,,,
13912538,235841,link,https://en.wikipedia.org/wiki/Zangba,,,,,,
13913609,235841,,Zangba,,,,,,
152829,235846,,Sambourou,,,,,,
4309363,235846,,Zambourou,,,,,,
152830,235850,,Zamb,,,,,,
4309365,235850,,Zamba,,,,,,
5436152,235851,,Zamza,,,,,,
5436153,235851,,Zamazan,,,,,,
152831,235853,,Sallo,,,,,,
152832,235853,,Zallo,,,,,,
4309366,235853,,Zalo,,,,,,
152833,235864,,Nzabé,,,,,,
4309367,235864,,Zabé,,,,,,
152834,235866,,Vouroupanda,,,,,,
4309370,235866,,Youroupenda,,,,,,
152835,235877,,Yangou,,,,,,
152836,235877,,Yangu,,,,,,
152837,235877,,Yango,,,,,,
152838,235877,,Yungo,,,,,,
4309372,235877,,Youngou,,,,,,
4309375,235884,fr,Youkouya,,,,,,
152839,235888,,Ouamba,,,,,,
4309376,235888,,Youhamba,,,,,,
152840,235892,,Youbba,,,,,,
4309378,235892,,Youba,,,,,,
152841,235898,,Yara,,,,,,
152842,235898,,Yoro,,,,,,
4309379,235898,,Yora,,,,,,
152843,235904,,Iongofongo,,,,,,
4309380,235904,,Yongofongo,,,,,,
5436156,235907,,Yombo Bac,,,,,,
5436157,235907,,Yombo,,,,,,
7130343,235907,link,https://en.wikipedia.org/wiki/Yombo,,,,,,
152844,235911,,Yogbo,,,,,,
4309381,235911,,Yogpo,,,,,,
152845,235912,,Yoggo,,,,,,
152846,235912,,Bahr Togo,,,,,,
3220693,235912,,Yogo,,,,,,
152847,235915,,Djebel Yingamba,,,,,,
152848,235915,,Djimgamba,,,,,,
152849,235915,,Jebal Gingamba,,,,,,
3220694,235915,,Yingamba,,,,,,
3220695,235915,,Jebel Gingamba,,,,,,
3220696,235915,,Jabal Gingamba,,,,,,
15693395,235915,wkdt,Q22464113,,,,,,
152850,235921,,Yangata,,,,,,
4309385,235921,,Yenguere,,,,,,
152851,235945,,Amdjebir,,,,,,
3220697,235945,,Yata,,,,,,
152852,235953,,Yerawa,,,,,,
4309390,235953,,Yaraoua,,,,,,
152853,235955,,Djebel Yara,,,,,,
3220698,235955,,Yara,,,,,,
3220699,235955,,Jebel Yarra,,,,,,
3220700,235955,,Jabal Yarra,,,,,,
3220701,235956,fr,Yara,,,,,,
152854,235958,,Yapasira,,,,,,
152855,235958,,Zeveyo,,,,,,
4309391,235958,,Yapassira,,,,,,
152856,235966,,Yagoa,,,,,,
4309393,235966,,Yaoga,,,,,,
152857,235968,,Yakomende,,,,,,
4309394,235968,,Yanounondé,,,,,,
5436163,235972,,Yangou Tchando,,,,,,
5436164,235977,,Yangou Nda,,,,,,
5436165,235977,,Yangounda,,,,,,
152858,235982,,Yangoumandou,,,,,,
4309397,235982,,Yangoumalou,,,,,,
5436166,235984,,Yangouléka,,,,,,
5436167,235984,,Yangoulika,,,,,,
7165354,235984,link,https://en.wikipedia.org/wiki/Yangoulika,,,,,,
5436169,235985,,Yangou Létro,,,,,,
7134574,235992,link,https://en.wikipedia.org/wiki/Yangou_Gongo,,,,,,
7323626,235992,,Yangou Gongo,,,,,,
15778411,235992,wkdt,Q8048630,,,,,,
7142110,235993,link,https://en.wikipedia.org/wiki/Yangou_Gala,,,,,,
7323627,235993,,Yangou Gala,,,,,,
15739803,235993,wkdt,Q8048629,,,,,,
4309398,235994,fr,Yangoufé,,,,,,
5436171,235995,,Yangou Douma,,,,,,
152859,235997,,Yangoudersa,,,,,,
4309399,235997,,Yangou Ndarsa,,,,,,
7141544,235997,link,https://en.wikipedia.org/wiki/Yangou_Ndarsa,,,,,,
15679224,235997,wkdt,Q8048631,,,,,,
7166416,236003,link,https://en.wikipedia.org/wiki/Yangou_Birolo,,,,,,
7323628,236003,,Yangou Birolo,,,,,,
15687318,236003,wkdt,Q8048627,,,,,,
5436173,236004,,Yangou Barandja,,,,,,
152860,236032,,Yambili,,,,,,
152861,236032,,Yambélé,,,,,,
4309404,236032,,Yamblé,,,,,,
152862,236041,,Yambala,,,,,,
4309405,236041,,Yambala Koudouvélé,,,,,,
7170511,236041,link,https://en.wikipedia.org/wiki/Yambala_Koudouvele,,,,,,
5436174,236044,,Yambala Magonda,,,,,,
5436175,236044,,Yambala,,,,,,
7198624,236044,link,https://en.wikipedia.org/wiki/Yambala,,,,,,
15631758,236044,wkdt,Q8048017,,,,,,
152863,236047,,Yamalé,,,,,,
4309406,236047,,Yamali,,,,,,
6903790,236052,link,https://en.wikipedia.org/wiki/Yalinga,,,,,,
6923033,236052,,Yalinga,,,,,,
7483506,236052,iata,AIG,,,,,,
13734402,236052,unlc,CFAIG,,,,,,
152864,236054,,Yalongo,,,,,,
4309408,236054,,Yalenga,,,,,,
152865,236062,,Saga,,,,,,
152866,236062,,Yakotako,,,,,,
4309410,236062,,Yakotoko,,,,,,
152867,236067,,Yakou,,,,,,
4309411,236067,,Yako,,,,,,
152868,236070,,Nia,,,,,,
4309412,236070,,Yakiri,,,,,,
152869,236077,,Aoua,,,,,,
4309414,236077,,Yakalamba,,,,,,
152870,236083,,Kama,,,,,,
4309417,236083,,Yagboro,,,,,,
152871,236095,,Bongo,,,,,,
4309418,236095,,Yabougoua,,,,,,
152872,236097,,Yabrou,,,,,,
4309419,236097,,Yaboro,,,,,,
3220702,236109,fr,Ouoko,,,,,,
