AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
143566,201357,,Le Bassin du Congo,,,,,,
143567,201357,,Central African Depression,,,,,,
4116360,201357,,Congo Basin,,,,,,
1082061,2232993,,Dja,,,,,,
1082062,2232993,,Dschā,,,,,,
1082063,2232993,,Djah,,,,,,
1090794,2254774,,Sounda Dam,,,,,,
1090795,2254774,,Kouilou Hydroelectric Project,,,,,,
1090796,2254774,,Kouilou Dam,,,,,,
4114640,2254774,,Barrage du Kouilou,,,,,,
1090797,2254783,,Zoulabout,,,,,,
1090798,2254783,,Zouelabout,,,,,,
1090799,2254783,,Nzoulabout,,,,,,
4114641,2254783,,Zoulabouth,,,,,,
1090800,2254787,,Zoloum,,,,,,
4114642,2254787,,Zalon,,,,,,
1090801,2254792,,Nzoa,,,,,,
4114643,2254792,,Zoa,,,,,,
1090802,2254797,,Foumo N’Zabi,,,,,,
1090803,2254797,,Zinga,,,,,,
1090804,2254797,,Fumu Zabi,,,,,,
4114644,2254797,,Zinnga,,,,,,
1090805,2254798,,Zimati,,,,,,
4114645,2254798,,Zibati,,,,,,
1090806,2254799,,Ziéto,,,,,,
4114646,2254799,,Nziéto,,,,,,
1090807,2254802,,Zevengue,,,,,,
4114647,2254802,,Zevengé,,,,,,
1090808,2254803,,Zenzéré,,,,,,
4114648,2254803,,Djindjélé,,,,,,
1090809,2254811,,Zavanga,,,,,,
4114649,2254811,,Zavanga II,,,,,,
2943320,2254814,link,https://en.wikipedia.org/wiki/Zanaga,,,,,,
4114650,2254814,,Zanaga,,,,,,
7481811,2254814,iata,ANJ,,,,,,
13734443,2254814,unlc,CGANJ,,,,,,
15560426,2254814,wkdt,Q8066011,,,,,,
1090810,2254819,,Zalom,,,,,,
4114651,2254819,,Zalon,,,,,,
1090811,2254820,,Lalangoye,,,,,,
4114652,2254820,,Zalangoye,,,,,,
1090812,2254821,,Zalongoye,,,,,,
1090813,2254821,,Zalangoie,,,,,,
1090814,2254821,,Zalangoy,,,,,,
4114653,2254821,,Zalangoye,,,,,,
15153833,2254822,wkdt,Q22369574,,,,,,
15924695,2254822,,Monts de Zala,,,,,,
1090815,2254823,,Zabéta,,,,,,
4114654,2254823,,Zabata,,,,,,
1090816,2254829,,Youndou,,,,,,
1090817,2254829,,Lakoué,,,,,,
4114655,2254829,,Lokoué,,,,,,
1090818,2254831,,Youbi,,,,,,
4114656,2254831,,Youmbi,,,,,,
1090819,2254832,,Youmbi,,,,,,
4114657,2254832,,Yombé,,,,,,
1090820,2254834,,Youmbo,,,,,,
4114658,2254834,,Youmba,,,,,,
1090821,2254836,,Youlou Bienge,,,,,,
4114659,2254836,,Youlou Bièngué,,,,,,
1090822,2254837,,Youlokoyo,,,,,,
4114660,2254837,,Ilokoyo,,,,,,
1090823,2254845,,Youa,,,,,,
4114661,2254845,,Iova,,,,,,
1090824,2254846,,Yooule Étang,,,,,,
4114662,2254846,,Yooulo,,,,,,
1090825,2254850,,Yomba,,,,,,
1090826,2254850,,Yombo,,,,,,
4114663,2254850,,Lac Yombo,,,,,,
13734471,2254852,unlc,CGYOM,,,,,,
13824522,2254852,,Yombo,,,,,,
1090827,2254855,,Montagnes Yolengomo,,,,,,
4114664,2254855,,Monts Yolengomo,,,,,,
1090828,2254858,,Yoko,,,,,,
4114665,2254858,,Mokoko,,,,,,
1090829,2254867,,Yengo,,,,,,
4114666,2254867,,Yengo-Babinga,,,,,,
1090830,2254870,,Yéné Ganou I,,,,,,
4114667,2254870,,Yenenganou,,,,,,
1090831,2254871,,Bassamba,,,,,,
4114668,2254871,,Yèndé,,,,,,
1090832,2254872,,Yembo,,,,,,
4114669,2254872,,Yambo,,,,,,
1090833,2254874,,Yembelangoye,,,,,,
4114670,2254874,,Yembélangoy,,,,,,
1090834,2254880,,Yé,,,,,,
1090835,2254880,,Kragoua,,,,,,
1090836,2254880,,Karago,,,,,,
1090837,2254880,,Karagwa,,,,,,
1090838,2254880,,Karagoué,,,,,,
