AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1226259,2657883,,Lago di Zug,1,,,,,
1226260,2657883,,Lake of Zug,,,,,,
2920368,2657883,link,https://en.wikipedia.org/wiki/Lake_Zug,,,,,,
3051782,2657883,link,https://ru.wikipedia.org/wiki/%D0%A6%D1%83%D0%B3%D1%81%D0%BA%D0%BE%D0%B5_%D0%BE%D0%B7%D0%B5%D1%80%D0%BE,,,,,,
4022235,2657883,,Zuger See,,,,,,
6634322,2657883,fr,Lac de Zoug,1,,,,,
7083127,2657883,de,Zugersee,1,,,,,
7083128,2657883,rm,Lai da Zug,1,,,,,
7083129,2657883,en,Lake Zug,1,,,,,
1226261,2657884,,Zwischberg-Thal,,,,,,
4022236,2657884,,Zwischbergental,,,,,,
15831229,2657884,wkdt,Q4025051,,,,,,
2953604,2657885,link,https://en.wikipedia.org/wiki/Zwischbergen,,,,,,
4022237,2657885,,Zwischbergen,,,,,,
11524083,2657885,zh,茨維施貝根,,,,,,
7199757,2657886,link,https://en.wikipedia.org/wiki/Zwingen,,,,,,
8040842,2657886,post,4222,,,,,,
11518050,2657886,kk,Цвинген,,,,,,
11518051,2657886,ru,Цвинген,,,,,,
11518052,2657886,zh,茨溫根,,,,,,
13735829,2657886,unlc,CHZWG,,,,,,
1937893,2657887,es,Zweisimmen,,,,,,
1937894,2657887,fr,Zweisimmen,,,,,,
1937895,2657887,de,Zweisimmen,,,,,,
1937896,2657887,en,Zweisimmen,,,,,,
1937897,2657887,it,Zweisimmen,,,,,,
1937898,2657887,nl,Zweisimmen,,,,,,
1937899,2657887,pt,Zweisimmen,,,,,,
1937900,2657887,sv,Zweisimmen,,,,,,
2953605,2657887,link,https://en.wikipedia.org/wiki/Zweisimmen,,,,,,
3051783,2657887,link,https://ru.wikipedia.org/wiki/%D0%A6%D0%B2%D0%B0%D0%B9%D0%B7%D0%B8%D0%BC%D0%BC%D0%B5%D0%BD,,,,,,
4022238,2657887,,Zweisimmen,,,,,,
8040631,2657887,post,3770,,,,,,
