AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1098630,2279151,,Ziogouiné,,,,,,
4128716,2279151,,Zyogouiné,,,,,,
6592316,2279151,,Ziogouin,,,,,,
1098631,2279152,,Zyogouiné,,,,,,
1098632,2279152,,Ziogouiné,,,,,,
4128717,2279152,,Ziogouin,,,,,,
11301510,2279152,link,https://en.wikipedia.org/wiki/Ziogouin%C3%A9,,,,,,
1098633,2279153,,Ziélougo,,,,,,
4128718,2279153,,Zyelougo,,,,,,
1098634,2279154,,Ziékaha,,,,,,
4128719,2279154,,Zyékaha,,,,,,
1098635,2279155,,Ziébatogo,,,,,,
4128720,2279155,,Zyébatogo,,,,,,
6592317,2279158,,Forêt Classée de Zuoké Bloc II,,,,,,
6592318,2279158,,Forêt Classée du Zuoké,,,,,,
1098636,2279160,,Ano Simbé,,,,,,
4128721,2279160,,Zumé,,,,,,
1098637,2279161,,Zuzuéco,,,,,,
1098638,2279161,,Zuzuéko,,,,,,
4128722,2279161,,Zuézuéko,,,,,,
12098062,2279169,fr,Sous-préfecture de Zuénoula,,,,,,
13135700,2279169,link,https://en.wikipedia.org/wiki/Zu%C3%A9noula,,,,,,
8612614,2279171,link,https://en.wikipedia.org/wiki/Zu%C3%A9noula_Department,,,,,,
12098063,2279171,fr,Département de Zuénoula,,,,,,
16086915,2279171,,Zuénoula,,1,,,,
1098639,2279172,,Zénoula,,,,,,
1098640,2279172,,Zouénoula,,,,,,
2943574,2279172,link,https://en.wikipedia.org/wiki/Zu%C3%A9noula_Department,,,,,,
4128723,2279172,,Zuénoula,,,,,,
13735894,2279172,unlc,CIZUE,,,,,,
1098641,2279177,,Nxuékokoré,,,,,,
1098642,2279177,,Nzuékokoré,,,,,,
4128724,2279177,,Zuékokoré,,,,,,
1098643,2279187,,Rapides Zubé,,,,,,
1098644,2279187,,Rapide Zuhé,,,,,,
4128725,2279187,,Rapide Zubé,,,,,,
7042081,2279188,link,https://en.wikipedia.org/wiki/Zro,,,,,,
7101297,2279188,,Zro,,,,,,
6592319,2279193,,Zangbatouo,,,,,,
6592320,2279193,,Zrangbatouo,,,,,,
7055606,2279194,link,https://en.wikipedia.org/wiki/Zraluo,,,,,,
7101298,2279194,,Zraluo,,,,,,
1098645,2279197,,Zoro Oliziriboué,,,,,,
4128726,2279197,,Zozo Oliziriboué,,,,,,
1098646,2279200,,Zontouo,,,,,,
4128727,2279200,,Zoutouo,,,,,,
7055607,2279202,link,https://en.wikipedia.org/wiki/Zoupleu,,,,,,
7101299,2279202,,Zoupleu,,,,,,
1098647,2279203,,Zoupangbe,,,,,,
1098648,2279203,,Zoupougbé,,,,,,
4128728,2279203,,Zoukpangbeu,,,,,,
6592321,2279203,,Zoupangbeu,,,,,,
7036399,2279203,link,https://en.wikipedia.org/wiki/Zoukpangbeu,,,,,,
1098649,2279206,,Zangokro,,,,,,
4128729,2279206,,Zoungokro,,,,,,
1098650,2279208,,Djimo Rivière,,,,,,
4128730,2279208,,Zoumon,,,,,,
1098651,2279213,,Zola,,,,,,
1098652,2279213,,Zoola,,,,,,
4128731,2279213,,Zoula,,,,,,
1098653,2279214,,Zoukougbe,,,,,,
4128732,2279214,,Zoukougbeu,,,,,,
7051510,2279214,link,https://en.wikipedia.org/wiki/Zoukougbeu,,,,,,
6592322,2279216,,Zuoké,,,,,,
6592323,2279216,,Zouké,,,,,,
6592324,2279219,,Zouzousso I,,,,,,
6592325,2279219,,Zougouso,,,,,,
1098654,2279222,,Zugunu,,,,,,
1098655,2279222,,Zougounou,,,,,,
1098656,2279222,,Zoungounou,,,,,,
4128733,2279222,,Zouhounou,,,,,,
2943575,2279223,link,https://en.wikipedia.org/wiki/Zougoun%C3%A9fla,,,,,,
4128734,2279223,,Zougounéfla,,,,,,
6592326,2279224,,Zogouiné,,,,,,
6592327,2279224,,Zougouiné,,,,,,
6592328,2279228,,Zodri,,,,,,
6592329,2279228,,Zoudépleu,,,,,,
15760557,2279230,wkdt,Q23090964,,,,,,
15926732,2279230,,Zouba,,,,,,
1098657,2279231,,Zaouyo,,,,,,
4128735,2279231,,Zouayo,,,,,,
1098658,2279232,,Zouaté,,,,,,
4128736,2279232,,Zouata,,,,,,
1098659,2279234,,Zouan-Hounian,,,,,,
4128737,2279234,,Sous-préfecture de Zouan-Hounien,,,,,,
13135693,2279234,link,https://en.wikipedia.org/wiki/Zouan-Hounien,,,,,,
1098660,2279235,,Zoum Hounien,,,,,,
1098661,2279235,,Zoun-Hounien,,,,,,
4128738,2279235,,Zouan-Hounien,,,,,,
7163448,2279235,link,https://en.wikipedia.org/wiki/Zouan-Hounien,,,,,,
1098662,2279237,,Zouamoton,,,,,,
4128739,2279237,,Zouamouton,,,,,,
7499927,2279240,link,https://en.wikipedia.org/wiki/Zou%2C_Ivory_Coast,,,,,,
7561531,2279240,,Zou,,,,,,
1098663,2279241,,Zoutouo Dara,,,,,,
4128740,2279241,,Zotro Darra,,,,,,
7044288,2279244,link,https://en.wikipedia.org/wiki/Zorofla,,,,,,
7101300,2279244,,Zorofla,,,,,,
6592330,2279247,,Zonlé I,,,,,,
6592331,2279247,,Zoonlé,,,,,,
7035693,2279250,link,https://en.wikipedia.org/wiki/Zonneu,,,,,,
7101301,2279250,,Zonneu,,,,,,
1098664,2279256,,Zanfla,,,,,,
4128741,2279256,,Zonfla,,,,,,
6592332,2279259,,Zomplou,,,,,,
6592333,2279259,,Zompleu,,,,,,
1098665,2279265,,Zoihola,,,,,,
1098666,2279265,,Zorhola,,,,,,
4128742,2279265,,Zola,,,,,,
1098667,2279267,,Zokrobou,,,,,,
4128743,2279267,,Zokrobouo,,,,,,
6642809,2279268,,Zokassou,,,,,,
6642810,2279268,,Zokosso,,,,,,
6592334,2279271,,Zokoma,,,,,,
6592335,2279271,,Zokomba,,,,,,
1098668,2279272,,Zohouoileu,,,,,,
4128744,2279272,,Zohouélé,,,,,,
6592336,2279272,,Zohouéleu,,,,,,
15515762,2279274,wkdt,Q23091205,,,,,,
15926733,2279274,,Zogouri,,,,,,
1098669,2279276,,Zokonika,,,,,,
1098670,2279276,,Zogonigbi,,,,,,
4128745,2279276,,Zogonigbé,,,,,,
1098671,2279278,,Dogri,,,,,,
4128746,2279278,,Zogny,,,,,,
6642811,2279285,,Zédékan,,,,,,
6642812,2279285,,Zodékan,,,,,,
6592337,2279287,,Zoboua,,,,,,
6592338,2279287,,Zoboua II,,,,,,
6592339,2279295,,Zouangouen,,,,,,
6592340,2279295,,Zoangouen,,,,,,
15698377,2279297,wkdt,Q23091198,,,,,,
15926734,2279297,,Mont Zoa,,,,,,
6592341,2279298,,Mont Zo,,,,,,
6592342,2279298,,Zo,,,,,,
15675142,2279298,wkdt,Q23091197,,,,,,
1098672,2279302,,Nzo,,,,,,
