AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
2188719,1899402,is,Cookeyjar,,,,,,
2296698,1899402,is,Cooks-eyjar,,,,,,
2299659,1899402,fr,Îles Cook,1,1,,,,
2419814,1899402,am,ኩክ ደሴቶች,1,,,,,
2419815,1899402,ar,جزر كوك,1,,,,,
2419816,1899402,be,Кука астравы,1,,,,,
2419817,1899402,bg,Острови Кук,1,,,,,
2419818,1899402,bn,কুক দ্বীপপুঞ্জ,1,,,,,
2419819,1899402,bo,ཀཱུག གླིང་ཕྲེན་རྒྱལ་ཁབ།,1,,,,,
2419820,1899402,ca,Illes Cook,1,1,,,,
2419821,1899402,cs,Cookovy ostrovy,1,,,,,
2419822,1899402,cy,Ynysoedd Cook,1,,,,,
2419823,1899402,da,Cook-øerne,1,,,,,
2419824,1899402,de,Cookinseln,1,,,,,
2419825,1899402,el,Νήσοι Κουκ,1,,,,,
2419826,1899402,en,Cook Islands,1,,,,,
2419827,1899402,eo,Kukinsuloj,1,,,,,
2419828,1899402,es,Islas Cook,1,,,,,
2419829,1899402,et,Cooki saared,1,,,,,
2419830,1899402,eu,Cook uharteak,1,,,,,
2419831,1899402,fa,جزایر کوک,1,,,,,
2419832,1899402,fi,Cookinsaaret,1,,,,,
2419833,1899402,fr,Iles Cook,,,,,,
2419834,1899402,ga,Oileáin Cook,1,,,,,
2419835,1899402,gl,Illas Cook,1,,,,,
2419836,1899402,he,איי קוק,1,,,,,
2419837,1899402,hi,कुक द्वीपसमूह,1,,,,,
2419838,1899402,hr,Kukovi Otoci,1,,,,,
2419839,1899402,hu,Cook-szigetek,1,,,,,
2419840,1899402,ia,Insulas Cook,1,,,,,
2419841,1899402,id,Kepulauan Cook,1,,,,,
2419842,1899402,it,Isole Cook,1,,,,,
2419843,1899402,ja,クック諸島,1,,,,,
2419844,1899402,ka,კუკის კუნძულები,1,,,,,
2419845,1899402,ko,쿡제도,1,,,,,
2419846,1899402,lt,Kuko salos,1,,,,,
2419847,1899402,lv,Kuka salas,1,,,,,
2419848,1899402,mk,Кукови Острови,1,,,,,
2419849,1899402,ms,Cook Islands,1,,,,,
2419850,1899402,mt,Cook Islands,1,,,,,
2419851,1899402,nb,Cookøyene,1,,,,,
2419852,1899402,nl,Cookeilanden,1,,,,,
2419853,1899402,nn,Cookøyane,1,,,,,
2419854,1899402,pl,Wyspy Cooka,1,,,,,
2419855,1899402,pt,Ilhas Cook,1,,,,,
2419856,1899402,ro,Insulele Cook,1,,,,,
2419857,1899402,ru,Острова Кука,1,,,,,
2419858,1899402,sk,Cookove ostrovy,1,,,,,
2419859,1899402,sl,Cookovo otočje,1,,,,,
2419860,1899402,sr,Кукова Острва,1,,,,,
2419861,1899402,sv,Cooköarna,1,,,,,
2419862,1899402,th,หมู่เกาะคุก,1,,,,,
2419863,1899402,to,ʻOtumotu Kuki,1,,,,,
2419864,1899402,tr,Cook Adaları,1,,,,,
2419865,1899402,uk,Острови Кука,1,,,,,
2419866,1899402,ur,کک آئلینڈز,1,,,,,
2419867,1899402,vi,Quần Đảo Cook,1,,,,,
2419868,1899402,zh,库克群岛,1,,,,,
3050868,1899402,link,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B0_%D0%9A%D1%83%D0%BA%D0%B0,,,,,,
3075773,1899402,link,https://en.wikipedia.org/wiki/Cook_Islands,,,,,,
7085841,1899402,af,Cookeilande,1,,,,,
7085842,1899402,ak,Kook Nsupɔw,1,,,,,
7085843,1899402,az,Kuk Adaları,1,,,,,
7085844,1899402,bm,Kuki Gun,1,,,,,
7085845,1899402,br,Inizi Cook,1,,,,,
7085846,1899402,bs,Kukova Ostrva,1,,,,,
7085847,1899402,ee,Kook ƒudomekpo nutome,1,,,,,
7085848,1899402,ff,Duuɗe Kuuk,1,,,,,
7085849,1899402,fo,Cooksoyggjarnar,1,,,,,
7085850,1899402,gu,કુક આઇલેન્ડ્સ,1,,,,,
7085851,1899402,ha,Tsibiran Kuku,1,,,,,
7085852,1899402,is,Cookseyjar,1,,,,,
7085853,1899402,ki,Visiwa vya Cook,1,,,,,
7085854,1899402,kn,ಕುಕ್ ದ್ವೀಪಗಳು,1,,,,,
7085855,1899402,lg,Bizinga bya Kkuki,1,,,,,
7085856,1899402,ln,Bisanga bya Kookɛ,1,,,,,
7085857,1899402,lu,Lutanda lua Kookɛ,1,,,,,
7085858,1899402,mg,Nosy Kook,1,,,,,
7085859,1899402,ml,കൂക്ക് ദ്വീപുകള്‍,1,,,,,
7085860,1899402,mr,कुक बेटे,1,,,,,
7085861,1899402,my,ကွတ် ကျွန်းစု,1,,,,,
7085862,1899402,nd,Cook Islands,1,,,,,
7085863,1899402,ne,कुक टापु,1,,,,,
7085864,1899402,or,କୁକ୍ ଆଇସଲ୍ୟାଣ୍ଡ,1,,,,,
7085865,1899402,rm,Inslas Cook,1,,,,,
7085866,1899402,rn,I\inga rya Kuku,1,,,,,
7085867,1899402,se,Cook-sullot,1,,,,,
7085868,1899402,sg,âzûâ Kûku,1,,,,,
7085869,1899402,si,කුක් දූපත්,1,,,,,
