AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15338473,3213889,wkdt,Q22459099,,,,,,
1507652,3832040,,New Island,,,,,,
4390767,3832040,,Isla Nueva,,,,,,
15555645,3832040,wkdt,Q21828722,,,,,,
1507668,3832128,,Serranía de Sapaleri,,,,,,
1507669,3832128,,Serranías Sapaleri,,,,,,
4390786,3832128,,Serranía de Zapaleri,,,,,,
4391009,3832970,,Paso Vergara,,,,,,
1507930,3833216,,Paso Laguna,,,,,,
4391075,3833216,,Paso Valle Grande,,,,,,
1508048,3833676,,Cerro Treupillan,,,,,,
4391173,3833805,,Cerro Tres Gemelos,,,,,,
15500553,3833805,wkdt,Q22458790,,,,,,
1508126,3834106,,Cerro de la Torre,,,,,,
15475967,3834296,wkdt,Q22471779,,,,,,
15973206,3834296,,Cerro Tobi,,,,,,
1508175,3834449,,Isla Grande de Tierra del Fuego,,,,,,
1508176,3834449,,King Charles South Land,,,,,,
1508177,3834449,,Fuegia,,,,,,
1508178,3834449,,Isla Tierra del Fuego,,,,,,
1508179,3834449,,Isla Grande,,,,,,
1508180,3834449,,Great Island,,,,,,
2080693,3834449,is,Eldland,,,,,,
2299394,3834449,no,Ildlandet,,,,,,
2299395,3834449,nn,Eldlandet,1,1,,,,
9171161,3834449,link,https://en.wikipedia.org/wiki/Isla_Grande_de_Tierra_del_Fuego,,,,,,
1508184,3834451,,Tierra del Fuego,,,,,,
2299397,3834451,nn,Eldlandet,,,,,,
2299398,3834451,no,Ildlandet,,,,,,
7548728,3834451,link,https://en.wikipedia.org/wiki/Tierra_del_Fuego,,,,,,
8204785,3834451,de,Feuerland,,,,,,
8204786,3834451,es,Archipiélago de Tierra del Fuego,,,,,,
8204787,3834451,fr,Terre de Feu,,,,,,
8204788,3834451,it,Terra del Fuoco,,,,,,
8204789,3834451,nl,Vuurland,,,,,,
8204790,3834451,el,Γη του Πυρός,,,,,,
8204791,3834451,bg,Огнена земя,,,,,,
8204792,3834451,mk,Огнена Земја,,,,,,
8204793,3834451,sk,Ohňová zem,,,,,,
8204794,3834451,sl,Ognjena dežela,,,,,,
8204795,3834451,ko,티에라델푸에고 제도,,,,,,
8204796,3834451,ja,ティエラ・デル・フエゴ,,,,,,
8204797,3834451,vi,Đất Lửa,,,,,,
8204798,3834451,xmf,გოდაჩხირელი დიხაშ არქიპელაგი,,,,,,
8204799,3834451,fy,Fjoerlân,,,,,,
8204800,3834451,tr,Ateş Toprakları,,,,,,
8204801,3834451,lt,Ugnies Žemė,,,,,,
8204802,3834451,is,Eldland,,,,,,
8204803,3834451,lv,Ugunszeme,,,,,,
8204804,3834451,fi,Tulimaa,,,,,,
8204805,3834451,os,Арты Зæхх,,,,,,
