AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1079171,2220645,,Pabela,,,,,,
3666147,2220645,,Emini-Pabela,,,,,,
1079172,2220648,,Souboul,,,,,,
3666148,2220648,,Zouvoul,,,,,,
2499663,2220650,,Hosséré Zourhom,,,,,,
3666149,2220650,,Hosséré Zouroum,,,,,,
3666150,2220654,fr,Zoumbia,,,,,,
1079173,2220657,,Sulemajon,,,,,,
1079174,2220657,,Soulemang,,,,,,
3666151,2220657,,Zoulaméyong,,,,,,
1079175,2220660,,Soulabot,,,,,,
1079176,2220660,,Zoulabod,,,,,,
1079177,2220660,,Usŭlabōt,,,,,,
1079178,2220660,,Zoulabot,,,,,,
3666152,2220660,,Zoulabot III,,,,,,
1079179,2220661,,Kul’s,,,,,,
1079180,2220661,,Sulabōt,,,,,,
1079181,2220661,,Zoulabot,,,,,,
1079182,2220661,,Soulabot,,,,,,
3666153,2220661,,Zoulabot II,,,,,,
1079183,2220662,,Mapea’s,,,,,,
1079184,2220662,,Soulabod,,,,,,
1079185,2220662,,Zoulabod,,,,,,
1079186,2220662,,Ssúlabod,,,,,,
3666154,2220662,,Zoulabot,,,,,,
1079187,2220665,,Soué,,,,,,
1079188,2220665,,Soei,,,,,,
2499665,2220665,,Zoueye,,,,,,
3666155,2220665,,Zouey,,,,,,
3666156,2220665,,Zouye,,,,,,
1079189,2220676,,Longouya,,,,,,
1079190,2220676,,Songeua,,,,,,
1079191,2220676,,Zongouya,,,,,,
1079192,2220676,,Songeoua,,,,,,
3666157,2220676,,Zongoya,,,,,,
1079193,2220692,,Zoatélé,,,,,,
3666158,2220692,,Zoétélé,,,,,,
11303488,2220692,link,https://en.wikipedia.org/wiki/Zo%C3%A9t%C3%A9l%C3%A9,,,,,,
1079194,2220700,,Akoassi,,,,,,
3666159,2220700,,Zoasi,,,,,,
1079195,2220706,,Nzoa,,,,,,
3666160,2220706,,Zoa,,,,,,
9189760,2220709,,Hosséré Zivèr,,,,,,
9189761,2220709,,Hoséré Ziver,,,,,,
2499666,2220710,,Ziver,,,,,,
3666161,2220710,,Jiver,,,,,,
1079196,2220715,,Sina,,,,,,
3666162,2220715,,Zina,,,,,,
1079197,2220716,,Bembo,,,,,,
3666163,2220716,,Zimbi,,,,,,
1079198,2220722,,Segagé,,,,,,
1079199,2220722,,Ségagué,,,,,,
2331988,2220722,,Ziguagué,,,,,,
3666164,2220722,,Zgagué,,,,,,
1079200,2220727,,Sidim,,,,,,
3666165,2220727,,Zidim,,,,,,
11907109,2220728,link,http://www.maplandia.com/cameroon/extreme-nord/kaele/zibou/,,,,,,
11909199,2220728,,Zibou,,,,,,
2331989,2220733,,Zézendélé,,,,,,
3666166,2220733,,Zaza-i-ndélé,,,,,,
9069021,2220734,,Mayo Zévéné,,,,,,
9069022,2220734,,Zévéné,,,,,,
1079201,2220735,,Réli,,,,,,
2499667,2220735,,Zeukeuta,,,,,,
3666167,2220735,,Mayo Leukeuta,,,,,,
2331990,2220749,,Zeïla,,,,,,
3666168,2220749,,Zayla,,,,,,
2499668,2220750,,Mayo Zégian,,,,,,
3666169,2220750,,Mayo Zéguian,,,,,,
1079202,2220757,,Sanje Berg,,,,,,
3666170,2220757,,Zanye Mountain,,,,,,
15685861,2220757,wkdt,Q23663266,,,,,,
2499669,2220758,,Zanye,,,,,,
3666171,2220758,,Sanje,,,,,,
1079204,2220765,,Station Terrienne de Télécommunications de Zamengoe,,,,,,
3666172,2220765,,Station Terrienne de Zamengoé,,,,,,
1079205,2220771,,Jamei,,,,,,
1079206,2220771,,Yameï,,,,,,
1079207,2220771,,Zamaï,,,,,,
1079208,2220771,,Zameï,,,,,,
3666173,2220771,,Zamay,,,,,,
2499670,2220773,,Zaman,,,,,,
2499671,2220774,,Zaman,,,,,,
3666175,2220774,,Zaman I,,,,,,
1079209,2220792,,Zakkan,,,,,,
3666176,2220792,,Zakan,,,,,,
2499673,2220794,,Zakalang Laddé,,,,,,
3666177,2220794,,Zaklang,,,,,,
2331991,2220798,,Zagara,,,,,,
3666178,2220798,,Diéguéré,,,,,,
2499674,2220800,,Zagadarba,,,,,,
3666179,2220800,,Mayo Zaga Darba,,,,,,
1079210,2220809,,Yonga,,,,,,
3666180,2220809,,Mayo Younga,,,,,,
1079211,2220812,,Jut,,,,,,
1079212,2220812,,Youkoutt,,,,,,
1079213,2220812,,Youtt,,,,,,
3666181,2220812,,Youkout,,,,,,
1079214,2220823,,Yambou,,,,,,
3666182,2220823,,Yoombié,,,,,,
8551129,2220827,,Hosséré Yongou,,,,,,
8551130,2220827,,Hoséré Yongou,,,,,,
1079215,2220833,,Long,,,,,,
1079216,2220833,,Ayong Rivière,,,,,,
3666183,2220833,,Yong,,,,,,
1079217,2220837,,Yori,,,,,,
3666184,2220837,,Yoli,,,,,,
1079218,2220839,,Joldēo,,,,,,
1079219,2220839,,Djeldé,,,,,,
3666185,2220839,,Yoldéo,,,,,,
2499675,2220841,,Yola Bodéoua,,,,,,
3666186,2220841,,Yola Mbodewa,,,,,,
1079220,2220843,,Jakotondu,,,,,,
3666187,2220843,,Yokotoundou,,,,,,
1079221,2220846,,Betoungou,,,,,,
1079222,2220846,,Yoko Bétugu,,,,,,
1079223,2220846,,Betŭge,,,,,,
