AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
655923,1283747,,Cacho,,,,,,
4533722,1283747,,Alto Morro Gacho,,,,,,
10791104,1462569,es,La Troja,,,,,,
15748116,2593108,wkdt,Q23681003,,,,,,
16031895,2593108,,Loma El Águila,,,,,,
1473195,3625429,,Golfo de Maracaibo,,,,,,
1473196,3625429,,Gulf of Venezuela,,,,,,
1473197,3625429,,Saco de Maracaibo,,,,,,
2986727,3625429,link,https://en.wikipedia.org/wiki/Gulf_of_Venezuela,,,,,,
4401826,3625429,,Golfo de Venezuela,,,,,,
1473387,3626027,,Arrecifes de Trapichote,,,,,,
1473388,3626027,,Trapichote Arrecifes,,,,,,
10650374,3626027,es,Raudal Trapichote,,,,,,
11913948,3643054,es,Isla del Guayabo,,,,,,
11913949,3643054,,Isla El Guayabo,,,,,,
1477752,3647152,,Isla Caño Bravo,,,,,,
4405398,3647152,,Isla Caña Brava,,,,,,
1483604,3663041,,Pamapana,,,,,,
4517417,3663041,,Panapana,,,,,,
1484698,3665520,,Quebrada Manaure,,,,,,
4530944,3665520,,Río Manaure,,,,,,
1484699,3665521,,Quebrada Saharuti,,,,,,
1484700,3665521,,Río Charuté,,,,,,
1484701,3665521,,Quebrada Sharuti,,,,,,
4530945,3665521,,Quebrada Charuté,,,,,,
15215998,3665522,wkdt,Q23680999,,,,,,
15988040,3665522,,Isla 1928,,,,,,
1484702,3665524,,Isla Doña Jerónima,,,,,,
1484703,3665524,,Isla de Zula,,,,,,
1484704,3665524,,Isla de Sura,,,,,,
4530946,3665524,,Isla de Zura,,,,,,
15525203,3665524,wkdt,Q23680998,,,,,,
1484705,3665530,,Hacienda Zumbador,,,,,,
1484706,3665530,,Zumbado,,,,,,
4530947,3665530,,Zumbador,,,,,,
1484707,3665532,,Oso,,,,,,
4530948,3665532,,Zuluaga,,,,,,
1484708,3665535,,Quebrada Sulasquilla,,,,,,
1484709,3665535,,Río Salusquilla,,,,,,
1484710,3665535,,Río Sulasquilla,,,,,,
4530949,3665535,,Quebrada Zulasquilla,,,,,,
1484711,3665536,,Sulas Quilla,,,,,,
4530950,3665536,,Zulasquilla,,,,,,
1484712,3665538,,Sabanas del Zorro,,,,,,
4530951,3665538,,Zorro,,,,,,
1484713,3665541,,Arroyo Kóuraroy,,,,,,
4530952,3665541,,Arroyo Zongo,,,,,,
1926832,3665542,es,Zipaquirá,,,,,,
1926833,3665542,de,Zipaquirá,,,,,,
1926834,3665542,en,Zipaquirá,,,,,,
2986922,3665542,link,https://en.wikipedia.org/wiki/Zipaquir%C3%A1,,,,,,
4530953,3665542,,Zipaquirá,,,,,,
9371828,3665542,ru,Сипакира,,,,,,
9371829,3665542,zh,錫帕基拉,,,,,,
11373946,3665542,bg,Сипакира,,,,,,
11373947,3665542,fa,سیپاگیرا,,,,,,
11373948,3665542,ka,სიპაკირა,,,,,,
11373949,3665542,ko,시파키라,,,,,,
13738107,3665542,unlc,COZQA,,,,,,
7425157,3665543,,Zipaquirá,,,,,,
2986923,3665544,link,https://en.wikipedia.org/wiki/Zipac%C3%B3n,,,,,,
4530954,3665544,,Zipacón,,,,,,
7425158,3665545,,Zipacón,,,,,,
7205751,3665547,,Zetaquira,,,,,,
13655106,3665547,link,https://en.wikipedia.org/wiki/Zetaquir%C3%A1,,,,,,
2986924,3665548,link,https://en.wikipedia.org/wiki/Zetaquir%C3%A1,,,,,,
4530955,3665548,,Zetaquirá,,,,,,
1484714,3665549,,Zelandia,,,,,,
1484715,3665549,,Hacienda Zelandia,,,,,,
4530956,3665549,,El Piñal,,,,,,
1484716,3665552,,Celandia,,,,,,
1484717,3665552,,Zelandia,,,,,,
4530957,3665552,,El Piñal,,,,,,
1484718,3665555,,Caño Arenoso,,,,,,
1484719,3665555,,Quebrada El Zarzal,,,,,,
4530958,3665555,,Quebrada Zarzal,,,,,,
1484720,3665557,,Ciénaga de Zarzal,,,,,,
4530959,3665557,,Ciénaga Zarzal,,,,,,
