AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15699004,3620988,wkdt,Q23733138,,,,,,
15971441,3620988,,Cerro Zurqui,,,,,,
2986669,3620994,link,https://en.wikipedia.org/wiki/Zarcero,,,,,,
4355680,3620994,,Zarcero,,,,,,
1471685,3621005,,El Zapote,,,,,,
4355681,3621005,,Zapote,,,,,,
7201655,3621006,link,https://en.wikipedia.org/wiki/Zapote_District%2C_San_Jos%C3%A9,,,,,,
7324141,3621006,,Zapote,,,,,,
1471686,3621011,,Punta Blanca,,,,,,
1471687,3621011,,Punta Guachipelines,,,,,,
4355682,3621011,,Punta Zapotal,,,,,,
15395559,3621011,wkdt,Q23733122,,,,,,
15830793,3621012,wkdt,Q23733121,,,,,,
15971442,3621012,,Cerros Zapotal,,,,,,
1471688,3621016,,San Antonio,,,,,,
4355683,3621016,,Zapotal,,,,,,
1471689,3621021,,Quebrada del Burro,,,,,,
4355684,3621021,,Quebrada Zanja de Burro,,,,,,
1471690,3621022,,Coto Point,,,,,,
1471691,3621022,,Punta Coto,,,,,,
4355685,3621022,,Punta Zancudo,,,,,,
15526847,3621022,wkdt,Q23733116,,,,,,
1471692,3621024,,Quebrada Samera,,,,,,
4355686,3621024,,Quebrada Zamora,,,,,,
15794793,3621025,wkdt,Q23733113,,,,,,
15971443,3621025,,Isla Zahino,,,,,,
1471693,3621028,,Sacate Point,,,,,,
4355687,3621028,,Punta Zacate,,,,,,
15611298,3621028,wkdt,Q23733112,,,,,,
1471694,3621030,,Laguna del Misterio,,,,,,
4355688,3621030,,Laguna de Yurro Hondo,,,,,,
1471695,3621031,,Isla Ostion,,,,,,
4355689,3621031,,Isla Yuca,,,,,,
15090525,3621031,wkdt,Q23733108,,,,,,
1471696,3621033,,Cerro Iglesias,,,,,,
4355690,3621033,,Cerro Yglesias,,,,,,
1471697,3621034,,Esperanza Bay,,,,,,
1471698,3621034,,Bahía del Sur,,,,,,
1471699,3621034,,Bahía Iglesias,,,,,,
4355691,3621034,,Bahía Yglesias,,,,,,
1471700,3621037,,Río de la Yagua,,,,,,
4355692,3621037,,Río de la Yegua,,,,,,
1471701,3621039,,El Yas,,,,,,
4355693,3621039,,Yas,,,,,,
1471702,3621041,,Río Xikiari,,,,,,
4355694,3621041,,Río Xirikiari,,,,,,
1471703,3621047,,Wafer Bay,,,,,,
4355695,3621047,,Bahía Wafer,,,,,,
1471704,3621049,,Cerro Las Vueltas,,,,,,
1471705,3621049,,Cerro las Vueltas,,,,,,
1471706,3621049,,Las Vueltas,,,,,,
1471707,3621049,,Cerro de las Vueltas,,,,,,
4355696,3621049,,Cerro Vueltas,,,,,,
15775569,3621049,wkdt,Q23733092,,,,,,
1471708,3621053,,Las Vueltas,,,,,,
1471709,3621053,,Los Vuelta,,,,,,
4355697,3621053,,Vueltas,,,,,,
1471710,3621055,,Punta Barrigona,,,,,,
1471711,3621055,,Punta de Ora,,,,,,
4355698,3621055,,Punta Vuelta del Sur,,,,,,
15161552,3621055,wkdt,Q23733091,,,,,,
