AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
8103210,8505031,en,Czechoslovakia,1,,,,,
8103211,8505031,,CSK,,,,,,
8103212,8505031,,CS,,,,,,
8103239,8505031,link,https://en.wikipedia.org/wiki/Czechoslovakia,,,,,,
8698947,8505031,de,Tschechoslowakei,,,,,,
8698948,8505031,es,Checoslovaquia,,,,,,
8698949,8505031,fr,Tchécoslovaquie,,,,,,
8698950,8505031,it,Cecoslovacchia,,,,,,
8698951,8505031,nl,Tsjecho-Slowakije,,,,,,
8698952,8505031,af,Tsjeggo-Slowakye,,,,,,
8698953,8505031,als,Tschechoslowakei,,,,,,
8698954,8505031,ang,Cecoslofacia,,,,,,
8698955,8505031,ar,تشيكوسلوفاكيا,,,,,,
8698956,8505031,arz,تشيكوسلوفاكيا,,,,,,
8698957,8505031,az,Çexoslovakiya,,,,,,
8698958,8505031,bar,Tschechoslowakei,,,,,,
8698959,8505031,bcl,Tsekoslobakya,,,,,,
8698960,8505031,be,Чэхаславакія,,,,,,
8698961,8505031,bg,Чехословакия,,,,,,
8698962,8505031,bn,চেকোস্লোভাকিয়া,,,,,,
8698963,8505031,br,Tchekoslovakia,,,,,,
8698964,8505031,bs,Čehoslovačka,,,,,,
8698965,8505031,ca,Txecoslovàquia,,,,,,
8698966,8505031,ckb,چێکۆسلۆڤاکیا,,,,,,
8698967,8505031,cs,Československo,,,,,,
8698968,8505031,cv,Чехословаки,,,,,,
8698969,8505031,cy,Tsiecoslofacia,,,,,,
8698970,8505031,da,Tjekkiet,,,,,,
8698971,8505031,diq,Çekoslowakya,,,,,,
8698972,8505031,dsb,Českosłowakska,,,,,,
8698973,8505031,el,Τσεχοσλοβακία,,,,,,
8698974,8505031,eo,Ĉeĥoslovakio,,,,,,
8698975,8505031,et,Tšehhoslovakkia,,,,,,
8698976,8505031,eu,Txekoslovakia,,,,,,
8698977,8505031,fa,چکسلواکی,,,,,,
8698978,8505031,fi,Tšekkoslovakia,,,,,,
8698979,8505031,frp,Tch·ècoslovaquie,,,,,,
8698980,8505031,fur,Cecoslovachie,,,,,,
8698981,8505031,fy,Tsjechoslowakije,,,,,,
8698982,8505031,gl,Checoslovaquia,,,,,,
8698983,8505031,he,צכוסלובקיה,,,,,,
8698984,8505031,hi,चेकोस्लोवाकिया,,,,,,
8698985,8505031,hr,Čehoslovačka,,,,,,
8698986,8505031,hsb,Čěskosłowakska,,,,,,
8698987,8505031,hu,Csehszlovákia,,,,,,
8698988,8505031,hy,Չեխոսլովակիա,,,,,,
8698989,8505031,ia,Checoslovachia,,,,,,
8698990,8505031,id,Cekoslowakia,,,,,,
8698991,8505031,io,Chekoslovakia,,,,,,
8698992,8505031,is,Tékkóslóvakía,,,,,,
8698993,8505031,ja,チェコスロバキア,,,,,,
8698994,8505031,jv,Cékoslowakia,,,,,,
8698995,8505031,ka,ჩეხოსლოვაკია,,,,,,
8698996,8505031,kn,ಚೆಕೊಸ್ಲೊವೇಕಿಯಾ,,,,,,
8698997,8505031,ko,체코슬로바키아,,,,,,
8698998,8505031,ku,Çekoslovakya,,,,,,
8698999,8505031,ky,Чехословакия,,,,,,
8699000,8505031,la,Cechoslovacia,,,,,,
8699001,8505031,li,Tsjecho-Slowakije,,,,,,
8699002,8505031,lmo,Cecusluvachia,,,,,,
8699003,8505031,lt,Čekoslovakija,,,,,,
8699004,8505031,lv,Čehoslovākija,,,,,,
8699005,8505031,mk,Чехословачка,,,,,,
8699006,8505031,ml,ചെക്കൊസ്ലൊവാക്യ,,,,,,
8699007,8505031,mr,चेकोस्लोव्हाकिया,,,,,,
8699008,8505031,my,ချက်ကိုဆလိုဗားကီးယားနိုင်ငံ,,,,,,
8699009,8505031,ne,चेकोस्लोभाकिया,,,,,,
8699010,8505031,nn,Tsjekkoslovakia,,,,,,
8699011,8505031,no,Tsjekkoslovakia,,,,,,
8699012,8505031,oc,Checoslovaquia,,,,,,
8699013,8505031,os,Чехословаки,,,,,,
8699014,8505031,pa,ਚੈਕੋਸਲਵਾਕੀਆ,,,,,,
8699015,8505031,pnb,چیکوسلواکیہ,,,,,,
8699016,8505031,qu,Chikusluwakya,,,,,,
8699017,8505031,ro,Cehoslovacia,,,,,,
8699018,8505031,scn,Cecoslovacchia,,,,,,
8699019,8505031,sco,Czechoslovakie,,,,,,
8699020,8505031,hbs,Čehoslovačka,,,,,,
8699021,8505031,si,චෙකොස්ලෝවැකියාව,,,,,,
8699022,8505031,sk,Česko-Slovensko,,,,,,
8699023,8505031,sl,Češkoslovaška,,,,,,
8699024,8505031,sq,Çekosllovakia,,,,,,
8699025,8505031,sr,Чехословачка,,,,,,
8699026,8505031,stq,Tschechoslowakäi,,,,,,
8699027,8505031,sw,Chekoslovakia,,,,,,
8699028,8505031,ta,செக்கோசிலோவாக்கியா,,,,,,
8699029,8505031,th,ประเทศเชโกสโลวาเกีย,,,,,,
8699030,8505031,tl,Tsekoslobakya,,,,,,
8699031,8505031,tr,Çekoslovakya,,,,,,
8699032,8505031,uk,Чехословаччина,,,,,,
8699033,8505031,ur,چیکوسلوواکیہ,,,,,,
8699034,8505031,vec,Cecoslovachia,,,,,,
8699035,8505031,vep,Čehoslovakii,,,,,,
8699036,8505031,vi,Tiệp Khắc,,,,,,
8699037,8505031,yi,טשעכאסלאוואקיי,,,,,,
8699038,8505031,nan,Československo,,,,,,
8699039,8505031,yue,捷克斯洛伐克,,,,,,
8699040,8505031,pl,Czechosłowacja,,,,,,
8699041,8505031,pt,Checoslováquia,,,,,,
8699042,8505031,ru,Чехословакия,,,,,,
8699043,8505031,sv,Tjeckoslovakien,,,,,,
8699044,8505031,zh,捷克斯洛伐克,,,,,,
11321506,8505031,ga,An tSeicslóvaic,,,,,,
11321507,8505031,gd,An t-Seic-Slòbhac,,,,,,
11321508,8505031,ie,Tchecoslovakia,,,,,,
11321509,8505031,kk,Чехословакия,,,,,,
11321510,8505031,lb,Tschechoslowakei,,,,,,
11321511,8505031,pcd,Tchécoslovakie,,,,,,
11321512,8505031,sc,Tzecoslovàchia,,,,,,
11321513,8505031,tt,Чехословакия,,,,,,
11321514,8505031,uz,Chexoslovakiya,,,,,,
11321515,8505031,wuu,捷克斯洛伐克,,,,,,
11321516,8505031,xmf,ჩეხოსლოვაკია,,,,,,
11378148,8505031,,Cssr,,1,,,,
11378149,8505031,ru,ЧССР,,1,,,,
8103233,8505033,en,Serbia and Montenegro,1,,,,,
8103234,8505033,link,https://en.wikipedia.org/wiki/Serbia_and_montenegro,,,,,,
8103235,8505033,,SCG,,,,,,
8103236,8505033,,CS,,,,,,
8103237,8505033,en,Federal Republic of Yugoslavia,,,,,,
8103238,8505033,en,State Union of Serbia and Montenegro,,,,,,
11167753,8505033,de,Serbien und Montenegro,,,,,,
11261988,8505033,ar,صربيا والجبل الأسود,,,,,,
11906139,8505033,de,Serbien-Montenegro,1,1,,1,,
13859803,8505033,fr,Serbie-et-Monténégro,1,,,,,

