AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
11180621,1330337,es,Punta de Macurije,,,,,,
661415,1331294,,Playa de Galafre,,,,,,
4716408,1331294,,Playa Boca de Galafre,,,,,,
15634933,1331294,wkdt,Q23786044,,,,,,
661416,1331295,,Estero del Rolar,,,,,,
4716410,1331295,,Ensenada La Playita,,,,,,
11219860,2363252,es,Trujillo,,,,,,
1444055,3533512,,Guipúzcoa,,,,,,
4239468,3533512,,Esteban Hernández,,,,,,
11219763,3533513,,Río Zurrapandilla,,,,,,
11219764,3533513,es,Zurrapandilla,,,,,,
13528676,3533514,es,La Zurrapa,,,,,,
13528677,3533514,,Zurrapa,,,,,,
1444056,3533516,,Chucho Zurbano,,,,,,
4239469,3533516,,Zurbano,,,,,,
13502451,3533517,es,Ensenada Zúñiga,,,,,,
1444057,3533521,,Batey de Zumalacarry,,,,,,
4239470,3533521,,Zumalacarry,,,,,,
11219765,3533525,es,Zulueta,,,,,,
12008451,3533525,link,https://en.wikipedia.org/wiki/Zulueta_%28Remedios%29,,,,,,
1444058,3533531,,Grua Zorrilla,,,,,,
4239471,3533531,,Zorrilla,,,,,,
1444059,3533536,,Zona del Central Steward,,,,,,
4239472,3533536,,Zona del Central Stewart,,,,,,
11219766,3533540,es,Águila,,,,,,
11219767,3533540,,Zona Águila,,,,,,
15439378,3533543,wkdt,Q23786035,,,,,,
15953262,3533543,,Zoila,,,,,,
1444060,3533548,,Colonia Zoila,,,,,,
4239473,3533548,,Zoila,,,,,,
1444061,3533549,,Colonia Zoila,,,,,,
4239474,3533549,,Zoila,,,,,,
1444062,3533552,,Zequera,,,,,,
4239475,3533552,,Zerquera,,,,,,
1444063,3533553,,Zequiera,,,,,,
4239476,3533553,,Zequeira,,,,,,
13528678,3533554,es,La Zenaida,,,,,,
13528679,3533554,,Zeneida,,,,,,
1444064,3533556,,Zaza,,,,,,
4239477,3533556,,Zaza del Medio,,,,,,
15203690,3533556,wkdt,Q20600881,,,,,,
1444065,3533557,,Cayo Zaza de Fuerza,,,,,,
1444066,3533557,,Cayo Zaza de Afuera,,,,,,
4239478,3533557,,Cayo Zaza de Fuera,,,,,,
13502452,3533558,es,Zaza,,,,,,
13502453,3533558,,Río Zaza,,,,,,
1444067,3533559,,Embalse Zaza,,,,,,
1444068,3533559,,Presa Zada,,,,,,
4239479,3533559,,Presa Zaza,,,,,,
7141055,3533559,link,https://en.wikipedia.org/wiki/Zaza_Reservoir,,,,,,
11172765,3533567,es,Zayas,,,,,,
11172766,3533568,es,Zayas,,,,,,
11219768,3533579,es,Zarzal,,,,,,
1444069,3533581,,El Salsar,,,,,,
4239480,3533581,,Zarzal,,,,,,
13528680,3533582,es,Zaza Gorda,,,,,,
13528681,3533582,,Zarza Gorda,,,,,,
11219769,3533584,es,Cayo Zarapico,,,,,,
1444070,3533585,,Zaneadito,,,,,,
4239481,3533585,,Zarandico,,,,,,
11172767,3533586,es,Zaragoza,,,,,,
1444071,3533588,,Saragosa,,,,,,
4239482,3533588,,Zaragoza,,,,,,
11172768,3533589,es,Zarabanda,,,,,,
15654496,3533592,wkdt,Q23786023,,,,,,
15953263,3533592,,Alto del Zapote,,,,,,
1444072,3533594,,Finca Zapote,,,,,,
4239483,3533594,,Zapote,,,,,,
11219770,3533599,es,Cayo Zapato,,,,,,
1444073,3533601,,Zapotin,,,,,,
4239484,3533601,,Zapatín,,,,,,
