AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
13601421,3374116,link,"https://en.wikipedia.org/wiki/Vinagre,_Cape_Verde",,,,,,
13638677,3374116,,Vinagre,,,,,,
1391725,3374117,,Vila de Nova Sintra,,,,,,
1391726,3374117,,Vila Nova Cinteus,,,,,,
1391727,3374117,,Vila de Nova Cintra,,,,,,
4314438,3374117,,Vila Nova Sintra,,,,,,
6879300,3374117,link,https://en.wikipedia.org/wiki/Nova_Sintra,,,,,,
1391728,3374120,,Port Ingles,,,,,,
1391729,3374120,,Maio,,,,,,
1391730,3374120,,Nossa Senhora da Luz,,,,,,
1391731,3374120,,Porto Inglez,,,,,,
4314439,3374120,pt,Vila do Maio,,,,,,
6876587,3374120,link,https://en.wikipedia.org/wiki/Vila_do_Maio,,,,,,
7979791,3374120,,Vila do Porto Inglês,,,,,,
11947813,3374120,iata,MMO,,,,,,
11947965,3374120,en,Vila do Maio,1,,,,,
11947966,3374120,en,Porto Inglês,,,,,,
13738408,3374120,unlc,CVMMO,,,,,,
13738413,3374120,unlc,CVPOI,,,,,,
14996178,3374120,wkdt,Q489776,,,,,,
1391732,3374121,,Ribeira Brava,,,,,,
2984237,3374121,link,"https://en.wikipedia.org/wiki/Ribeira_Brava,_Cape_Verde",,,,,,
7361683,3374121,,Vila da Ribeira Brava,,,,,,
14996209,3374121,wkdt,Q3136127,,,,,,
15231470,3374122,wkdt,Q23007183,,,,,,
15959384,3374122,,Ponta da Vigia,,,,,,
2984238,3374123,link,https://en.wikipedia.org/wiki/Vicente_Dias,,,,,,
4314441,3374123,,Vicente Dias,,,,,,
15500672,3374124,wkdt,Q23007182,,,,,,
15959385,3374124,,Achada Vianga,,,,,,
11289749,3374126,link,https://en.wikipedia.org/wiki/Viana%2C_Cape_Verde,,,,,,
11392513,3374126,,Viana,,,,,,
1391733,3374127,,Morro Vermelho do Covada Branca,,,,,,
4314442,3374127,,Morro Vermelho de Cova Branca,,,,,,
15639653,3374127,wkdt,Q23007179,,,,,,
6895587,3374130,link,https://en.wikipedia.org/wiki/Monte_Verde%2C_Cape_Verde,,,,,,
6923163,3374130,,Monte Verde,,,,,,
13573626,3374130,en,Green Mountain,,,,,,
2984239,3374132,link,https://en.wikipedia.org/wiki/Pico_do_Vento,,,,,,
4314443,3374132,,Pico do Vento,,,,,,
13274954,3374132,,Pico do Venta,,,,,,
1391734,3374133,,Calheta do Velho,,,,,,
4314444,3374133,en,Porto Velho,,,,,,
12095188,3374133,de,Porto Velho,,,,,,
14851655,3374134,wkdt,Q23007174,,,,,,
15959386,3374134,,Ponta Vasa Rabo,,,,,,
15690431,3374135,wkdt,Q23007173,,,,,,
15959387,3374135,,Ponta da Vasa,,,,,,
11292662,3374136,link,https://en.wikipedia.org/wiki/Ponta_Varandinha,,,,,,
11392514,3374136,,Ponta Varandinha,,,,,,
1391735,3374138,,Vale da Custa,,,,,,
4314445,3374138,,Vale da Gusta,,,,,,
13603109,3374138,link,https://en.wikipedia.org/wiki/Vale_da_Custa,,,,,,
1391736,3374140,,Urzeleiros,,,,,,
1391737,3374140,,Urgueiro,,,,,,
4314446,3374140,,Urzeleiro,,,,,,
7979792,3374144,,Ponta de Trenó,,,,,,
7979793,3374144,,Ponta Treno,,,,,,
15201926,3374145,wkdt,Q23007166,,,,,,
15959388,3374145,,Monte Travessado,,,,,,
13603108,3374146,link,"https://en.wikipedia.org/wiki/Tr%C3%A1s_os_Montes,_Cape_Verde",,,,,,
13638678,3374146,,Tras-os-Montes,,,,,,
15437911,3374148,wkdt,Q23007164,,,,,,
15959389,3374148,,Monte Tortolho,,,,,,
1391738,3374151,,Santa Luzia,,,,,,
4314447,3374151,,Topona,,,,,,
13286863,3374152,pt,Monte Grande,,,,,,
1391739,3374153,,Tongom,,,,,,
4314448,3374153,,Tongon,,,,,,
1391740,3374154,,Baía do Ervatão,,,,,,
4314449,3374154,,Baía da Teodora,,,,,,
13284045,3374155,es,Punta Temerosa,,,,,,
1391741,3374158,,Tarrafal,,,,,,
4314450,3374158,,Tarrafal da Vila de Ribeira Grande,,,,,,
2186687,3374161,,Tarrafal,1,1,,,,
5650143,3374161,,Concelho do Tarrafal,,,,,,
7996233,3374161,pt,Tarrafal,,,,,,
8234381,3374161,link,"https://en.wikipedia.org/wiki/Tarrafal,_Cape_Verde_%28municipality%29",,,,,,
11659655,3374161,en,Tarrafal,,1,,,,
11659656,3374161,en,Tarrafal Municipality,1,,,,,
11803091,3374161,fr,Tarrafal,,,,,,
15366757,3374161,wkdt,Q499598,,,,,,
1391742,3374163,,Bahia do Tarrafal,,,,,,
4314451,3374163,,Baía do Tarrafal,,,,,,
1391743,3374164,,Tarvafal,,,,,,
4314452,3374164,,Tarrafal,,,,,,
6594273,3374164,,Tarrafal de Monte Trigo,,,,,,
7145335,3374164,link,https://en.wikipedia.org/wiki/Tarrafal_de_Monte_Trigo,,,,,,
7352199,3374165,,Tarrafal,,1,,,,
7352200,3374165,link,"https://en.wikipedia.org/wiki/Tarrafal_de_S%C3%A3o_Nicolau,_Cape_Verde",,,,,,
13738420,3374165,unlc,CVSNE,,,,,,
14895711,3374165,wkdt,Q2718860,,,,,,
1391744,3374166,,Vila do Tarrafal,1,,,,,
4314453,3374166,,Tarrafal,,,,,,
8691339,3374166,link,https://en.wikipedia.org/wiki/Tarrafal%2C_Cape_Verde,,,,,,
13738421,3374166,unlc,CVTAR,,,,,,
15807852,3374167,wkdt,Q23007153,,,,,,
15959390,3374167,,Ponta Tarafo,,,,,,
15252567,3374171,wkdt,Q23007149,,,,,,
15959391,3374171,,Ponta dos Tarafes,,,,,,
1391745,3374172,,Baixo do Tarrafe,,,,,,
4314454,3374172,,Baixo do Tarafe,,,,,,
15267404,3374173,wkdt,Q23007147,,,,,,
15959392,3374173,,Monte Tagarrinho,,,,,,
15560073,3374178,wkdt,Q23007144,,,,,,
15959393,3374178,,Ponta de Sougui,,,,,,
12298599,3374179,link,https://en.wikipedia.org/wiki/Sotavento_Islands,,,,,,
12298600,3374179,en,Sotavento Islands,,,,,,
12781458,3374179,,Ilhas do Sotavento,,,,,,
11290915,3374182,link,https://en.wikipedia.org/wiki/Ponta_do_Sol_%28Boa_Vista%29,,,,,,
11392515,3374182,,Ponta do Sol,,,,,,
15835402,3374182,wkdt,Q23007140,,,,,,
15680011,3374183,wkdt,Q23007139,,,,,,
15959394,3374183,,Monte Sobrado,,,,,,
1391746,3374184,,South Point,,,,,,
4314455,3374184,,Ponta do Sinó,,,,,,
15384657,3374185,wkdt,Q23007137,,,,,,
15959395,3374185,,Ponta da Sinagoga,,,,,,
2984240,3374186,link,https://en.wikipedia.org/wiki/Sinagoga,,,,,,
4314456,3374186,,Sinagoga,,,,,,
13601429,3374188,link,https://en.wikipedia.org/wiki/Lagari%C3%A7a,,,,,,
13638679,3374188,,Serrado,,,,,,
15673519,3374189,wkdt,Q23007135,,,,,,
15959396,3374189,,Ponta Seringa,,,,,,
15700190,3374191,wkdt,Q23007133,,,,,,
15959397,3374191,,Monte Semedo,,,,,,
15484478,3374196,wkdt,Q23007131,,,,,,
15959398,3374196,,Ponta da Saudade,,,,,,
1946625,3374197,es,Isla de São Vicente,,,,,,
1946626,3374197,de,São Vicente,,,,,,
1946627,3374197,fi,São Vicente,,,,,,
1946628,3374197,nl,São Vicente,,,,,,
1946629,3374197,no,São Vicente,,,,,,
1946630,3374197,pt,São Vicente,,,,,,
1946631,3374197,sv,São Vicente,,,,,,
2004260,3374197,fr,Île São Vicente,,,,,,
2004261,3374197,pt,Ilha de São Vicente,,,,,,
2984241,3374197,link,https://en.wikipedia.org/wiki/S%C3%A3o_Vicente%2C_Cape_Verde,,,,,,
4314457,3374197,,Ilha de São Vicente,,,,,,
10003017,3374197,en,São Vicente Island,1,,,,,
10003018,3374197,en,Saint Vincent Island,,,,,,
10840659,3374197,iata,VXE,,,,,,
2186677,3374198,,São Vicente,1,1,,,,
5650144,3374198,,Concelho de São Vicente,,,,,,
7752370,3374198,link,"https://en.wikipedia.org/wiki/S%C3%A3o_Vicente,_Cape_Verde",,,,,,
7996234,3374198,pt,São Vicente,,,,,,
11659645,3374198,en,São Vicente,,1,,,,
11659646,3374198,en,São Vicente Municipality,1,,,,,
11803090,3374198,fr,São Vicente,,,,,,
13738422,3374198,unlc,CVVXE,,,,,,
14912867,3374198,wkdt,Q648842,,,,,,
16090334,3374198,,Sao Vicente,,1,,,,
16090342,3374198,en,Sao Vicente,,1,,,,
1391747,3374199,,Ilha de São Tiago,,,,,,
1391748,3374199,,Santiago,,,,,,
1391749,3374199,,São Tiago,,,,,,
1912643,3374199,es,Isla de Santiago,,,,,,
1912644,3374199,de,Santiago,,,,,,
1912645,3374199,en,Santiago,,,,,,
1912646,3374199,eo,Santiago,,,,,,
1912647,3374199,fi,Santiago,,,,,,
1912648,3374199,nl,Santiago,,,,,,
1912649,3374199,no,Santiago,,,,,,
1912650,3374199,pt,Santiago,,,,,,
1912651,3374199,sv,Santiago,,,,,,
1912652,3374199,zh,聖地牙哥島,,,,,,
2984242,3374199,link,https://en.wikipedia.org/wiki/Santiago%2C_Cape_Verde,,,,,,
3058159,3374199,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D1%82%D1%8C%D1%8F%D0%B3%D1%83_%28%D0%9A%D0%B0%D0%B1%D0%BE-%D0%92%D0%B5%D1%80%D0%B4%D0%B5%29,,,,,,
10003019,3374200,en,San Pedro Bay,,,,,,
6902889,3374201,link,https://en.wikipedia.org/wiki/S%C3%A3o_Pedro%2C_Cape_Verde,,,,,,
2728009,3374202,en,São Nicolau,1,,,,,
2728010,3374202,es,São Nicolau,1,,,,,
2728011,3374202,ca,São Nicolau,1,,,,,
2728012,3374202,de,São Nicolau,1,,,,,
2728013,3374202,it,São Nicolau,1,,,,,
2728014,3374202,fr,São Nicolau,1,,,,,
4314458,3374202,,Ilha de São Nicolau,,,,,,
5757284,3374202,link,https://en.wikipedia.org/wiki/S%C3%A3o_Nicolau%2C_Cape_Verde,,,,,,
13331581,3374202,iata,SNE,,,,,,
13601502,3374205,link,"https://en.wikipedia.org/wiki/S%C3%A3o_Jorge,_Cape_Verde",,,,,,
13638680,3374205,,São Jorge,,,,,,
11314236,3374206,link,https://en.wikipedia.org/wiki/S%C3%A3o_Jorge%2C_Cape_Verde,,,,,,
11392516,3374206,,São Jorge,,,,,,
1391750,3374209,,San Filippe,,,,,,
4314459,3374209,,Porto de São Filipe,,,,,,
1391751,3374210,pt,Vila de São Filippe,,,,,,
1391752,3374210,pt,São Filipe,,,,,,
5756770,3374210,link,https://en.wikipedia.org/wiki/S%C3%A3o_Filipe%2C_Cape_Verde,,,,,,
8322128,3374210,sv,Saint Philip,,,,,,
9368087,3374210,zh,聖菲利普縣,,,,,,
10095346,3374210,,Luz,,,,1,,
10224955,3374210,iata,SFL,,,,,,
10224956,3374210,en,São Filipe,,,,,,
13738418,3374210,unlc,CVSFL,,,,,,
14981387,3374210,wkdt,Q13957085,,,,,,
2984243,3374211,link,https://en.wikipedia.org/wiki/S%C3%A3o_Domingos%2C_Cape_Verde_%28municipality%29,,,,,,
3075072,3374211,ru,Сан-Домингос,1,,,,,
13601493,3374212,link,https://en.wikipedia.org/wiki/Santo_Ant%C3%B3nio_(Fogo),,,,,,
1943878,3374213,de,Santo Antão,,,,,,
1943879,3374213,en,Santo Antão,,,,,,
1943880,3374213,et,Santo Antão,,,,,,
1943881,3374213,fi,Santo Antão,,,,,,
1943882,3374213,nl,Santo Antão,,,,,,
1943883,3374213,no,Santo Antão,,,,,,
1943884,3374213,pt,Santo Antão,,,,,,
1943885,3374213,sv,Santo Antão,,,,,,
2984244,3374213,link,https://en.wikipedia.org/wiki/Santo_Ant%C3%A3o%2C_Cape_Verde,,,,,,
4314460,3374213,,Ilha de Santo Antão,,,,,,
13738410,3374213,unlc,CVNTO,,,,,,
1391753,3374214,,San Iago,,,,,,
1391754,3374214,,São Tiago,,,,,,
4314461,3374214,,Santiago,,,,,,
13738403,3374214,unlc,CV4SM,,,,,,
13283991,3374217,en,Quail Island,,,,,,
13286357,3374217,en,Green Island,,,,,,
15260921,3374217,wkdt,Q23007125,,,,,,
2984245,3374218,link,https://en.wikipedia.org/wiki/Santa_Maria%2C_Cape_Verde,,,,,,
4314462,3374218,en,Santa Maria,1,,,,,
9495639,3374218,de,Santa Maria,1,,,,,
9495640,3374218,fr,Santa Maria,1,,,,,
13738416,3374218,unlc,CVSAM,,,,,,
14984843,3374218,wkdt,Q497445,,,,,,
13274952,3374219,en,Santa Luzia Point,,,,,,
7148828,3374220,link,https://en.wikipedia.org/wiki/Santa_Luzia%2C_Cape_Verde,,,,,,
7323643,3374220,,Ilha de Santa Luzia,,,,,,
12095185,3374220,en,Santa Luzia,,,,,,
12095186,3374220,de,Santa Luzia,,,,,,
2984246,3374221,link,https://en.wikipedia.org/wiki/Santa_Cruz%2C_Cape_Verde,,,,,,
4314463,3374221,,Santa Cruz,,,,,,
1391755,3374225,,Boca do Inferno,,,,,,
1391756,3374225,,Baía do Inferno,,,,,,
4314464,3374225,,Baía de Santa Clara,,,,,,
2186680,3374226,,Santa Catarina,1,1,,,,
5650145,3374226,,Concelho de Santa Catarina,,,,,,
7996235,3374226,pt,Santa Catarina,,,,,,
8234379,3374226,link,"https://en.wikipedia.org/wiki/Santa_Catarina,_Cape_Verde",,,,,,
11659632,3374226,en,Santa Catarina,,1,,,,
11659633,3374226,en,Santa Catarina Municipality,1,,,,,
11803082,3374226,fr,Santa Catarina,,,,,,
14910473,3374226,wkdt,Q494882,,,,,,
2984247,3374227,link,https://en.wikipedia.org/wiki/Santa_B%C3%A1rbara%2C_Cape_Verde,,,,,,
4314465,3374227,,Santa Bárbara,,,,,,
13274960,3374228,pt,Ponta de Sancho,,,,,,
15477410,3374231,wkdt,Q23007117,,,,,,
15959399,3374231,,Ponta do Salto,,,,,,
1391757,3374234,,Ilhéu do Porto de Sal Rei,,,,,,
2984248,3374234,link,https://en.wikipedia.org/wiki/Ilh%C3%A9u_de_Sal_Rei,,,,,,
4314466,3374234,,Ilhéu de Sal Rei,,,,,,
1391758,3374235,,Sal-Rel,,,,,,
2984249,3374235,link,https://en.wikipedia.org/wiki/Sal_Rei,,,,,,
4314467,3374235,,Sal Rei,,,,,,
7979794,3374235,,Vila de Sal Rei,,,,,,
9527981,3374235,de,Sal Rei,1,,,,,
9527982,3374235,en,Sal Rei,1,,,,,
9527983,3374235,fr,Sal Rei,1,,,,,
13738417,3374235,unlc,CVSAR,,,,,,
1391759,3374236,,Salt-pan Point,,,,,,
4314468,3374236,,Ponta das Salinas,,,,,,
14903028,3374238,wkdt,Q23007112,,,,,,
