AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1435288,3513068,,Landhuis Zegu,,,,,,
4224033,3513068,,Landhuis Zorgendal,,,,,,
1435289,3513069,,Sero Zjeremi,,,,,,
1435290,3513069,,Ceru Jeremi,,,,,,
4224034,3513069,,Seru Zjeremi,,,,,,
1435291,3513070,,Plaja Jeremi,,,,,,
4224035,3513070,,Playa Zjeremi,,,,,,
7510568,3513070,link,https://en.wikipedia.org/wiki/Playa_Jeremi,,,,,,
13738432,3513074,unlc,CWZEE,,,,,,
13826394,3513074,,Zeelandia,,,,,,
1435292,3513075,,Zaquito,,,,,,
4224036,3513075,,Zakitó,,,,,,
1435293,3513077,,Ceru Juana,,,,,,
4224037,3513077,,Ser’i Yuana,,,,,,
1435294,3513082,,Juicio,,,,,,
1616598,3513090,de,Willemstad,,,,,,
1616599,3513090,en,Willemstad,,,,,,
1616600,3513090,bg,Вилемстад,,,,,,
1616601,3513090,et,Willemstad,,,,,,
1616602,3513090,fi,Willemstad,,,,,,
1616603,3513090,fr,Willemstad,,,,,,
1616604,3513090,id,Willemstad,,,,,,
1616605,3513090,io,Willemstad,,,,,,
1616606,3513090,ko,빌렘스타트,,,,,,
1616607,3513090,nl,Willemstad,,,,,,
1616608,3513090,pl,Willemstad,,,,,,
1616609,3513090,pt,Willemstad,,,,,,
1616610,3513090,sv,Willemstad,,,,,,
1616611,3513090,tr,Willemstad,,,,,,
1638748,3513090,sk,Willemstad,,,,,,
1901939,3513090,es,Willemstad,,,,,,
1901940,3513090,he,וילמסטאד,,,,,,
1901941,3513090,ja,ウィレムスタット,,,,,,
1901942,3513090,pap,Willemstad,,,,,,
1989423,3513090,zh,威廉斯塔德,,,,,,
2985649,3513090,link,https://en.wikipedia.org/wiki/Willemstad,,,,,,
3056433,3513090,link,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BB%D0%BB%D0%B5%D0%BC%D1%81%D1%82%D0%B0%D0%B4,,,,,,
8309215,3513090,ur,ویلمسٹیڈ,,,,,,
8309216,3513090,th,วิลเลมสตัด,,,,,,
8309217,3513090,lt,Vilemstadas,,,,,,
8309218,3513090,os,Виллемстад,,,,,,
8309219,3513090,fy,Willemstêd,,,,,,
8309220,3513090,ar,ويلمستاد,,,,,,
8309221,3513090,uk,Віллемстад,,,,,,
8309222,3513090,eo,Vilemstado,,,,,,
8309223,3513090,el,Βίλλεμσταντ,,,,,,
8309224,3513090,sr,Вилемстад,,,,,,
8309225,3513090,be,Горад Вілемстад,,,,,,
8309226,3513090,ka,ვილემსტადი,,,,,,
8309227,3513090,mr,विलेमश्टाड,,,,,,
8309228,3513090,az,Villemştad,,,,,,
8309229,3513090,ru,Виллемстад,,,,,,
11335516,3513090,fa,ویلمستاد,,,,,,
11335517,3513090,ky,Виллемстад,,,,,,
11335518,3513090,lv,Vilemstade,,,,,,
11335519,3513090,ta,வில்லெம்ஸ்டாடு,,,,,,
11335520,3513090,uz,Villemstad,,,,,,
13738431,3513090,unlc,CWWIL,,,,,,
15775032,3513090,wkdt,Q132679,,,,,,
1435296,3513091,,Willemberg Island,,,,,,
1435297,3513091,,Eiland Willemberg,,,,,,
4224039,3513091,,Willemberg,,,,,,
15204594,3513091,wkdt,Q22090387,,,,,,
15608099,3513096,wkdt,Q22090376,,,,,,
15951583,3513096,,Westpunt,,,,,,
1435300,3513102,,Juan Luis,,,,,,
4224043,3513102,,Welbedacht,,,,,,
1435301,3513104,,Weis Afó,,,,,,
4224044,3513104,,Weis,,,,,,
1435305,3513108,,Rustplaats,,,,,,
4224047,3513108,,Wechi,,,,,,
8096144,3513110,link,https://en.wikipedia.org/wiki/Watamula,,,,,,
8108153,3513110,,Watamula,,,,,,
1435306,3513124,,Wacao,,,,,,
4224048,3513124,,Wakawa,,,,,,
1435308,3513128,,Jan Zoutvat,,,,,,
1435309,3513128,,Vredenberg,,,,,,
4224050,3513128,,Vredeberg,,,,,,
1435313,3513138,,Valentyns Baai,,,,,,
1435314,3513138,,Valentijus Baai,,,,,,
4224053,3513138,,Valentijnsbaai,,,,,,
1435325,3513165,,Seroe Tinta,,,,,,
4224060,3513165,,Seru Tinta,,,,,,
1435328,3513175,,Terra Corra,,,,,,
4224061,3513175,,Tera Korá,,,,,,
1435329,3513181,,Santa Barbara,,,,,,
4224062,3513181,,Tafel Berg,,,,,,
13738429,3513187,unlc,CWSFF,,,,,,
13826395,3513187,,Suffisant Dorp,,,,,,
1435334,3513201,,Spaansche Water,,,,,,
1435335,3513201,,Spaansch Water,,,,,,
4224066,3513201,,Spaanse Water,,,,,,
1435336,3513202,,Spaansch Haven,,,,,,
1435337,3513202,,Spaansche Haven,,,,,,
4224067,3513202,,Spaanse Haven,,,,,,
1435338,3513205,,Klein Malpais,,,,,,
4224068,3513205,,Souax,,,,,,
1435339,3513218,,San Sebastian,,,,,,
4224069,3513218,,Sint Sebastiaan,,,,,,
1435340,3513220,,Baai van Sint Michiel,,,,,,
1435341,3513220,,Sint Michiel Baai,,,,,,
4224070,3513220,,Sint Michielsbaai,,,,,,
15686804,3513221,wkdt,Q22090115,,,,,,
15951584,3513221,,Sint Michiel Liber,,,,,,
1435342,3513223,,Salinja Sint Marie,,,,,,
1435343,3513223,,Saliña Sint Marie,,,,,,
1435344,3513223,,Salinjah Sint Marie,,,,,,
4224071,3513223,,Salina Sint Marie,,,,,,
1435345,3513225,,Boca Sint Marie,,,,,,
4224072,3513225,,Boka Sint Marie,,,,,,
1435346,3513226,,Sint Jozefdal,,,,,,
1435347,3513226,,Sint Josefsdal,,,,,,
4224073,3513226,,Sint Jozefsdal,,,,,,
1435348,3513231,,Sint Hyronimus,,,,,,
4224074,3513231,,Sint Hironimo,,,,,,
1435352,3513233,,Christoffelberg,,,,,,
1435353,3513233,,Mount Saint Christoffel,,,,,,
1435354,3513233,,Sint Christoffel,,,,,,
5713178,3513233,link,https://en.wikipedia.org/wiki/Christoffelberg,,,,,,
15650002,3513233,wkdt,Q1430850,,,,,,
1435355,3513234,,Sint Antoniberg,,,,,,
4224076,3513234,,Sint Antonieberg,,,,,,
1435356,3513235,,Santa Anna Baai,,,,,,
4224077,3513235,,Sint Anna Baai,,,,,,
1435367,3513240,,Landhuis Siberië,,,,,,
4224080,3513240,,Landhuis Siberi,,,,,,
1435368,3513241,,Siberië,,,,,,
4224081,3513241,,Siberi,,,,,,
1435369,3513245,,Zevenbergen,,,,,,
4224082,3513245,,Shete Seru,,,,,,
1435370,3513248,,Cerrito,,,,,,
4224083,3513248,,Seritu,,,,,,
1435371,3513250,,Seroe Bientoe,,,,,,
1435372,3513250,,Seroebiento,,,,,,
4224084,3513250,,Ser’i Bientu,,,,,,
1435375,3513257,,Schaarlo,,,,,,
4224086,3513257,,Scharloo,,,,,,
13738430,3513264,unlc,CWSTR,,,,,,
13826396,3513264,,Santa Rosa,,,,,,
1435378,3513267,,Sint Martha Baai,,,,,,
1435379,3513267,,Saint Martha Bay,,,,,,
4224087,3513267,,Santa Martabaai,,,,,,
1435380,3513268,,Boka Santa Marta,,,,,,
1435381,3513268,,Sint Martha,,,,,,
1435382,3513268,,Boca Sint Martha,,,,,,
4224088,3513268,,Boca Santa Marta,,,,,,
