AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15621679,2078071,wkdt,Q23017497,,,,,,
15983226,2078071,,Wharton Hill,,,,,,
1024058,2078073,,Waterfall,,,,,,
4474259,2078073,,The Waterfall,,,,,,
15458268,2078079,wkdt,Q23017490,,,,,,
15983227,2078079,,Taits Vale,,,,,,
15594667,2078080,wkdt,Q23017489,,,,,,
15983228,2078080,,Tait Point,,,,,,
1024059,2078081,,Sidney’s Dale,,,,,,
4474260,2078081,,Sydneys Dale,,,,,,
14848611,2078082,wkdt,Q23017487,,,,,,
15983229,2078082,,Stubbings Point,,,,,,
15812480,2078086,wkdt,Q23017483,,,,,,
15983230,2078086,,South Point,,,,,,
15548124,2078090,wkdt,Q23017481,,,,,,
15983231,2078090,,Smith Point,,,,,,
15401928,2078094,wkdt,Q23017478,,,,,,
15983232,2078094,,Ross Hill,,,,,,
5902365,2078102,link,https://en.wikipedia.org/wiki/Murray_Hill%2C_Christmas_Island,,,,,,
6141568,2078102,,Murray Hill,,,,,,
15555904,2078103,wkdt,Q23017470,,,,,,
15983233,2078103,,Middle Point,,,,,,
15489822,2078104,wkdt,Q23017469,,,,,,
15983234,2078104,,Medwin Point,,,,,,
15523281,2078106,wkdt,Q23017467,,,,,,
15983235,2078106,,Mc Micken Point,,,,,,
8159482,2078113,,John D Point,,,,,,
8159483,2078113,,John D. Point,,,,,,
15626810,2078113,wkdt,Q23017460,,,,,,
15446195,2078122,wkdt,Q23017451,,,,,,
15983236,2078122,,Grimes Cave,,,,,,
15287211,2078123,wkdt,Q23017450,,,,,,
15983237,2078123,,Greta Beach,,,,,,
1024060,2078127,,The Settlement,,,1,,,
1649346,2078127,de,The Settlement,,,1,,,
1649376,2078127,en,The Settlement,,,1,,,
1649406,2078127,fr,The Settlement,,,1,,,
1649442,2078127,it,The Settlement,,,1,,,
1649491,2078127,da,The Settlement,,,1,,,
1649587,2078127,el,The Settlement,,,1,,,
1649730,2078127,es,Flying Fish Cove,1,,,,,
1649769,2078127,fi,The Settlement,,,1,,,
1649803,2078127,pt,The Settlement,,,1,,,
1649841,2078127,sv,The Settlement,,,1,,,
1922415,2078127,de,Flying Fish Cove,1,,,,,
1922416,2078127,pl,Flying Fish Cove,1,,,,,
1922417,2078127,fr,Flying Fish Cove,1,,,,,
1922418,2078127,en,Flying Fish Cove,1,,,,,
1922419,2078127,fi,Flying Fish Cove,1,,,,,
2939763,2078127,link,https://en.wikipedia.org/wiki/Flying_Fish_Cove,,,,,,
8514142,2078127,post,6798,,,,,,
11105925,2078127,,Flying Fish Cove,1,,,,,
11461357,2078127,ar,فلاينغ فيش كوف,,,,,,
11461358,2078127,az,Flayinq Fiş Kouv,,,,,,
11461359,2078127,be,Горад Флаін-Фіш-Коўв,,,,,,
11461360,2078127,bg,Флаинг Фиш Коув,,,,,,
11461361,2078127,hi,फ्लाइंग फिश कोव,,,,,,
11461362,2078127,ja,フライング・フィッシュ・コーブ,,,,,,
11461363,2078127,ka,ფლაინგ-ფიში,,,,,,
11461364,2078127,ko,플라잉피시코브,,,,,,
11461365,2078127,mk,Флаинг Фиш Коув,,,,,,
11461366,2078127,pa,ਫ਼ਲਾਇੰਗ ਫ਼ਿਸ਼ ਕੋਵ,,,,,,
11461367,2078127,sr,Флајинг Фиш Коув,,,,,,
11461368,2078127,ta,பிளையிங் பிஷ் கோவ்,,,,,,
11461369,2078127,th,ฟลายอิงฟิชโคฟ,,,,,,
11461370,2078127,ur,فلائینگ فش کوو,,,,,,
