AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
9171181,752933,link,https://en.wikipedia.org/wiki/Pannonian_Basin,,,,,,
9201061,752933,,Pannonian Basin,,,,,,
15646944,752934,wkdt,Q23806696,,,,,,
15989804,752934,,Prielom Hornádu,,,,,,
7150090,752935,link,https://en.wikipedia.org/wiki/Dunajec,,,,,,
7205971,752935,,Dunajec,,,,,,
9352506,752935,ka,დუნაეცი,,,,,,
9352507,752935,lt,Dunajecas,,,,,,
9352508,752935,lv,Dunajeca,,,,,,
9352509,752935,ro,Râul Dunajec,,,,,,
9352510,752935,uk,Дунаєць,,,,,,
9352511,752935,ru,Дунаец,,,,,,
9352512,752935,zh,杜納耶茨河,,,,,,
15627208,2606206,wkdt,Q23806695,,,,,,
1262373,2834485,,Schweinitz,,,,,,
1262374,2834485,,Schweinitz Bach,,,,,,
4210414,2834485,,Svidnice,,,,,,
1262389,2834898,,Schwarze Pockau,,,,,,
1262390,2834898,,Schwarzwasser,,,,,,
4210427,2834898,,Černa,,,,,,
1262404,2835172,,Schwarzach,,,,,,
4210438,2835172,,Nemanický Potok,,,,,,
1262657,2845793,,Röhlingbach,,,,,,
1262658,2845793,,Rehling Bach,,,,,,
1262659,2845793,,Röhlings Bach,,,,,,
4210780,2845793,,Hraniční Potok,,,,,,
1263512,2866578,,Lužická Nisa,,,,,,
1263513,2866578,,Nysa Łużycka,,,,,,
1263514,2866578,,Neiße,,,,,,
1263515,2866578,,Görlitzer Neisse,,,,,,
1263516,2866578,,Nysa,,,,,,
1263517,2866578,,Nisa Łuzycka,,,,,,
1263518,2866578,,Lausitzer Neisse,,,,,,
1263519,2866578,,Nisa,,,,,,
4211754,2866578,en,Neisse River,,,,,,
9535730,2866578,en,Neisse,,,,,,
11299035,2866578,link,https://en.wikipedia.org/wiki/Lusatian_Neisse,,,,,,
1263555,2866963,,Natschbach,,,,,,
1263556,2866963,,Netsch Bach,,,,,,
4211793,2866963,,Nivní Potok,,,,,,
1264576,2880009,,Lausitzer Gebirge,,,,,,
1264577,2880009,,Vrchovina Lužická,,,,,,
4212808,2880009,,Lužické Hory,,,,,,
1266316,2901169,,Hoher Stein,,,,,,
4214476,2901169,,Čertův Kamen,,,,,,
15299258,2901169,wkdt,Q23806685,,,,,,
1268079,2924100,,Fuchsbach,,,,,,
4216234,2924100,,Liščí Potok,,,,,,
1268305,2926978,,Fichtelgebirge,,,,,,
1268306,2926978,,Smrky,,,,,,
2960482,2926978,link,https://en.wikipedia.org/wiki/Fichtel_Mountains,,,,,,
3054197,2926978,link,https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D1%85%D1%82%D0%B5%D0%BB%D1%8C,,,,,,
4216461,2926978,,Smrčiny,,,,,,
1268432,2929226,,Krušné Hory,,,,,,
1268434,2929226,en,Ore Mountains,,,,,,
1268435,2929226,,Hory Halstrovske,,,,,,
1268436,2929226,,Rudo Hori,,,,,,
4216600,2929226,de,Erzgebirge,,,,,,
6967916,2929226,,Ore Mountains,,,,,,
13911093,2929226,link,https://en.wikipedia.org/wiki/Ore_Mountains,,,,,,
1268749,2933206,,Eger,,,,,,
4216905,2933206,,Ohře,,,,,,
5703991,2933206,link,https://en.wikipedia.org/wiki/Oh%C5%99e,,,,,,
13911091,2933206,pl,Ohrza,,,,,,
13911092,2933206,de,Eger,,,,,,
1269412,2940203,,Chamb,,,,,,
1269413,2940203,,Cham,,,,,,
4217591,2940203,,Kouba,,,,,,
7520710,2940203,link,https://en.wikipedia.org/wiki/Chamb,,,,,,
1270369,2951844,,Bayerische Schwarzach,,,,,,
1270370,2951844,,Schwarzach,,,,,,
4218540,2951844,,Černý Potok,,,,,,
9537814,3056454,,Zvonina,,,,,,
15755013,3056454,wkdt,Q23806679,,,,,,
1302573,3056497,,Zlámaná,,,,,,
15692901,3056497,wkdt,Q23806678,,,,,,
1302671,3056742,,Prŭsmyk Vlárský,,,,,,
1302672,3056742,,Vlara Pass,,,,,,
9537815,3056742,,Vlárský Prŭsmyk,,,,,,
9537816,3056793,,Veselka,,,,,,
9537817,3057017,,Uplaz,,,,,,
9537818,3057163,,Tratihúšť,,,,,,
4426822,3057345,,Sulov,,,,,,
15530046,3057345,wkdt,Q23806673,,,,,,
9537819,3057413,,Strčí Hlava,,,,,,
15519409,3057413,wkdt,Q23806672,,,,,,
9537820,3058351,,Oselná,,,,,,
15667279,3058351,wkdt,Q23806671,,,,,,
9537821,3058893,,Malá Javořina,,,,,,
1303452,3058907,,Makyta,,,,,,
1303453,3058907,,Červená Věž,,,,,,
1303454,3058907,,Makita,,,,,,
15835227,3058907,wkdt,Q1886573,,,,,,
9537822,3059114,,Lemešná,,,,,,
15323125,3059114,wkdt,Q23806667,,,,,,
4428111,3059377,,Koscielki,,,,,,
9537823,3059468,,Kobyla,,,,,,
15530247,3059468,wkdt,Q23806665,,,,,,
9537824,3059570,,Kaňur,,,,,,
15273103,3059570,wkdt,Q23806664,,,,,,
9537825,3059578,,Kamenná Vrata,,,,,,
15805809,3059578,wkdt,Q23806663,,,,,,
1303697,3059664,,Jaworniki,,,,,,
9537826,3059664,,Javorníky,,,,,,
4428276,3059665,,Javorník nad Minaříkem,,,,,,
1303700,3059666,,Velký Javorník,,,,,,
9537827,3059666,,Javorník,,,,,,
2969603,3059873,link,https://en.wikipedia.org/wiki/Hr%C4%8Dava,,,,,,
4428861,3060600,,Dejŭvka,,,,,,
1304190,3060785,,Ceranská Kyčera,,,,,,
15269956,3060785,wkdt,Q23806657,,,,,,
1304236,3060943,,Březová,,,,,,
4429077,3060943,,Březová Dolina,,,,,,
15268094,3060943,wkdt,Q23806656,,,,,,
1304297,3061103,,Bezkydek,,,,,,
9537828,3061103,,Beskyd,,,,,,
15394848,3061103,wkdt,Q23806654,,,,,,
1304347,3061281,,Zubřina,,,,,,
4539251,3061281,,Řubřina,,,,,,
1304349,3061283,,Johanneshütten,,,,,,
1304350,3061283,,Johannishütten,,,,,,
4539253,3061283,,Janská Hut,,,,,,
1304351,3061284,,Königinhof an der Elbe,,,,,,
1304352,3061284,,Dvŭr Králové,,,,,,
5708749,3061284,link,https://en.wikipedia.org/wiki/Dv%C5%AFr_Kr%C3%A1lov%C3%A9_nad_Labem,,,,,,
9356916,3061284,be,Горад Двур-Кралавэ-над-Лабэм,,,,,,
9356917,3061284,kk,Двур-Кралове,,,,,,
9356919,3061284,ru,Двур-Кралове-над-Лабем,,,,,,
9356920,3061284,zh,拉貝河畔皇宮鎮,,,,,,
11382397,3061284,lt,Dvūr Kralovė prie Labės,,,,,,
11382398,3061284,sr,Двур Кралове на Лаби,,,,,,
11382399,3061284,uk,Двур-Кралове-над-Лабем,,,,,,
13738750,3061284,unlc,CZDVK,,,,,,
7539618,3061286,link,https://en.wikipedia.org/wiki/Zvotoky,,,,,,
1304353,3061287,,Swonowitz,,,,,,
4539254,3061287,,Zvonovice,,,,,,
1304354,3061288,,Männelsdorf,,,,,,
1304355,3061288,,Maennelsdorf,,,,,,
4539255,3061288,,Zvoníčkov,,,,,,
1304356,3061289,,Wonau,,,,,,
4539256,3061289,,Zvonějov,,,,,,
7533172,3061290,link,https://en.wikipedia.org/wiki/Zvolenovice,,,,,,
1304357,3061291,,Swolenowes,,,,,,
7493550,3061291,link,https://en.wikipedia.org/wiki/Zvolen%C4%9Bves,,,,,,
13739841,3061291,unlc,CZZVO,,,,,,
1304358,3061293,,Swoll,,,,,,
11301679,3061293,link,https://en.wikipedia.org/wiki/Zvole_%28Prague-West_District%29,,,,,,
