AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
8192,54365,,Detroit de Bab el Mandeb,,,,,,
8193,54365,,Bāb al Mandab,,,,,,
8194,54365,,Madq Bāb al Mandab,,,,,,
2723266,54365,pt,Bab-el-Mandeb,,,,,,
2723533,54365,el,Μπαμπ ελ Μαντέμπ,,,,,,
2723534,54365,ko,바브엘만데브 해협,,,,,,
2723535,54365,sr,Баб-ел-Мандеб,,,,,,
2723536,54365,uk,Баб-ель-Мандебська протока,,,,,,
2723537,54365,ru,Баб-эль-Мандебский пролив,,,,,,
2723538,54365,ja,バブ・エル・マンデブ海峡,,,,,,
2723539,54365,he,באב אל מנדב,,,,,,
2723540,54365,ar,مضيق باب المندب,,,,,,
2723541,54365,sw,Bab el Mandeb,,,,,,
2723542,54365,no,Bab el-Mandeb,,,,,,
2723543,54365,fi,Bab el Mandeb,,,,,,
2723544,54365,nl,Bab el Mandeb,,,,,,
2723545,54365,it,Bab el-Mandeb,,,,,,
2723546,54365,cs,Bab-al-Mandab,,,,,,
2723547,54365,sv,Bab el-Mandeb,,,,,,
2723548,54365,pl,Bab al-Mandab,,,,,,
2723549,54365,hr,Bab-el-Mandeb,,,,,,
2723550,54365,fr,Bab el Mandeb,,,,,,
2723551,54365,eo,Funebra-Porda Markolo,,,,,,
2723552,54365,da,Bab el Mandeb,,,,,,
2723553,54365,de,Bab al-Mandab,,,,,,
2723554,54365,et,Bab el Mandeb,,,,,,
2723555,54365,da,Bab el-Mandeb,,,,,,
2723556,54365,es,Bab-el-Mandeb,,,,,,
2723557,54365,en,Bab-el-Mandeb,,,,,,
3646407,54365,,Bab el Mandeb,,,,,,
5703356,54365,link,https://en.wikipedia.org/wiki/Bab-el-Mandeb,,,,,,
13334040,54365,en,Large Strait,,,,1,,
13336782,54365,en,Mandeb Strait,,,,,,
8292,54637,,Madaha Jalelo,,,,,,
8293,54637,,Madaha Gialelo,,,,,,
8294,54637,,Madakha-Dzhalelo,,,,,,
3109005,54637,,Toûrka Djalêlo,,,,,,
7722144,54637,,Madaha Djalêlo,,,,,,
7722145,54637,,Jalelo,,,,,,
7722146,54637,,Djalilo,,,,,,
7722147,54637,,Jallelo,,,,,,
15528355,54637,wkdt,Q23719472,,,,,,
148717,220550,,Yoorein,,,,,,
4151754,220550,,Yô‘orên,,,,,,
148718,220551,,Yoouren,,,,,,
4151755,220551,,Yo‘oren,,,,,,
2921733,220552,link,https://en.wikipedia.org/wiki/Yoboki,,,,,,
4151756,220552,,Yoboki,,,,,,
148719,220556,,Yaali,,,,,,
4151757,220556,,Yi‘âli,,,,,,
148720,220558,,Oued Ieï,,,,,,
148721,220558,,Yêy,,,,,,
148722,220558,,Oued Yeï,,,,,,
4151758,220558,,Yêï,,,,,,
148723,220560,,Yaygori,,,,,,
4151759,220560,,Yaïgôri,,,,,,
148724,220561,,Yaïa,,,,,,
4151760,220561,,Yâyâ,,,,,,
148725,220562,,Yaouli‘i,,,,,,
4151761,220562,,Yawli‘i,,,,,,
148727,220577,,Yangoulakkôma,,,,,,
4151762,220577,,Yangoula Kôma,,,,,,
148728,220585,,Yager,,,,,,
4151763,220585,,Yaguer,,,,,,
148729,220588,,Yabdi Cascade,,,,,,
4151764,220588,,Yabdi,,,,,,
148730,220591,,Yabillou,,,,,,
4151765,220591,,Yaballou,,,,,,
148731,220592,,Oued Ouandid,,,,,,
4151766,220592,,Wuandi,,,,,,
15473890,220593,wkdt,Q23720500,,,,,,
15927709,220593,,Wi‘ta,,,,,,
148732,220595,,Werka,,,,,,
4151767,220595,,Ouêrka,,,,,,
148733,220597,,Ouer,,,,,,
4151768,220597,,Wêr,,,,,,
148734,220599,,We‘ima,,,,,,
148735,220599,,Oued Weima,,,,,,
148736,220599,,Wenz,,,,,,
4151769,220599,,Oue‘ima,,,,,,
15308692,220600,wkdt,Q23720493,,,,,,
15927710,220600,,Wê‘i Kori,,,,,,
15236708,220602,wkdt,Q23720489,,,,,,
15927711,220602,,Wê‘i Kora,,,,,,
148737,220603,,Oued Ouéha,,,,,,
148738,220603,,Oued Ouea,,,,,,
4151770,220603,,Wê‘a,,,,,,
148739,220604,,Wê‘a,,,,,,
4151771,220604,,Ouê‘a,,,,,,
7050861,220604,link,https://en.wikipedia.org/wiki/We%60a,,,,,,
148740,220605,,Oué Oué,,,,,,
4151772,220605,,Wayway,,,,,,
148741,220606,,Wayway,,,,,,
4151773,220606,,Ouaï Ouaï,,,,,,
15786794,220606,wkdt,Q23720483,,,,,,
148742,220607,,Ouaisso,,,,,,
4151774,220607,,Wayso,,,,,,
15325781,220609,wkdt,Q23720479,,,,,,
15927712,220609,,Waydôlali,,,,,,
148743,220610,,Wayḏi‘lou,,,,,,
4151775,220610,,Ouaïḏi‘lou,,,,,,
15085501,220611,wkdt,Q23720475,,,,,,
15927713,220611,,Waydi‘li Kôma,,,,,,
15747564,220613,wkdt,Q23720471,,,,,,
15927714,220613,,Wayḏeḏlou,,,,,,
148744,220614,,Das Daba,,,,,,
4151776,220614,,Wayḏeḏlou,,,,,,
15798677,220614,wkdt,Q23720469,,,,,,
