AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1212761,2609907,,Slusegaard,,,,,,
3940722,2609907,,Slusegård,,,,,,
1212762,2609908,,Zastrow,,,,,,
3940723,2609908,,Zastrov,,,,,,
1212763,2609916,,Ypnasted,,,,,,
3940724,2609916,,Ypnested,,,,,,
15214710,2609917,wkdt,Q23732972,,,,,,
15915984,2609917,,Yllebjerg,,,,,,
2947522,2609919,link,https://en.wikipedia.org/wiki/Yding_Skovh%C3%B8j,,,,,,
3940725,2609919,,Yding Skovhøj,,,,,,
1212764,2609927,,Yderhavn,,,,,,
3940726,2609927,,Yderhavnen,,,,,,
1212765,2609930,,Vderbredning,,,,,,
3940727,2609930,,Yderbredning,,,,,,
15828707,2609931,wkdt,Q2713694,,,,,,
1212766,2609935,,Wedellsborg Baadehavn,,,,,,
3940728,2609935,,Wedellsborg Bådehavn,,,,,,
1212767,2609941,,Voldum Sø,,,,,,
3940729,2609941,,Vullum Sø,,,,,,
1212768,2609942,,Væt,,,,,,
3940730,2609942,,Væth,,,,,,
1212769,2609947,,Vrov,,,,,,
1212770,2609947,,Vrove,,,,,,
3940731,2609947,,Vroue,,,,,,
15596242,2609951,wkdt,Q23732955,,,,,,
15915985,2609951,,Værnsande,,,,,,
13142739,2609954,da,Værmelandshuse,,,,,,
13142740,2609954,,Værmlandshuse,,,,,,
13749762,2609956,unlc,DKVLE,,,,,,
13824080,2609956,,Værløse,,,,,,
1883299,2609957,icao,EKVL,,,,,,
2947523,2609957,link,https://en.wikipedia.org/wiki/V%C3%A6rl%C3%B8se_station,,,,,,
3940732,2609957,,Værløse,,,,,,
13393219,2609957,en,Vaerlose,,,,,,
1212771,2609959,,Vrinders,,,,,,
3940733,2609959,,Vrinners,,,,,,
15440108,2609959,wkdt,Q2234454,,,,,,
1212772,2609965,,Vredslöse,,,,,,
3940734,2609965,,Vridsløse,,,,,,
1212773,2609968,,Østerhede,,,,,,
3940735,2609968,,Vrensted Østerhede,,,,,,
1212774,2609973,,Wredeslund,,,,,,
3940736,2609973,,Vredeslund,,,,,,
1212775,2609975,,Værebro,,,,,,
3940737,2609975,,Værebrogård,,,,,,
1212776,2609976,,Værebro Aa,,,,,,
3940738,2609976,,Værebro Å,,,,,,
1212777,2609978,,Vranderup,,,,,,
3940739,2609978,,Vrannerup,,,,,,
1212778,2609983,,Viangbæk,,,,,,
3940740,2609983,,Vrangbæk,,,,,,
15367575,2609984,wkdt,Q23732947,,,,,,
15915986,2609984,,Vrald Odde,,,,,,
1212779,2609985,,Vraagaard,,,,,,
3940741,2609985,,Vrågård,,,,,,
1212780,2609986,,Vraagaard,,,,,,
3940742,2609986,,Vrågård,,,,,,
15808361,2609987,wkdt,Q12344077,,,,,,
15915987,2609987,,Vrads,,,,,,
1212781,2609988,,Vraaby,,,,,,
3940743,2609988,,Vråby,,,,,,
1212782,2609989,,Vraaby,,,,,,
3940744,2609989,,Vråby,,,,,,
1212783,2609990,,Vraa,,,,,,
3940745,2609990,,Vrå,,,,,,
7042817,2609990,link,https://en.wikipedia.org/wiki/Vr%C3%A5,,,,,,
13442152,2609990,post,9760,,,,,,
15498365,2609990,wkdt,Q912141,,,,,,
1212784,2609991,,Vraa,,,,,,
3940746,2609991,,Vrå,,,,,,
1212785,2609992,,Vraa,,,,,,
3940747,2609992,,Vrå,,,,,,
1212786,2609993,,Vraa,,,,,,
3940748,2609993,,Vrå,,,,,,
1212787,2609994,,Vraa,,,,,,
3940749,2609994,,Vrå,,,,,,
1212788,2609995,,Vognlund,,,,,,
1212789,2609995,,Voulund,,,,,,
3940750,2609995,,Vovlund,,,,,,
1212790,2609998,,Vosnæsgaard,,,,,,
3940751,2609998,,Vosnæsgård,,,,,,
1212791,2609999,,Vosemose Gaard,,,,,,
3940752,2609999,,Vosemose,,,,,,
15344098,2610000,wkdt,Q12341288,,,,,,
15915988,2610000,,Vorup,,,,,,
1212792,2610002,,Vaarsö Kalv,,,,,,
3940753,2610002,,Vorsø Kalv,,,,,,
15910627,2610002,wkdt,Q2534572,,,,,,
1212793,2610003,,Vaarsö,,,,,,
3940754,2610003,,Vorsø,,,,,,
1212794,2610008,,Bavnehöj,,,,,,
3940755,2610008,,Vorning Bavnehøj,,,,,,
15571913,2610008,wkdt,Q23732941,,,,,,
1212795,2610011,,Söndergaarde,,,,,,
3940756,2610011,,Vork Søndergårde,,,,,,
1212796,2610013,,Vorgod Aa,,,,,,
3940757,2610013,,Vorgod Å,,,,,,
1212797,2610015,,Vorgaard,,,,,,
3940758,2610015,,Vorgård,,,,,,
1212798,2610016,,Vor Frue Kirke,,,,,,
3940759,2610016,,Vor Frue,,,,,,
1212799,2610018,,Vordingborg Havn,,,,,,
3940760,2610018,,Vordingborg Nordhavn,,,,,,
7131454,2610019,link,https://en.wikipedia.org/wiki/Vordingborg_Municipality,,,,,,
7299140,2610019,,Vordingborg Kommune,,,,,,
8616271,2610019,,Vordingborg,,,,,,
2947524,2610020,link,https://en.wikipedia.org/wiki/Vordingborg,,,,,,
3041187,2610020,ru,Вордингборг,,,,,,
13442153,2610020,post,4760,,,,,,
13749769,2610020,unlc,DKVOR,,,,,,
15687626,2610020,wkdt,Q2608258,,,,,,
1212800,2610023,,Vorbjærg,,,,,,
3940761,2610023,,Vorbjerg,,,,,,
15427927,2610024,wkdt,Q23732939,,,,,,
15915989,2610024,,Vorbjerg,,,,,,
2947525,2610025,link,https://en.wikipedia.org/wiki/Vorbasse,,,,,,
3041188,2610025,ru,Ворбассе,,,,,,
3940762,2610025,,Vorbasse,,,,,,
13442154,2610025,post,6623,,,,,,
13749115,2610025,unlc,DKAAS,,,,,,
15532114,2610025,wkdt,Q1955830,,,,,,
1212801,2610033,,Vonsildgaard,,,,,,
3940763,2610033,,Vonsildgård,,,,,,
1212802,2610035,,Vonsbek,,,,,,
3940764,2610035,,Vonsbæk,,,,,,
13442155,2610037,post,7173,,,,,,
13447249,2610037,,Vonge,,,,,,
1212803,2610038,,Vondaa,,,,,,
3940765,2610038,,Vondå,,,,,,
1212804,2610039,,Vondaa,,,,,,
1212805,2610039,,Vondå,,,,,,
3940766,2610039,,Vonå,,,,,,
15324113,2610046,wkdt,Q23732934,,,,,,
15915990,2610046,,Volshøj,,,,,,
1212806,2610048,,Volsbjærg,,,,,,
3940767,2610048,,Volsbjerg,,,,,,
15244178,2610048,wkdt,Q23732932,,,,,,
1212807,2610051,en,Volderup Reef,,,,,,
1212808,2610051,,Volderup-Rev,,,,,,
3940768,2610051,,Vollerup Rev,,,,,,
1212809,2610061,,Voldgaard,,,,,,
3940769,2610061,,Voldgård,,,,,,
15663777,2610064,wkdt,Q23732930,,,,,,
15915991,2610064,,Voldene,,,,,,
15888539,2610065,wkdt,Q2391937,,,,,,
15915992,2610065,,Voldby,,,,,,
15275414,2610066,wkdt,Q2419264,,,,,,
15915993,2610066,,Voldby,,,,,,
1212810,2610067,,Volby,,,,,,
3940770,2610067,,Voldby,,,,,,
1212811,2610069,,Volbæk,,,,,,
3940771,2610069,,Voldbæk,,,,,,
1212812,2610070,,Voldbjærg,,,,,,
3940772,2610070,,Voldbjerg,,,,,,
1212813,2610071,,Vokstrup Gaard,,,,,,
3940773,2610071,,Vokstrup,,,,,,
1212814,2610072,,Voxlev,,,,,,
3940774,2610072,,Vokslev,,,,,,
1212815,2610074,,Vojensgaard,,,,,,
3940775,2610074,,Vojensgård,,,,,,
1910785,2610075,en,Vojens,,,,,,
1910786,2610075,pl,Vojens,,,,,,
1910787,2610075,da,Vojens,,,,,,
1910788,2610075,fo,Vojens,,,,,,
1910789,2610075,it,Vojens,,,,,,
1910790,2610075,nl,Vojens,,,,,,
1910791,2610075,no,Vojens,,,,,,
1910792,2610075,pt,Vojens,,,,,,
1910793,2610075,ro,Vojens,,,,,,
1910794,2610075,sv,Vojens,,,,,,
2947526,2610075,link,https://en.wikipedia.org/wiki/Vojens,,,,,,
3940776,2610075,,Vojens,,,,,,
7482837,2610075,iata,SKS,,,,,,
13442156,2610075,post,6500,,,,,,
13749641,2610075,unlc,DKSKS,,,,,,
15582463,2610075,wkdt,Q1645444,,,,,,
15856086,2610076,wkdt,Q23732927,,,,,,
15915994,2610076,,Vogterholm,,,,,,
1212816,2610081,,Vonsild,,,,,,
3940777,2610081,,Vognsild,,,,,,
15369939,2610081,wkdt,Q985815,,,,,,
1212817,2610084,,Vorvadbro,,,,,,
3940778,2610084,,Voervadsbro,,,,,,
1212818,2610085,,Voers Aa,,,,,,
1212819,2610085,,Vors Å,,,,,,
1212820,2610085,,Vors Aa,,,,,,
3940779,2610085,,Voers Å,,,,,,
1212821,2610086,,Vorsaa,,,,,,
1212822,2610086,,Vorså,,,,,,
3940780,2610086,,Voerså,,,,,,
11302368,2610086,link,https://en.wikipedia.org/wiki/Voers%C3%A5,,,,,,
15565599,2610086,wkdt,Q1583126,,,,,,
1212823,2610087,,Vorladegaard,,,,,,
3940781,2610087,,Voerladegård,,,,,,
1212824,2610088,,Vorgaard,,,,,,
3940782,2610088,,Voergård,,,,,,
1212825,2610089,,Vårbjerg,,,,,,
1212826,2610089,,Vaarbjærg,,,,,,
3940783,2610089,,Voerbjerg,,,,,,
1212827,2610090,,Vor,,,,,,
1212828,2610090,,Vore,,,,,,
3940784,2610090,,Voer,,,,,,
1212829,2610091,,Vor,,,,,,
1212830,2610091,,Vore,,,,,,
3940785,2610091,,Voer,,,,,,
7489428,2610095,link,https://en.wikipedia.org/wiki/Vodskov,,,,,,
7558964,2610095,,Vodskov,,,,,,
13442157,2610095,post,9310,,,,,,
13749768,2610095,unlc,DKVOK,,,,,,
15556126,2610095,wkdt,Q2205752,,,,,,
1212831,2610101,,Tåstrup Vængesgård,,,,,,
1212832,2610101,,Vængesgaard,,,,,,
3940786,2610101,,Vængesgård,,,,,,
7525102,2610104,link,https://en.wikipedia.org/wiki/Vivild_%28town%29,,,,,,
7558965,2610104,,Vivild,,,,,,
15260266,2610104,wkdt,Q4993430,,,,,,
1212833,2610107,,Vibede,,,,,,
3940787,2610107,,Vivede,,,,,,
1212834,2610108,,Vivebrogaard,,,,,,
3940788,2610108,,Vivebrogård,,,,,,
1212835,2610110,,Östermark,,,,,,
3940789,2610110,,Vium Østermark,,,,,,
13749542,2610112,unlc,DKNVM,,,,,,
13824081,2610112,,Vium,,,,,,
1212836,2610115,,Vium Gaard,,,,,,
3940790,2610115,,Vium,,,,,,
1212837,2610116,,Viv Skov,,,,,,
3940791,2610116,,Viuf Skov,,,,,,
1212838,2610117,,Viv Gaard,,,,,,
3940792,2610117,,Viufgård,,,,,,
1212839,2610118,,Viv,,,,,,
3940793,2610118,,Viuf,,,,,,
13442158,2610118,post,6052,,,,,,
15830183,2610118,wkdt,Q4488576,,,,,,
1212840,2610124,,Vittenbjærg,,,,,,
3940794,2610124,,Vittenbjerg,,,,,,
15785281,2610124,wkdt,Q23732919,,,,,,
1212841,2610128,,Hvidsö,,,,,,
3940795,2610128,,Vitsø,,,,,,
1212842,2610129,,Vitsögaard,,,,,,
3940796,2610129,,Vitsø,,,,,,
7165849,2610130,link,https://en.wikipedia.org/wiki/Vitsk%C3%B8l_Abbey,,,,,,
7299141,2610130,,Vitskøl Kloster,,,,,,
15656998,2610131,wkdt,Q23732917,,,,,,
15915995,2610131,,Vitmundsnakke,,,,,,
1212843,2610134,,Vedstårup,,,,,,
3940797,2610134,,Vistorp,,,,,,
1212844,2610135,,Vistofte,,,,,,
3940798,2610135,,Vistoft,,,,,,
1945349,2610140,en,Vissenbjerg,,,,,,
1945350,2610140,pl,Vissenbjerg,,,,,,
1945351,2610140,da,Vissenbjerg,,,,,,
1945352,2610140,fo,Vissenbjerg,,,,,,
1945353,2610140,it,Vissenbjerg,,,,,,
1945354,2610140,nl,Vissenbjerg,,,,,,
1945355,2610140,no,Vissenbjerg,,,,,,
1945356,2610140,pt,Vissenbjerg,,,,,,
2947527,2610140,link,https://en.wikipedia.org/wiki/Vissenbjerg,,,,,,
3940799,2610140,,Vissenbjerg,,,,,,
3940800,2610140,,Vissenbjerg Kirke,,,,,,
13442159,2610140,post,5492,,,,,,
13749743,2610140,unlc,DKVBG,,,,,,
15253491,2610140,wkdt,Q3547096,,,,,,
1212846,2610141,,Visselbjærg,,,,,,
