AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1454984,3575561,,Point Zicac,,,,,,
4309255,3575561,,Pointe Zicac,,,,,,
1454985,3575563,,Woodford Hill,,,,,,
4309256,3575563,,Woodford Hill Estate,,,,,,
7538190,3575566,link,https://en.wikipedia.org/wiki/Woodbridge_Bay,,,,,,
7566338,3575566,,Woodbridge Bay,,,,,,
1454986,3575567,,Cabrit,,,,,,
1454987,3575567,,West Cabri,,,,,,
4309257,3575567,,West Cabrit,,,,,,
15777188,3575567,wkdt,Q23755373,,,,,,
1454988,3575568,,La Soie,,,,,,
2986126,3575568,link,https://en.wikipedia.org/wiki/Wesley%2C_Dominica,,,,,,
4309258,3575568,,Wesley,,,,,,
1454989,3575569,,Morne Watt,,,,,,
2986127,3575569,link,https://en.wikipedia.org/wiki/Morne_Watt,,,,,,
4309259,3575569,,Watt Mountain,,,,,,
15581480,3575569,wkdt,Q1535776,,,,,,
1454990,3575570,,Gillon,,,,,,
4309260,3575570,,Wall House,,,,,,
14883629,3575572,wkdt,Q23755368,,,,,,
15959084,3575572,,Wakaman Pointe,,,,,,
1454991,3575573,,Vielle Case,,,,,,
1454992,3575573,,Northern Loop,,,,,,
1454993,3575573,,Veille Case,,,,,,
1454994,3575573,,Itassi,,,,,,
2986128,3575573,link,https://en.wikipedia.org/wiki/Vieille_Case,,,,,,
4309261,3575573,,Vieille Case,,,,,,
15628491,3575573,wkdt,Q3494054,,,,,,
6892445,3575575,link,https://en.wikipedia.org/wiki/Trois_Pitons_River,,,,,,
6922973,3575575,en,Trois Pitons River,,,,,,
2986129,3575578,link,https://en.wikipedia.org/wiki/Trafalgar%2C_Dominica,,,,,,
4309262,3575578,,Trafalgar,,,,,,
1454995,3575580,,Tweed River,,,,,,
4309263,3575580,,Toulaman River,,,,,,
6890917,3575580,link,https://en.wikipedia.org/wiki/Toulaman_River,,,,,,
6890760,3575581,link,https://en.wikipedia.org/wiki/Toucari_River,,,,,,
6922974,3575581,,Toucari River,,,,,,
6891794,3575584,link,https://en.wikipedia.org/wiki/Torit%C3%A9_River,,,,,,
6922975,3575584,,Torité River,,,,,,
6890414,3575586,link,https://en.wikipedia.org/wiki/Thibaud_River,,,,,,
6922976,3575586,,Thibaud River,,,,,,
15461811,3575587,wkdt,Q3556171,,,,,,
15959085,3575587,,Thibaud,,,,,,
16076532,3575587,link,"https://en.wikipedia.org/wiki/Thibaud,_Dominica",,,,,,
13826861,3575589,,Tête Morne,,,,,,
13826862,3575589,,Tete Morne,,,,,,
6892517,3575590,link,https://en.wikipedia.org/wiki/Tarou_River,,,,,,
6922977,3575590,,Tarou River,,,,,,
1454996,3575591,,Rodney’s Rock,,,,,,
4309264,3575591,,Tarou Point,,,,,,
15715333,3575592,wkdt,Q23755359,,,,,,
15959086,3575592,,Tarou Cliffs,,,,,,
6890735,3575596,link,https://en.wikipedia.org/wiki/Taberi_River,,,,,,
6922978,3575596,,Taberi River,,,,,,
1454997,3575597,,Silvannia Estate,,,,,,
1454998,3575597,,Sylvania,,,,,,
4309265,3575597,,Sylvania Estate,,,,,,
13826863,3575598,,Sulphur Spring,,,,,,
13826864,3575598,,Sulphur Springs,,,,,,
6893267,3575599,link,https://en.wikipedia.org/wiki/River_Subaya,,,,,,
6922979,3575599,,River Subaya,,,,,,
1454999,3575601,,Scots Bay,,,,,,
1455000,3575601,,Cachacrou Soufriere,,,,,,
1455001,3575601,,Souffrière Bay,,,,,,
4309266,3575601,,Soufrière Bay,,,,,,
7522642,3575602,link,https://en.wikipedia.org/wiki/Soufri%C3%A8re%2C_Dominica,,,,,,
7566339,3575602,,Soufrière,,,,,,
15363105,3575602,wkdt,Q1027850,,,,,,
1455002,3575606,,Cachacrou,,,,,,
4309267,3575606,,Scotts Head Village,,,,,,
7124582,3575606,link,https://en.wikipedia.org/wiki/Scotts_Head%2C_Dominica,,,,,,
1455003,3575607,,Cachacrou Souffrière,,,,,,
1455004,3575607,,Cachacrou Head,,,,,,
1455005,3575607,,Scott Head,,,,,,
1455006,3575607,,Pointe Cachacrou,,,,,,
1455007,3575607,,Scots Head,,,,,,
4309268,3575607,,Scotts Head,,,,,,
6891428,3575608,link,https://en.wikipedia.org/wiki/Savane_River,,,,,,
6922980,3575608,,Savane River,,,,,,
6890588,3575609,link,https://en.wikipedia.org/wiki/River_Sarisari,,,,,,
6922981,3575609,,River Sarisari,,,,,,
13826865,3575609,,Sarisari River,,,,,,
1455008,3575611,,Barry River,,,,,,
1455009,3575611,,Baroui River,,,,,,
