AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1428005,3491627,,Loma La Calentura,,,,,,
3626907,3491627,,Loma de la Calentura,,,,,,
15252425,3491627,wkdt,Q23756121,,,,,,
1428006,3491630,,Arroyo El Zumbí,,,,,,
1428007,3491630,,Arroyo del Cacao,,,,,,
1428008,3491630,,Arroyo Zambí,,,,,,
1428009,3491630,,Arroyo Zunbí,,,,,,
3626908,3491630,,Arroyo Zumbí,,,,,,
1428010,3491631,,Zumbí Manteca,,,,,,
1428011,3491631,,Zumbón,,,,,,
3626909,3491631,,Zumbí,,,,,,
1428012,3491633,,Loma de Maimón,,,,,,
3626910,3491633,,Loma Zumbador,,,,,,
15295687,3491633,wkdt,Q23756115,,,,,,
1428013,3491634,,Arroyo Sumbador,,,,,,
3626911,3491634,,Arroyo Zumbador,,,,,,
1428014,3491643,,Cañada Zanja Honda,,,,,,
3626912,3491643,,Arroyo Zona Honda,,,,,,
1428015,3491645,,La Zaya,,,,,,
3626913,3491645,,Zayas,,,,,,
1428016,3491646,,Loma de las Zarzaz,,,,,,
3626914,3491646,,Loma de las Zarzas,,,,,,
15247141,3491646,wkdt,Q23756107,,,,,,
1428017,3491647,,Arroyo Zarsa,,,,,,
1428018,3491647,,Arroyo Zarza,,,,,,
3626915,3491647,,Arroyo Zarzas,,,,,,
1428019,3491651,,Arroyo Guanumita,,,,,,
1428020,3491651,,Arroyo Guanuma,,,,,,
3626916,3491651,,Arroyo Zapote,,,,,,
15674644,3491652,wkdt,Q23756102,,,,,,
1428021,3491653,,El Zanjon,,,,,,
3626917,3491653,,Zanjón,,,,,,
15592241,3491654,wkdt,Q23756101,,,,,,
1428022,3491656,,La Zanja,,,,,,
3626918,3491656,,Arroyo Zanja,,,,,,
1428023,3491658,,La Zambrana,,,,,,
3626919,3491658,,Zambrana Abajo,,,,,,
15333613,3491659,wkdt,Q23756098,,,,,,
1428024,3491661,,Loma de Zamba,,,,,,
3626920,3491661,,Sierra Zamba,,,,,,
15629823,3491666,wkdt,Q23756093,,,,,,
1428025,3491667,,Cañada Zalaya,,,,,,
3626921,3491667,,Arroyo Zalaya,,,,,,
1428026,3491669,,Zolaya,,,,,,
3626922,3491669,,Zalaya,,,,,,
1428027,3491671,,Zafarralla,,,,,,
1428028,3491671,,Zafarraga,,,,,,
1428029,3491671,,Zafarraye,,,,,,
3626923,3491671,,Zafarraya,,,,,,
1428030,3491672,,Arroyo Yuuinita,,,,,,
3626924,3491672,,Arroyo Yuvinita,,,,,,
1428031,3491674,,Yuvino,,,,,,
3626925,3491674,,Yuvina,,,,,,
12252918,3491677,link,https://en.wikipedia.org/wiki/Yuna_River,,,,,,
12254515,3491677,,Río Yuna,,,,,,
11800556,3491679,fr,Higuey Riviére,,,,1,,
1428032,3491682,,Arroyo Yujo,,,,,,
1428033,3491682,,Río Yugo,,,,,,
3626926,3491682,,Río Yujo,,,,,,
15135175,3491684,wkdt,Q23756082,,,,,,
15593311,3491685,wkdt,Q23756081,,,,,,
15105447,3491686,wkdt,Q23756080,,,,,,
1428034,3491687,,Río Yuca,,,,,,
7415205,3491687,,Arroyo Yuca,,,,,,
1428035,3491690,,Río Blanco,,,,,,
1428036,3491690,,Río Yabazo,,,,,,
1428037,3491690,,Arroyo Yubaza,,,,,,
3626927,3491690,,Arroyo Yubazo,,,,,,
1428038,3491691,,Loma de Yola,,,,,,
3626928,3491691,,Loma de Yota,,,,,,
15590071,3491691,wkdt,Q23756075,,,,,,
1428039,3491692,,Río Yunú,,,,,,
3626929,3491692,,Río Yonú,,,,,,
1428040,3491697,,Loma Llimbí,,,,,,
1428041,3491697,,Loma Yambí,,,,,,
3626930,3491697,,Loma Yimbí,,,,,,
15247656,3491697,wkdt,Q23756070,,,,,,
15355228,3491698,wkdt,Q23756068,,,,,,
15798263,3491704,wkdt,Q23756063,,,,,,
15366629,3491705,wkdt,Q23756062,,,,,,
15537539,3491708,wkdt,Q23756059,,,,,,
15519552,3491709,wkdt,Q23756058,,,,,,
15576916,3491710,wkdt,Q23756057,,,,,,
1428042,3491713,,Yerba Guinea,,,,,,
3626931,3491713,,Yerba de Guinea,,,,,,
1428043,3491716,,Loma La Sierra,,,,,,
1428044,3491716,,Loma Yerbabuen,,,,,,
3626932,3491716,,Loma Yerbabuena,,,,,,
15613687,3491716,wkdt,Q23756054,,,,,,
15353359,3491717,wkdt,Q23756053,,,,,,
15578179,3491718,wkdt,Q23756051,,,,,,
