AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
13445539,2214010,,Wādī Qa‘rāt Kurbat Wadār,,,,,,
13445540,2214010,,Wādī Qar‘rāt Kurbat Wadār,,,,,,
1074350,2215233,,Oued Mariksene,,,,,,
1074351,2215233,,Oued Marksene,,,,,,
1074352,2215233,,Uadi Maricsa,,,,,,
1074353,2215233,,Oued Mariksène,,,,,,
1074354,2215233,,Wādī Markasān,,,,,,
3662837,2215233,,Wādī Maricsa,,,,,,
1077718,2219028,,Ayn az Zån,,,,,,
3665266,2219028,,I-n-Ezzane,,,,,,
13575444,2219608,,Anāy,,,,,,
13575445,2219608,ar,أناي,,,,,,
1141483,2441701,,Laouni,,,,,,
3220896,2441701,,Oued Laouni,,,,,,
1142118,2443245,,I-n-Amaouel,,,,,,
3220897,2443245,,I-n-Amouel,,,,,,
4486556,2463905,,Fedj ez Zebel,,,,,,
15155156,2463905,wkdt,Q23779675,,,,,,
1152727,2464643,,Garet et Tir,,,,,,
1152728,2464643,,Qārat aţ Ţayr,,,,,,
1156152,2467210,,Jabal Sarrāqīyah,,,,,,
1156153,2467210,,Djebel Serraguia,,,,,,
4489389,2467210,,Djebel es Sraguia,,,,,,
1156412,2467393,,Shuwaysh as Sa‘īdah,,,,,,
4489549,2467393,,Chouech es Saïda,,,,,,
1158087,2468542,,Fedj en Nakhla,,,,,,
1158088,2468542,,Fej en Nakla,,,,,,
15650822,2468542,wkdt,Q23779912,,,,,,
5492411,2468922,,Oued el Miit,,,,,,
1160274,2470112,,Jabal Jinān Kharūf,,,,,,
1160275,2470112,,Djebel Djenane Krerouf,,,,,,
4491838,2470112,,Djebel Djenane Kherouf,,,,,,
15260476,2470112,wkdt,Q23779910,,,,,,
1160646,2470317,,Wādī Hurayhīr,,,,,,
1160647,2470317,,Oued Hourihir,,,,,,
3234015,2470317,,Oued Horihir,,,,,,
1161189,2470707,,Rouissat el Haj Otsmane,,,,,,
1161190,2470707,,Ru’aysat al Ḩājj ‘Uthmān,,,,,,
1161191,2470707,,Rouissat el Hadj Ostmane,,,,,,
4492357,2470707,,Rouissat el Hadj Otsmane,,,,,,
5492414,2471441,,Argoub ed Demrhaïa,,,,,,
1166108,2474074,,Djebel Aboud,,,,,,
1166187,2474139,,Borg Tarat,,,,,,
1166188,2474139,,Bordj Tarat,,,,,,
1166189,2474139,,Burj Tarat,,,,,,
4553779,2474139,,Fort Tarat,,,,,,
13582416,2474139,,Qal‘at Tārāt,,,,,,
13582417,2474139,ar,قلعة تارات,,,,,,
1166190,2474140,,Ed Djerboua,,,,,,
4553780,2474140,,Garet Djerboua,,,,,,
1166191,2474141,,Cité de Boumerdes,,,,,,
1166192,2474141,,Bou-Merdes,,,,,,
1166193,2474141,,Le Rocher Noir,,,,,,
1166194,2474141,,Rocher Noir,,,,,,
1166195,2474141,,Roche Noire,,,,,,
2919687,2474141,ru,Бумердес,1,,,,,
3234329,2474141,,Boumerdas,,,,,,
8077214,2474141,link,https://en.wikipedia.org/wiki/Boumerd%C3%A8s,,,,,,
13749883,2474141,unlc,DZBOU,,,,,,
15409804,2474147,wkdt,Q23779902,,,,,,
15990368,2474147,,Koudiat Zrigat,,,,,,
15625119,2474151,wkdt,Q23779899,,,,,,
15990369,2474151,,Koudia Zriga,,,,,,
1166196,2474155,,Kéni Bechir,,,,,,
3234330,2474155,,Zrîbet Oued Bâroûn,,,,,,
1166197,2474156,,Bou Begrat,,,,,,
3234331,2474156,,Zrîbet Ka’ba Rhzêl,,,,,,
1166198,2474157,,Zaouia el Merdj,,,,,,
3234332,2474157,,Zrîbet el Merdj,,,,,,
1166199,2474161,,Mechta Massoum,,,,,,
1166200,2474161,,Mechta Beni Massoum,,,,,,
3234333,2474161,,Zrîbet Beni Mahsoûm,,,,,,
1166201,2474162,,Zaouia Beni Guenndouz,,,,,,
4553781,2474162,,Zrîbet Beni Guendoûz,,,,,,
1166202,2474163,,Zaouia Aïne ed Dib,,,,,,
4553782,2474163,,Zrîbet Aïn ed Dîb,,,,,,
1166203,2474171,,Djebel Zrega,,,,,,
3234334,2474171,,Jabal Zurayqā’,,,,,,
1166204,2474177,,Zrârka,,,,,,
4553783,2474177,,Zekara,,,,,,
15789273,2474183,wkdt,Q23779881,,,,,,
15990370,2474183,,Djebel Zraïb,,,,,,
1166205,2474185,,Dayet ez Zhaguet,,,,,,
3234335,2474185,,Daïet ez Zraguet,,,,,,
14849633,2474185,wkdt,Q23779880,,,,,,
2054404,2474188,,Mont Ti-n-Zouzat,,,,,,
3234336,2474188,,Ti-n-Zouzat,,,,,,
1166207,2474190,,In Zouza,,,,,,
4553784,2474190,,Oued i-n-Zouza,,,,,,
15740144,2474196,wkdt,Q23779873,,,,,,
15990371,2474196,,Tizi Zourane,,,,,,
1166208,2474199,,Bir ez Zour,,,,,,
3234337,2474199,,Hassi ez Zour,,,,,,
14999807,2474202,wkdt,Q23779869,,,,,,
15990372,2474202,,Faïd Zoumit,,,,,,
1166209,2474205,,Rhourd Zoukker,,,,,,
3234338,2474205,,Rhourd Zoukkeur,,,,,,
1166210,2474209,,Zouireg,,,,,,
1166211,2474209,,Borj de Zouareg,,,,,,
3234339,2474209,,Bordj de Zouireg,,,,,,
14999468,2474211,wkdt,Q23779861,,,,,,
15990373,2474211,,Daïa Zouirat,,,,,,
15718081,2474215,wkdt,Q23779857,,,,,,
15990374,2474215,,Hameïdet Zouima,,,,,,
1166212,2474217,,Mechta Mahssene,,,,,,
1166213,2474217,,Mechta Mahcène,,,,,,
4553785,2474217,,Mechta ez Zouilma,,,,,,
1166214,2474219,,Djebel Zouîdir,,,,,,
3234340,2474219,,Djebel Zouidir,,,,,,
3234341,2474219,,Djebel Zouaïdir,,,,,,
15860959,2474219,wkdt,Q23779855,,,,,,
1166215,2474222,,Zaoui,,,,,,
3234342,2474222,,Zoui,,,,,,
4553786,2474223,,Mines de Baryte de Zouggara,,,,,,
15533796,2474223,wkdt,Q23779852,,,,,,
1166217,2474226,,Bir Sahane-Souhane,,,,,,
4553787,2474226,,Bir Zougab Sahouane,,,,,,
15491567,2474229,wkdt,Q23779850,,,,,,
15990375,2474229,,Koudia Zoudj Khelifa,,,,,,
1166218,2474230,,Zoudj el Berhal,,,,,,
1166219,2474230,,Zoudy el Berkal,,,,,,
4553788,2474230,,Station de Zoudj el Beghal,,,,,,
1166220,2474231,,Zoudj el Berhal,,,,,,
3234343,2474231,,Zoudj el Beghal,,,,,,
