AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1478372,3649875,,Zunfana,,,,,,
4405882,3649875,,Cerro Zunfana,,,,,,
1478373,3649876,,Rio Zuñag,,,,,,
4405883,3649876,,Río Zuñac,,,,,,
1478374,3649877,,Zuña,,,,,,
4405884,3649877,,Zúñac,,,,,,
1478375,3649879,,Hacienda Zumbagua,,,,,,
1478376,3649879,,Zumbahua,,,,,,
4405885,3649879,,Zumbagua,,,,,,
7502430,3649879,link,https://en.wikipedia.org/wiki/Zumbahua,,,,,,
15321115,3649879,wkdt,Q5247872,,,,,,
1478377,3649880,,Chinchipe,,,,,,
4405886,3649880,,Zumba,,,,,,
1478378,3649881,,Río Moya,,,,,,
4405887,3649881,,Río Zula,,,,,,
1478379,3649883,,Zeilán,,,,,,
1478380,3649883,,Zuevlán,,,,,,
4405888,3649883,,Zueylán,,,,,,
7980562,3649883,,Ceilán,,,,,,
14877259,3649884,wkdt,Q23868906,,,,,,
15977312,3649884,,Loma del Zorro,,,,,,
1478381,3649889,,Shud,,,,,,
1478382,3649889,,Yud,,,,,,
4405889,3649889,,Zhud,,,,,,
7980563,3649894,,Shordán,,,,,,
7980564,3649894,,Zhordan,,,,,,
1478383,3649905,,Shia,,,,,,
1478384,3649905,,Shio,,,,,,
4405890,3649905,,Zhila,,,,,,
1478385,3649906,,Zidmad,,,,,,
4405891,3649906,,Zhidmad,,,,,,
1478386,3649909,,Zarzayacu,,,,,,
4405892,3649909,,Zatzayacu,,,,,,
1478387,3649912,,Zarumaurco,,,,,,
4405894,3649912,,Zarumaurcu,,,,,,
11083599,3649913,link,https://en.wikipedia.org/wiki/Zaruma_Canton,,,,,,
11088963,3649913,,Cantón Zaruma,,,,,,
8086784,3649914,link,https://en.wikipedia.org/wiki/Zaruma,,,,,,
8109630,3649914,,Zaruma,,,,,,
7980565,3649920,,El Zapote,,,,,,
7980566,3649920,,Zapote,,,,,,
1478388,3649922,,Zapotal,,,,,,
4405895,3649922,,Zapotal de Colonche,,,,,,
13750121,3649922,unlc,ECZPT,,,,,,
