AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
276943,453731,,Riisupi Oja,,,,,,
3600551,453731,,Rīzupe,,,,,,
13499720,453731,,Circeņupe,,,,,,
276944,453732,,Balti Klint,,,,,,
276945,453732,,Balti-Laadoga Astang,,,,,,
276946,453732,,Baltiysko-Ladozhskiy Ustup,,,,,,
3600552,453732,,Glint,,,,,,
276947,453733,et,Eesti Vabariik,1,,,,,
276949,453733,,Estonskaya Sovetskaya Sotsialisticheskaya Respublika,,,,1,,
276951,453733,et,Eesti Nõukogude Sotsialistlik Vabariik,,,,1,,
276952,453733,,Estonian Soviet Socialist Republic,,,,1,,
276953,453733,,Estland,,,,,,
276954,453733,,Estoniya,,,,,,
276955,453733,,Estonja,,,,,,
1556895,453733,af,Estland,,,,,,
1556896,453733,am,ኤስቶኒያ,,,,,,
1556897,453733,ar,أستونيا,1,,,,,
1556898,453733,bg,Естония,,,,,,
1556899,453733,bn,এস্তোনিয়া,,,,,,
1556900,453733,ca,Estònia,,,,,,
1556901,453733,cs,Estonsko,,,,,,
1556902,453733,cy,Estonia,,,,,,
1556903,453733,da,Estland,,,,,,
1556904,453733,de,Estland,,,,,,
1556905,453733,el,Εσθονία,,,,,,
1556906,453733,en,Estonia,,1,,,,
1556907,453733,eo,Estonujo,,,,,,
1556908,453733,es,Estonia,1,1,,,,
1556909,453733,et,Eesti,,1,,,,
1556910,453733,fa,استونی,,,,,,
1556911,453733,fi,Viro,,,,,,
1556912,453733,fo,Estland,,,,,,
1556913,453733,fr,Estonie,1,,,,,
1556914,453733,ga,An Eastóin,,,,,,
1556915,453733,he,אסטוניה,,,,,,
1556916,453733,hi,एस्टोनिया,,,,,,
1556917,453733,hr,Estonija,,,,,,
1556918,453733,hu,Észtország,,,,,,
1556919,453733,hy,Էստոնիա,,,,,,
1556920,453733,id,Estonia,,,,,,
1556921,453733,is,Eistland,,,,,,
1556922,453733,it,Estonia,,,,,,
1556923,453733,ja,エストニア,,,,,,
1556924,453733,ka,ესტონეთი,,,,,,
1556925,453733,km,អេស្តូនី,,,,,,
1556926,453733,kn,ಎಸ್ತೊನಿಯ,,,,,,
1556927,453733,ko,에스토니아,,,,,,
1556928,453733,lo,ເອສໂຕເນຍ,,,,,,
1556929,453733,lt,Estija,,,,,,
1556930,453733,lv,Igaunija,,,,,,
1556931,453733,mk,Естонија,,,,,,
1556932,453733,ms,Estonia,,,,,,
1556933,453733,mt,Estonja,,,,,,
1556934,453733,nb,Estland,,,,,,
1556935,453733,nl,Estland,,,,,,
1556936,453733,nn,Estland,,,,,,
1556937,453733,pl,Estonia,,,,,,
1556938,453733,pt,Estônia,1,,,,,
1556939,453733,ro,Estonia,,,,,,
1556940,453733,ru,Эстония,,,,,,
1556941,453733,sk,Estónsko,,,,,,
1556942,453733,sl,Estonija,,,,,,
1556943,453733,sq,Estoni,,,,,,
1556944,453733,sr,Естонија,,,,,,
1556945,453733,sv,Estland,,,,,,
1556946,453733,ta,எஸ்டோனியா,,,,,,
