AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
28572,85417,,Aḑ Ḑiffah,,,,,,
28573,85417,,Ed-Déffa,,,,,,
28574,85417,,Libian Plateau,,,,,,
28575,85417,,El Diffa,,,,,,
28576,85417,,Libyan Desert Plateau,,,,,,
28577,85417,,Al Hadaba al Libiya,,,,,,
28578,85417,,Libysches Wüsten-Plateau,,,,,,
28579,85417,,Minţaqat ad Daffah,,,,,,
3663059,85417,en,Libyan Plateau,,,,,,
15601431,85417,wkdt,Q27489229,,,,,,
44018,101359,,Maḑīq Tīrān,,,,,,
3680023,101359,en,Straits of Tiran,,,,,,
3680024,101359,,Ophira,,,,,,
13498851,101359,link,https://en.wikipedia.org/wiki/Straits_of_Tiran,,,,,,
6998386,293553,he,Naẖal Shani,,,,,,
6998387,293553,he,נחל שני,,,,,,
7728670,293554,,Har Shani,,,,,,
7728671,293554,he,הר שני,,,,,,
205625,293603,,Jebel Umm Jauf,,,,,,
4472749,293603,,Har Seguv,,,,,,
7728683,293603,he,חר שגוב,,,,,,
205732,293683,,Wadi el Rideihi,,,,,,
4472800,293683,,Wādī ar Rudayḩī,,,,,,
7981322,293683,he,ודי א-רדיהי,,,,,,
206065,293900,,Wādī al Qudayrāt,,,,,,
206066,293900,,Wadi el Qudeirat,,,,,,
2053019,293900,,Naẖal Qadesh Barnea‘,,,,,,
4472945,293900,,Wādī al Judayrāt,,,,,,
206847,294386,,Wādī Maghāra,,,,,,
7981371,294386,,Wādī Maghārah,,,,,,
7981372,294386,he,Wādī Maqra‘a,,,,,,
7981373,294386,he,ודי מקרעה,,,,,,
7981374,294386,he,Wādī Makra‘a,,,,,,
206918,294428,,Wâdi el Abiad,,,,,,
206919,294428,,Wādī al Abyaḑ,,,,,,
4473298,294428,,Naẖal Lavan,,,,,,
7325967,294428,he,נחל לבן,,,,,,
207270,294618,,Wādī el Gireināt,,,,,,
207271,294618,,Jureināt,,,,,,
207272,294618,,Wadi el Gerainat,,,,,,
207273,294618,,Wadi Gureinat,,,,,,
4473434,294618,,Wādī al Juraynāt,,,,,,
6998756,294761,he,Har H̱izqiyyahu,,,,,,
6998757,294761,he,הר חזקיהו,,,,,,
6998758,294761,he,Har H̱izkiyyahu,,,,,,
207743,294868,,Har H̱arif,,,,,,
207744,294868,,Jebel Kharuf,,,,,,
4473609,294868,,Ra’s Kharūf,,,,,,
7916742,294868,he,Rās Kharūf,,,,,,
7916743,294868,he,רס ח’רוף,,,,,,
209318,295764,,Wadi Abu Urgân,,,,,,
209320,295764,,Abū ‘Urjān,,,,,,
4474249,295764,,Wādī Abū ‘Urjān,,,,,,
7981419,295764,he,Wādī Abū ‘Urqān,,,,,,
7981420,295764,he,ודי אבו ערקן,,,,,,
7981421,295764,he,Wādī Abū ‘Urgān,,,,,,
7981422,295764,he,ודי אבו ערגן,,,,,,
237915,345949,,Ain el Shafa,,,,,,
237916,345949,,Tatararat,,,,,,
237917,345949,,‘Aîn Shafa,,,,,,
237918,345949,,‘Ain esh Shifa,,,,,,
237919,345949,,Tâtarât,,,,,,
237920,345949,,‘Aîn el-Shifa,,,,,,
4596127,345949,,‘Ayn ash Shifā’,,,,,,
237921,345950,,Gebel Nukhul,,,,,,
237922,345950,,Gebel Nukhl,,,,,,
4596128,345950,,Jabal Nakhl,,,,,,
237923,345951,,Mia Baranis,,,,,,
237924,345951,,Mîna Baranîs,,,,,,
4596129,345951,,Mīnā’ Baranīs,,,,,,
237925,345952,,Wādī al Kūbānīyah,,,,,,
237926,345952,,Wâdi el-Qobbânîyah,,,,,,
4596130,345952,,Wādī al Qabbānīyah,,,,,,
6146255,345952,,Wādī al Qubbānīyah,,,,,,
6146256,345952,,Wâdi el Qubbanîya,,,,,,
237927,345953,,Dikla,,,,,,
4596131,345953,,Naẖal Diqla,,,,,,
7525417,345953,link,https://en.wikipedia.org/wiki/Dikla,,,,,,
237928,345954,,Gebel Dalfa,,,,,,
4596132,345954,,Jabal Ḑalfah,,,,,,
15123427,345954,wkdt,Q23931933,,,,,,
237929,345955,,Markaz al Bājūr,,,,,,
4596133,345955,,El Bâgûr,,,,,,
7214036,345955,ar,مركز الباجور,,,,,,
237930,345956,,Al-Tahrir,,,,,,
4596134,345956,,Mudīrīyat at Taḩrīr,,,,,,
237931,345957,,‘Ezbet Ḥasan Ṣâliḥ,,,,,,
4596135,345957,,1 ‘Ezbet Haṣ Sâlib,,,,,,
237932,345959,,Ziweir and Minshât Ibrâhîm Ḥabashi,,,,,,
4596136,345959,,Zuwayr wa Minshāt Ibrāhīm Ḩabashī,,,,,,
7363739,345959,ar,زوير و منشاة ابراهيم حبشي,,,,,,
10788480,345960,,Wādī Zuwār,,,,,,
10788481,345960,ar,وادي زوار,,,,,,
10788482,345960,,Wâdi Zuwây,,,,,,
10788483,345960,,Wādī Zūwār,,,,,,
237933,345961,,‘Ajrat az Zuwār,,,,,,
4596137,345961,,‘Ajrat az Zuwwār,,,,,,
15663083,345961,wkdt,Q23931930,,,,,,
237934,345962,,Kôm el Zarzûr,,,,,,
4596138,345962,,Kawm az Zurzūr,,,,,,
237935,345963,,Khôr Zurgân,,,,,,
4596139,345963,,Khawr Zurqān,,,,,,
237936,345964,,Zurgân,,,,,,
4596140,345964,,Zurqān,,,,,,
16082933,345964,ar,زرقان,,,,,,
237937,345965,,El-Qârât el-Zurq,,,,,,
4596141,345965,,Al Qārāt az Zurq,,,,,,
237938,345966,,El ‘Alâwi el Zurq,,,,,,
4596142,345966,,Al ‘Alāwī az Zurq,,,,,,
237939,345967,,Bir Zereir,,,,,,
4596143,345967,,Bi’r Zurayr,,,,,,
237940,345968,,Wâdi Zareib,,,,,,
4596144,345968,,Wādī Zurayb,,,,,,
237941,345969,,Ras Zeraib,,,,,,
237942,345969,,Râs Zareib,,,,,,
4596145,345969,,Ra’s Zurayb,,,,,,
237943,345970,,Bir Zareib,,,,,,
237944,345970,,Bîr Zireib,,,,,,
4596146,345970,,Bi’r Zurayb,,,,,,
237945,345971,,Zûr Abu el-Lîl,,,,,,
4596147,345971,,‘Izbat Zūr Abū al Layl,,,,,,
237946,345972,,Gezîret el-Zuqm,,,,,,
4596148,345972,,Jazīrat az Zuqm,,,,,,
15648260,345972,wkdt,Q23931924,,,,,,
237947,345973,,‘Ezbet el-Zuqm,,,,,,
4596149,345973,,‘Izbat az Zuqm,,,,,,
237948,345975,,Zunnārah,,,,,,
4596150,345975,,Zinnārah,,,,,,
16082934,345975,ar,زناره,,,,,,
237949,345976,,Hôd el Zinnar,,,,,,
4596151,345976,,Ḩawḑ az Zunnār,,,,,,
237950,345977,,Wâdi el Zineiga,,,,,,
4596152,345977,,Wādī az Zunayqah,,,,,,
237951,345978,,Zinein,,,,,,
237952,345978,,Zunein,,,,,,
4596153,345978,,Zunayn,,,,,,
7214037,345978,ar,زنين,,,,,,
237953,345979,,Zimrân en-Nakhl,,,,,,
237954,345979,,Zumrân el-Nakhl,,,,,,
4596154,345979,,Zumrān an Nakhl,,,,,,
13287325,345979,ar,زمران النخل,,,,,,
237955,345980,,Gezîret el-Zummâr wa el-Maqṭa‘,,,,,,
4596155,345980,,Jazīrat az Zummār wa al Maqţa‘,,,,,,
15090789,345980,wkdt,Q23931921,,,,,,
237956,345981,,Bir ez Zimla,,,,,,
237957,345981,,Bir Zimla,,,,,,
237958,345981,,Zimla Bîr el,,,,,,
4596156,345981,,Bi’r az Zumlah,,,,,,
237959,345982,,El Zumur Canal,,,,,,
237960,345982,,Ez- Zumur Canal,,,,,,
4596157,345982,,Tur‘at az Zumar,,,,,,
237961,345983,,Qāret Zūmāq,,,,,,
4596158,345983,,Qārat Zūmāq,,,,,,
7524304,345983,link,https://en.wikipedia.org/wiki/Qaret_Zumaq,,,,,,
237962,345984,,‘Aîn Zûinaq,,,,,,
237963,345984,,‘Ain Zūmāq,,,,,,
4596159,345984,,‘Ayn Zūmāq,,,,,,
237964,345985,,Kîmân el Ẕulleila el-Saghira,,,,,,
4596160,345985,,Kīmān az̧ Z̧ullaylah aş Şaghīrah,,,,,,
237965,345986,,Kîmân el-Ẕulleila el-Kebîra,,,,,,
4596161,345986,,Kīmān az̧ Z̧ullaylah al Kabīrah,,,,,,
13147071,345986,,Kīmān az̧ Z̧ulaylah al Kabīrah,,,,,,
13147072,345986,ar,كيمان الظليلة الكبيرة,,,,,,
237966,345988,,Gannâbîyet Zuhra,,,,,,
4596162,345988,,Jannābīyat Zuhrah,,,,,,
237967,345989,,Zuhra,,,,,,
4596163,345989,,Zuhrah,,,,,,
13287529,345989,ar,زهرة,,,,,,
237968,345990,,Kafr Ziheir,,,,,,
237969,345990,,‘Ezbet Zuheir,,,,,,
4596164,345990,,‘Izbat Zuhay,,,,,,
16082935,345990,,‘Izbat Zuhayr,,,,,,
16082936,345990,ar,عزبة زهير,,,,,,
237970,345991,,Bîr el Zoghzoghi,,,,,,
237971,345991,,Bir ez Zoghzoghi,,,,,,
4596165,345991,,Bi’r az Zughzughī,,,,,,
237972,345992,,Qâret Zughailîn,,,,,,
4596166,345992,,Qārat Zughaylīn,,,,,,
237973,345993,,Gezîret Zigheibar,,,,,,
4596167,345993,,Jazīrat Zughaybir,,,,,,
15643757,345993,wkdt,Q23931914,,,,,,
237974,345995,,Mashtūl,,,,,,
237975,345995,,Zifeitet Mashtûl,,,,,,
4596168,345995,,Zufaytat Mashtūl,,,,,,
237976,345996,,Gebel Zubeir,,,,,,
4596169,345996,,Jabal Zubayr,,,,,,
15123830,345996,wkdt,Q23932521,,,,,,
237977,345997,,Gebel Zib Shama‘ûn,,,,,,
237978,345997,,Gebel Zibb Shama‘ûn,,,,,,
2055143,345997,,Jabal Zubb Sham‘ūn,,,,,,
4596170,345997,,Jabal Sham‘ūn,,,,,,
15123699,345997,wkdt,Q23932519,,,,,,
237979,345998,,Gebel Zibb el-Baḥeir,,,,,,
4596171,345998,,Jabal Zibb al Buḩayr,,,,,,
15123828,345998,wkdt,Q23932517,,,,,,
237980,345999,,Wâdi Sobeir,,,,,,
237981,345999,,Wādi Zubeir,,,,,,
4596172,345999,,Wādī Zubayr,,,,,,
237982,346000,,Gebel Sobeir,,,,,,
237983,346000,,Gebel Zubayr,,,,,,
237984,346000,,Gebel Zubeir,,,,,,
4596173,346000,,Jabal Zubayr,,,,,,
237985,346001,,Zibeida,,,,,,
16082937,346001,,Zubaydah,,,,,,
16082938,346001,ar,زبيده,,,,,,
237986,346002,,Tell el-Sibû‘a,,,,,,
237987,346002,,Tell Zi‘elz‘a,,,,,,
237988,346002,,Tell Zi‘eiza‘,,,,,,
237989,346002,,Tall as Subū‘ah,,,,,,
4596175,346002,,Tall Zu‘ayzi‘,,,,,,
237990,346003,,Baḥr Zi‘eiza‘,,,,,,
4596176,346003,,Baḩr Zu‘ayzi‘,,,,,,
237991,346004,,Gezîret Nûbâr Pasha,,,,,,
237992,346004,,Gezîret el-Zu‘aiyara,,,,,,
237993,346004,,Gezīret ez Zu‘aiyara,,,,,,
4596177,346004,,Jazīrat az Zu‘ayyirah,,,,,,
15471573,346004,wkdt,Q23932510,,,,,,
237994,346005,,Wādi Zeraiqīya,,,,,,
4596178,346005,,Wādī Zurayqīyah,,,,,,
237995,346007,,Bîr Zqeim,,,,,,
4596179,346007,,Bi’r Zuqaym,,,,,,
237996,346008,,‘Aîn Ziyad,,,,,,
4596180,346008,,‘Ayn Ziyād,,,,,,
237997,346012,,Gezîret Zarnîkh,,,,,,
4596181,346012,,Jazīrat Zirnīkh,,,,,,
15090846,346012,wkdt,Q23932497,,,,,,
237998,346013,,Zirnīkh,,,,,,
4596182,346013,,Zarnīkh,,,,,,
237999,346014,,‘Ezbet el-Zirba,,,,,,
4596183,346014,,‘Izbat az Zirbah,,,,,,
238000,346016,,Bir Zaqdin Ahmar,,,,,,
