AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1150056,2461419,,Wadi Seguiet el Hambra,,,,,,
1150057,2461419,,Uad El Hamra,,,,,,
1150058,2461419,,Wadi Sakiet el Hamra,,,,,,
1150059,2461419,,Sekia el Hamara,,,,,,
1150060,2461419,,As Saqia al Hamra,,,,,,
4368339,2461419,,Saguia el Hamra,,,,,,
1150061,2461420,,Uad Lgseiseha,,,,,,
4368340,2461420,,Uad Legsiseha,,,,,,
1150062,2461421,,Punta Leven,,,,,,
1150063,2461421,,Cabo de los Ruivos,,,,,,
1150064,2461421,,Leven Head,,,,,,
4368341,2461421,,Cabo Leven,,,,,,
1150065,2461422,,Edchedereia,,,,,,
1150066,2461422,,Echediria,,,,,,
4368342,2461422,,Echdeiria,,,,,,
1150067,2461423,,Zoûg,,,,,,
1150068,2461423,,Sug,,,,,,
3220904,2461423,,Zug,,,,,,
3220905,2461423,,Zoug,,,,,,
7178267,2461423,link,https://en.wikipedia.org/wiki/Zug%2C_Western_Sahara,,,,,,
1150069,2461424,,El Guelta,,,,,,
1150070,2461424,,Gelta Zemmur,,,,,,
4368343,2461424,,Guelta Zemmur,,,,,,
1150071,2461425,,Zemmour,,,,,,
1150072,2461425,,Zemur,,,,,,
1150073,2461425,,Zemour,,,,,,
4368344,2461425,,Zemmur,,,,,,
3220906,2461426,,Hasi Yor Saadum,,,,,,
3220907,2461426,,Hassi Jorf Sa’doun,,,,,,
1150074,2461427,,Aaglet Yort,,,,,,
4368345,2461427,,Aaglet Yorf,,,,,,
1150075,2461432,,Xerifia,,,,,,
1150076,2461432,,Hasian Yerifia,,,,,,
1150077,2461432,,Hasian Yerifa,,,,,,
4368346,2461432,,Aaglet Yeraifia,,,,,,
1150078,2461435,,Uad Yana,,,,,,
1150079,2461435,,Uad Yenma,,,,,,
3220908,2461435,,Uad Yenna,,,,,,
3220909,2461435,,Wad Yenna,,,,,,
1150080,2461436,,Yana,,,,,,
3220910,2461436,,Yenna,,,,,,
1150081,2461437,,Yamaia,,,,,,
3220911,2461437,,Yemeáia,,,,,,
3220912,2461437,,Yeme’iyd,,,,,,
15650698,2461438,wkdt,Q23934400,,,,,,
15972385,2461438,,Tuerf Yemal,,,,,,
1150082,2461439,,Uad Yelua Yelua,,,,,,
3220913,2461439,,Uad Yelua,,,,,,
1150083,2461440,,Jeloua,,,,,,
1150084,2461440,,Pozo Yelua,,,,,,
3220914,2461440,,Hasi Yelua,,,,,,
3220915,2461440,,Yelua,,,,,,
15649686,2461442,wkdt,Q23934397,,,,,,
15972386,2461442,,Yelia,,,,,,
15500663,2461443,wkdt,Q23934396,,,,,,
15972387,2461443,,Gleib Yedian,,,,,,
1595,2461445,,El Sáhara,,,,,,
1150085,2461445,es,El Sáhara Español,,,,,,
1150086,2461445,,Provincia Española de Sáhara,,,,,,
1150087,2461445,en,Spanish Western Sahara,,,,1,,
1150088,2461445,en,Spanish Sahara,,,,1,,
1150089,2461445,es,Provincia del Sáhara,,,,,,
1150090,2461445,es,Provincia del Sáhara Español,,,,,,
1150091,2461445,es,Province of Sahara,,,,,,
1566868,2461445,es,Sáhara Occidental,,1,,,,
1566869,2461445,es,República Árabe Saharaui Democrática,1,,,,,
1566870,2461445,es,RASD,,,,,,
1566871,2461445,ar,لصحراء الغربية,,,,,,
1566872,2461445,hbs,EH,,,,,,
2419179,2461445,af,Wes-Sahara,1,,,,,
2419180,2461445,am,ምዕራባዊ ሳህራ,1,,,,,
2419181,2461445,ar,الصحراء الغربية,1,,,,,
2419182,2461445,be,Заходняя Сахара,1,,,,,
2419183,2461445,bg,Западна Сахара,1,,,,,
2419184,2461445,bn,পশ্চিমী সাহারা,1,,,,,
2419185,2461445,ca,Sàhara Occidental,1,1,,,,
2419186,2461445,cs,Západní Sahara,1,,,,,
2419187,2461445,cy,Gorllewin y Sahara,1,,,,,
2419188,2461445,da,Vestsahara,1,,,,,
2419189,2461445,de,Westsahara,1,,,,,
2419190,2461445,el,Δυτική Σαχάρα,1,,,,,
2419191,2461445,en,Western Sahara,1,,,,,
2419192,2461445,eo,Okcidenta Saharo,1,,,,,
2419193,2461445,et,Lääne-Sahara,1,,,,,
2419194,2461445,eu,Mendebaldeko Sahara,1,,,,,
2419195,2461445,fa,صحرای غربی,1,,,,,
2419196,2461445,fi,Länsi-Sahara,1,,,,,
2419197,2461445,fr,Sahara Occidental,1,,,,,
2419198,2461445,ga,An Sahára Thiar,1,,,,,
2419199,2461445,gl,Sahara Occidental,1,,,,,
2419200,2461445,he,סהרה המערבית,1,,,,,
2419201,2461445,hi,पश्चिमी सहारा,1,,,,,
2419202,2461445,hr,Zapadna Sahara,1,,,,,
2419203,2461445,hu,Nyugat-Szahara,1,,,,,
2419204,2461445,hy,Արեվմտյան Սահարա,1,,,,,
2419205,2461445,ia,Sahara occidental,1,,,,,
2419206,2461445,id,Sahara Barat,1,,,,,
2419207,2461445,is,Vestur-Sahara,1,,,,,
2419208,2461445,it,Sahara Occidentale,1,,,,,
2419209,2461445,ja,西サハラ,1,,,,,
2419210,2461445,ka,დასავლეთი საჰარა,1,,,,,
2419211,2461445,km,សាហារ៉ាខាងលិច,1,,,,,
2419212,2461445,ko,서사하라,1,,,,,
2419213,2461445,ln,Sahara ya límbe,1,,,,,
2419214,2461445,lo,ຊາຮາລາຕະເວັນຕົກ,1,,,,,
2419215,2461445,lt,Vakarų Sachara,1,,,,,
2419216,2461445,lv,Rietumsahāra,1,,,,,
2419217,2461445,mk,Западна Сахара,1,,,,,
2419218,2461445,ml,പശ്ചിമ സഹാറ,1,,,,,
2419219,2461445,ms,Sahara Barat,1,,,,,
2419220,2461445,mt,Sahara tal-Punent,1,,,,,
2419221,2461445,nb,Vest-Sahara,1,,,,,
2419222,2461445,nl,Westelijke Sahara,1,,,,,
2419223,2461445,nn,Vest-Sahara,1,,,,,
2419224,2461445,pl,Sahara Zachodnia,1,,,,,
2419225,2461445,pt,Saara Ocidental,1,,,,,
2419226,2461445,ro,Sahara Occidentală,1,,,,,
2419227,2461445,ru,Западная Сахара,1,,,,,
2419228,2461445,se,Oarje-Sahára,1,,,,,
2419229,2461445,sk,Západná Sahara,1,,,,,
2419230,2461445,sl,Zahodna Sahara,1,,,,,
2419231,2461445,sq,Saharaja Perëndimore,1,,,,,
2419232,2461445,sr,Западна Сахара,1,,,,,
2419233,2461445,sv,Västsahara,1,,,,,
2419234,2461445,th,ซาฮาราตะวันตก,1,,,,,
2419235,2461445,tr,Batı Sahara,1,,,,,
2419236,2461445,uk,Західна Сахара,1,,,,,
2419237,2461445,ur,مغربی صحارا,1,,,,,
2419238,2461445,vi,Tây Sahara,1,,,,,
2419239,2461445,zh,西撒哈拉,1,,,,,
2426523,2461445,ca,República Àrab Saharauí Democràtica,,,,,,
3332246,2461445,link,https://en.wikipedia.org/wiki/Western_Sahara,,,,,,
7086421,2461445,az,Qərb Sahara,1,,,,,
7086422,2461445,br,Sahara ar Cʼhornôg,1,,,,,
7086423,2461445,bs,Zapadna Sahara,1,,,,,
7086424,2461445,ee,Ɣetoɖoƒe Sahara nutome,1,,,,,
7086425,2461445,fo,Vestursahara,1,,,,,
7086426,2461445,gu,પશ્ચિમી સહારા,1,,,,,
7086427,2461445,kl,Sahara Killiit,1,,,,,
7086428,2461445,kn,ಪಶ್ಚಿಮ ಸಹಾರಾ,1,,,,,
7086429,2461445,ku,ڕۆژاوای سەحرا,1,,,,,
7086430,2461445,mr,पश्चिम सहारा,1,,,,,
7086431,2461445,my,အနောက်ပိုင်း ဆာဟာရ,1,,,,,
7086432,2461445,ne,पश्चिमी साहारा,1,,,,,
7086433,2461445,or,ପଶ୍ଚିମ ସାହାରା,1,,,,,
7086434,2461445,rm,Sahara Occidentala,1,,,,,
7086435,2461445,si,බටහිර සහරාව,1,,,,,
7086436,2461445,sw,Sahara Magharibi,1,,,,,
7086437,2461445,ta,மேற்கு சஹாரா,1,,,,,
7086438,2461445,te,పడమటి సహారా,1,,,,,
7086439,2461445,ti,ምዕራባዊ ሳህራ,1,,,,,
7086440,2461445,to,Sahala fakahihifo,1,,,,,
7086441,2461445,zu,i-Western Sahara,1,,,,,
1150092,2461446,,Roque Grande,,,,,,
1150093,2461446,,Isla Virginia,,,,,,
1150094,2461446,,Virgin Rock,,,,,,
1150095,2461446,,Islote Virginia,,,,,,
4368347,2461446,,Lahjayra Lakbira,,,,,,
13286993,2461446,en,Virginia Rock,,,,,,
15541723,2461446,wkdt,Q23934395,,,,,,
15773938,2461450,wkdt,Q23939170,,,,,,
1150096,2461451,,Gráret Urganat,,,,,,
4368348,2461451,,Graret Ourganat,,,,,,
1150097,2461452,,Gráret Urganat,,,,,,
4368349,2461452,,Graret al Warganat,,,,,,
3220916,2461454,,Uad el Unguel,,,,,,
3220917,2461454,,Wad Lounkel,,,,,,
1150098,2461455,,Grair Um Turya,,,,,,
4368350,2461455,,Grayer Oum Twirja,,,,,,
15327466,2461459,wkdt,Q23934388,,,,,,
15972388,2461459,,Um Tlehía,,,,,,
1150099,2461464,,Gráret Um Sedra,,,,,,
4368351,2461464,,Graret Oum Sedra,,,,,,
3220918,2461466,,Güert Um Ryeim,,,,,,
3220919,2461466,,Gwirat Oum Rjim,,,,,,
15728952,2461466,wkdt,Q23934386,,,,,,
1150100,2461467,,Legleia,,,,,,
3220920,2461467,,Um Rueisein Legleia,,,,,,
3220921,2461467,,Oum Rwisen Legleya,,,,,,
15778563,2461467,wkdt,Q23934385,,,,,,
1150101,2461471,,Um Rueisein,,,,,,
4368352,2461471,,Oum Rwissine,,,,,,
15701494,2461472,wkdt,Q23934414,,,,,,
15972389,2461472,,Um Rueisein,,,,,,
1150102,2461473,,Um Rueisein,,,,,,
4368353,2461473,,Oum Rwessine,,,,,,
1150103,2461476,,Esbar Umneiniha,,,,,,
4368354,2461476,,Zbar Oum Nayniha,,,,,,
1150104,2461482,,Hafrat Um Morcba,,,,,,
4368355,2461482,,Hofrat Um Morcba,,,,,,
15321951,2461482,wkdt,Q23934409,,,,,,
15484270,2461485,wkdt,Q23935002,,,,,,
15972390,2461485,,Güiret Um Lemaard,,,,,,
3220922,2461488,,Uad Um Legtaf,,,,,,
3220923,2461488,,Wad Oum Lagta,,,,,,
1150105,2461497,,Um El Guemcha,,,,,,
4368356,2461497,,Um el Quemcha,,,,,,
1150106,2461499,,Um el Fersig,,,,,,
4368357,2461499,,Oum al Farsig,,,,,,
1150107,2461500,,Cheljat Um el Beina,,,,,,
4368358,2461500,,Chalkhat Oum Lbayna,,,,,,
1150108,2461502,,Sebjet Um ed Deboaa,,,,,,
1150109,2461502,,Sebjet Um Deboaa,,,,,,
4368359,2461502,,Sebkhat Oum Dba’,,,,,,
1150110,2461505,,Galb Em Duéiet,,,,,,
3220924,2461505,,Galb Um Dueiat,,,,,,
3220925,2461505,,Galb Oum Dwetat,,,,,,
15751245,2461505,wkdt,Q23934990,,,,,,
1150119,2461509,,Udei Um Amud,,,,,,
4368361,2461509,,Wad Oum ’Moud,,,,,,
1150120,2461514,,Um Ablag,,,,,,
4368362,2461514,,Um Ablac,,,,,,
1150121,2461516,,Graret Um Abdus,,,,,,
4368363,2461516,,Gráret Um Abeddús,,,,,,
1150122,2461521,,Sidi Emhamed,,,,,,
1150123,2461521,,Bir Ould Sidi Mohammed,,,,,,
1150124,2461521,,Bir Uld Sid Enhomed,,,,,,
1150125,2461521,,Hasi Sid Mahommed,,,,,,
1150126,2461521,,Pozo Uld Sidi Emhamed,,,,,,
1150127,2461521,,Sidi Mohammed,,,,,,
1150128,2461521,,Bir Uld Sidi Enhamed,,,,,,
1150129,2461521,,Sidi Enhamed,,,,,,
3220926,2461521,,Bir Uld Sidi Emhamed,,,,,,
15675973,2461523,wkdt,Q23934984,,,,,,
15972391,2461523,,Amsais Uld el Nom,,,,,,
1150130,2461524,,Graret Uld Hai,,,,,,
1150131,2461524,,Gareto Uld-El-Ali,,,,,,
4368364,2461524,,Gráret Uld el Aacal,,,,,,
1150132,2461526,,Aain Uld Asafate,,,,,,
4368365,2461526,,Aïn Oulad Asafat,,,,,,
1150133,2461527,,Dait Tidrarin,,,,,,
4368366,2461527,,Dait Ulad Tidrarin,,,,,,
1150134,2461529,,Buirat Uld Laudau,,,,,,
3220927,2461529,,Buirat Ulad Daud,,,,,,
3220928,2461529,,Buirat Wald Daoud,,,,,,
15660219,2461531,wkdt,Q23934979,,,,,,
15972392,2461531,,Uirán,,,,,,
1150135,2461532,,Uad Ugran Tul,,,,,,
4368367,2461532,,Uad Ugran Tuil,,,,,,
1150136,2461539,,Uad Uein Terguet,,,,,,
1150137,2461539,,Oued Aïn Terguit,,,,,,
1150138,2461539,,Oued Tirguitt,,,,,,
1150139,2461539,,Aouin Terguet,,,,,,
1150140,2461539,,Tirguil,,,,,,
4368368,2461539,,Oued Aouinterguet,,,,,,
1150141,2461545,,Erbeieb Uein Merad,,,,,,
4368369,2461545,,Wad Win Mrad,,,,,,
1150142,2461546,,Erbeieb Uein Merad,,,,,,
4368370,2461546,,Sahb an Ngad,,,,,,
3220929,2461553,,Aaglet Udian el Gardeg,,,,,,
3220930,2461553,,Hassi Oudiyat al Ghardag,,,,,,
1150143,2461558,,Boca del Rio,,,,,,
1150144,2461558,,Fum el Uad,,,,,,
4368371,2461558,,Foum al Wad,,,,,,
1150145,2461560,,Pozo Tusunin,,,,,,
4368372,2461560,,Hasian Tusunin,,,,,,
15788623,2461561,wkdt,Q23934955,,,,,,
15972393,2461561,,Güeirat Turagt,,,,,,
15359478,2461566,wkdt,Q23934952,,,,,,
15972394,2461566,,Tuimaresca Grande,,,,,,
15470282,2461571,wkdt,Q23934947,,,,,,
15972395,2461571,,Tuihil Lajdar,,,,,,
1150146,2461573,,Uad Tuiflit,,,,,,
4368373,2461573,,Wad Tuiflit,,,,,,
1150147,2461577,,Gor Tuichel-li,,,,,,
4368374,2461577,,Gor Tuicheli,,,,,,
1150148,2461578,,Tugdan,,,,,,
4368375,2461578,,Tugdam,,,,,,
3220931,2461579,,Uad Tuflit,,,,,,
3220932,2461579,,Wad et -Touflit,,,,,,
1150149,2461580,,Aain Tuf,,,,,,
1150150,2461580,,Pozo Tuf,,,,,,
1150151,2461580,,Hasi Tuf,,,,,,
4368376,2461580,,Ayn Touf,,,,,,
1150152,2461581,,Gor Tuf,,,,,,
4368377,2461581,,Gor Touf,,,,,,
15471427,2461584,wkdt,Q23934937,,,,,,
15972396,2461584,,Güert Tuerf Ait Selef,,,,,,
1150153,2461587,,Gleibat Tueisarfaten,,,,,,
3220933,2461587,,Gleibat Tueiserfaten,,,,,,
3220934,2461587,,Tueiserfaten,,,,,,
15686044,2461587,wkdt,Q23934935,,,,,,
1150154,2461588,,Toueïzerfâtene,,,,,,
3220935,2461588,,Tueiserfaten,,,,,,
1150155,2461593,,Tukat,,,,,,
4368378,2461593,,Hasi Tuccat Najla,,,,,,
1150156,2461596,,Qudiat Tuana,,,,,,
3220936,2461596,,Quediat Tuama,,,,,,
3220937,2461596,,Tuama,,,,,,
3220938,2461598,,Tuama,,,,,,
3220939,2461598,,Twama,,,,,,
15417927,2461599,wkdt,Q23934927,,,,,,
15972397,2461599,,Tuama,,,,,,
15782006,2461602,wkdt,Q23934925,,,,,,
15972398,2461602,,Treig Areguibein,,,,,,
1150157,2461605,,Uad Togba,,,,,,
4368379,2461605,,Wad at Tougba,,,,,,
1150158,2461607,,Aain Togba,,,,,,
4368380,2461607,,Aaglet Togba,,,,,,
3220940,2461610,,Gleibat Tleha,,,,,,
3220941,2461610,,Oum Tlayha,,,,,,
15206321,2461610,wkdt,Q23934921,,,,,,
1150159,2461613,,Tiyiri,,,,,,
4368381,2461613,,Tiyirit,,,,,,
3220942,2461615,,Tiutsen,,,,,,
3220943,2461615,,Tintsen,,,,,,
1150160,2461616,,Udian Tius,,,,,,
4368382,2461616,,Udeiat Tius,,,,,,
1150161,2461617,,Udian Tius,,,,,,
4368383,2461617,,Udeiat Tius,,,,,,
1150162,2461618,,Güeriat Tiuaraien,,,,,,
4368384,2461618,,Güeirat Tiuaraíen,,,,,,
15459809,2461620,wkdt,Q23934914,,,,,,
15972399,2461620,,Quedeiat Tisquin,,,,,,
1150163,2461621,,El Jadra,,,,,,
1150164,2461621,,Tisnig Jadra,,,,,,
3220944,2461621,,Tisnig el Jadra,,,,,,
3220945,2461621,,Tisnig al Khadra,,,,,,
3220946,2461622,,Tisnagaten Beida,,,,,,
3220947,2461622,,Tisnagaten Bayda,,,,,,
1150165,2461623,,Tistalin,,,,,,
4368385,2461623,,Dait Tislatin,,,,,,
3220948,2461624,,Udei Tisiguinin,,,,,,
3220949,2461624,,Oudei Tizinguinine,,,,,,
1150166,2461625,,Udeiet Tisiguinin,,,,,,
3220950,2461625,,Udei Tisiguinin,,,,,,
3220951,2461625,,Oudei Tizinguinine,,,,,,
1150167,2461627,,Tisigrad,,,,,,
4368386,2461627,,Tisgrad,,,,,,
3220952,2461628,,Tiselgaf el Jadra,,,,,,
3220953,2461628,,Tiselgaf el Khadra,,,,,,
15428791,2461629,wkdt,Q23934906,,,,,,
15972400,2461629,,Gráret Tirseil,,,,,,
3220954,2461630,,Tirsal Tel-lía,,,,,,
3220955,2461630,,Tirsal at-Talliya,,,,,,
1150168,2461633,,Pozo Tiraclin,,,,,,
4368387,2461633,,Hasi Tiraclin,,,,,,
1150169,2461636,,Quesada Cove,,,,,,
1150170,2461636,,Puertillo del Tio Quesado,,,,,,
4368388,2461636,,Puertillo del Tío Quesada,,,,,,
15228254,2461639,wkdt,Q23934902,,,,,,
15972401,2461639,,Playa de Tiniguir,,,,,,
1150171,2461642,,Udei Tinedquin,,,,,,
4368389,2461642,,Udei Tinidquin,,,,,,
1150172,2461643,,Udei Tinedquin,,,,,,
3220956,2461643,,Udei Tinidquin,,,,,,
3220957,2461643,,Uadi Tinidquin,,,,,,
15772233,2461645,wkdt,Q23934899,,,,,,
15972402,2461645,,Tinaraten,,,,,,
1150173,2461647,,Timucrarin el Hamra,,,,,,
4368390,2461647,,Timokrarin al Hamra,,,,,,
1150174,2461648,,Timucrarin el Beida,,,,,,
4368391,2461648,,Timokrarin al Bayda,,,,,,
1150175,2461649,,Gleib Tiquerdat,,,,,,
4368392,2461649,,Gleib Timquerdad,,,,,,
1150176,2461652,,Timesguin,,,,,,
1150177,2461652,,Timesguin Timmorgueiba,,,,,,
1150178,2461652,,Timiaguil,,,,,,
3220958,2461652,,Timesguin Um Ergueba,,,,,,
3220959,2461652,,Temesguin Oum Ergueba,,,,,,
1150179,2461654,,Hasi Timelusa,,,,,,
4368393,2461654,,Aaglet Timel-lusa,,,,,,
1150180,2461662,,Pozo Tigri,,,,,,
4368394,2461662,,Hasi Tigri,,,,,,
1150181,2461663,,Tifguiuen,,,,,,
4368395,2461663,,Tifiguiuen,,,,,,
