AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
3110002,70476,,South West Rocks,,,,,,
4152064,221707,,Me‘edori Babbô‘a,,,,,,
149267,221960,,Lêdînisa,,,,,,
149290,222005,,Lâhi Garbo,,,,,,
150177,224346,,Ḏabẖin Babbô‘a,,,,,,
150383,224804,,Oued Aououalailis,,,,,,
4152898,224804,,Awwalaylis,,,,,,
227175,325539,,Isola Vusta,,,,,,
227176,325539,,Wusta Island,,,,,,
227177,325539,,Isola Uusta,,,,,,
4523379,325539,,Uusta,,,,,,
15367856,325539,wkdt,Q23939404,,,,,,
227178,325540,,Īsola Um-el-Seil,,,,,,
227179,325540,,Isole Um es Seil,,,,,,
4523380,325540,,Um es Seil,,,,,,
15622223,325540,wkdt,Q23939403,,,,,,
227180,325541,,Isola Seil Norah,,,,,,
4523381,325541,,Seil Norah,,,,,,
15572790,325541,wkdt,Q23939402,,,,,,
227183,325550,,Annesley Bay,,,,,,
227184,325550,,Zula Bahir Selat’ē,,,,,,
227185,325550,,Zula Bahire Selat’ē,,,,,,
227186,325550,,Golfo di Zula,,,,,,
227187,325550,,Ghubbet Zula,,,,,,
4523383,325550,,Gulf of Zula,,,,,,
2923025,325551,link,https://en.wikipedia.org/wiki/Zula,,,,,,
3038001,325551,ru,Зула,,,,,,
3047669,325551,link,https://ru.wikipedia.org/wiki/%D0%97%D1%83%D0%BB%D0%B0,,,,,,
4523384,325551,,Zula,,,,,,
15706878,325551,wkdt,Q1364365,,,,,,
15627941,325555,wkdt,Q23939400,,,,,,
15987700,325555,,Zuburai,,,,,,
227190,325556,,Zubuc Grat,,,,,,
4523387,325556,,Tsibuk Grat,,,,,,
227191,325559,,Zuwane,,,,,,
4523388,325559,,Zuane,,,,,,
15625887,325559,wkdt,Q23939399,,,,,,
2054193,325614,,Zeban Ona,,,,,,
4523403,325614,,Ziban Una,,,,,,
15865500,325624,wkdt,Q23939397,,,,,,
15987701,325624,,Ziban Āwlat Āmba,,,,,,
227224,325638,,Pozzi Zeriba Ambara,,,,,,
4523407,325638,,Zeriba Ambara,,,,,,
227256,325701,,Zazega,,,,,,
227257,325701,,Zazzega,,,,,,
227258,325701,,Tsazega,,,,,,
4523433,325701,,Tse’azega,,,,,,
13636115,325701,link,https://en.wikipedia.org/wiki/Tsazega,,,,,,
15305340,325701,wkdt,Q783364,,,,,,
227261,325705,,Du-Barr,,,,,,
227262,325705,,Isola Zauber,,,,,,
4523435,325705,,Zauber,,,,,,
15735351,325705,wkdt,Q23939394,,,,,,
227268,325712,,Torrente Zariga,,,,,,
227269,325712,,Tug Zariga,,,,,,
4523438,325712,,Zariga,,,,,,
4523439,325713,,Zariga,,,,,,
227291,325748,,Monte Zagher,,,,,,
4523453,325748,,Zagher,,,,,,
15321295,325748,wkdt,Q23939392,,,,,,
227292,325749,,Zagher,,,,,,
4523454,325749,,Zagr,,,,,,
15240279,325756,wkdt,Q23939391,,,,,,
15987703,325756,,Zad Amba,,,,,,
2054194,325759,,See. Zaad Amba,,,,,,
4523459,325759,,Zaad Amba,,,,,,
15534715,325759,wkdt,Q23939389,,,,,,
227319,325803,,Ygi’ar,,,,,,
4523471,325803,,Yigi’ār,,,,,,
15862556,325939,wkdt,Q23939388,,,,,,
15987706,325939,,YeFerensay Wetader Metasebīya Hawilt,,,,,,
227392,325983,,Ye’Āseb Nedaj Mat’arīya,,,,,,
227393,325983,,Ye’aseb Oil Refinery,,,,,,
4523513,325983,,Ye’Assab Nedaj Mat’arīya,,,,,,
7773208,326011,,Yangus Shet’,,,,,,
7773209,326011,,Langus,,,,,,
227405,326012,,Forte Iangus,,,,,,
4523520,326012,,Yangus,,,,,,
227451,326113,,Wik’ro,,,,,,
4523548,326113,,Wek’iro,,,,,,
7848512,326113,,Racrabet,,,,,,
7848513,326113,,Rakrabet,,,,,,
227459,326125,,Quoin Island,,,,,,
4523554,326125,,Widenī Desēt,,,,,,
15564479,326125,wkdt,Q23939384,,,,,,
227638,326444,,Uogherti,,,,,,
227639,326444,,Uoccherti,,,,,,
4523659,326444,,Wekertī,,,,,,
7848514,326444,,Uogerti,,,,,,
2541384,326460,,Uoili Uonz,,,,,,
2541385,326460,,We’īma Wenz,,,,,,
4523663,326460,,We’īmī Wenz,,,,,,
227642,326462,,Wê‘ima,,,,,,
227643,326462,,Oued Weima,,,,,,
227644,326462,,Torrente Veima,,,,,,
227645,326462,,Weaima,,,,,,
4523664,326462,,We’īma Wenz,,,,,,
15381654,326467,wkdt,Q23939380,,,,,,
15987707,326467,,Wehan Terara,,,,,,
227675,326535,,Uad Giaba,,,,,,
4523685,326535,,Wedegiba,,,,,,
15513660,326703,wkdt,Q23939379,,,,,,
15987709,326703,,Jebel Wad Medin,,,,,,
227754,326708,,Uadaraue,,,,,,
227755,326708,,Wadalaweb,,,,,,
4523752,326708,,Jebel Wadaraweb,,,,,,
227763,326728,,Pozzi Uaccai,,,,,,
4523757,326728,,Wachai,,,,,,
7773210,326747,,Vurec,,,,,,
7773211,326747,,Kor Uaret,,,,,,
227795,326752,,Fort Vigano,,,,,,
227796,326752,,Fortino Vigano,,,,,,
4523771,326752,,Vigano,,,,,,
227799,326755,,Colle Vann,,,,,,
