AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
7678,53008,,Goljet,,,,,,
3645971,53008,,Qoljeit,,,,,,
1959744,57835,,Gumar,,,,,,
1959745,57835,,Uadda-Gumar,,,,,,
3647569,57835,,Gumer,,,,,,
1959770,59759,,Feerfeer,,,,,,
3648189,59759,,Ferfer,,,,,,
7509529,59759,link,https://en.wikipedia.org/wiki/Ferfer,,,,,,
7722151,60417,,Dulusbo,,,,,,
7722152,60417,,Dul’-Osbo,,,,,,
12170,64396,,Adad,,,,,,
12171,64396,,Bio Anot,,,,,,
3649706,64396,,Beyu Anod,,,,,,
7356304,64396,,Beyyu-Anod,,,,,,
12385,64900,,Balleh Gubadle,,,,,,
1959834,64900,,Aran-Arekh,,,,,,
1959835,64900,,Balleh Khadar,,,,,,
3649861,64900,,Aran Areh,,,,,,
1959841,65631,,Aleibadei,,,,,,
1959842,65631,,Awkelef,,,,,,
3650074,65631,,Alaybede,,,,,,
4019334,160114,,Eastern Rift Valley,,,,,,
137143,178051,,Gara Yaya,,,,,,
10584305,178051,,Gara Yaiya,,,,,,
15461382,178051,wkdt,Q24025247,,,,,,
10584313,196903,,Halake Halo,,,,,,
142658,198032,,Forole,,,,,,
142659,198032,,Monte Wickenburg,,,,,,
4110506,198032,,Furroli,,,,,,
13701047,198032,,Furrole,,,,,,
142860,198563,,Eil Roba,,,,,,
4110658,198563,,El Roba,,,,,,
10584318,198857,,Laga Dubo,,,,,,
142982,199001,,Dibbandibba,,,,,,
142983,199001,,Gebel Dabaso,,,,,,
4110761,199001,,Dibandiba,,,,,,
15494261,199161,wkdt,Q24025245,,,,,,
15924360,199161,,Dakacha Dowata,,,,,,
143366,200592,,Barchuma Hafari,,,,,,
143367,200592,,Burrchuma,,,,,,
143368,200592,,Gebel Burchuma,,,,,,
143369,200592,,Burrciuma,,,,,,
15589747,200592,wkdt,Q27198969,,,,,,
143398,200687,,Lak Bulal,,,,,,
143399,200687,,Laga Bulal,,,,,,
143400,200687,,Lach Bullul,,,,,,
4111107,200687,,Laga Balal,,,,,,
15541973,223040,wkdt,Q24025244,,,,,,
15927976,223040,,Gonigarbo,,,,,,
227181,325542,,Raya and Kobo,,,,,,
227182,325542,,Raia,,,,,,
4523382,325542,,Raya na K’obo Āwraja,,,,,,
11763325,325542,link,https://en.wikipedia.org/wiki/Kobo_%28woreda%29,,,,,,
7153272,325543,link,https://en.wikipedia.org/wiki/Omo_National_Park,,,,,,
7205710,325543,,Omo National Park,,,,,,
227188,325552,,Monte Zufan,,,,,,
4523385,325552,,Zufan,,,,,,
227189,325553,,Zufan Mariam,,,,,,
4523386,325553,,Zufan,,,,,,
227192,325561,,Amba Zoz,,,,,,
4523389,325561,,Zoz,,,,,,
227193,325569,,Sagulsaf,,,,,,
4523390,325569,,Zogolzot,,,,,,
227194,325573,,Zebul,,,,,,
227195,325573,,Zabul,,,,,,
227196,325573,,Monti Zabul,,,,,,
4523391,325573,,Zobil,,,,,,
227197,325574,,Zobul,,,,,,
227198,325574,,Zabul,,,,,,
4523392,325574,,Zobil,,,,,,
227199,325575,,Zabul,,,,,,
227200,325575,,Zebul,,,,,,
4523393,325575,,Zobil,,,,,,
227201,325578,,Dembel,,,,,,
227202,325578,,Lake Zwai,,,,,,
227203,325578,,Lake Ziway,,,,,,
227204,325578,,Lake Zuai,,,,,,
227205,325578,,Lake Zway,,,,,,
227206,325578,,Zewāy,,,,,,
2923026,325578,link,https://en.wikipedia.org/wiki/Lake_Zway,,,,,,
4523394,325578,,Ziway Hāyk’,,,,,,
227207,325579,,Zway,,,,,,
227208,325579,,Zwai,,,,,,
2923027,325579,link,https://en.wikipedia.org/wiki/Ziway,,,,,,
4523395,325579,,Ziway,,,,,,
15304339,325579,wkdt,Q2570767,,,,,,
227209,325580,,Omata,,,,,,
227210,325580,,Amuata,,,,,,
227211,325580,,Amurata,,,,,,
4523396,325580,,Ziwad,,,,,,
227212,325584,,Medich,,,,,,
4523397,325584,,Zinz,,,,,,
227213,325587,,Zingini,,,,,,
4523398,325587,,Zinghini,,,,,,
227214,325593,,Zuqualà,,,,,,
227215,325593,,Mount Zuquala,,,,,,
227216,325593,,Zik’wāla,,,,,,
227217,325593,,Zukwala,,,,,,
227218,325593,,Monte Zuquala,,,,,,
227219,325593,,Ziqwāla,,,,,,
4523399,325593,,Zik’wala Terara,,,,,,
11314807,325593,link,https://en.wikipedia.org/wiki/Mount_Zuqualla,,,,,,
227220,325597,,Zuquala,,,,,,
4523400,325597,,Zik’wala,,,,,,
227221,325598,,Zik’ulī (2),,,,,,
4523401,325598,,Zik’ulī,,,,,,
227222,325599,,Zik’ulī (1),,,,,,
4523402,325599,,Zik’ulī,,,,,,
4523404,325626,,Ziban Āhima Āmba,,,,,,
4523405,325626,,Ziban Akhima Amba,,,,,,
227223,325631,,Zeila,,,,,,
4523406,325631,,Zeyita,,,,,,
2361832,325639,,Zeria Auro Yeeterara Chaf,,,,,,
4523408,325639,,Zeri‘a Āwro YeTerara Ch’af,,,,,,
227225,325643,,Colle Zerbabit,,,,,,
4523409,325643,,Zerbabīt,,,,,,
227226,325647,,Zarabruk,,,,,,
227227,325647,,Zarabruc,,,,,,
4523410,325647,,Zera Biruk,,,,,,
227228,325654,,Tabuor,,,,,,
4523411,325654,,Zendegur,,,,,,
8344259,325656,,Gedemza,,,,,,
8344260,325656,,Zenbaba Shet’,,,,,,
227229,325657,,Zenalk’a (2),,,,,,
4523412,325657,,Zenalk’a,,,,,,
227230,325658,,Zenalk’a (1),,,,,,
4523413,325658,,Zenalk’a,,,,,,
227231,325662,,Zemie,,,,,,
4523414,325662,,Zemē,,,,,,
227232,325663,,Zema River,,,,,,
4523415,325663,,Zema,,,,,,
227233,325668,,Amba Zelal,,,,,,
4523416,325668,,Zelal,,,,,,
15446773,325668,wkdt,Q24025385,,,,,,
227234,325669,,Zala Anbesa,,,,,,
4523417,325669,,Zela Āmbesa,,,,,,
2541371,325671,,Zekua,,,,,,
4523418,325671,,Zekwa,,,,,,
227236,325675,,Zalan,,,,,,
4523419,325675,,Ze‘ilan Wenz,,,,,,
227237,325676,,Zehārano,,,,,,
4523420,325676,,Zehāraro,,,,,,
4523421,325676,,Zekharano,,,,,,
227238,325678,,Royut,,,,,,
4523422,325678,,Zegyē,,,,,,
227239,325680,,Zeghie Peninsula,,,,,,
4523423,325680,,Zegē Peninsula,,,,,,
227240,325681,,Zeghie,,,,,,
4523424,325681,,Zegē Bota,,,,,,
227241,325682,,Zeghie,,,,,,
227242,325682,,Zegi,,,,,,
4523425,325682,,Zegē,,,,,,
227243,325683,,Zega Uodeb,,,,,,
227244,325683,,Zēga Wedem,,,,,,
227245,325683,,Zega Uodel,,,,,,
4523426,325683,,Zēga Wedem Wenz,,,,,,
227246,325685,,Colline Zeetir,,,,,,
4523427,325685,,Zeetir,,,,,,
15606154,325685,wkdt,Q24025383,,,,,,
227247,325686,,Monte Zabò,,,,,,
227248,325686,,Monte Zebo,,,,,,
4523428,325686,,Zebo,,,,,,
15545804,325686,wkdt,Q24025382,,,,,,
227249,325688,,Zebt,,,,,,
4523429,325688,,Zebich,,,,,,
227250,325689,,Acheta,,,,,,
4523430,325689,,Zebīb,,,,,,
227251,325690,,Traena,,,,,,
4523431,325690,,Zebena,,,,,,
227252,325693,,Zeba Uanti,,,,,,
227253,325693,,Monte Zeba Uonti,,,,,,
4523432,325693,,Zeba Uonti,,,,,,
15683368,325693,wkdt,Q24025381,,,,,,
15665638,325695,wkdt,Q24025380,,,,,,
15987702,325695,,Zeban Amba,,,,,,
227254,325700,,Jabal Zazing,,,,,,
227255,325700,,Zezaing,,,,,,
15227949,325700,wkdt,Q24025379,,,,,,
227259,325703,,Tulu Zaua,,,,,,
227260,325703,,Zaua,,,,,,
4523434,325703,,Zawa Terara,,,,,,
15525685,325703,wkdt,Q24025378,,,,,,
227263,325706,,Mount Zaua,,,,,,
227264,325706,,Monte Zaua,,,,,,
4523436,325706,,Zaua,,,,,,
227265,325707,,Zala,,,,,,
227266,325707,,Colle Zalà,,,,,,
227267,325707,,Zala Hill,,,,,,
4523437,325707,,Zata Terara,,,,,,
15810212,325707,wkdt,Q24025375,,,,,,
227270,325715,,Calima,,,,,,
4523440,325715,,Zarēma Shet’,,,,,,
227271,325717,,Zarima,,,,,,
4523441,325717,,Zarēma,,,,,,
227273,325719,,Lugdi Galaat el Zeraf,,,,,,
227274,325719,,Galaat ez-Zeraf,,,,,,
227275,325719,,Lugdi Gallat ez-Zeraf,,,,,,
227276,325719,,Gallat el Zeraf,,,,,,
227277,325719,,Qal‘at ez Zeraf,,,,,,
4523442,325719,,Qal‘at az Zarāf,,,,,,
227278,325724,,Zancha,,,,,,
4523443,325724,,Zancia,,,,,,
227279,325725,,Amba Zana,,,,,,
4523444,325725,,Zana Terara,,,,,,
15660130,325725,wkdt,Q24025372,,,,,,
227280,325726,,Zana-Stan,,,,,,
4523445,325726,,Zana Sion,,,,,,
227281,325728,,Tzana,,,,,,
4523446,325728,,Zana,,,,,,
227282,325731,,Mai Sazi,,,,,,
227283,325731,,Sazi,,,,,,
4523447,325731,,Zamra Shet’,,,,,,
227284,325732,,Samre,,,,,,
227285,325732,,Mai Samre,,,,,,
4523448,325732,,Zamra Shet’,,,,,,
227286,325738,,Altipiano di Zalcaba,,,,,,
227287,325738,,Zalcaba Plateau,,,,,,
4523449,325738,,Zalcaba,,,,,,
15626001,325738,wkdt,Q24025370,,,,,,
227288,325744,,Za’ina (2),,,,,,
4523450,325744,,Za’ina,,,,,,
