AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
13577794,1547383,fj,Uluivolanau,,,,,,
11806865,2194174,fj,Yuru Creek,,,,,,
11665072,2194175,fj,Yoyo Creek,,,,,,
11665073,2194176,fj,Yoyo Creek,,,,,,
11665074,2194177,fj,Yoo,,,,,,
12781466,2194178,fj,Oneka Bay,,,,,,
12781467,2194178,fj,Yoneka Bay,,,,,,
12781468,2194179,fj,Yegusu Reef,,,,,,
12781469,2194179,fj,Yengusu Reef,,,,,,
1067108,2194180,,Vuya,,,,,,
1067109,2194180,,Yandua Tamba,,,,,,
1067110,2194180,,Yadua Tabu,,,,,,
1067111,2194180,,Yendua Tamba,,,,,,
1067112,2194180,,Yandua Tambu,,,,,,
4331634,2194180,,Yendua Tambu Island,,,,,,
7521225,2194180,link,https://en.wikipedia.org/wiki/Yadua_Tabu,,,,,,
12781470,2194180,fj,Yaduataba Island,,,,,,
1067113,2194181,,Yauanakia Creek,,,,,,
4331635,2194181,,Yayanakia,,,,,,
11665075,2194181,fj,Yayanakia Creek,,,,,,
11665076,2194182,fj,Yaya Creek,,,,,,
12141127,2194183,fj,Yawi Reef,,,,,,
1067114,2194184,,Asaua,,,,,,
1067115,2194184,,Yasawa Lailai,,,,,,
1067116,2194184,,Asawa Island,,,,,,
4331636,2194184,,Yawini Island,,,,,,
12781471,2194185,fj,Yawini,,,,,,
14950237,2194185,wkdt,Q24562289,,,,,,
12781472,2194186,fj,Yawe,,,,,,
11806866,2194187,fj,Yawandroka Creek,,,,,,
12781473,2194187,fj,Yawadroka Creek,,,,,,
11665077,2194188,fj,Yawadra Creek,,,,,,
11665078,2194188,,Yawandra Creek,,,,,,
12781474,2194189,fj,Yawalevu Bay,,,,,,
1067117,2194190,,Daveta Yawa-levu,,,,,,
1067118,2194190,,Yawalevu Passage,,,,,,
4331637,2194190,fj,NdavetaYawalevu,,,,,,
1067119,2194191,,Yawalau,,,,,,
4331638,2194191,,Yawalau Island,,,,,,
11665079,2194191,fj,Yawalo Island,,,,,,
11665080,2194192,fj,Yarai Creek,,,,,,
11665081,2194192,,Yawai,,,,,,
13292996,2194193,fj,Yawa Creek,,,,,,
13292997,2194193,fj,Yawa,,,,,,
13267431,2194194,fj,Yavusau,,,,,,
11665082,2194195,fj,Yavusania,,,,,,
1067120,2194196,,Yavuriba,,,,,,
4331639,2194196,,Yavurimba Island,,,,,,
12781475,2194196,fj,Yavuriba Island,,,,,,
13577422,2194197,fj,Yavunicili Creek,,,,,,
13577423,2194197,fj,Yavunithili,,,,,,
11665083,2194198,fj,Yavuna Creek,,,,,,
11665084,2194199,fj,Yavuna,,,,,,
1067121,2194200,,Numbunisambutu Creek,,,,,,
4331640,2194200,,Yavulu Creek,,,,,,
12195797,2194201,fj,Yavulu Creek,,,,,,
1067122,2194202,,Yavalo Island,,,,,,
4331641,2194202,,Yavulo Island,,,,,,
11806867,2194203,fj,Yavulo,,,,,,
11665085,2194204,fj,Yavu Creek,,,,,,
12781476,2194205,fj,Yavu Creek,,,,,,
12781477,2194205,fj,Yavu,,,,,,
11999480,2194206,fj,Yavu,,,,,,
11665086,2194207,fj,Yavu,,,,,,
10649944,2194208,fj,Yavoli Creek,,,,,,
12195798,2194209,fj,Yavitu,,,,,,
12195799,2194210,fj,Yavitu,,,,,,
12781478,2194211,fj,Yavena Passage,,,,,,
12781479,2194212,fj,Cakau Yavena,,,,,,
12781480,2194212,fj,Thakau Yavena,,,,,,
13292998,2194213,fj,Yavai Creek,,,,,,
12781481,2194214,fj,Yauyau Point,,,,,,
12195800,2194216,fj,Yauva,,,,,,
13577424,2194217,fj,Yauca Creek,,,,,,
13577425,2194217,fj,Yautha Creek,,,,,,
1067123,2194218,,Tomba Ya-uravu,,,,,,
1067124,2194218,,Yauravu Harbor,,,,,,
4331643,2194218,,Yauravu Bay,,,,,,
11806868,2194219,fj,Yaundrau,,,,,,
11665087,2194220,fj,Yaudovi Creek,,,,,,
11665088,2194220,,Yaundovi Creek,,,,,,
12141128,2194221,fj,Yaunavu Creek,,,,,,
12141129,2194222,fj,Yauna Island,,,,,,
1067125,2194223,,May,,,,,,
1067126,2194223,,Yankuve,,,,,,
1067127,2194223,,Yaukuve Island,,,,,,
4331644,2194223,,Yaukuvelevu Island,,,,,,
12195801,2194224,fj,Yaukuvelailai Island,,,,,,
15225078,2194224,wkdt,Q24562274,,,,,,
13292999,2194225,fj,Yaukoro Creek,,,,,,
13293000,2194225,fj,Yaukoro,,,,,,
11806869,2194226,fj,Yatu Creek,,,,,,
12781482,2194227,fj,Yaco Bay,,,,,,
12781483,2194227,fj,Yatho Bay,,,,,,
1067128,2194228,,Coconut,,,,,,
1067129,2194228,,Yaciwa,,,,,,
1067130,2194228,,Cocoa-nut Island,,,,,,
4331645,2194228,,Yathiwa Island,,,,,,
11912796,2194228,fj,Yaciwa Island,,,,,,
13577426,2194229,fj,Yacayaganimalau Creek,,,,,,
13577427,2194229,fj,Yathayanganimalau Creek,,,,,,
13267432,2194230,fj,Yaca Creek,,,,,,
13267433,2194230,fj,Yatha Creek,,,,,,
12781484,2194231,fj,Yateyate Island,,,,,,
15467958,2194231,wkdt,Q24562270,,,,,,
11665089,2194232,fj,Yasiyasi Creek,,,,,,
11665090,2194233,fj,Yasiyasi Creek,,,,,,
11665091,2194234,fj,Yasiyasi Creek,,,,,,
11665092,2194235,fj,Yasiyasi Creek,,,,,,
11665093,2194236,fj,Yasiyasi Creek,,,,,,
11665094,2194236,,Yasiyasi,,,,,,
11846377,2194237,fj,Yasiyasi Creek,,,,,,
11846378,2194237,fj,Yasiyasi,,,,,,
11665095,2194238,fj,Yaseyase Creek,,,,,,
1067131,2194239,,Yasaua,,,,,,
1067132,2194239,,Ya Asaua,,,,,,
4331647,2194239,en,Yasawa Island,,,,,,
8289150,2194239,link,https://en.wikipedia.org/wiki/Yasawa,,,,,,
8289151,2194239,,Yasawa,,,,,,
8289152,2194239,iata,YAS,,,,,,
13755303,2194239,unlc,FJYAS,,,,,,
1067133,2194240,,Yasawairo,,,,,,
4331648,2194240,,Yasawairara,,,,,,
1067134,2194241,,Ya Asaua,,,,,,
1067135,2194241,,Yasawa,,,,,,
4331649,2194241,,Yasawa Group,,,,,,
11999481,2194243,fj,Yarovundi,,,,,,
11999482,2194244,fj,Arovudi,,,,,,
11999483,2194244,fj,Yarovundi,,,,,,
12781485,2194245,fj,Yaroma Island,,,,,,
11665096,2194246,fj,Yarolevu Creek,,,,,,
13577428,2194248,fj,Yaroi,,,,,,
12195802,2194249,fj,Yaro Creek,,,,,,
11912797,2194250,fj,Yaroi Creek,,,,,,
11912798,2194250,fj,Yaro Creek,,,,,,
12781486,2194251,fj,Yaro Bay,,,,,,
