AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1407486,3426609,,Punta Peligrosa,,,,,,
4334756,3426609,,Dangerous Point,,,,,,
1407487,3426610,,Roca Young,,,,,,
4334757,3426610,,Young Rock,,,,,,
1407488,3426611,,Punta Yorke,,,,,,
4334759,3426611,,Yorke Point,,,,,,
1407489,3426612,,Bahía Yorke,,,,,,
4334760,3426612,,Yorke Bay,,,,,,
8681103,3426612,link,https://en.wikipedia.org/wiki/Yorke_Bay,,,,,,
1407490,3426613,es,Roca Wolf,,,,,,
4334765,3426613,,Wolf Rock,,,,,,
1407491,3426614,,Isla Wolf,,,,,,
4334766,3426614,,Wolfe Island,,,,,,
15574385,3426614,wkdt,Q24570884,,,,,,
15558304,3426615,wkdt,Q24570883,,,,,,
1407492,3426616,,Baye Choisel,,,,,,
1407493,3426616,,Puerto William,,,,,,
1407494,3426616,,Port Firm,,,,,,
4334767,3426616,,Port William,,,,,,
13189052,3426616,link,https://en.wikipedia.org/wiki/Port_William%2C_Falkland_Islands,,,,,,
1407495,3426618,,Alturas Wickham,,,,,,
4334768,3426618,,Wickham Heights,,,,,,
7158706,3426618,link,https://en.wikipedia.org/wiki/Wickham_Heights,,,,,,
1407496,3426619,,Cerro Wickham,,,,,,
4334769,3426619,,Mount Wickham,,,,,,
5903393,3426619,link,https://en.wikipedia.org/wiki/Mount_Wickham,,,,,,
1407497,3426620,,Punta Roca Blanca,,,,,,
4334770,3426620,,White Rock Point,,,,,,
1407498,3426621,,Bahía White Rock,,,,,,
1407499,3426621,,Bahía Roca Blanca,,,,,,
4334771,3426621,,White Rock Bay,,,,,,
1407500,3426624,,Punta Blanca,,,,,,
4334773,3426624,,White Point,,,,,,
1407501,3426625,,Punta White,,,,,,
4334774,3426625,,White Point,,,,,,
15558610,3426626,wkdt,Q24570876,,,,,,
15969659,3426626,,White Island,,,,,,
1407502,3426630,,Puerto Wharton,,,,,,
4334775,3426630,,Wharton Harbour,,,,,,
1407503,3426632,,Whalebone Bay,,,,,,
4334779,3426632,,Whalebone Cove,,,,,,
1407504,3426633,,Isla West Swan,,,,,,
4334780,3426633,,West Swan Island,,,,,,
1407505,3426634,,Punta West,,,,,,
1407506,3426634,,Punta Oeste,,,,,,
4334783,3426634,,West Point,,,,,,
1407507,3426636,,Isla Oeste,,,,,,
1407508,3426636,,Islote West,,,,,,
1407509,3426636,,West Islet,,,,,,
4334785,3426636,,West Island,,,,,,
15466195,3426636,wkdt,Q24570867,,,,,,
1407510,3426637,,Cerro Oeste,,,,,,
4334787,3426637,,West Hill,,,,,,
1407511,3426638,,Isla Malvina del Oeste,,,,,,
1407512,3426638,,Gran Malvina,,,,,,
1407513,3426638,,West Falkland Island,,,,,,
1407514,3426638,,Malvina del Oeste,,,,,,
2984783,3426638,link,https://en.wikipedia.org/wiki/West_Falkland,,,,,,
4334789,3426638,,West Falkland,,,,,,
1407515,3426639,,Caleta Oeste,,,,,,
1407516,3426639,,Caleta West,,,,,,
4334790,3426639,,West Cove,,,,,,
1407517,3426641,,Islote Wedge,,,,,,
4334795,3426641,,Wedge Islet,,,,,,
15310845,3426641,wkdt,Q24570865,,,,,,
1407518,3426642,,Watts Cove,,,,,,
4334798,3426642,,Watt Cove,,,,,,
1407519,3426643,,Río Warrah,,,,,,
1407520,3426643,,Warrah River,,,,,,
4334799,3426643,,River Warrah,,,,,,
6891253,3426643,link,https://en.wikipedia.org/wiki/Warrah_River,,,,,,
8672986,3426645,link,https://en.wikipedia.org/wiki/Walker_Creek%2C_Falkland_Islands,,,,,,
8802933,3426645,,Walker Creek,,,,,,
15422538,3426645,wkdt,Q7962247,,,,,,
1407521,3426646,,Ensenada Walker,,,,,,
4334800,3426646,,Walker Creek,,,,,,
1407522,3426647,es,Punta de la Barra,,,,,,
1407523,3426647,es,Punta Volunteer,,,,,,
4334801,3426647,,Volunteer Point,,,,,,
7491044,3426647,link,https://en.wikipedia.org/wiki/Volunteer_Point,,,,,,
1407524,3426649,,The Dodge Viper,,,,,,
4334802,3426649,,The Viper,,,,,,
1407525,3426650,,Puerto Victoria,,,,,,
4334803,3426650,,Victoria Harbour,,,,,,
1407526,3426651,,Cerro Vernet,,,,,,
4334804,3426651,,Mount Vernet,,,,,,
15543826,3426651,wkdt,Q24570861,,,,,,
1407527,3426652,,Cerro Osborne,,,,,,
4334805,3426652,,Mount Usborne,,,,,,
5713592,3426652,link,https://en.wikipedia.org/wiki/Mount_Usborne,,,,,,
1407528,3426653,,Roca Uranie,,,,,,
4334806,3426653,,Uranie Rock,,,,,,
1407529,3426654,,Bahía Uranie,,,,,,
4334807,3426654,,Uranie Bay,,,,,,
7033649,3426654,link,https://en.wikipedia.org/wiki/Uranie_Bay,,,,,,
1407530,3426655,,Manchón Tyssen,,,,,,
4334808,3426655,,Tyssen Patch,,,,,,
1407531,3426656,,Islas Tyssen,,,,,,
4334809,3426656,,Tyssen Islands,,,,,,
7510403,3426656,link,https://en.wikipedia.org/wiki/Tyssen_Islands,,,,,,
1407532,3426657,,Cerro de la Silla,,,,,,
1407533,3426657,,Saddle Hill,,,,,,
1407534,3426657,,The Two Sisters,,,,,,
4334810,3426657,,Two Sisters,,,,,,
1407535,3426661,,Dettleff’s Point,,,,,,
1407536,3426661,,Old Man Point,,,,,,
1407537,3426661,,Punta Tussac,,,,,,
4334811,3426661,,Tussac Point,,,,,,
1407538,3426662,,William Islets,,,,,,
1407539,3426662,,Port William Islands,,,,,,
1407540,3426662,,Islas Tussac,,,,,,
4334813,3426662,,Tussac Islands,,,,,,
13755307,3426662,unlc,FKPWI,,,,,,
15572453,3426663,wkdt,Q24570852,,,,,,
15969661,3426663,,Tussac Island,,,,,,
1407541,3426664,,Isla Tussac,,,,,,
4334814,3426664,,Tussac Island,,,,,,
15860001,3426664,wkdt,Q24570851,,,,,,
15556465,3426665,wkdt,Q24570850,,,,,,
15969662,3426665,,Tussac Island,,,,,,
1407542,3426666,,Punta Turn,,,,,,
4334815,3426666,,Turn Point,,,,,,
1407543,3426667,,Islote Turn,,,,,,
4334816,3426667,,Turn Islet,,,,,,
15447202,3426667,wkdt,Q24570848,,,,,,
1407544,3426669,,The Tumbledown,,,,,,
4334817,3426669,,Tumbledown Mountain,,,,,,
1407545,3426670,,Islas Triste,,,,,,
4334818,3426670,,Triste Islands,,,,,,
15260592,3426670,wkdt,Q24570845,,,,,,
1407546,3426673,,Roca Tide,,,,,,
4334820,3426673,,Tide Rock,,,,,,
1407547,3426674,,Evelyn Station,,,,,,
1407548,3426674,,Teal Inlet,,,,,,
2984784,3426674,link,https://en.wikipedia.org/wiki/Teal_Inlet,,,,,,
4334825,3426674,,Teal Inlet Settlement,,,,,,
1407549,3426675,,Caleta Teal,,,,,,
4334826,3426675,,Teal Inlet,,,,,,
1407550,3426676,,Arroyo Teal,,,,,,
4334827,3426676,,Teal Creek,,,,,,
1407551,3426677,,Paso Tamar,,,,,,
4334830,3426677,,Tamar Pass,,,,,,
1407552,3426678,,Puerto Tamar,,,,,,
4334831,3426678,,Tamar Harbour,,,,,,
1407553,3426679,,Cabo Tamar,,,,,,
4334832,3426679,,Cape Tamar,,,,,,
