AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
5700223,1558550,iata,ULI,,,,,,
11307866,1558550,link,https://en.wikipedia.org/wiki/Ulithi_Airport,,,,,,
13359658,1558550,faac,TT02,,,,,,
755885,1558555,,Gorror,,,,,,
755886,1558556,,Zowatabu-Suido,,,,,,
755887,1558556,,Zowabatu-suidō,,,,,,
755888,1558557,,Zowariyoru-Suido,,,,,,
755889,1558558,,Zowariyau-Suido,,,,,,
755890,1558559,,Doroppu-Suido,,,,,,
755891,1558560,,Zoniyarangachieru-Suido,,,,,,
755892,1558561,,Zoniparegoku-Suido,,,,,,
755893,1558562,,Zohhoiiyoru,,,,,,
755897,1558570,,Yogoroporapu-To,,,,,,
5763300,1558570,,Yangolaplap,,,,,,
755898,1558571,,Yunuf,,,,,,
755899,1558571,,Inufu,,,,,,
755900,1558571,,Inuf,,,,,,
755901,1558572,,Yinbinau,,,,,,
755902,1558572,,Yinbinaw,,,,,,
755903,1558573,,Yn,,,,,,
755904,1558573,,Yuin,,,,,,
755905,1558573,,Jin,,,,,,
5763507,1558573,,Yyin,,,,,,
1057,1558582,,Waqab,,,,,,
755908,1558582,,Arricifes Carolina,,,,,,
755909,1558582,,Yapa,,,,,,
755910,1558582,,Yappu-tō,,,,,,
755911,1558582,,Guap,,,,,,
755912,1558582,,Yap Atoll,,,,,,
755913,1558582,,Yap,,,,,,
755914,1558582,,Eap,,,,,,
755915,1558582,,Yap Group,,,,,,
755916,1558582,ger,Jap-Inseln,,,,1,,
5761704,1558582,,BEQUEST WW2,,,,,,
5763562,1558582,,VOCALIST WW2,,,,,,
5763563,1558582,,Island of Stone Money,,,,,,
7190514,1558582,link,https://en.wikipedia.org/wiki/Yap,,,,,,
755917,1558583,,Eap,,,,,,
755918,1558583,,Uyap,,,,,,
755919,1558583,,Yapputo,,,,,,
755920,1558583,,Ouap,,,,,,
755921,1558583,,Unawb,,,,,,
755922,1558583,,Rull,,,,,,
755923,1558583,,Heap,,,,,,
755924,1558583,en,Yap Island,,,,,,
755925,1558583,,Guap,,,,,,
755926,1558583,,Waqab,,,,,,
755927,1558583,,Yapa,,,,,,
755928,1558583,,Uap,,,,,,
12134793,1558583,iata,YAP,,,,,,
12134794,1558583,link,https://en.wikipedia.org/wiki/Yap,,,,,,
755934,1558587,,Yeboch,,,,,,
755935,1558587,,Yaboch,,,,,,
755936,1558587,,Yevotj,,,,,,
755944,1558595,,Wulu',,,,,,
755945,1558595,,Ulu,,,,,,
755946,1558595,,Wuluu,,,,,,
755963,1558602,,Orira,,,,,,
755964,1558602,,Orile,,,,,,
755965,1558602,,Orila,,,,,,
755966,1558602,,Vorile,,,,,,
755967,1558602,,Uvilee,,,,,,
5763504,1558602,,Woriilag,,,,,,
755972,1558605,,Wuneedaay,,,,,,
755973,1558605,,Oneday,,,,,,
755974,1558605,,Woneday,,,,,,
755975,1558605,,Tomil Harbor Entrance,,,,,,
755976,1558606,,Wolmat,,,,,,
755977,1558606,,Wolmad,,,,,,
15216169,1558606,wkdt,Q24571660,,,,,,
755980,1558611,,Wiya,,,,,,
15862339,1558611,wkdt,Q24571659,,,,,,
755981,1558612,,West Laggon,,,,,,
755982,1558612,,Nishi-Suido,,,,,,
755986,1558623,,Wan Utwa,,,,,,
755987,1558623,,Uonean,,,,,,
755988,1558623,,Uanajan,,,,,,
755999,1558635,,Ulewi,,,,,,
756000,1558635,,Uliti,,,,,,
756001,1558635,,Egoy,,,,,,
756002,1558635,,Mogmog,,,,,,
756003,1558635,,Ulevy,,,,,,
756004,1558635,,Ulithi-Atollen,,,,,,
756005,1558635,,Lamululudi,,,,,,
756006,1558635,,Olap,,,,,,
756007,1558635,,Uluta,,,,,,
756008,1558635,,Olotup,,,,,,
756009,1558635,,Mackinzie,,,,,,
756010,1558635,,Egoi,,,,,,
756011,1558635,,Mogemog,,,,,,
756012,1558635,,Ulussi,,,,,,
756013,1558635,,Urusi Tō,,,,,,
756014,1558635,,Mackenzie Islands,,,,,,
756015,1558635,,Mugmug,,,,,,
756016,1558635,,Mackenzie Group,,,,,,
756017,1558635,,Lamululutup,,,,,,
756018,1558635,,Ulithi Gruppen,,,,,,
756019,1558635,,Ulithi Islands,,,,,,
756020,1558635,,Lumululutu,,,,,,
756021,1558635,,Garbanzos,,,,,,
756022,1558635,,Elivi Group,,,,,,
756023,1558635,,Ugeu Inseln,,,,,,
756024,1558635,,Ouluthy,,,,,,
756025,1558635,,Urushi-tō,,,,,,
756026,1558635,,Ulutup,,,,,,
