AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
7536499,2395931,link,https://en.wikipedia.org/wiki/Zoulameyong,,,,,,
7566375,2395931,,Zoulameyong,,,,,,
15460778,2395931,wkdt,Q8074643,,,,,,
2944182,2395932,link,https://en.wikipedia.org/wiki/Zoula,,,,,,
4312237,2395932,,Zoula,,,,,,
1130984,2395939,,Crique Zonazarongué,,,,,,
4312238,2395939,,Crique Zona Zacongué,,,,,,
1130985,2395950,,Nzenzélé,,,,,,
4312239,2395950,,Zindzélé,,,,,,
1130986,2395953,,Lac Zité,,,,,,
4312240,2395953,,Lac Zilé,,,,,,
15158278,2395954,wkdt,Q24608475,,,,,,
15959236,2395954,,Plaine Zigana,,,,,,
1130987,2395955,,Zambi Zanza,,,,,,
4312241,2395955,,Zembi-Zanza,,,,,,
15671208,2395976,wkdt,Q24608472,,,,,,
15959237,2395976,,Mont Youngo,,,,,,
1130988,2395988,,Babinga,,,,,,
4312242,2395988,,Youlandzambi,,,,,,
1130989,2395989,,Yuko,,,,,,
4312243,2395989,,Youko,,,,,,
1130990,2396003,,Yembi,,,,,,
4312244,2396003,,Yombi,,,,,,
1130991,2396016,,Yobogo,,,,,,
4312245,2396016,,Yocogo,,,,,,
15819386,2396019,wkdt,Q24608465,,,,,,
15959238,2396019,,Mont Yindo,,,,,,
1130992,2396026,,Yeyenga,,,,,,
1130993,2396026,,Yéyéha,,,,,,
4312246,2396026,,Yeyena,,,,,,
1130994,2396029,,Yetsou,,,,,,
4312247,2396029,,Yetsou II,,,,,,
8463352,2396046,,Yélé,,,,,,
8463353,2396046,,Yelé,,,,,,
1130995,2396066,,Yamba I,,,,,,
4312248,2396066,,Yamba,,,,,,
1130996,2396070,,Yidigui,,,,,,
4312249,2396070,,Yadigui,,,,,,
1130997,2396076,,Région de Woleu-N’tem,,,,,,
2184885,2396076,,Woleu-Ntem,1,1,,,,
5650096,2396076,,Province du Woleu-Ntem,,,,,,
5701411,2396076,link,https://en.wikipedia.org/wiki/Woleu-Ntem_Province,,,,,,
11660374,2396076,en,Woleu-Ntem Province,1,,,,,
11660375,2396076,en,Woleu-Ntem,,1,,,,
14910755,2396076,wkdt,Q823800,,,,,,
1130998,2396077,,Pointe Ouingombe,,,,,,
4312250,2396077,,Pointe Wingombé,,,,,,
8463354,2396077,,Pointe Ouingombé,,,,,,
1130999,2396079,,Wellé-Leboung,,,,,,
4312251,2396079,,Wéllé,,,,,,
1131000,2396081,,Wagna,,,,,,
1131001,2396081,,Wagnya,,,,,,
1131002,2396081,,Ouagna,,,,,,
4312252,2396081,,Wagny,,,,,,
1131003,2396085,,Vodvi,,,,,,
4312253,2396085,,Vouvi,,,,,,
1131004,2396086,,Ivouti,,,,,,
1131005,2396086,,Ivouta,,,,,,
4312254,2396086,,Vouta,,,,,,
1131006,2396087,,Vongou,,,,,,
4312255,2396087,,Voungou,,,,,,
1131007,2396094,,Mbon Mogel,,,,,,
4312256,2396094,,Vonmozel,,,,,,
1131008,2396095,,Vometsa,,,,,,
1131009,2396095,,Vomitze,,,,,,
1131010,2396095,,Vomitza,,,,,,
4312257,2396095,,Vometza,,,,,,
1131011,2396103,,M’Fou,,,,,,
4312258,2396103,,Vigne,,,,,,
8463355,2396104,,Mvigne,,,,,,
8463356,2396104,,Vigne,,,,,,
1131012,2396105,,Vijue Point,,,,,,
4312259,2396105,,Pointe Vidjue,,,,,,
15709351,2396106,wkdt,Q24608451,,,,,,
15959239,2396106,,Pic Vianga,,,,,,
1131013,2396124,,Vandaréné,,,,,,
4312260,2396124,,Vandaréne Echira,,,,,,
1131014,2396127,,Pointe Boutike,,,,,,
1131015,2396127,,Uwinia-Spitz,,,,,,
1131016,2396127,,Punta Butica,,,,,,
1131017,2396127,,Betika Point,,,,,,
1131018,2396127,,Punta Bitica,,,,,,
4312261,2396127,,Pointe Uvinia,,,,,,
1131019,2396128,,Pointe Ouongué,,,,,,
4312262,2396128,,Pointe Uongué,,,,,,
8463357,2396128,,Pointe Wongué,,,,,,
8463358,2396129,,Wongué,,,,,,
8463359,2396129,,Crique Uongué,,,,,,
1131020,2396130,,Ounoco,,,,,,
1131021,2396130,,Unoko channel,,,,,,
4312263,2396130,,Unoco,,,,,,
1131022,2396131,,Tutiay,,,,,,
1131023,2396131,,Creek West Tutiay,,,,,,
1131024,2396131,,West Tutiai Creek,,,,,,
4312264,2396131,,Crique Tutiay Ouest,,,,,,
1131025,2396132,,East Tutiai Creek,,,,,,
4312265,2396132,,Crique Tutiay Est,,,,,,
1131027,2396133,,Banc de la Tourquoise,,,,,,
1131028,2396133,,Torquoise Banks,,,,,,
4312266,2396133,,Bancs de la Turquoise,,,,,,
1131029,2396145,,Isogni,,,,,,
4312267,2396145,,Tsogni,,,,,,
8091293,2396145,link,https://en.wikipedia.org/wiki/Tsogni,,,,,,
6902542,2396147,link,https://en.wikipedia.org/wiki/Tsingue,,,,,,
6923126,2396147,,Tsingué,,,,,,
15241383,2396154,wkdt,Q24608439,,,,,,
15959240,2396154,,Falaise Tsidoke,,,,,,
1131031,2396155,,Mont Isibou,,,,,,
4312269,2396155,,Mont Tsibou,,,,,,
1131032,2396160,,Point Chibobo,,,,,,
1131033,2396160,,Pointe Tchibobo,,,,,,
4312270,2396160,,Pointe Tshibobo,,,,,,
15657823,2396161,wkdt,Q24608435,,,,,,
15959241,2396161,,Mont Tsetsi,,,,,,
1131034,2396164,,Chute Tchengué Lélédi,,,,,,
1131035,2396164,,Chute Tchengue Iéléd,,,,,,
4312271,2396164,,Chutes de Tsengué Leledi,,,,,,
1131036,2396174,,Tsambo,,,,,,
4312272,2396174,,Tsambou,,,,,,
1131037,2396186,,Toungounamba,,,,,,
4312273,2396186,,Toungounamba I,,,,,,
1131038,2396190,,Tumba,,,,,,
4312274,2396190,,Toumba,,,,,,
1131039,2396220,,Montagne Tit,,,,,,
4312275,2396220,,Mont Tit,,,,,,
8463360,2396225,,Tol,,,,,,
8463361,2396225,,Thol,,,,,,
1131040,2396238,,Tébé,,,,,,
4312276,2396238,,Tébé I,,,,,,
1131041,2396243,,Tchibenda,,,,,,
4312277,2396243,,Tchitendé,,,,,,
6898357,2396253,link,https://en.wikipedia.org/wiki/Tchibanga,,,,,,
6923127,2396253,,Tchibanga,,,,,,
7482882,2396253,iata,TCH,,,,,,
13768809,2396253,unlc,GATCH,,,,,,
14994331,2396253,wkdt,Q690421,,,,,,
1131042,2396255,,Tchengui-Paga,,,,,,
4312278,2396255,,Tchengué-Paga,,,,,,
1131043,2396257,,Crique Tchinchérié,,,,,,
4312279,2396257,,Crique Tchencherie,,,,,,
13768810,2396258,unlc,GATCT,,,,,,
13826920,2396258,,Tchatamba,,,,,,
15738936,2396266,wkdt,Q24612053,,,,,,
15959242,2396266,,Monts des Tandou,,,,,,
14931445,2396269,wkdt,Q24612052,,,,,,
15959243,2396269,,Mont Tambo,,,,,,
1131044,2396277,,Isla Tabalán,,,,,,
4312280,2396277,,Île Tabalon,,,,,,
1131045,2396278,,La Surprise Rocks,,,,,,
4312281,2396278,,Roches de la Surprise,,,,,,
15757392,2396278,wkdt,Q24608411,,,,,,
1131046,2396279,,Southeast Banks,,,,,,
4312282,2396279,,Bancs du Sud-Est,,,,,,
1131047,2396282,,Lagune Sunga,,,,,,
1131048,2396282,,Lagune Songa,,,,,,
4312283,2396282,,Lagune Sounga,,,,,,
1131049,2396283,,N’Dama,,,,,,
4312284,2396283,,Sounga,,,,,,
1131050,2396287,,Sulfan,,,,,,
1131051,2396287,,Sulfane,,,,,,
4312285,2396287,,Soulfane,,,,,,
1131052,2396300,,Sousollo,,,,,,
4312286,2396300,,Sossolo,,,,,,
1131053,2396317,,Sopal,,,,,,
4312287,2396317,,Sobal,,,,,,
1131054,2396318,,Mounanga,,,,,,
1131055,2396318,,Souangui,,,,,,
4312288,2396318,,Soangui,,,,,,
1131056,2396321,,Sau,,,,,,
4312289,2396321,,Sô,,,,,,
1131057,2396322,,Sôla,,,,,,
4312290,2396322,,So,,,,,,
2944183,2396332,link,https://en.wikipedia.org/wiki/Sindara,,,,,,
4312291,2396332,,Sindara,,,,,,
15476332,2396332,wkdt,Q7522110,,,,,,
1131058,2396336,,Simanic,,,,,,
1131059,2396336,,Simane,,,,,,
4312292,2396336,,Simani,,,,,,
